,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,264.0,264,264,264,264,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,BiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,264,132,138,264,,,,,,,,,,,,,
mean,205.42424242424244,,,,,0.7598208010401467,0.1700579059172442,0.17228277220030858,0.19006309546639188,0.19118894793595173,0.20617913104775487,0.18965671376861545,0.1892788552700407,0.18316830552002578,0.18393684164055957,0.2444082742668896,0.18598924370979084,0.18086698723326292
std,115.54349147172734,,,,,0.284108220732847,0.08784290366418963,0.09175069931159106,0.09002255659749579,0.09526565956129203,0.11259115331701293,0.09377626877298692,0.09410005509282911,0.09806842465914532,0.0953954693452929,0.1363723074329022,0.0998579672028452,0.09389547893164443
min,0.0,,,,,0.501340657989295,4.603218600638917e-05,0.0,9.517641300927944e-09,1.7771269021251852e-08,5.3692003882529055e-11,8.080407917891961e-11,3.6645873456266974e-06,1.825326810026662e-07,3.3043307595838566e-05,4.430081772348504e-05,3.27514221801316e-06,9.0702918820864e-05
25%,105.75,,,,,0.6181468870382902,0.10067289331033297,0.10411111111111104,0.13804369464007793,0.13922976960409558,0.13004075798866724,0.13321634432007418,0.12757142169836455,0.11361546300127451,0.11074330767809983,0.1509366737318139,0.1136544853318182,0.11244323572068993
50%,205.5,,,,,0.71305001356221,0.18482236345124556,0.18733417043813017,0.21272412748283176,0.21257069107245014,0.21537981615094937,0.21033375345676705,0.21132240479343534,0.19860855331557564,0.20600351467451974,0.25433816823302935,0.2044657411407117,0.20133783291115714
75%,305.25,,,,,0.8347641568770261,0.23075909514874646,0.2358814297874088,0.2534279513835558,0.2526711600654757,0.27267123662159487,0.25477333714883726,0.2535200093077188,0.2516029270438064,0.2509414828761323,0.3389135615234983,0.2528438104248918,0.24559211836601516
max,399.0,,,,,3.37567270621418,0.3930055870955116,0.4745949962877546,0.4341607515840563,0.5684423703824427,0.694632524088938,0.5099740665741718,0.453715016028736,0.5682092230196769,0.4471321958534371,0.6401245743011492,0.4524558377831749,0.4928406540555271
