,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,270.0,270,270,270,270,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
unique,,1,2,2,1,,,,,,,,,,,,,,,
top,,HiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,270,135,144,270,,,,,,,,,,,,,,,
mean,191.92222222222222,,,,,0.8178353493724606,0.16727985422727704,0.17396244019520615,0.19332272384650548,0.18729670379711885,0.19483880045016777,0.21187498836096216,0.19025117831933583,0.1912874580390473,0.19232124588058672,0.19070632186501993,0.191850933358659,0.24425979222614,0.1898060680401759,0.18827852982799184
std,113.98299890620984,,,,,1.1311500949601512,0.08077429008464841,0.08796582514404681,0.09116068114831535,0.08801559690622135,0.09084996341694913,0.11721430482950967,0.08535406443519494,0.08759522249934955,0.09638010038878171,0.0994532913744328,0.09371596910055885,0.1336519696724649,0.09749936409664742,0.09677466289963835
min,0.0,,,,,0.500345786308601,6.013660314522065e-05,0.0001321178491214,0.001115718655101,0.0011139075481433,0.0010587052627674,6.06353346313371e-08,0.0010032751360031,0.0011220254586326,0.0001234567654321,4.33090020964225e-06,0.0001234567654321,1.973182090000103e-06,0.0001234567654321,0.0001234567654321
25%,93.75,,,,,0.5864363766165005,0.11035009814181553,0.12066088228989687,0.14100768740936792,0.12736362212322666,0.130246311484459,0.135119250737064,0.12494267340881927,0.13448155966180428,0.13468806321492993,0.1224171741618891,0.13138922403999773,0.14063127780917065,0.12330656868779294,0.1201026359703769
50%,186.5,,,,,0.655969719826057,0.17399431041295715,0.17985185185185182,0.21284054090970625,0.20357797758810314,0.21299167942303793,0.21022321521182646,0.20872587272447263,0.21214449325285065,0.20257615163682965,0.2000435574952637,0.20475194131800312,0.238060664478551,0.1982232038857656,0.1968243449566309
75%,291.75,,,,,0.766740667590773,0.2269031315897915,0.2311866345226898,0.24820257483291838,0.2460687395312951,0.2507535669614956,0.2702128745319149,0.24802661027235437,0.24930729632209075,0.24844831292460468,0.24927041863523325,0.25234970460245176,0.33125694514538717,0.24833406100067607,0.24440532778168866
max,399.0,,,,,11.7616485923731,0.3846027772785963,0.4163597297836244,0.5999924646771604,0.4749805339197969,0.4755186405267047,0.721683348550419,0.382578111574602,0.4924828167800494,0.5799512415159188,0.5317473206077226,0.5808728153359121,0.7448904091848487,0.5265218422297456,0.5387987465908352
