,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,112.0,112,112,112,112,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
unique,,1,2,2,1,,,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,112,56,58,112,,,,,,,,,,,,,,,
mean,193.67857142857142,,,,,0.6252559103007328,0.20569931973255715,0.22217162796695625,0.24922217116364884,0.23374112372874814,0.2591117304763147,0.2774867927978938,0.2573652986901966,0.2551488656837912,0.24679938403900462,0.2331461623025801,0.25467841938784813,0.32476849171791294,0.247595101769113,0.248082407247223
std,113.41800342381055,,,,,0.1050646567638409,0.05500311721951097,0.06423608284015253,0.0303030663781189,0.058217123749785694,0.0608784625613927,0.09564274258122334,0.04818519047608817,0.04731772295340797,0.059877650466489685,0.060695051004899525,0.06008597590394863,0.10878396618337206,0.05968150246647927,0.06411845335233554
min,6.0,,,,,0.504989442951526,0.0575998528085679,0.0446242321795826,0.1754955925116295,0.0997574688261627,0.1437356129386321,0.0954254167903815,0.1846414265085019,0.1427690415985847,0.1180369998552705,0.0576852567008741,0.1389957612451429,0.0829656321606466,0.1218760681797445,0.0958583775621697
25%,99.25,,,,,0.5430904496432385,0.17005682517881854,0.19329118270143908,0.2321689553372429,0.19921695083770966,0.23338775301271975,0.2259094564371547,0.23998651433792176,0.23545808867700543,0.21059660345519104,0.1901099348720552,0.22385584016445828,0.2582254227905071,0.20881828780333397,0.21167424294820034
50%,181.5,,,,,0.6084372005030925,0.20755836376762046,0.22324260355029585,0.24830110393488092,0.2385608230849554,0.2493288763110304,0.2627899704718084,0.24999585888965004,0.24974702917152905,0.24282957898600194,0.2343630144269917,0.2459713719852175,0.31790187961844074,0.2468746102833908,0.24315289397436524
75%,286.25,,,,,0.6748892479323935,0.24029092695312512,0.2488867690660917,0.26452349812233,0.2606627562960043,0.26339956116560115,0.3130513479004353,0.26547414666152835,0.26551305056218283,0.2710018566630281,0.2675139520169284,0.27296841795569526,0.3865429404335755,0.27899173186212933,0.2759607483041666
max,399.0,,,,,0.919505694940795,0.3805987143748827,0.4260667008660893,0.3585281320887263,0.4490143117372756,0.5946460388966976,0.7706240221063357,0.4991302944271381,0.4908236509919688,0.5202456741717295,0.4148716267028042,0.5720507866994663,0.7566442458336535,0.4780014766757253,0.5267213730848449
