"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104"
"t13",-0.185414129696254,0.122894565891401,-0.12728772184676,0.00275135645228415,-0.00432480544040903,-0.00898956629978267,0.00309360074237827,0.00257712517018531,-0.00795838230367043,-0.00559156401849536,-0.00522167496912323,0.118889821753069,-0.0101183166216502,0.00298667063026648,5.55416312474134e-05,0.000134928030439406,0.00282040923449673,-2.99940259324879e-05,-5.51957553436592e-06,-0.000959257789557666,-0.00115169178774132,4.38647843115138e-05,0.00988974864828744,-0.00359663630336593,0.000509436440807864,0.000539551206484481,0.000227964253645097,0.952188280230459,0.0476497620057523,-0.0103713502718867,-0.000209298335729739,0.0037418642232341,1.02186800534038e-05,-0.0144190002229428,-0.000811548222094211,3.20759307535822e-16,-1.36570795789384e-05,0.00388884015083926,0.000409093724221709,0.00221169995562857,-2.25262178342265e-16,-7.16001653209784e-17,-0.000361491614856345,0.000213104835417598,0.000202114782800257,3.86609849050899e-05,-0.000121385006929151,1.40208315398658e-16,-1.42825341585793e-16,-1.05104266144623e-17,-1.46382455785888e-16,-4.59452546333991e-05,1.43003654852395e-05,7.33416403362472e-06,0.000105986470558008,-4.04446954253271e-05,-1.23887420177019e-05,-3.9747841113873e-05,4.9217019500242e-05,0.00580518624216112,0.00155504948809308,6.25950357983095e-16,-0.0292296973905475,-0.00158206608202721,1.06320938269209e-05,2.35851708130337e-05,-0.00155392125319716,-9.45747394130182e-17,-2.23031420722908e-05,-3.54929208842205e-05,-5.47400000149426e-17,3.37261040324651e-17,2.25638034839091e-05,-1.43202367888101e-16,-0.000119441520217837,3.51110538491713e-07,-2.13768070724633e-05,-9.32294950694651e-18,-2.49712005488762e-16,2.36338084535768e-06,5.0081399015996e-17,-1.42345885041973e-16,-5.16677674609893e-17,1.82501560006887e-17,1.86894998228846e-05,2.60360286459309e-16,-3.53673817118006e-16,7.79563601617763e-06,1.78640236663215e-16,4.17118570381375e-16,2.57863675638026e-05,-1.05435398775079e-05,2.11342734985881e-16,-3.84637413237512e-17,-6.86142500644131e-15,3.0150830936266e-16,-1.38144797898267e-06,0.000814645932305886,-2.68904407365397e-16,-1.24511911599794e-15,-1.19338365857313e-14,3.00734703524447e-16,1.17496046109012e-15,-2.01992657555669e-15
"t88",-0.223813144198612,0.160107571979253,-0.168923034418898,0.00435533510537509,-0.00703435522947728,-0.0389850409270493,0.0168539805189611,-0.00853877021905596,0.0180380102439851,0.0105009788126832,0.00657808860723058,-0.126927887267109,0.00672707324181624,-0.00163275921829309,-2.76772453456074e-05,-5.45973182227479e-05,-0.000921977004046839,8.83338919118324e-06,1.39312752225389e-06,0.000218187992516435,0.000213456423246027,-7.55149969950642e-06,-0.00152436607343815,0.000450969498807825,-5.90976838672955e-05,-5.62878811090539e-05,-1.72728064096035e-05,-0.0639286543801373,-0.00286594979735205,0.000616559243128023,1.08384934342284e-05,-0.000162339385249399,-1.52338653713141e-07,0.000127710792797814,6.89114456114981e-06,-8.84777241338671e-16,3.80006530437146e-08,-7.03380024060125e-06,7.99500786900477e-07,3.17602538433602e-05,-2.67354606376324e-16,-2.51699485057396e-16,-6.23339351360548e-06,3.61824569485645e-06,3.29842164270249e-06,6.11861576676993e-07,-1.8893743309737e-06,1.3843546873012e-15,1.89540085362673e-16,1.36286364797424e-15,-8.3569813354288e-15,1.45408558547751e-07,-1.04902738136765e-07,-2.35671347695863e-07,-4.95046549013895e-06,5.23782354587499e-06,1.91027770586405e-06,6.81766615121931e-06,-8.88189869003164e-06,-0.00151567558313176,-0.000483027573153143,-1.69692871776474e-14,0.564845555929122,-0.000886506082710479,4.52804030259643e-06,1.06653776153451e-05,-0.210809881736258,1.71087842987617e-14,-6.42491356615134e-06,-1.02456355238262e-05,7.86424602971205e-16,2.8985388687783e-15,6.42265041400853e-06,1.66430500432545e-15,-3.26599772943272e-05,9.4927585981823e-08,-5.77613842669984e-06,4.41621265671391e-15,1.14273592799393e-15,5.85110418002007e-07,-1.30873077081393e-14,5.35421655631311e-17,-6.39768096159485e-16,-1.34863850817824e-15,4.51872067715608e-06,1.78457688886601e-15,-2.66416386644295e-14,1.87905084852867e-06,-2.26699844526872e-15,-8.43592230651681e-17,6.17896092304932e-06,-2.51316450789451e-06,-3.93945575913995e-15,-7.75819984483183e-15,0.707106781186516,-4.24684692166905e-15,-3.34483951899347e-07,0.00616856898906163,-5.73367312301222e-15,-2.2229883773992e-14,4.95272897213934e-14,1.99363973890594e-15,9.8158273104512e-15,3.54971642429541e-15
"t89",-0.223813144198611,0.160107571979252,-0.168923034418897,0.00435533510537535,-0.00703435522947711,-0.0389850409270497,0.0168539805189611,-0.0085387702190558,0.0180380102439858,0.0105009788126822,0.00657808860723088,-0.126927887267107,0.00672707324181615,-0.001632759218294,-2.76772453457202e-05,-5.45973182226367e-05,-0.000921977004046882,8.83338919144227e-06,1.39312752231105e-06,0.000218187992516774,0.000213456423246353,-7.55149969954802e-06,-0.00152436607343794,0.000450969498807456,-5.90976838675599e-05,-5.6287881108576e-05,-1.72728064100892e-05,-0.0639286543801366,-0.00286594979735568,0.000616559243129733,1.08384934336048e-05,-0.000162339385250085,-1.52338654284941e-07,0.000127710792797713,6.89114456012511e-06,1.83917273363641e-16,3.8000652790136e-08,-7.03380024093568e-06,7.99500787002995e-07,3.17602538357769e-05,-1.44510668835277e-16,8.46327920119396e-17,-6.23339351145103e-06,3.61824569446925e-06,3.2984216428418e-06,6.11861575652526e-07,-1.88937433128974e-06,1.85465664870107e-15,4.35850461673089e-16,1.50916321015399e-15,-7.19313383421046e-15,1.45408557826766e-07,-1.04902738700657e-07,-2.35671347142085e-07,-4.9504654924912e-06,5.23782354470665e-06,1.91027770555366e-06,6.81766615418622e-06,-8.88189869034257e-06,-0.00151567558313279,-0.000483027573152411,-1.66380809306511e-14,0.564845555929078,-0.000886506082704944,4.52804030306963e-06,1.06653776256216e-05,-0.21080988173623,1.92584892663799e-14,-6.42491357169393e-06,-1.0245635521337e-05,2.51586576716077e-15,4.02713902732816e-15,6.42265041009106e-06,6.82554124510285e-16,-3.26599772912403e-05,9.49275881968019e-08,-5.77613844547026e-06,4.77831632785639e-15,1.7136009685926e-15,5.8511042255502e-07,1.65227100916019e-14,-2.783488575843e-15,-1.86580094250808e-15,-1.61760069303315e-15,4.5187206753496e-06,-2.12206695551607e-15,3.62958926920792e-14,1.87905084004999e-06,8.58921020037397e-16,-5.62077810213105e-16,6.17896090221792e-06,-2.51316448515322e-06,4.21985003873885e-15,7.34066013180795e-15,-0.707106781186579,6.80053287604991e-15,-3.34483933937085e-07,0.00616856898863257,7.83583393714247e-15,1.63883748678078e-14,-7.13910924277536e-14,-9.84262205832703e-16,-5.18524936479486e-15,-7.35740463669234e-15
"t95",-0.226192533593142,0.162397829066243,-0.1714814656189,0.00445258982995156,-0.00719834411498212,-0.0407290139305099,0.0176502460678492,-0.00915257389127287,0.0194552027353315,0.0113710480214563,0.00720151498385509,-0.13975701229354,0.00756623272643817,-0.00185713684219462,-3.16655759680104e-05,-6.33779670109607e-05,-0.00108846371047846,1.05227479676416e-05,1.68329012677581e-06,0.000266325644031672,0.000266163571417841,-9.49258349264933e-06,-0.00194025791073896,0.000588151904053164,-7.78083399210949e-05,-7.50896096246547e-05,-2.39978018931706e-05,-0.0902096203564288,-0.00410158564319752,0.000883702789505124,1.58096193099918e-05,-0.000242086926571198,-2.54270434075933e-07,0.000221343018634642,1.19738589521591e-05,9.96810239207647e-18,6.9062215136796e-08,-1.28966787477483e-05,1.52347347078195e-06,7.74893820913696e-05,-8.46272379549088e-16,1.03117215556675e-16,-2.02188790080458e-05,1.33779395707097e-05,1.37585361213855e-05,2.73606363877971e-06,-8.74006031907716e-06,-1.18771975311577e-15,1.59575658363201e-16,-7.8397605133325e-16,9.30481855793954e-16,-5.02406350500161e-06,1.63784868387768e-06,1.02533791686535e-06,1.61473735351756e-05,-8.60352059000578e-06,-2.83822236157507e-06,-9.55396528768563e-06,1.21132597483018e-05,0.00172267626466886,0.000508657365836216,9.29448173979146e-15,-0.331272035368556,0.00022616358817934,-4.29415389315844e-07,1.96352617251765e-06,-0.241832342491384,2.11611339587761e-14,8.73028881204275e-07,8.28744746946768e-07,-1.01244678695564e-16,2.015694206921e-15,-1.63091355291286e-07,1.7248671316115e-15,-1.66529351857269e-06,6.55346978374793e-09,-4.04079691951582e-07,2.4435262064821e-15,1.01533488251914e-15,1.25255680305394e-07,7.03875629111972e-16,3.83304127253575e-15,3.62814068420678e-15,5.09039080581386e-16,1.18222874634215e-06,-9.27610184475767e-16,5.96159022149359e-15,5.03573852702288e-07,-7.81465349813051e-16,-3.19188553764289e-16,1.72632676724537e-06,-7.14832251704441e-07,-3.1458337914201e-15,-2.39910701494382e-15,2.48440157335494e-13,-3.99295650974429e-16,8.20032525498009e-07,-0.827567355504997,-8.47311325463791e-14,5.55903980593424e-16,1.33396778759231e-13,-4.76457066433268e-16,1.54160732332304e-15,-1.37627922631039e-14
"t98",-0.22638862100689,0.162585957791855,-0.171691467527318,0.00446052302150299,-0.00721170961615991,-0.0408686446262098,0.0177138705612287,-0.00920069472131952,0.0195657600093743,0.0114387117561234,0.00724958785246021,-0.140741950815285,0.00762964623942993,-0.00187395590414837,-3.19632946019989e-05,-6.40268166243291e-05,-0.00110062633581339,1.06454295612239e-05,1.7041683908641e-06,0.000269767015358164,0.00026988224357221,-9.62886705376144e-06,-0.00196924240588037,0.000597579544654303,-7.90874059412309e-05,-7.63656569864715e-05,-2.44445693532155e-05,-0.0919419734194964,-0.00418247192955516,0.000901177675456026,1.61320807796236e-05,-0.000247207119280878,-2.60512179562831e-07,0.000226995796119578,1.22804276846775e-05,-3.33676944589608e-16,7.09061484548888e-08,-1.32436735180106e-05,1.56577994654473e-06,7.99861980717962e-05,2.81470462568007e-16,-3.93976222411882e-16,-2.09408058343608e-05,1.3871719033897e-05,1.42793544084201e-05,2.84095755507427e-06,-9.07706452293985e-06,-8.7605910161629e-16,-2.0526590269588e-16,-6.85235854344871e-16,-2.9376035462434e-15,-5.25019771037444e-06,1.71289650135746e-06,1.07592421905874e-06,1.69677726984107e-05,-9.08378187197775e-06,-2.99929617410488e-06,-1.01015731557777e-05,1.28108109624063e-05,0.00182514103127143,0.000539338999635054,9.20313122485598e-15,-0.353611411504953,0.000243713526909696,-4.6578699526914e-07,2.14157734704081e-06,-0.264174765059119,2.1880620789892e-14,9.58910845814364e-07,9.12374634339537e-07,1.0153679305767e-15,2.25572934768833e-15,-1.80245952792743e-07,1.14864729904858e-16,-1.85730296589032e-06,7.33111495491422e-09,-4.52102893822351e-07,6.16532400027872e-15,-3.38191804992146e-16,1.47506194538801e-07,-4.04857019419575e-15,-9.29761721606435e-16,-1.49022939404572e-15,1.43518443127769e-15,1.47033684566731e-06,-1.02226370171598e-15,-1.4534821917113e-14,6.35258513418647e-07,1.06731538548225e-15,-7.63873648812488e-16,2.27066215924065e-06,-1.02071321046742e-06,2.58623475320907e-15,-2.5423118122711e-16,-6.24500451351651e-14,7.07414259709017e-15,-6.09947393217112e-07,0.39676822350966,5.31262646409055e-14,-3.90261505543405e-14,-0.707106781186624,3.76283951776346e-14,-2.73104096788874e-14,2.77838744662518e-14
"t99",-0.22638862100689,0.162585957791855,-0.171691467527318,0.00446052302150287,-0.00721170961615972,-0.0408686446262098,0.0177138705612287,-0.00920069472131931,0.0195657600093741,0.0114387117561236,0.00724958785246061,-0.140741950815285,0.00762964623942992,-0.00187395590414781,-3.19632946020356e-05,-6.40268166243206e-05,-0.00110062633581224,1.06454295621975e-05,1.70416839128544e-06,0.000269767015358103,0.000269882243571839,-9.62886705376918e-06,-0.00196924240588012,0.000597579544654341,-7.90874059418481e-05,-7.6365656985961e-05,-2.44445693520051e-05,-0.0919419734194957,-0.00418247192955777,0.000901177675455712,1.61320807805371e-05,-0.000247207119281785,-2.60512183208505e-07,0.00022699579612023,1.22804276836881e-05,4.29539993693189e-16,7.09061478642468e-08,-1.32436735171489e-05,1.5657799463344e-06,7.99861980707564e-05,-2.9983458730669e-16,4.84156570032932e-17,-2.09408058313781e-05,1.38717190333939e-05,1.4279354408885e-05,2.84095755605598e-06,-9.0770645236503e-06,-9.73050765728125e-16,-2.7498864887587e-16,-5.02038263392688e-16,-2.89846209358014e-15,-5.25019771262873e-06,1.71289650260558e-06,1.07592421704176e-06,1.69677726985444e-05,-9.08378187030276e-06,-2.99929617528789e-06,-1.01015731559418e-05,1.28108109627905e-05,0.00182514103126869,0.000539338999638292,8.82134342794418e-15,-0.353611411504952,0.000243713526912876,-4.65786997373966e-07,2.14157734651276e-06,-0.264174765059104,2.08812585203749e-14,9.58910844398329e-07,9.12374636468325e-07,1.13600628428742e-15,2.49958237239782e-15,-1.80245954463835e-07,-1.85187148211293e-16,-1.85730297517313e-06,7.33110980235338e-09,-4.52102890799833e-07,9.9641659526942e-15,1.05438170361306e-15,1.47506190372997e-07,8.33610255708985e-16,-4.29279840904378e-15,-2.21443560992005e-15,-2.2018838863077e-15,1.47033683458701e-06,-5.20385359986379e-16,1.00657072580333e-14,6.35258520910284e-07,-4.19844170692648e-16,-3.01786328159161e-16,2.27066216025465e-06,-1.02071320663516e-06,1.8453557275879e-15,4.03909935983392e-15,-1.83270065789998e-13,-7.60165517963181e-15,-6.09947444791632e-07,0.396768223509902,2.73863337472986e-14,3.84191573907476e-14,0.707106781186471,-3.83118149455432e-14,2.71327533618657e-14,-1.94228997412978e-14
"t96",-0.225302610228933,0.161541148239347,-0.170524449373762,0.00441620288225497,-0.00713698752594643,-0.0400761445754962,0.0173521403655332,-0.00892265596031814,0.0189242836570929,0.0110450702696965,0.00696789478271558,-0.13494897952307,0.00725162623453802,-0.00177300225674247,-3.01699553194807e-05,-6.00846156864794e-05,-0.00102600763028325,9.88894055988387e-06,1.57441352797054e-06,0.000248261593816055,0.000246381712554134,-8.76402587230717e-06,-0.00178414799876651,0.00053665319597549,-7.07840619487218e-05,-6.80308630202742e-05,-2.14728537199623e-05,-0.0803421577324423,-0.00363765339622885,0.000783401029407741,1.39431801771174e-05,-0.000212146074293604,-2.16013631717792e-07,0.000186207151994582,1.00665734432838e-05,1.84366098418363e-16,5.74090673539952e-08,-1.06972500276061e-05,1.25193838355177e-06,6.03657018566696e-05,5.08332703804014e-16,2.31077793286001e-16,-1.49918681904868e-05,9.73326190438807e-06,9.85501692277699e-06,1.94365139208128e-06,-6.18493629479039e-06,-1.02961660294141e-16,1.75567417785538e-17,-1.00545048090095e-16,8.84204143952766e-15,-3.10906829153552e-06,9.92975006922343e-07,5.61349819058583e-07,8.40627052047476e-06,-3.58657558019156e-06,-1.12189930001334e-06,-3.64718863438892e-06,4.54503956374826e-06,0.000563231327278698,0.00015478465864184,2.08127688703109e-15,-0.0241505920975617,-0.000102245949098229,4.71233028959668e-07,-4.04051692068571e-06,0.597099793214921,-4.98571360208807e-14,-4.43129485084318e-06,-6.24137628706738e-06,-1.89226264006248e-15,-6.67482140919315e-15,3.58462654076063e-06,-2.27101657004802e-15,-1.74542580715778e-05,5.07575862708119e-08,-3.08883567984553e-06,-1.06209019634539e-14,-1.45783567449102e-15,3.40191268738307e-07,5.52169015419302e-15,1.76100976010525e-15,2.55819559743561e-15,7.09750875629902e-16,2.76018476907519e-06,1.23694804165933e-15,-4.30239415375447e-15,1.15741921191174e-06,-4.00935069212644e-16,2.86239263189981e-15,3.87777429062931e-06,-1.61270439748319e-06,8.4765026732134e-16,1.44291275434392e-15,-1.77358128183869e-14,3.99982169149143e-16,-2.35476900866281e-07,0.010133907277717,-1.12906542284962e-15,-0.707106781186549,1.9221633072526e-14,-1.4866876795335e-14,-9.07361605988448e-15,-1.1498046228073e-14
"t97",-0.225302610228933,0.161541148239347,-0.170524449373762,0.004416202882255,-0.00713698752594732,-0.0400761445754971,0.0173521403655332,-0.00892265596031844,0.0189242836570931,0.011045070269697,0.00696789478271514,-0.13494897952307,0.00725162623453777,-0.0017730022567425,-3.01699553195404e-05,-6.00846156864615e-05,-0.00102600763028407,9.8889405596099e-06,1.57441352809551e-06,0.00024826159381653,0.000246381712553899,-8.76402587207842e-06,-0.00178414799876596,0.000536653195975702,-7.07840619487142e-05,-6.80308630204418e-05,-2.1472853720057e-05,-0.0803421577324422,-0.00363765339622763,0.000783401029407609,1.39431801773656e-05,-0.000212146074293422,-2.16013632251884e-07,0.000186207151996846,1.00665734444155e-05,1.37083544546753e-16,5.74090671838399e-08,-1.06972500276571e-05,1.25193838342597e-06,6.03657018557836e-05,8.63427037204052e-16,5.77061576970159e-17,-1.49918681904358e-05,9.7332619038732e-06,9.85501692269523e-06,1.94365139167309e-06,-6.18493629448617e-06,-1.70418217299979e-16,-3.09276381223169e-16,-8.08739033191915e-16,1.02701383286905e-14,-3.10906829166215e-06,9.92975007474984e-07,5.61349818572766e-07,8.40627052121394e-06,-3.58657558152954e-06,-1.12189930141734e-06,-3.64718863311407e-06,4.54503956344918e-06,0.000563231327277764,0.000154784658642645,3.26916766251544e-15,-0.0241505920975573,-0.000102245949098439,4.71233028833261e-07,-4.04051691963231e-06,0.597099793214922,-5.13496002829283e-14,-4.43129485209614e-06,-6.24137628791811e-06,-3.0340628209392e-15,-6.94615732288293e-15,3.5846265412902e-06,-2.13615192162504e-15,-1.74542580730479e-05,5.07575932256485e-08,-3.08883567813313e-06,-1.71738169347704e-14,-3.55575831851018e-15,3.40191268508328e-07,-5.69914224141493e-15,1.1653493742831e-15,-1.12136052192367e-15,2.28124870080294e-15,2.76018476627738e-06,2.56086707295855e-15,-7.6841159097368e-15,1.1574192103578e-06,2.88110941610391e-15,1.14885234714863e-15,3.87777428312043e-06,-1.61270440146396e-06,-7.69014904735762e-16,-2.86668667646684e-15,2.04281036531029e-14,3.56957708919778e-16,-2.35476896296789e-07,0.010133907277718,1.25224672778201e-15,0.707106781186546,-5.82892812810697e-14,1.67460792456309e-14,1.1583852001004e-14,6.35609424152217e-15
"t29",-0.159403590096018,0.0967309632068925,-0.0977626911064888,0.00152637457660202,-0.00223412189950513,0.0202429318993674,-0.0107086664246674,0.0177080816122584,-0.0467512286982602,-0.0311327738303293,-0.0277476474122876,0.641346056297884,-0.0690586028646448,0.026566581080796,0.000607362626581614,0.00442943036279674,-0.0495294130543815,0.000269171883205451,2.62774253793006e-05,0.00329059117955801,0.00230784485003665,-7.386759097979e-05,-0.0129728219414427,0.00300280543622315,-0.000358404883270925,-0.000298600069184267,-5.4354332748569e-05,-0.147765377018431,-0.00434298931053586,0.000880619624113677,3.80496864653528e-06,0.000192980154089408,2.73757425976919e-06,-0.00449095808851117,-0.000254899272225987,1.75444708431516e-16,-4.85205449117229e-06,0.00140917708853236,0.000159587263992312,0.00109689086673507,2.20804674110442e-16,-5.36641080883264e-16,-0.000199235899510502,0.000120747018152575,0.000116762472895679,2.25420185203839e-05,-7.10655612301923e-05,3.1145174382012e-15,-8.75860032227654e-16,-9.22145301757642e-15,-0.707106781186547,-2.94309853697251e-05,9.23690267533925e-06,4.8856292788657e-06,7.13648635119846e-05,-2.80262384143721e-05,-8.61951016067988e-06,-2.77167414967054e-05,3.43542079388426e-05,0.00407586740183654,0.00109371983282083,-1.81155510007028e-16,-0.0042760113726657,-0.00121835187088608,8.2574936553639e-06,1.84541669577689e-05,-0.000260358038457871,-6.84595694274855e-16,-1.76256667595445e-05,-2.81254696882024e-05,1.7982073317713e-16,3.31520717527381e-16,1.79573901891013e-05,1.29605770403061e-15,-9.59106579074542e-05,2.82676926021463e-07,-1.72127158483244e-05,6.12857172189275e-16,-2.25216862973966e-17,1.9580437878793e-06,-1.37966769641501e-15,8.87450601457502e-16,-1.03629089606469e-15,2.37423753077245e-16,1.5712006590084e-05,4.28812267269296e-16,1.31758972758387e-15,6.5707079410554e-06,2.4263595941201e-16,2.54708586559603e-16,2.18645929452556e-05,-9.00670290901392e-06,-6.19210514007078e-16,-6.00801911477663e-16,-8.13238365537927e-15,4.86374854514738e-17,-1.20853441656013e-06,0.000179962870523701,-1.08801931923076e-16,-4.55712382725044e-16,-1.14678532784088e-14,4.3464862602975e-17,8.79100754683461e-16,-2.28818005162143e-15
"t30",-0.159403590096018,0.0967309632068924,-0.0977626911064888,0.00152637457660239,-0.00223412189950492,0.0202429318993676,-0.0107086664246674,0.0177080816122585,-0.0467512286982601,-0.0311327738303298,-0.0277476474122874,0.641346056297884,-0.069058602864645,0.0265665810807957,0.000607362626581471,0.00442943036279668,-0.0495294130543815,0.000269171883205349,2.62774253792962e-05,0.0032905911795576,0.00230784485003628,-7.3867590979176e-05,-0.0129728219414428,0.00300280543622297,-0.000358404883270343,-0.000298600069186014,-5.43543327474463e-05,-0.147765377018431,-0.00434298931053548,0.000880619624114165,3.80496864734246e-06,0.000192980154089426,2.73757425872836e-06,-0.00449095808851466,-0.000254899272228289,-3.18836833176048e-16,-4.85205449164118e-06,0.0014091770885322,0.000159587263990562,0.00109689086672203,-4.13920371389225e-16,5.17305936188876e-16,-0.000199235899498745,0.00012074701815102,0.000116762472892721,2.2542018507658e-05,-7.10655612267482e-05,-3.17207627419953e-15,7.40675834802283e-16,9.17638343826864e-15,0.707106781186547,-2.94309860214567e-05,9.23690261100179e-06,4.8856292685786e-06,7.1364863500864e-05,-2.80262384143121e-05,-8.61951016624377e-06,-2.7716741497427e-05,3.43542079397323e-05,0.00407586740185133,0.00109371983283914,5.66308321977978e-16,-0.00427601137265521,-0.00121835187088651,8.25749365636122e-06,1.84541669601007e-05,-0.000260358038480214,4.94435434823511e-16,-1.76256667603672e-05,-2.81254696860127e-05,-2.09150191613084e-16,-3.39413056377892e-16,1.79573901895509e-05,-1.48674985852537e-15,-9.59106579058668e-05,2.82676927448178e-07,-1.72127158513414e-05,-8.18193691552966e-16,-3.30685599042373e-17,1.9580437891133e-06,1.4522917143116e-15,-1.07977210187923e-15,6.60863465757142e-16,-7.39009904366033e-17,1.57120065920152e-05,-1.11523062858378e-16,-1.6504028896471e-15,6.57070793998004e-06,-3.88493491833073e-17,3.53842224108898e-16,2.18645929466276e-05,-9.00670291023077e-06,9.53149216364778e-16,4.30311842705142e-16,-7.02216063075412e-15,6.05591553347714e-16,-1.20853441893035e-06,0.000179962870527309,-2.91094159240752e-16,-2.01002461720025e-15,-1.1606631156487e-14,2.94525632501657e-16,1.49206501823984e-15,-1.64575283244388e-15
