"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132"
"t1",0,2.59304623369804,3.92083853799349,4.65396994614406,4.8906329934052,4.92261990746291,5.30319747290646,5.53512978672381,6.29024626218972,5.78806598726338,5.45910569190067,5.29504352368062,6.89748275145285,5.68463534917213,6.89748275145285,6.89748275145285,6.89748275145285,6.44882234212773,6.14536845868438,6.49872099115023,6.77451873014519,6.11446764311559,6.27456703764174,6.89748275145285,6.49456710039119,6.15828438365989,6.54680966101275,6.89748275145285,6.30886577793822,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,5.75948033182203,6.89748275145285,5.93791937175251,6.89748275145285,6.89748275145285,6.84761659372212,6.89748275145285,6.17626807318017,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.6013043600178,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.27607097683425,6.89748275145285,6.46131337923842,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.65565508511805,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.56383234816514,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285,6.89748275145285
"t2",2.59304623369804,0,3.51966923944122,4.25280064759179,4.48946369485293,4.52145060891064,4.90202817435418,5.13396048817154,5.88907696363745,5.3868966887111,5.0579363933484,4.89387422512835,6.49631345290058,5.28346605061986,6.49631345290058,6.49631345290058,6.49631345290058,6.04765304357546,5.7441991601321,6.09755169259796,6.37334943159291,5.71329834456332,5.87339773908947,6.49631345290058,6.09339780183892,5.75711508510762,6.14564036246048,6.49631345290058,5.90769647938594,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,5.35831103326976,6.49631345290058,5.53675007320024,6.49631345290058,6.49631345290058,6.44644729516985,6.49631345290058,5.7750987746279,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.20013506146553,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,5.87490167828198,6.49631345290058,6.06014408068615,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.25448578656577,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.16266304961287,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058,6.49631345290058
"t3",3.92083853799349,3.51966923944122,0,2.80956393365708,4.63114015328117,3.07821389497593,5.04370463278242,3.69072377423683,4.44584024970274,2.28478768078365,3.61469967941369,3.45063751119364,5.05307673896587,5.4251425090481,5.05307673896587,6.63798991132881,5.05307673896587,4.60441632964075,4.30096244619739,2.99544268467051,3.27124042366546,2.61118933663587,4.43016102515476,3.39420444497313,2.99128879391147,5.89879154353585,6.28731682088872,3.39420444497313,4.46445976545123,5.05307673896587,3.39420444497313,3.39420444497313,3.39420444497313,3.39420444497313,3.39420444497313,5.49998749169799,5.05307673896587,2.43464106527279,5.05307673896587,5.05307673896587,3.3443382872424,3.39420444497313,2.67298976670045,3.39420444497313,3.39420444497313,3.39420444497313,3.39420444497313,5.05307673896587,5.05307673896587,6.63798991132882,6.63798991132882,6.63798991132882,3.09802605353808,6.63798991132882,3.39420444497313,3.39420444497313,5.05307673896587,4.43166496434727,3.39420444497313,2.9580350727587,6.63798991132882,3.39420444497313,6.63798991132882,5.05307673896587,6.63798991132881,6.63798991132882,6.63798991132882,5.05307673896587,5.05307673896587,5.05307673896587,3.39420444497313,3.39420444497313,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,4.81124907263106,5.05307673896587,5.05307673896587,3.39420444497313,3.39420444497313,3.06055404168542,3.39420444497313,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,6.63798991132881,6.63798991132881,3.39420444497313,5.05307673896587,5.05307673896587,5.05307673896587,3.39420444497313,3.39420444497313,3.39420444497313,3.39420444497313,5.05307673896587,6.63798991132881,6.63798991132881,6.63798991132882,6.63798991132882,5.05307673896587,5.05307673896587,3.39420444497313,3.39420444497313,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,6.63798991132881,3.39420444497313,3.39420444497313,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587,3.39420444497313,3.39420444497313,6.63798991132881,6.63798991132881,3.39420444497313,3.39420444497313,6.63798991132882,6.63798991132882,5.05307673896587,5.05307673896587,5.05307673896587,5.05307673896587
"t4",4.65396994614406,4.25280064759179,2.80956393365708,0,5.36427156143174,1.81952486224205,5.776836040933,2.43203474150294,3.18715121696885,4.67679138292697,2.3560106466798,2.19194847845975,3.79438770623198,6.15827391719867,3.79438770623198,7.37112131947939,5.74990508722367,3.34572729690686,3.04227341346351,5.38744638681382,5.66324412580877,5.00319303877918,3.17147199242087,5.78620814711644,5.38329249605478,6.63192295168643,7.02044822903929,5.78620814711644,5.16128811370903,5.74990508722367,5.78620814711644,5.78620814711644,5.78620814711644,5.78620814711644,5.78620814711644,6.23311889984857,3.79438770623198,4.8266447674161,3.79438770623198,5.74990508722367,5.73634198938571,5.78620814711644,5.06499346884376,5.78620814711644,5.78620814711644,5.78620814711644,5.78620814711644,3.79438770623198,3.79438770623198,7.37112131947939,7.37112131947939,7.37112131947939,5.49002975568139,7.37112131947939,5.78620814711644,5.78620814711644,5.74990508722367,3.17297593161338,5.78620814711644,5.35003877490201,7.37112131947939,5.78620814711644,7.37112131947939,3.79438770623198,7.37112131947939,7.37112131947939,7.37112131947939,3.79438770623198,3.79438770623198,3.79438770623198,5.78620814711644,5.78620814711644,3.79438770623198,3.79438770623198,5.74990508722367,5.74990508722367,3.55256003989718,3.79438770623198,3.79438770623198,5.78620814711644,5.78620814711644,5.45255774382873,5.78620814711644,3.79438770623198,5.74990508722367,5.74990508722367,3.79438770623198,3.79438770623198,7.37112131947939,7.37112131947939,5.78620814711644,3.79438770623198,3.79438770623198,3.79438770623198,5.78620814711644,5.78620814711644,5.78620814711644,5.78620814711644,5.74990508722367,7.37112131947939,7.37112131947939,7.37112131947939,7.37112131947939,3.79438770623198,3.79438770623198,5.78620814711644,5.78620814711644,3.79438770623198,3.79438770623198,3.79438770623198,3.79438770623198,3.79438770623198,7.37112131947939,5.78620814711644,5.78620814711644,5.74990508722367,3.79438770623198,3.79438770623198,3.79438770623198,3.79438770623198,5.78620814711644,5.78620814711644,7.37112131947939,7.37112131947939,5.78620814711644,5.78620814711644,7.37112131947939,7.37112131947939,3.79438770623198,3.79438770623198,5.74990508722367,5.74990508722367
"t5",4.8906329934052,4.48946369485293,4.63114015328117,5.36427156143174,0,5.63292152275059,1.70753452459704,6.24543140201149,7.0005478774774,6.49836760255106,6.16940730718835,6.0053451389683,7.60778436674053,2.08897240086271,7.60778436674053,3.30181980314343,7.60778436674053,7.15912395741541,6.85567007397205,7.20902260643791,7.48482034543286,6.82476925840327,6.98486865292942,7.60778436674053,7.20486871567887,3.90999049132136,2.95114671270333,7.60778436674053,7.01916739322589,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,2.16381738351261,7.60778436674053,6.64822098704019,7.60778436674053,7.60778436674053,7.5579182090098,7.60778436674053,6.88656968846785,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,3.30181980314343,4.64918885911432,3.30181980314343,7.31160597530548,3.30181980314343,7.60778436674053,7.60778436674053,7.60778436674053,6.98637259212193,7.60778436674053,7.1716149945261,3.30181980314343,7.60778436674053,3.30181980314343,7.60778436674053,4.64918885911432,3.30181980314343,3.30181980314343,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.36595670040572,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.27413396345282,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,3.30181980314343,3.30181980314343,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,4.64918885911432,4.64918885911432,3.30181980314343,3.30181980314343,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,3.30181980314343,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053,3.30181980314343,3.30181980314343,7.60778436674053,7.60778436674053,3.30181980314343,3.30181980314343,7.60778436674053,7.60778436674053,7.60778436674053,7.60778436674053
"t6",4.92261990746291,4.52145060891064,3.07821389497593,1.81952486224205,5.63292152275059,0,6.04548600225185,1.76110170298645,2.65518269819917,4.94544134424582,1.68507760816331,1.52101543994326,3.78225641045745,6.42692387851752,3.12345466771549,7.63977128079824,6.01855504854252,2.67479425839037,2.37134037494702,5.65609634813267,5.93189408712762,5.27184300009803,3.15934069664634,6.05485810843529,5.65194245737363,6.90057291300528,7.28909819035814,6.05485810843529,5.42993807502788,6.01855504854252,6.05485810843529,6.05485810843529,6.05485810843529,6.05485810843529,6.05485810843529,6.50176886116742,3.2624191874623,5.09529472873495,3.12345466771549,6.01855504854252,6.00499195070456,6.05485810843529,5.33364343016261,6.05485810843529,6.05485810843529,6.05485810843529,6.05485810843529,3.78225641045745,3.78225641045745,7.63977128079824,7.63977128079824,7.63977128079824,5.75867971700024,7.63977128079824,6.05485810843529,6.05485810843529,6.01855504854252,2.50204289309689,6.05485810843529,5.61868873622086,7.63977128079824,6.05485810843529,7.63977128079824,3.12345466771549,7.63977128079824,7.63977128079824,7.63977128079824,3.78225641045745,3.78225641045745,3.78225641045745,6.05485810843529,6.05485810843529,3.78225641045745,3.78225641045745,6.01855504854252,6.01855504854252,2.88162700138069,3.12345466771549,3.2624191874623,6.05485810843529,6.05485810843529,5.72120770514758,6.05485810843529,3.78225641045745,6.01855504854252,6.01855504854252,3.78225641045745,3.78225641045745,7.63977128079824,7.63977128079824,6.05485810843529,3.78225641045745,3.78225641045745,3.78225641045745,6.05485810843529,6.05485810843529,6.05485810843529,6.05485810843529,6.01855504854252,7.63977128079824,7.63977128079824,7.63977128079824,7.63977128079824,3.78225641045745,3.78225641045745,6.05485810843529,6.05485810843529,3.2624191874623,3.2624191874623,3.2624191874623,3.2624191874623,3.78225641045745,7.63977128079824,6.05485810843529,6.05485810843529,6.01855504854252,3.78225641045745,3.78225641045745,3.12345466771549,3.12345466771549,6.05485810843529,6.05485810843529,7.63977128079824,7.63977128079824,6.05485810843529,6.05485810843529,7.63977128079824,7.63977128079824,3.78225641045745,3.78225641045745,6.01855504854252,6.01855504854252
"t7",5.30319747290646,4.90202817435418,5.04370463278242,5.776836040933,1.70753452459704,6.04548600225185,0,6.65799588151275,7.41311235697865,6.91093208205231,6.58197178668961,6.41790961846956,8.02034884624178,1.93071318575725,8.02034884624178,3.14356058803797,8.02034884624178,7.57168843691667,7.26823455347331,7.62158708593917,7.89738482493412,7.23733373790453,7.39743313243068,8.02034884624178,7.61743319518013,4.32255497082261,2.79288749759787,8.02034884624178,7.43173187272715,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,2.00555816840714,8.02034884624179,7.06078546654145,8.02034884624178,8.02034884624178,7.97048268851105,8.02034884624178,7.2991341679691,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,3.14356058803797,5.06175333861558,3.14356058803797,7.72417045480673,3.14356058803797,8.02034884624178,8.02034884624178,8.02034884624178,7.39893707162319,8.02034884624178,7.58417947402736,3.14356058803797,8.02034884624178,3.14356058803797,8.02034884624178,5.06175333861558,3.14356058803797,3.14356058803797,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,7.77852117990698,8.02034884624179,8.02034884624178,8.02034884624179,8.02034884624179,7.68669844295408,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,3.14356058803797,3.14356058803797,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,5.06175333861558,5.06175333861558,3.14356058803797,3.14356058803797,8.02034884624178,8.02034884624178,8.02034884624179,8.02034884624179,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,3.14356058803797,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178,3.14356058803797,3.14356058803797,8.02034884624178,8.02034884624178,3.14356058803797,3.14356058803797,8.02034884624178,8.02034884624178,8.02034884624178,8.02034884624178
"t8",5.53512978672381,5.13396048817154,3.69072377423683,2.43203474150294,6.24543140201149,1.76110170298645,6.65799588151275,0,3.26769257746007,5.55795122350672,2.05990809637024,1.89584592815019,4.39476628971835,7.03943375777842,3.49828515592242,8.25228116005914,6.63106492780342,3.0496247465973,2.56686301681001,6.26860622739357,6.54440396638852,5.88435287935893,3.77185057590724,6.66736798769619,6.26445233663453,7.51308279226618,7.90160806961904,6.66736798769619,6.04244795428878,6.63106492780342,6.66736798769619,6.66736798769619,6.66736798769619,6.66736798769619,6.66736798769619,7.11427874042832,3.8749290667232,5.70780460799585,3.31897730957849,6.63106492780342,6.61750182996546,6.66736798769619,5.94615330942351,6.66736798769619,6.66736798769619,6.66736798769619,6.66736798769619,4.39476628971835,4.39476628971835,8.25228116005914,8.25228116005914,8.25228116005914,6.37118959626114,8.25228116005914,6.66736798769619,6.66736798769619,6.63106492780342,2.69756553495989,6.66736798769619,6.23119861548176,8.25228116005914,6.66736798769619,8.25228116005914,3.31897730957849,8.25228116005914,8.25228116005914,8.25228116005914,4.39476628971835,4.39476628971835,4.39476628971835,6.66736798769619,6.66736798769619,4.39476628971835,4.39476628971835,6.63106492780342,6.63106492780342,3.25645748958761,3.49828515592242,3.8749290667232,6.66736798769619,6.66736798769619,6.33371758440848,6.66736798769619,4.39476628971835,6.63106492780342,6.63106492780342,4.39476628971835,4.39476628971835,8.25228116005914,8.25228116005914,6.66736798769619,4.39476628971835,4.39476628971835,4.39476628971835,6.66736798769619,6.66736798769619,6.66736798769619,6.66736798769619,6.63106492780342,8.25228116005914,8.25228116005914,8.25228116005914,8.25228116005914,4.39476628971835,4.39476628971835,6.66736798769619,6.66736798769619,3.8749290667232,3.8749290667232,3.8749290667232,3.8749290667232,4.39476628971835,8.25228116005914,6.66736798769619,6.66736798769619,6.63106492780342,4.39476628971835,4.39476628971835,3.31897730957849,3.31897730957849,6.66736798769619,6.66736798769619,8.25228116005914,8.25228116005914,6.66736798769619,6.66736798769619,8.25228116005914,8.25228116005914,4.39476628971835,4.39476628971835,6.63106492780342,6.63106492780342
"t9",6.29024626218972,5.88907696363745,4.44584024970274,3.18715121696885,7.0005478774774,2.65518269819917,7.41311235697865,3.26769257746007,0,6.31306769897262,3.19166848263693,3.02760631441688,5.14988276518426,7.79455023324433,4.63004554218911,9.00739763552505,7.38618140326933,4.18138513286399,3.87793124942064,7.02372270285948,7.29952044185443,6.63946935482484,4.52696705137315,7.4224844631621,7.01956881210044,8.26819926773209,8.65672454508495,7.4224844631621,6.79756442975469,7.38618140326933,7.4224844631621,7.4224844631621,7.4224844631621,7.4224844631621,7.4224844631621,7.86939521589423,3.7815462801478,6.46292108346176,4.63004554218911,7.38618140326933,7.37261830543137,7.4224844631621,6.70126978488942,7.4224844631621,7.4224844631621,7.4224844631621,7.4224844631621,5.14988276518426,5.14988276518426,9.00739763552505,9.00739763552505,9.00739763552505,7.12630607172705,9.00739763552505,7.4224844631621,7.4224844631621,7.38618140326933,4.00863376757051,7.4224844631621,6.98631509094767,9.00739763552505,7.4224844631621,9.00739763552505,4.63004554218911,9.00739763552505,9.00739763552505,9.00739763552505,5.14988276518426,5.14988276518426,5.14988276518426,7.4224844631621,7.4224844631621,5.14988276518426,5.14988276518426,7.38618140326933,7.38618140326933,4.38821787585431,4.63004554218911,3.7815462801478,7.4224844631621,7.4224844631621,7.08883405987439,7.4224844631621,5.14988276518426,7.38618140326933,7.38618140326933,5.14988276518426,5.14988276518426,9.00739763552505,9.00739763552505,7.4224844631621,5.14988276518426,5.14988276518426,5.14988276518426,7.4224844631621,7.4224844631621,7.4224844631621,7.4224844631621,7.38618140326933,9.00739763552505,9.00739763552505,9.00739763552505,9.00739763552505,5.14988276518426,5.14988276518426,7.4224844631621,7.4224844631621,3.7815462801478,3.7815462801478,3.7815462801478,3.7815462801478,5.14988276518426,9.00739763552505,7.4224844631621,7.4224844631621,7.38618140326933,5.14988276518426,5.14988276518426,4.63004554218911,4.63004554218911,7.4224844631621,7.4224844631621,9.00739763552505,9.00739763552505,7.4224844631621,7.4224844631621,9.00739763552505,9.00739763552505,5.14988276518426,5.14988276518426,7.38618140326933,7.38618140326933
"t10",5.78806598726338,5.3868966887111,2.28478768078365,4.67679138292697,6.49836760255106,4.94544134424582,6.91093208205231,5.55795122350672,6.31306769897262,0,5.48192712868358,5.31786496046353,6.92030418823575,7.29236995831798,6.92030418823575,8.5052173605987,6.92030418823575,6.47164377891064,6.16818989546728,3.3119073020868,3.58770504108175,2.92765395405216,6.29738847442465,3.71066906238942,3.30775341132776,7.76601899280574,8.1545442701586,3.71066906238942,6.33168721472112,6.92030418823576,3.71066906238942,3.71066906238942,3.71066906238942,3.17699105225534,3.71066906238942,7.36721494096788,6.92030418823576,2.75110568268908,6.92030418823575,6.92030418823576,3.66080290465869,3.71066906238942,2.98945438411674,3.71066906238942,3.71066906238942,3.71066906238942,3.71066906238942,6.92030418823576,6.92030418823576,8.5052173605987,8.5052173605987,8.5052173605987,2.88081266082029,8.5052173605987,3.71066906238942,3.71066906238942,6.92030418823576,6.29889241361716,3.17699105225534,2.74082168004091,8.5052173605987,3.71066906238942,8.5052173605987,6.92030418823575,8.5052173605987,8.5052173605987,8.5052173605987,6.92030418823576,6.92030418823576,6.92030418823576,3.71066906238942,3.71066906238942,6.92030418823575,6.92030418823575,6.92030418823575,6.92030418823575,6.67847652190095,6.92030418823576,6.92030418823575,3.71066906238942,3.71066906238942,3.05327293177646,3.38692333506417,6.92030418823575,6.92030418823576,6.92030418823576,6.92030418823575,6.92030418823575,8.5052173605987,8.5052173605987,3.71066906238942,6.92030418823576,6.92030418823576,6.92030418823576,3.71066906238942,3.71066906238942,3.71066906238942,3.71066906238942,6.92030418823576,8.5052173605987,8.5052173605987,8.5052173605987,8.5052173605987,6.92030418823575,6.92030418823576,3.17699105225534,3.17699105225534,6.92030418823576,6.92030418823576,6.92030418823575,6.92030418823575,6.92030418823575,8.5052173605987,3.71066906238942,3.71066906238942,6.92030418823576,6.92030418823576,6.92030418823576,6.92030418823575,6.92030418823575,3.71066906238942,3.71066906238942,8.5052173605987,8.5052173605987,3.71066906238942,3.71066906238942,8.5052173605987,8.5052173605987,6.92030418823575,6.92030418823575,6.92030418823576,6.92030418823576
