,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
t2,-0.034482032,1.594509,-2.8136947,6.0966067,5.11756,6.6734486,3.9413738,6.653965,1.8800123,6.3220053,7.1432724,4.476594,4.4520993,5.6414223,4.2919645,7.497674,3.9357088,6.7346616,3.2669091,5.6957874,9.7847185,0.72567904,7.1792083,5.2375736,7.351481,5.6146426,7.221241,4.8580422,8.546822,6.681837
t4,-0.13089325,1.5217427,-2.7726443,6.1509733,5.033648,6.6884775,3.882561,6.641437,1.8529274,6.3440876,7.083791,4.3912735,4.5199475,5.6127267,4.206462,7.43431,3.981964,6.7184215,3.2971911,5.677622,9.712993,0.62209725,7.1209645,5.1726136,7.381388,5.687129,7.1571355,4.965514,8.564697,6.6352477
t5,-0.108740725,1.5319915,-2.782676,6.1227617,5.0555696,6.6737895,3.8959103,6.6318827,1.8642755,6.3371754,7.106926,4.4187875,4.4981027,5.6154165,4.230035,7.448227,3.9601033,6.7134643,3.2859497,5.686545,9.728553,0.64793724,7.1466465,5.1864343,7.3716908,5.6747494,7.1690054,4.936173,8.566745,6.642033
t13,-0.014273542,1.5703248,-2.7662077,6.0535536,5.11093,6.683195,3.9362626,6.59101,1.853064,6.384709,7.1329417,4.540592,4.3942637,5.58037,4.3014584,7.4911714,3.9042487,6.699003,3.313634,5.649885,9.7808075,0.74518985,7.2641172,5.20491,7.3959384,5.637282,7.211272,4.8387017,8.584804,6.6724663
t14,-0.15202236,1.5273216,-2.7534568,6.126214,5.0393476,6.7130566,3.8872302,6.611319,1.8022889,6.400113,7.0680537,4.4094863,4.5035424,5.571854,4.186251,7.4467874,3.955864,6.707574,3.3281658,5.6242743,9.726794,0.6052896,7.1525545,5.136545,7.41775,5.68208,7.164451,4.955691,8.591948,6.640103
t12,-0.13911843,1.5833861,-2.7552764,6.0807743,5.0888014,6.753621,3.9364374,6.584229,1.7666676,6.4543443,7.0806866,4.4493976,4.4632177,5.5379877,4.2000785,7.4878297,3.9128451,6.6979327,3.3489168,5.575889,9.778284,0.6338624,7.208192,5.1315193,7.4439683,5.629203,7.2056003,4.9026947,8.617327,6.6904783
t15,-0.056790255,1.5105191,-2.7201478,6.1252327,5.032939,6.702384,3.8674161,6.612525,1.8411664,6.39763,7.0547457,4.476887,4.439861,5.583955,4.254133,7.455374,3.9624097,6.70412,3.352103,5.6403513,9.725585,0.683171,7.2057543,5.176348,7.4244637,5.697993,7.177665,4.943279,8.578217,6.6128287
t16,0.011302151,1.5549647,-2.767392,6.0445766,5.1132646,6.659712,3.9349353,6.59438,1.90564,6.3287864,7.152541,4.54244,4.3942175,5.5997424,4.321955,7.4902563,3.901156,6.6933236,3.3041136,5.7055182,9.770359,0.7628354,7.262616,5.224889,7.3828616,5.6476784,7.2124763,4.8377,8.579626,6.664947
t17,-0.01940224,1.5239636,-2.7242718,6.0852165,5.0628204,6.681025,3.874083,6.59511,1.8680443,6.375371,7.0743804,4.5392795,4.3896313,5.5841894,4.2909017,7.501853,3.9249623,6.7067056,3.348757,5.6657186,9.765811,0.7159668,7.2689514,5.1868253,7.4191175,5.681404,7.2134395,4.8897867,8.583111,6.6080585
t18,0.033963036,1.5924242,-2.7737913,6.025459,5.1345673,6.6717796,3.947045,6.583937,1.8548167,6.39429,7.156907,4.6014376,4.345141,5.5815845,4.3400755,7.5075455,3.883544,6.6954584,3.3055542,5.642801,9.808088,0.7998861,7.311329,5.224088,7.3877063,5.6174397,7.2250643,4.7948866,8.583546,6.6743646
t22,0.108722135,1.577885,-2.8131454,6.041526,5.1387196,6.6071215,3.9654179,6.6226497,1.9798936,6.2483664,7.2099705,4.5839686,4.3721213,5.648761,4.4033327,7.486077,3.9076557,6.7083597,3.2422152,5.7796316,9.775428,0.85910976,7.2675214,5.3023763,7.3184223,5.628249,7.213851,4.7811265,8.542667,6.694455
t23,0.113138646,1.574522,-2.850813,6.0813794,5.128701,6.591078,3.978217,6.657892,2.0377617,6.17794,7.2224865,4.5446844,4.4145365,5.685015,4.4077244,7.4635544,3.9478402,6.7232623,3.1913834,5.843477,9.746837,0.85928947,7.216524,5.339543,7.2682686,5.63204,7.2030287,4.804445,8.515954,6.724569
