,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
t2,10.375276,2.1181936,-0.030142417,-0.5318536,1.3056434,-0.38349795,2.837395,5.7237077,9.786016,-0.047512006,-0.10142159,9.761855,2.8151262,5.4881277,-0.9825508,2.2021894,7.849623,2.686625,2.4579713,8.360907,0.0108261835,-0.20136617,1.9993396,-0.040057044,-0.101196036,-0.11770423,1.937432,-0.08713571,-0.029658584,11.552884
t4,5.488552,0.897384,-0.022612346,-0.07703531,1.6671919,-0.3604636,0.24615541,0.09912158,7.6175613,-0.045078494,-0.054056812,6.889606,0.011259686,4.440357,-0.22072129,2.6735637,5.521754,0.27391884,1.6048838,6.398206,0.040754326,-0.104764394,-0.063600525,-0.04638966,-0.07269219,-0.079496846,0.1381685,-0.086321086,-0.02809657,2.9966242
t5,7.0834813,1.1849694,-0.02275466,-0.2848599,1.3508458,-0.3981582,1.0531036,1.9483986,7.984401,-0.042429127,-0.068966396,7.2493925,0.99858207,4.402449,-0.4975482,2.297654,5.9393034,1.1896198,1.7598305,6.6910405,0.021576509,-0.14758392,0.5697428,-0.03522868,-0.08487162,-0.10109819,0.6687453,-0.08085659,-0.027863493,5.893983
t13,7.7395062,1.454369,-0.023395926,-0.4260625,0.9352417,-0.39959636,2.0074062,3.8814898,7.4287896,-0.04029086,-0.08160229,7.1844954,2.0555563,4.1468945,-0.72109824,1.5658025,6.089734,2.0121255,1.809752,6.319175,0.040479373,-0.1805306,1.4812784,-0.027152171,-0.08325709,-0.10077873,1.1521027,-0.06611907,-0.028524695,8.286693
t14,6.473967,1.0530847,-0.022787107,-0.30872375,1.1420932,-0.42282173,1.1538553,1.9367391,7.1859317,-0.04065326,-0.06418699,6.687688,0.9937001,3.9026854,-0.51863825,1.8197172,5.509752,1.2061775,1.6910846,6.021371,0.036051605,-0.15197478,0.6282343,-0.028688718,-0.055679236,-0.0980069,0.70238996,-0.069299296,-0.030136595,5.438167
t12,6.474718,1.0623591,-0.0225983,-0.3103862,1.1378206,-0.42341018,1.1362103,1.9167088,7.1992264,-0.0400352,-0.06437636,6.678526,1.006863,3.9168413,-0.52104306,1.8267056,5.504253,1.1924256,1.7112777,6.019492,0.03502183,-0.15119065,0.61737174,-0.02810535,-0.058122315,-0.09788376,0.7064979,-0.069682196,-0.030327085,5.4301224
t15,7.423677,1.3419052,-0.02360542,-0.39144757,1.0794872,-0.40788853,1.6939605,3.1604187,7.3782773,-0.04068647,-0.07601789,7.0876718,1.640418,4.115813,-0.6815301,1.7080872,5.8892164,1.6801121,1.7830104,6.13948,0.03812454,-0.1717572,1.166227,-0.022463318,-0.0684073,-0.10027549,1.0355748,-0.067165695,-0.029619843,7.283151
t16,10.177596,2.2588305,-0.025267478,-0.5654607,0.68519485,-0.43548808,3.7294202,7.3407264,8.212974,-0.03694099,-0.107127324,8.599024,3.782138,4.781996,-1.1558934,1.0718771,7.1988072,3.3635583,2.478168,7.1926847,0.07325738,-0.24664833,3.2480447,-0.026895167,-0.08915425,-0.092943706,2.4435577,-0.049836088,-0.028294807,13.231761
t17,9.006375,1.9147505,-0.025200915,-0.49134952,0.8143742,-0.42452788,2.8752284,5.58179,7.757313,-0.041937884,-0.09373151,7.9708953,2.8305652,4.53516,-0.9354856,1.3096627,6.659536,2.6468272,2.1530488,6.7851696,0.057923995,-0.21426553,2.3661988,-0.026149698,-0.0855867,-0.09540101,1.797448,-0.058498092,-0.029440504,10.706716
t18,8.916813,1.8941019,-0.024779217,-0.4821301,0.82968783,-0.413714,2.7956884,5.4223843,7.745174,-0.040863656,-0.09396824,7.9240923,2.7164006,4.513748,-0.9313562,1.3688804,6.6140103,2.5735009,2.138755,6.6997113,0.05595026,-0.20963083,2.2753422,-0.025511533,-0.09004865,-0.09642925,1.7332522,-0.060609836,-0.029304052,10.410962
t22,12.216563,2.9082732,-0.025055874,-0.695868,0.4901334,-0.39647788,4.9953904,10.482353,8.827932,-0.024042113,-0.1322075,9.78882,5.433989,5.17873,-1.5164262,0.643342,8.172098,4.511057,2.8401394,8.018099,0.10065027,-0.30332682,4.5228643,-0.033562794,-0.07740947,-0.08954144,3.4538963,-0.05198283,-0.024303457,17.519114
