,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
t1,6.267181,5.8481774,2.783798,8.76623,4.116942,6.273377,4.574672,5.937501,6.1182756,3.680111,6.071692,5.071307,5.1219754,6.009351,5.5133557,4.7527804,5.586058,4.9768505,6.10575,4.6656013,3.3600242,5.7772985,3.8407276,2.861131,4.225958,4.5759387,6.260549,3.7896256,4.994379,3.4863238,4.565064,3.18501,5.073591,5.693026,3.0518348,3.3055937,4.4063845,4.618804,5.2518034,6.8190103,5.370423,4.1855445,7.024894
t2,6.262041,5.888577,2.8135564,8.740984,4.1421347,6.3090987,4.5727954,5.8791676,6.1001225,3.7052674,6.0696254,5.101678,5.1429605,6.021594,5.5239887,4.713461,5.5534925,4.9766464,6.1164913,4.6284766,3.346258,5.8096447,3.8233106,2.9083114,4.211342,4.6082397,6.251934,3.7731419,4.99031,3.477536,4.569553,3.2056086,5.111554,5.659494,3.08823,3.2862723,4.382566,4.628395,5.259081,6.8317475,5.4064264,4.1843266,6.9900904
t3,6.220556,5.9286127,2.8691556,8.719822,4.1957498,6.3152757,4.5678024,5.8436255,6.10376,3.7085788,6.0860715,5.122397,5.1677837,6.0173397,5.5128937,4.7097416,5.5269575,4.9768043,6.1226892,4.6085515,3.3539104,5.8171954,3.8049595,2.931943,4.2104163,4.6249447,6.2513137,3.756332,5.0047197,3.4872913,4.553342,3.1914394,5.110982,5.655529,3.1102967,3.2830753,4.3664026,4.6204343,5.260828,6.832054,5.4302416,4.1786785,6.9789486
t4,6.191401,5.9464245,2.9014862,8.696583,4.2293277,6.3342237,4.5713377,5.8119564,6.0888424,3.7274883,6.095549,5.139501,5.182508,6.02251,5.50758,4.6928053,5.507249,4.9801264,6.1270514,4.586746,3.3504822,5.8379736,3.7933934,2.9579113,4.1946855,4.645837,6.2398434,3.7472045,5.0115895,3.4928808,4.5504465,3.1942527,5.1250186,5.634718,3.1353266,3.2675006,4.3586664,4.6305065,5.2743077,6.843614,5.451455,4.1757455,6.9577045
t5,6.1862054,5.940959,2.9047444,8.684224,4.2333975,6.3397064,4.584215,5.7992287,6.0728626,3.7432582,6.0974426,5.138097,5.185823,6.034043,5.5109744,4.693674,5.500093,4.9871464,6.1178718,4.5772014,3.3408153,5.8488603,3.8005784,2.9716883,4.179513,4.656852,6.2267814,3.7569602,5.01438,3.499249,4.557854,3.2068105,5.131572,5.6185455,3.147901,3.260256,4.369121,4.6459036,5.2849956,6.8578734,5.4591203,4.183577,6.943862
t6,6.1523466,5.958871,2.9514594,8.66488,4.2714357,6.3265414,4.5949235,5.7833743,6.0588512,3.7537496,6.100444,5.1369486,5.199707,6.0503983,5.519294,4.713577,5.4791713,4.9908724,6.0949845,4.563553,3.3319404,5.841437,3.8127549,2.987892,4.1634297,4.6681275,6.2052097,3.7721348,5.025239,3.5103974,4.559024,3.212262,5.121115,5.6213818,3.163374,3.273418,4.3848686,4.663674,5.2825713,6.866617,5.4765425,4.2019973,6.931987
t7,6.112871,5.9720087,2.9773567,8.626403,4.3010373,6.3525987,4.619793,5.7378836,6.0207405,3.7929225,6.1281114,5.1572137,5.2278156,6.067886,5.511591,4.7030473,5.4390626,5.0150986,6.0900326,4.5197506,3.312782,5.8801694,3.8033013,3.0267982,4.1261115,4.7120256,6.164635,3.7711396,5.055152,3.5449128,4.546406,3.2205727,5.1397634,5.5780654,3.2067552,3.2430654,4.3916435,4.702734,5.315541,6.9044943,5.5187387,4.2104955,6.886029
t8,6.1230073,5.9544635,2.975756,8.637198,4.30297,6.3431406,4.6168904,5.742131,6.0200353,3.789709,6.1039343,5.1339355,5.2080946,6.0756817,5.519554,4.7069783,5.457077,5.002682,6.076031,4.5382395,3.315648,5.868317,3.828315,3.0224693,4.1317744,4.694862,6.1747527,3.7926402,5.0286536,3.5233228,4.5744467,3.2393994,5.143289,5.581405,3.1962636,3.2577803,4.4079437,4.699576,5.300819,6.8934407,5.500549,4.216727,6.894721
t9,6.3581815,5.823303,2.6892653,8.800698,4.020718,6.2760553,4.5663786,5.9737325,6.1293774,3.6680155,6.0527287,5.066707,5.0990186,5.9973693,5.5318813,4.7438545,5.6190596,4.9734664,6.1236963,4.688026,3.3543444,5.7732797,3.8381913,2.8343518,4.241847,4.555678,6.277915,3.7814133,4.9762683,3.465112,4.570566,3.192555,5.081549,5.700931,3.0222185,3.3071213,4.3915515,4.6088467,5.242541,6.8080783,5.341954,4.1789184,7.040086
t10,6.389351,5.8080406,2.6405854,8.811168,3.9775968,6.281874,4.565726,5.9683557,6.121539,3.6701589,6.033904,5.056582,5.082909,6.007407,5.5453744,4.7252984,5.6293845,4.96892,6.118762,4.6945314,3.344547,5.768145,3.8500063,2.829786,4.240147,4.548205,6.277154,3.7919197,4.9593067,3.4504304,4.5879965,3.2112727,5.0989795,5.7001557,3.015844,3.3082354,4.3967195,4.617142,5.2368546,6.8081355,5.335254,4.184193,7.0388117
