,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
t1,-0.6927675,7.904679,-0.0795395,2.1144354,-0.11443407,-0.6262187,0.069349386,0.26078978,-0.26928446,7.4983325,0.02065397,-0.022549061,-0.33991057,-0.13221931,-0.05552273,8.092481,-0.27117977,-0.0909553,-0.311439,0.71993077,-0.43100688,5.68966e-05,2.032329,-0.050360348,4.1422057,1.4751881,2.2376258,-0.030145155,0.113861695,-0.28453737,13.810625,-0.13730115,0.43615302,4.9386387,0.14583983,-0.57241946,6.3914313,4.367391,-0.015058934,-0.017350715,10.129893,0.5497151,0.2488741
t2,-0.67992854,7.651155,-0.08207213,1.7663015,-0.121976025,-0.70313656,0.06851087,0.01866528,-0.252112,6.446825,0.018079352,-0.016717473,-0.34574217,-0.1431013,-0.06137265,8.738647,-0.2679051,-0.06838504,-0.28841254,0.9106849,-0.4389206,6.345647e-05,2.6218245,-0.04564664,3.8347366,2.0973048,0.975729,-0.026246393,0.10408907,-0.25522524,13.52499,-0.16682844,0.0022832407,4.425336,0.14805473,-0.5755258,6.0182652,3.5063784,-0.012903357,-0.020552037,10.240264,0.7820137,0.20478904
t3,-0.65685314,7.464803,-0.08223827,1.6692008,-0.12476314,-0.7578537,0.06742435,0.047451645,-0.23806827,5.6405973,0.015422399,-0.01155253,-0.35190123,-0.15082194,-0.06317062,9.086707,-0.26206306,-0.053172734,-0.265101,1.1700821,-0.4377778,6.598199e-05,2.9131858,-0.04176193,3.6048012,2.567536,0.16271308,-0.023189569,0.09585149,-0.23006508,13.211096,-0.18834113,-0.0022675323,3.9066713,0.14502,-0.57342356,5.543493,2.9906008,-0.016666617,-0.0228196,10.153407,0.85341716,0.17471126
t4,-0.63720644,7.285307,-0.08579322,1.5217807,-0.12911654,-0.81925917,0.06671499,0.076009884,-0.22899425,4.821435,0.012277021,-0.0071194516,-0.3654695,-0.15196982,-0.06405149,9.607718,-0.25751454,-0.038517643,-0.24218073,1.5195473,-0.43735448,6.942461e-05,3.0902262,-0.04086198,3.4237618,3.2002053,-0.09736523,-0.020656165,0.08605224,-0.21929356,12.854151,-0.21901736,-0.00091379805,3.3965654,0.14130157,-0.5715221,4.982584,2.4488885,-0.022266353,-0.027608827,10.19955,0.9199323,0.14435521
t5,-0.63482594,7.2703676,-0.08613226,1.5061922,-0.12962572,-0.82756525,0.06670476,0.07853261,-0.22839305,4.718145,0.012046356,-0.006871165,-0.36913604,-0.1526925,-0.064188465,9.666498,-0.2575642,-0.03662604,-0.23826541,1.5705649,-0.43742073,6.985665e-05,3.1165578,-0.04049208,3.3948457,3.2977889,-0.11168835,-0.02092708,0.084948294,-0.21817286,12.839358,-0.2230115,-0.00080524036,3.3315852,0.14104685,-0.57428956,4.9296904,2.3796256,-0.023415629,-0.028635813,10.244427,0.9541806,0.13990572
t6,-0.5987142,7.113206,-0.08896007,1.3954927,-0.13120602,-0.90425986,0.068022296,0.10666301,-0.22345722,3.9115002,0.010960603,-0.0019407613,-0.3886038,-0.14902614,-0.06552153,10.129212,-0.2583716,-0.022610659,-0.20530806,2.022335,-0.45564222,7.245274e-05,3.41196,-0.03894873,3.1760595,4.19971,-0.19696815,-0.014754293,0.074668534,-0.19361527,12.378098,-0.25675398,0.06647795,2.6977885,0.1451435,-0.5928386,4.394129,1.9154629,-0.026522778,-0.033306632,10.376168,1.1469669,0.1160294
t7,-0.57443357,6.9808345,-0.09140617,1.2667292,-0.13403234,-0.9731599,0.07037608,0.12668495,-0.22203517,3.2524881,0.010498806,0.08133567,-0.40664855,-0.14257777,-0.06622149,10.5262575,-0.26025182,-0.012054013,-0.18049994,2.3603315,-0.4718421,7.521977e-05,3.6513882,-0.03631791,2.9724321,4.9645867,-0.26191786,-0.010619189,0.06643727,-0.16655159,12.078109,-0.2826358,0.1636243,2.161961,0.15112925,-0.6136618,3.9898744,1.6653763,-0.029158836,-0.038910378,10.567888,1.2382933,0.10117642
t8,-0.574617,6.9873667,-0.091235556,1.27656,-0.13378343,-0.9691498,0.070273004,0.12479057,-0.22196533,3.2787552,0.010560531,0.072749816,-0.40571728,-0.14303653,-0.06591397,10.49888,-0.25963938,-0.012412679,-0.18132722,2.3478296,-0.47044554,7.513995e-05,3.6476967,-0.03640521,2.9821057,4.9257765,-0.25909224,-0.010715395,0.066849515,-0.16873734,12.081775,-0.2812521,0.16230813,2.177127,0.15066473,-0.6123573,3.99972,1.674721,-0.028994549,-0.038834818,10.549214,1.2336106,0.10155134
t9,-0.758793,8.263675,-0.07661326,2.94364,-0.10643417,-0.57197785,0.0705099,0.9762775,-0.2976557,9.041309,0.024557833,-0.03279639,-0.37235615,-0.109300464,-0.05106323,7.723003,-0.2683903,-0.12157067,-0.34002644,0.79046345,-0.4304574,4.8772636e-05,1.4134645,-0.05516915,4.0676475,0.99061126,3.9432309,-0.027593981,0.12723494,-0.3303688,14.568207,-0.122531116,1.2740989,5.6872993,0.13746083,-0.60343796,6.6895313,6.132151,-0.03460759,-0.015973972,10.443363,0.13173325,0.3139478
t10,-0.8388354,9.548574,-0.056354593,5.7127028,-0.07146775,-0.31021303,0.06711457,2.58788,-0.3733774,13.967033,0.03395978,-0.08043006,-0.46958083,-0.02012381,-0.050066177,6.148528,-0.24892631,-0.21694916,-0.3938705,1.5086726,-0.37310848,2.9492941e-05,-0.04374834,-0.074059464,3.4876044,-0.04196683,9.788508,-0.016912473,0.15942016,-0.5186205,16.279993,-0.032388963,4.6442013,7.5382857,0.10849807,-0.64259064,7.2557416,11.878933,-0.09810903,-0.021330109,10.555114,-0.05004999,0.5137278
t11,-0.8214923,8.575824,-0.06604264,4.196928,-0.09011553,-0.47339106,0.068848565,1.9549668,-0.33378276,11.4652,0.030708931,-0.05191751,-0.40194857,-0.06410325,-0.04653435,6.7654915,-0.25958905,-0.16812111,-0.37625298,1.0932155,-0.408134,3.3813012e-05,0.480158,-0.061841942,3.763397,0.084667735,6.7883368,-0.021933464,0.14387196,-0.39163315,15.216906,-0.08460559,2.7509255,6.652178,0.116515495,-0.6159917,6.864907,8.830656,-0.06581088,-0.016129183,10.592953,-0.025239727,0.4177224
t12,-0.75610983,8.249993,-0.07689153,2.8904784,-0.10681771,-0.57803965,0.07058734,0.93439937,-0.2970249,8.960335,0.024518218,-0.03277681,-0.37093884,-0.11083087,-0.051247668,7.7678547,-0.26914698,-0.11920004,-0.33904472,0.7858186,-0.4309079,4.945865e-05,1.4677022,-0.05484306,4.081775,1.025908,3.8252854,-0.028477293,0.1265213,-0.32629827,14.565449,-0.123883724,1.2152394,5.6706038,0.13875166,-0.601945,6.6984787,6.0413,-0.0326879,-0.01657023,10.441774,0.15200752,0.30994022
t13,-0.74761665,8.216683,-0.07850025,2.7152472,-0.10906135,-0.5927058,0.07071272,0.7972221,-0.29194933,8.64966,0.02369104,-0.030310284,-0.36639506,-0.11731997,-0.051876288,7.892229,-0.27028906,-0.112922385,-0.33459803,0.75771964,-0.43430594,5.1607112e-05,1.6044987,-0.053794626,4.120046,1.1433212,3.4476926,-0.02942473,0.124543965,-0.31766024,14.470956,-0.12817387,1.0074308,5.5475187,0.1417203,-0.6008631,6.6604576,5.672364,-0.028507022,-0.016589142,10.432529,0.23262978,0.2958848
