,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
t22,11.878171,2.5261974,2.0293317,5.970511,5.6656594,2.9771764,4.825799,3.2815323,4.7256145,4.3079925,6.5251703,4.864213,3.5420249,6.1410265,4.145421,5.4145923,5.9469404,4.750883,3.7155309,7.7658105,5.8556185,4.837682,3.7449687,5.7749853,4.125142
t23,11.834514,2.5509365,1.9885366,6.008583,5.5877686,2.9205315,4.7668157,3.3247447,4.7139616,4.276385,6.543694,4.847148,3.5133014,6.152035,4.1488347,5.404683,5.943749,4.7701354,3.6800334,7.7246346,5.9170284,4.8012433,3.734874,5.822313,4.1796207
t16,12.080906,2.3450415,2.1663558,5.787622,5.8743596,3.1179187,5.020646,3.2359319,4.9139395,4.358395,6.6218047,4.925074,3.6261399,6.005658,4.0751386,5.538391,6.012299,4.611647,3.8229723,7.8334656,5.6836314,4.825525,3.6611598,5.632497,3.9514256
t24,11.91895,2.5493064,2.0162177,5.934151,5.660495,2.98046,4.8070164,3.301236,4.710528,4.305202,6.5391035,4.8886533,3.5620475,6.1427727,4.0897684,5.4298306,5.9940414,4.762265,3.7057002,7.775001,5.889129,4.836285,3.6988208,5.7995434,4.1357822
t29,11.975856,2.476742,2.0638907,5.8942413,5.745388,3.034583,4.897446,3.272395,4.773905,4.329785,6.5538373,4.906168,3.5871854,6.1094956,4.0973787,5.457743,5.9874654,4.7094226,3.7537062,7.802271,5.80316,4.849762,3.6953394,5.7420945,4.0637054
t146,3.3149,0.095135234,12.925169,10.831094,4.424375,7.5651207,2.3778892,-0.587745,1.8018128,6.722933,5.444738,1.9681727,-1.435132,13.784172,3.6004753,8.559836,5.9163327,3.9282527,5.6848044,5.582271,3.6080375,3.99895,4.169642,6.0424333,4.737535
t166,3.3533118,0.05596066,12.887335,10.849085,4.385337,7.568511,2.4167302,-0.6134882,1.840613,6.762097,5.483658,2.0069745,-1.4375662,13.74572,3.6394167,8.521061,5.8773513,3.9671886,5.6459575,5.6211395,3.6468642,4.0379004,4.208646,6.0034575,4.776553
t167,3.3521976,0.061701834,12.887695,10.790402,4.389606,7.5245447,2.4133172,-0.55028754,1.837531,6.756436,5.4797387,2.003923,-1.3950601,13.746837,3.6358736,8.523472,5.881263,3.963673,5.648934,5.617663,3.6441169,4.033807,4.2044096,6.0077167,4.77249
t162,3.3410404,0.07231084,12.898405,10.777586,4.4005113,7.5069118,2.4023726,-0.5393838,1.8265307,6.745817,5.468869,1.9929122,-1.3774806,13.758051,3.624858,8.534647,5.892212,3.952662,5.6600103,5.606713,3.6329875,4.0229564,4.1935396,6.018546,4.761545
t120,3.3273096,0.084483154,12.912491,10.816652,4.413212,7.550528,2.3894007,-0.5744001,1.8134466,6.7336054,5.456067,1.9798129,-1.4207406,13.771787,3.611912,8.547974,5.905029,3.9397027,5.673149,5.5937543,3.6197731,4.0102086,4.1808248,6.031249,4.7487755
