"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104","V_105","V_106","V_107","V_108","V_109","V_110","V_111","V_112","V_113","V_114","V_115","V_116","V_117","V_118","V_119","V_120","V_121","V_122","V_123","V_124","V_125"
"t13",-0.0558039990690101,-0.102395880593442,0.190018981611389,-0.0318941313020298,0.0890120462981799,-0.0380209999571384,0.00502386988611114,-0.0141489902623137,0.0323036133705611,-0.0282527728120769,0.00237002247009494,-0.00392087862648249,0.00131299994969808,-3.48763669020051e-05,8.56010045051898e-05,-0.00157372327668724,0.0040123152320982,-0.000651834784280791,0.000328280628495553,-0.000522337314687771,0.104202439999396,-0.000814951943183888,-0.00223375055708607,-0.00147650941109502,0.172273778493944,0.00242271862917491,0.000700073314028237,-1.37663247449802e-05,0.00077428579966781,-2.58661788658229e-05,0.0035044068250398,-8.32475607307309e-05,0.000123617449132447,-1.44320902806748e-05,4.27956558766776e-05,-9.79312536490595e-06,8.093201421282e-06,-0.000205076565264525,2.94788205764172e-05,-0.0018738306643765,0.00931150524895208,-3.63135631359052e-05,5.03206402982935e-06,0.00408062742424389,-0.0979997007153102,0.0057013309966688,-0.00950655722778837,-0.0257834665651987,0.0494590504610506,0.00556636134274402,-0.398063699479324,0.343045495984938,0.0132331792482028,-0.630804046977136,-0.201647063185599,0.0338487989772342,-8.37723938808181e-07,-7.70622400194965e-05,-0.00161824088355254,0.000115942207558957,0.00246789140292907,-9.00823599304568e-05,-5.72229096211294e-05,-0.400351160068911,0.00016439432742165,0.000391162732153371,2.3908391382125e-05,0.000135200822606486,2.58507947287698e-05,0.0005256995957829,-4.02371185538951e-05,-1.44747872135412e-06,-9.08983759653519e-06,-4.20728080254879e-06,-1.53532147472415e-06,-9.52016420088311e-08,-3.10134700618746e-06,-1.75201086629817e-05,-0.00090600553862661,1.03331278353208e-05,0.000140886456450599,0.000578707108802684,-0.000428411529409869,-1.81402254972155e-06,-1.9957050770826e-05,7.08142963010466e-06,1.52671350868491e-07,6.84529768050747e-17,1.86544118079414e-17,1.6203498398198e-16,8.72736090892495e-07,-3.66258174065152e-06,2.38223933215534e-17,1.352163293165e-15,3.78764367147044e-16,2.33972881708864e-08,9.46688518590373e-08,-3.54450797489388e-17,2.40156599170146e-18,1.56433903405588e-07,-4.24441983163654e-18,8.62228119640389e-09,2.54558716068628e-17,2.41139570120241e-08,1.66199616512739e-17,1.0182507061163e-15,1.12135474314382e-17,8.60964027833768e-18,-0.000352264498407489,1.30863818899343e-06,1.54551717369241e-17,3.28064762527935e-10,-1.60992342157508e-07,-2.62627282637337e-10,-5.5668398420526e-17,-2.31888267232903e-16,-6.79751543827606e-17,-6.78973419067693e-17,-1.30634708127662e-16,-3.14319614398819e-17,-1.9153292758585e-16,-2.23267939241494e-17,7.48069840700475e-18,3.24418213731978e-16,-9.44820821424408e-17
"t25",-0.0583633191682456,-0.116624070951094,0.224350132156989,-0.0392684073383373,0.117804553514793,-0.0533774493664701,0.00756995059277127,-0.0253751364836874,0.0772992355790251,-0.0840969939817813,0.00795697583073369,-0.0141596922634977,0.00686648290923316,-0.000193427905354647,-0.000261459235867952,0.00306758042855249,-0.00704213410539726,0.000686459179489944,-0.000228506309917581,0.000217842264603778,0.25299234898995,0.00134114743765215,0.00321806588278573,0.0017012062386426,-0.178412967505014,-0.00136007431713977,-0.000296937035407732,4.61647856661805e-06,-0.000130960790832575,3.79144204944948e-06,-0.000480084756002184,8.00080802751635e-06,-1.09774488774489e-05,1.2385273123514e-06,-3.42612543748149e-06,7.26040701630341e-07,-1.06789917934361e-07,-5.3908564978956e-06,4.28288217688293e-07,-0.000129354430021229,0.000848081370346162,-3.65068713091288e-06,5.8411480240538e-07,0.000638048364722007,-0.0192219693019683,0.00127692902609614,-0.00215896304450115,-0.00696601498595861,0.0137805621834048,0.00171114634681224,-0.125821918629995,0.121442156719445,0.0046965214911359,-0.231041171665628,-0.0739490464075654,0.0161283207305768,-5.16442357466443e-07,-9.77446484279288e-05,-0.0027699390564819,0.000454616530864082,0.0131876065779358,-0.00240693147378108,0.00014909280946166,0.840028969774621,-0.00026619705076221,-0.000598368497679597,-3.0057493516415e-05,-0.000167228181210909,-2.14625619785782e-05,-0.000392851011491494,2.54720445528621e-05,7.25375508380417e-07,4.38997959930972e-06,1.6991276655778e-06,5.9968220205076e-07,3.6365235232355e-08,1.03016012798221e-06,4.76241587460406e-06,0.000236957330222534,-2.41530185694471e-06,-3.29203476606954e-05,-0.000126086913310792,9.25302571939972e-05,3.91794843069424e-07,3.66981067438439e-06,-9.33458849663333e-07,-1.57070394754454e-08,-4.7478820451965e-16,-2.95144553767491e-17,-8.63908980801576e-18,-8.42726608867776e-09,1.1266961030219e-08,5.63879660768802e-17,-6.873261178908e-16,-3.39454077866793e-16,1.3437240246556e-10,6.02169704441601e-10,8.25211122772929e-17,3.81071932685077e-17,1.51455193028788e-09,-2.13432556806036e-16,1.1457477674993e-10,2.57906956797579e-17,3.70513709143079e-10,-2.03121807456211e-16,-1.95709567924957e-15,-7.83863364890586e-17,-2.18625874870675e-16,-0.0177720420742316,3.45796078275799e-08,-2.37368646633881e-16,9.01847484965555e-12,-5.03588271008617e-09,-8.3730037095494e-12,1.73297695562096e-16,1.74823590219454e-16,4.37363521767474e-18,-1.39063729488615e-16,-2.02833036071958e-16,-8.21667189331988e-17,-6.43358162502382e-17,-2.83695147693725e-17,-1.29524102496463e-17,-3.93361223888379e-16,1.44641737144452e-16
"t90",-0.0589220131204679,-0.119727607963028,0.231835215532077,-0.0408752030533637,0.124070455656368,-0.0567155248938851,0.00812256583035397,-0.027801709272656,0.0869547398886593,-0.0960170030952133,0.00914624782222744,-0.0163357327588451,0.00803844711771637,-0.000226855036703932,-0.000330163849481143,0.0039576395674265,-0.00913974253558294,0.000921051756348209,-0.000315518370508899,0.000309934389455888,0.409107077581155,0.00233604831877008,0.00565613657483611,0.00304837016518793,-0.323384898052566,-0.00274351339639032,-0.000648812535981676,1.09826325380919e-05,-0.000440376386150974,1.3951036450931e-05,-0.00184690370574516,3.95952178122091e-05,-5.76895857377919e-05,6.68268867405256e-06,-1.95176475906402e-05,4.39660126519508e-06,-3.07037431638486e-06,0.000288660145535974,-1.03327009529804e-05,0.000563756801958463,-0.00264499954274293,1.00776025562535e-05,-1.34692240888549e-06,-0.00101014901392433,0.0230340236743246,-0.00131181248699885,0.00218366911464186,0.00586045502013135,-0.0112458263139564,-0.00127325821988231,0.0913327182229023,-0.0801960963743419,-0.00309524988358321,0.148586844567952,0.0475123429271862,-0.00869726358096608,2.44535943056378e-07,3.72913060558944e-05,0.00100509474583526,-0.000152530348385092,-0.00435539839933461,0.000768118730783433,-4.3352447229065e-05,-0.239467367200818,7.36685710631899e-05,0.000164355954411426,8.0192107975681e-06,4.44975046302315e-05,5.28072284309414e-06,9.42223239082231e-05,-5.84060632051134e-06,-1.54433629448236e-07,-9.22585270237197e-07,-3.33622810630658e-07,-1.16149787148572e-07,-6.97827595754492e-09,-1.85890635854238e-07,-7.78951791861825e-07,-3.79790800956974e-05,3.63975786889719e-07,4.96002409842115e-06,1.82465731765093e-05,-1.33219303590934e-05,-5.64076774352754e-08,-4.78705104857117e-07,9.69463816246591e-08,1.35042587782179e-09,1.67812002067916e-15,3.12745191265083e-16,-4.97926078609247e-16,8.21321622204573e-11,-4.74866228935138e-11,-2.74416317430746e-15,6.1802713771062e-15,-2.19128447747535e-16,1.63780241810963e-13,8.29545961031491e-13,7.89724639644209e-18,1.26787066537336e-15,2.26628012983738e-12,-1.4524220167003e-15,-1.87839907137469e-13,-2.32028437627001e-15,-2.47010051913847e-12,-5.48967686206097e-17,8.82658929853609e-15,2.49508740016589e-15,2.72638520254449e-14,0.716115940546384,3.64069961540437e-09,5.62449688545013e-15,8.46635370805725e-13,-3.90702520936378e-10,-6.32422233419051e-13,-1.59927355027177e-15,-1.09726201977737e-16,-3.45391803028287e-15,-2.74431521272074e-16,5.23392570659213e-16,7.75536111684399e-18,2.63576460200821e-15,-8.74006646044863e-17,1.83373388352234e-16,1.04279715632796e-15,-1.32662813806962e-16
"t91",-0.0589378298572286,-0.119815431759953,0.232046992792486,-0.0409206561278999,0.124247653588413,-0.0568099040414105,0.00813818645002084,-0.0278702659530643,0.0872273622438858,-0.0963534483065656,0.00917981016029148,-0.016397137504171,0.00807150740388841,-0.0002277979543043,-0.000332098815579933,0.00398269584920442,-0.00919878577753811,0.000927650723987324,-0.000317964637846195,0.000312522046728566,0.413484122510792,0.00236391094252553,0.0057244067357017,0.00308608252514092,-0.327442563250687,-0.00278217941204087,-0.000658637605492037,1.11602191579587e-05,-0.000448980748439252,1.42333757615295e-05,-0.00188487681173163,4.04716960715015e-05,-5.89850689164552e-05,6.83365458763375e-06,-1.99637535216787e-05,4.49833374361662e-06,-3.15224450585766e-06,0.000296772597660341,-1.06294132070049e-05,0.000582779183468041,-0.00274065222981501,1.04531476878929e-05,-1.39965495948084e-06,-0.00105494212223958,0.0241768328966622,-0.00138159345241753,0.00230068473908475,0.00620444638394256,-0.0119164268738379,-0.00135300616191336,0.0971308715334097,-0.0855628974213894,-0.0033026210913372,0.15868153836671,0.0507420129614698,-0.00935288237639736,2.64515778915872e-07,4.07967850335121e-05,0.00110280370101785,-0.000168168435742078,-0.00480678483739195,0.000849627644336134,-4.82606643071056e-05,-0.266959189299974,8.2304728648174e-05,0.000183726038751752,8.98402030347847e-06,4.98612114201535e-05,5.95390888937169e-06,0.000106456410070235,-6.62401027407814e-06,-1.76295602152161e-07,-1.05443150446347e-06,-3.83734423266285e-07,-1.33772027632146e-07,-8.04428180278235e-09,-2.15604698726042e-07,-9.12863774804354e-07,-4.46072762412409e-05,4.30477707342601e-07,5.86639572503313e-06,2.16824824417783e-05,-1.58401136708797e-05,-6.70702342001366e-08,-5.76100055680801e-07,1.20317780078121e-07,1.72473780905525e-09,-1.55325567192469e-15,-2.76554748707983e-16,4.56357098696524e-16,1.69625586618382e-10,-1.18152378668194e-10,2.66392349352736e-15,-6.18325008469178e-15,3.28212085162976e-16,7.0251843246158e-13,3.96188575692659e-12,-1.01155702343787e-16,-1.25246070710389e-15,2.22025020531336e-11,1.35141188799493e-15,3.06725993092697e-12,2.31133938245184e-15,1.36951238414907e-11,1.12829311373e-16,-7.77508644774875e-15,-2.31735675172168e-15,-2.68862938950581e-14,-0.697754955155424,-1.47229041961766e-09,-5.39831408132882e-15,-2.57861518594275e-13,1.14632714931489e-11,-1.22695484633909e-14,1.53550750224246e-15,9.38820218046319e-17,3.48905305573712e-15,4.15056696191125e-16,-4.66511985906855e-16,8.5654856266891e-17,-2.43022712188588e-15,1.625508090143e-16,-1.52453252466652e-16,-1.55179952262266e-16,1.5136651841942e-16
"t68",-0.0592556410069856,-0.121706420541439,0.236733861551311,-0.0419580400163987,0.128500046895035,-0.0591635316538745,0.00854494617702976,-0.0298324482480229,0.0960694991219603,-0.108099651938606,0.0103924630668581,-0.01865806827733,0.00938666578937157,-0.000265679399772518,-0.000454812677022013,0.00585149817790325,-0.0138216593619922,0.00163114092166917,-0.000685878788334982,0.00096373270180755,-0.344433263315271,-0.000311778576554192,-0.000519309008423021,-5.12401087593332e-05,-0.00663730507161184,-0.000625972923143743,-0.000197427199634972,3.89523925521871e-06,-0.000194444740996332,6.299444627437e-06,-0.000841429531188286,1.8663940020271e-05,-2.73400475428247e-05,3.17382957007613e-06,-9.30711019412616e-06,2.10500913700431e-06,-1.53638904673135e-06,0.499806692448229,-4.73892318422165e-06,0.000270880292809126,-0.00125820966200286,4.76519564918816e-06,-6.29379341956475e-07,-0.000453072242877165,0.00981323391864296,-0.000537037811315606,0.000889860665956288,0.00223989328928302,-0.00424452255773448,-0.000460687972227665,0.032635266139191,-0.0271767859097102,-0.00104764464032993,0.0495299024773336,0.0158280460964355,-0.00253780727723872,6.24304895871363e-08,6.77648789966325e-06,0.000162827262218787,-1.96731581426598e-05,-0.000531307829640502,8.17049246788156e-05,-2.64513225458951e-06,-0.0121561998086136,2.57991550642758e-06,5.08715622503271e-06,1.19349606864781e-07,5.95939260002596e-07,-1.71682827283652e-07,-4.55149799008888e-06,4.50786198799579e-07,1.97475273987456e-08,1.26529219826376e-07,6.2662894428537e-08,2.30499933318656e-08,1.43588077735828e-09,4.75854349294008e-08,2.67289188509152e-07,1.37582029934939e-05,-1.5391527075334e-07,-2.09840366693548e-06,-8.48168971940446e-06,6.26501414910852e-06,2.65278402211067e-08,2.77990849030103e-07,-8.55760106794834e-08,-1.60994970120531e-09,-1.07009929518634e-15,-7.14191957261954e-15,-3.87003393325717e-15,-1.27811956962275e-09,1.7600811205444e-09,-1.25482785933136e-13,-0.707106781186547,4.99725227779646e-14,2.18271646146077e-11,9.81832964273201e-11,-3.58292709365707e-14,-5.65844285160958e-15,2.50699751402564e-10,-1.36875505989721e-14,1.9276560774557e-11,8.22398645819527e-16,6.29338326091661e-11,-3.2494295089618e-15,1.46632220459107e-14,1.03057012053047e-15,1.34401796558546e-15,-5.61398473081336e-05,6.1991229637312e-09,2.65735302709179e-15,1.6251619682759e-12,-9.22698056477845e-10,-1.53504068631525e-12,3.82220313403496e-15,-1.57306816632939e-14,1.64347982006328e-14,-1.84707782725319e-15,-1.32699505315963e-15,1.84112098707276e-15,7.71369533433176e-16,-3.1880430474885e-17,-2.48325938379272e-16,2.1613383868306e-15,-2.16618674473775e-16
"t69",-0.0592556410069856,-0.121706420541439,0.236733861551311,-0.0419580400163989,0.128500046895036,-0.0591635316538745,0.00854494617702975,-0.0298324482480232,0.09606949912196,-0.108099651938606,0.010392463066858,-0.0186580682773299,0.0093866657893717,-0.000265679399772551,-0.000454812677021822,0.00585149817790325,-0.0138216593619922,0.00163114092166887,-0.000685878788334825,0.000963732701807572,-0.34443326331527,-0.000311778576554184,-0.000519309008423118,-5.12401087591446e-05,-0.0066373050716117,-0.00062597292314374,-0.0001974271996351,3.89523925501959e-06,-0.000194444740996492,6.29944462794398e-06,-0.000841429531188276,1.86639400198604e-05,-2.73400475429711e-05,3.17382956995267e-06,-9.3071101941126e-06,2.10500913706477e-06,-1.53638904636314e-06,0.499806692448229,-4.73892318360541e-06,0.000270880292809446,-0.00125820966200292,4.7651956493582e-06,-6.29379341695647e-07,-0.000453072242876567,0.00981323391864285,-0.000537037811315949,0.000889860665956492,0.00223989328928338,-0.00424452255773479,-0.000460687972228784,0.0326352661391915,-0.0271767859097109,-0.00104764464032868,0.0495299024773347,0.0158280460964358,-0.00253780727723862,6.24304893008604e-08,6.77648790016789e-06,0.00016282726221919,-1.96731581429163e-05,-0.000531307829640687,8.17049246793878e-05,-2.64513225682256e-06,-0.012156199808612,2.57991550861346e-06,5.087156224434e-06,1.19349606253498e-07,5.95939259670675e-07,-1.71682829165515e-07,-4.55149799199011e-06,4.50786201716062e-07,1.97475249268586e-08,1.26529218008848e-07,6.26628935415469e-08,2.30499936474733e-08,1.4358834063319e-09,4.75854341263516e-08,2.67289188173894e-07,1.37582029932209e-05,-1.53915270393947e-07,-2.0984036662987e-06,-8.48168971599085e-06,6.26501414751065e-06,2.65278401808647e-08,2.7799084918454e-07,-8.55760109322861e-08,-1.60995124080224e-09,1.10429968094792e-15,7.16282660372375e-15,4.10896090380926e-15,-1.27810052312306e-09,1.76008858262969e-09,1.2548587733192e-13,0.707106781186548,-4.98866222067611e-14,2.18669759148191e-11,9.81755841037807e-11,3.57502889826105e-14,5.79339335984176e-15,2.50693046466498e-10,1.37933788841498e-14,1.92807458171708e-11,-7.76246118603183e-16,6.29266321554304e-11,3.33124845838477e-15,-1.50432187786931e-14,-8.50847043720696e-16,-1.22971858055602e-15,-5.6139847320529e-05,6.19912306118319e-09,-2.53877715681641e-15,1.62308603561749e-12,-9.22698455189653e-10,-1.54198942817722e-12,-3.69359382223396e-15,1.57938474987068e-14,-1.64483496801564e-14,1.94992911190376e-15,1.66900498850123e-15,-1.83115148642312e-15,-7.47624080768845e-16,1.31631287395191e-16,3.56546152565977e-16,-2.07878388153639e-15,-1.15655844695361e-17
"t102",-0.059254087843064,-0.121697555364919,0.236712245464403,-0.0419533420143078,0.128481348741509,-0.059153411547615,0.00854324032692673,-0.0298246503217167,0.0960367170277011,-0.108057808626853,0.010388221850349,-0.0186502397124244,0.00938229312006314,-0.000265554092963198,-0.000454487084065557,0.00584687527453881,-0.0138104510871605,0.00162962466632223,-0.000685168924841803,0.000962626272889735,-0.343858262085573,-0.000311154387191464,-0.000518247532739624,-5.11307091351316e-05,-0.00662277002521588,-0.000624263728674889,-0.00019680122231751,3.88092058728728e-06,-0.000193242856736835,6.25554587665621e-06,-0.000835219005245769,1.84767202219589e-05,-2.70461659564995e-05,3.13867788431511e-06,-9.19756827488085e-06,2.07851230436474e-06,-1.46092255604313e-06,-0.500193086568211,-5.38440443437576e-06,0.000275322451553773,-0.00127364826935847,4.81817130767554e-06,-6.3547145490373e-07,-0.000456447387281317,0.00987494836425984,-0.000540141403254,0.000894961298643138,0.00225160452997023,-0.00426639936214995,-0.000462964886274897,0.0327948185001255,-0.0273044315869077,-0.00105256125781231,0.0497600375769906,0.0159015607342394,-0.00254882920951791,6.26896819038801e-08,6.80281243826876e-06,0.000163450991804615,-1.97469609556815e-05,-0.000533292930281541,8.20075620799922e-05,-2.65471300220524e-06,-0.012200029446245,2.5891554008797e-06,5.10534527897459e-06,1.19773622626177e-07,5.98055245367407e-07,-1.72282474888379e-07,-4.56731373606485e-06,4.5233887770165e-07,1.98146093411343e-08,1.26958039364506e-07,6.28727644351881e-08,2.3127016095557e-08,1.44067180722389e-09,4.77426206637969e-08,2.68159070725531e-07,1.3802847878028e-05,-1.54410453554198e-07,-2.10515457928959e-06,-8.50883060153764e-06,6.28504837816955e-06,2.66126689820866e-08,2.78868913215139e-07,-8.58397052201109e-08,-1.61482621734514e-09,1.58526863957355e-16,-2.15683828452591e-15,5.01694155565511e-16,-1.28168340332102e-09,1.76496376207002e-09,-5.77703521261036e-16,1.52605244203305e-14,9.94057581484151e-15,2.19048424673778e-11,9.84538797847938e-11,5.16561370217583e-15,-5.99594976221643e-15,2.51388348349815e-10,-1.83446630341303e-14,1.93422385046354e-11,5.16046224534323e-14,6.31141728616123e-11,5.86488783137319e-14,0.707106781186548,-9.62172778517429e-15,2.76977865422159e-14,-5.62904962883947e-05,6.21566292495564e-09,3.83951153454132e-16,1.6209012768082e-12,-9.2514222059049e-10,-1.54251363477439e-12,-1.03170994313993e-14,-8.57805857987337e-15,2.10970939920044e-14,4.20678437607253e-15,1.71550180463068e-15,1.51884339653841e-15,-1.94300517986501e-16,1.32143862487321e-15,1.51036668953952e-15,-1.13177412288119e-15,-8.70606319627233e-17
"t103",-0.059254087843064,-0.121697555364919,0.236712245464403,-0.0419533420143081,0.128481348741509,-0.0591534115476146,0.00854324032692693,-0.0298246503217168,0.0960367170277015,-0.108057808626853,0.0103882218503491,-0.0186502397124243,0.00938229312006331,-0.000265554092963281,-0.000454487084065525,0.00584687527453863,-0.0138104510871604,0.00162962466632232,-0.000685168924841754,0.000962626272889954,-0.343858262085572,-0.000311154387191491,-0.00051824753273984,-5.1130709135149e-05,-0.00662277002521633,-0.000624263728675007,-0.000196801222317488,3.88092058742413e-06,-0.000193242856736952,6.25554587679541e-06,-0.000835219005246578,1.84767202219425e-05,-2.70461659562492e-05,3.13867788404644e-06,-9.19756827486645e-06,2.07851230433739e-06,-1.46092255613487e-06,-0.500193086568212,-5.38440443444081e-06,0.000275322451553768,-0.00127364826935818,4.81817130758794e-06,-6.35471454633042e-07,-0.000456447387282006,0.00987494836426059,-0.000540141403254307,0.000894961298643246,0.00225160452996945,-0.00426639936214956,-0.000462964886274858,0.0327948185001253,-0.0273044315869072,-0.00105256125781252,0.0497600375769906,0.0159015607342388,-0.00254882920951743,6.26896816844976e-08,6.80281243835149e-06,0.000163450991804363,-1.97469609549173e-05,-0.000533292930281268,8.20075620788519e-05,-2.65471300244171e-06,-0.0122000294462479,2.58915540171058e-06,5.10534527822622e-06,1.19773622128401e-07,5.98055247279641e-07,-1.72282475080882e-07,-4.56731373646159e-06,4.5233887727316e-07,1.98146090822719e-08,1.26958037513383e-07,6.28727654802984e-08,2.31270146647413e-08,1.44067310637808e-09,4.77426223638578e-08,2.68159070544676e-07,1.38028478783576e-05,-1.54410454462043e-07,-2.10515457898668e-06,-8.50883059982363e-06,6.28504837831174e-06,2.66126732396415e-08,2.78868913653236e-07,-8.58397073408632e-08,-1.61482839572446e-09,-8.27746035565964e-18,2.12615076380873e-15,-8.4298650041771e-16,-1.28168344739956e-09,1.76497161431871e-09,6.33628705215424e-16,-1.49288741120386e-14,-9.92896347334619e-15,2.19092176740581e-11,9.84430635689071e-11,-5.14046205072052e-15,5.85674500362606e-15,2.51373048863421e-10,1.82004635940389e-14,1.93189828177621e-11,-5.15987530805785e-14,6.30872048584635e-11,-5.87030958976571e-14,-0.707106781186547,9.41626472152084e-15,-2.78911941004703e-14,-5.62904962716784e-05,6.21566494003516e-09,-6.73296908282052e-16,1.63640677008521e-12,-9.25143207383768e-10,-1.54185616873843e-12,1.00775774722271e-14,8.5797482691676e-15,-2.09778506633137e-14,-4.36414276166441e-15,-2.27767248941133e-15,-1.49553637355762e-15,2.95452096518752e-16,-1.38202898050115e-15,-1.53235989140075e-15,6.70873773612861e-16,3.89197894125891e-16
"t136",-0.0540344613012101,-0.0922188613842254,0.165135945202926,-0.0264703640811689,0.0673314044911832,-0.0262514295201722,0.00303394211067909,-0.00500276887961923,-0.0063301343594068,0.0211363017154245,-0.00263812442976072,0.00532469033430859,-0.00385127335972933,0.000113105955252315,0.000463421657984418,-0.00687387129607409,0.0168102151994641,-0.00233209733803091,0.00108522854732724,-0.00163475403553903,0.228597976449327,-0.00289566477422062,-0.00781950572577083,-0.00507475872212936,0.588729437282381,0.00837291184570349,0.00250729989381175,-5.17084972527938e-05,0.0036879174790536,-0.000131824802747528,0.0184762872510214,-0.000534106407581659,0.000831711732797198,-9.91519336930422e-05,0.000306971831946844,-7.37437756816718e-05,0.000191411675494342,0.000198975528542975,-0.00169564378866822,0.0099560856933582,-0.0326647775896602,0.000109114165455514,-1.19679443392681e-05,-0.00575242435468285,0.0889244678900035,-0.00391595084508709,0.00633549338877879,0.0115471293383842,-0.0205455155827874,-0.00179555380335755,0.11901382909596,-0.0732284730051465,-0.00280197626311175,0.120309647531802,0.0382943436879199,-0.00167343929035853,-4.11592370788641e-08,-1.9272564367146e-05,-0.000541193403237128,7.85180863700701e-05,0.00218010830022637,-0.000351476133567656,1.07588828136035e-05,0.0440584870398093,-5.42669441721645e-06,-7.04500838006113e-06,7.04535266604487e-07,4.48126273582183e-06,2.93621649098778e-06,6.96185756930445e-05,-6.4659849794025e-06,-2.86855124539013e-07,-1.8533847134478e-06,-9.71557685479068e-07,-3.62109947516953e-07,-2.2764987134949e-08,-8.04122753696709e-07,-5.03064769860427e-06,-0.000264865639226705,3.17457607355227e-06,4.32896905312833e-05,0.000183042941772747,-0.000135981747892626,-5.7579089566119e-07,-6.73319276570863e-06,2.65591745083768e-06,6.09983262543633e-08,2.98375522569846e-16,3.09865729510328e-17,6.55933552873858e-16,4.39174946397881e-07,-1.87651327413645e-06,-3.47076108060652e-16,-2.44203678759043e-15,2.91624013665246e-16,1.22841997556838e-08,4.97895627340856e-08,-9.68910057791017e-16,9.60308856371983e-16,8.30437110070603e-08,4.77559388969357e-16,4.62396544676545e-09,8.80321658090701e-16,1.30081132098169e-08,-1.24261720522648e-16,-1.1626985523999e-15,-8.93636238418572e-16,-1.2854834443891e-15,-4.32200221132763e-06,7.2879168811956e-07,1.79000135242462e-15,1.83263106328023e-10,-9.09253456629212e-08,-1.48585252026347e-10,3.03087069577153e-16,-6.49473168469175e-16,9.5085796924764e-16,-2.85990908889999e-15,3.0805736084511e-15,-5.86448880887845e-16,3.23158994016381e-15,-3.60408317565186e-15,4.77963832184848e-17,-0.707106781186548,-2.06045038156159e-15
"t137",-0.0540344613012101,-0.0922188613842254,0.165135945202926,-0.0264703640811688,0.0673314044911833,-0.0262514295201724,0.00303394211067921,-0.00500276887961926,-0.00633013435940652,0.0211363017154246,-0.00263812442976079,0.00532469033430863,-0.00385127335972924,0.000113105955252273,0.000463421657984541,-0.00687387129607411,0.0168102151994643,-0.00233209733803115,0.00108522854732749,-0.00163475403553913,0.228597976449327,-0.00289566477422067,-0.00781950572577078,-0.00507475872212952,0.588729437282382,0.00837291184570379,0.00250729989381185,-5.17084972525554e-05,0.00368791747905393,-0.00013182480274748,0.0184762872510211,-0.000534106407582212,0.000831711732797346,-9.915193369292e-05,0.000306971831946381,-7.37437756816653e-05,0.000191411675494319,0.000198975528542724,-0.00169564378866845,0.0099560856933584,-0.0326647775896599,0.000109114165455924,-1.19679443391425e-05,-0.00575242435468272,0.0889244678900027,-0.00391595084508704,0.00633549338877889,0.0115471293383842,-0.0205455155827875,-0.0017955538033576,0.11901382909596,-0.0732284730051462,-0.00280197626311198,0.120309647531803,0.0382943436879191,-0.0016734392903587,-4.11592379804998e-08,-1.92725643674043e-05,-0.000541193403237938,7.85180863706908e-05,0.00218010830022583,-0.000351476133567167,1.07588828131974e-05,0.0440584870398106,-5.42669441661527e-06,-7.04500837975301e-06,7.04535267610321e-07,4.48126273526527e-06,2.93621649149493e-06,6.96185756936379e-05,-6.46598498028913e-06,-2.86855124776782e-07,-1.85338471409822e-06,-9.7155768477065e-07,-3.62109947189969e-07,-2.27649871804166e-08,-8.04122753858144e-07,-5.03064769970342e-06,-0.000264865639224763,3.17457607286275e-06,4.32896905314244e-05,0.000183042941771897,-0.000135981747895249,-5.75790896103412e-07,-6.73319276634665e-06,2.65591745059524e-06,6.09983255971813e-08,-3.1633897526575e-16,-3.62393160407784e-17,-7.43707175850823e-16,4.39174946899581e-07,-1.87651327433523e-06,3.81789702805254e-16,1.68273050012882e-15,-3.56637009447487e-16,1.22842013812918e-08,4.97895642355481e-08,9.19494401182791e-16,-8.94740077839533e-16,8.30437127178405e-08,-4.99200188260611e-16,4.62396705641405e-09,-8.57714939304174e-16,1.30081105737069e-08,1.17362933910259e-16,3.46443876846788e-16,9.695503345392e-16,1.25786168071127e-15,-4.32200221278287e-06,7.28791688206962e-07,-1.80505391116155e-15,1.83261755293269e-10,-9.09253434590955e-08,-1.48588569988541e-10,-2.55605788828551e-16,6.15185381080513e-16,-8.11949761815289e-16,2.8486575458512e-15,-3.0175592174231e-15,5.21336067651072e-16,-3.15806697076004e-15,3.63172510258939e-15,8.04053102177286e-18,0.707106781186548,2.0006785104495e-15
