"accepted_species","trait_ARD"
"t72","0"
"t73","0"
"t20","0"
"t21","1"
"t19","1"
"t8","1"
"t86","1"
"t97","1"
"t98","1"
"t24","1"
"t25","0"
"t37","1"
"t48",NA
"t49","0"
"t66","1"
"t67","1"
"t57","1"
"t58","1"
"t5","0"
"t35","0"
"t36","0"
"t61","0"
"t62","1"
"t23","0"
"t14","1"
"t56","0"
"t59","0"
"t60","0"
"t74","1"
"t75","1"
"t53","1"
"t54",NA
"t13","1"
"t63","1"
"t64","0"
"t41","0"
"t42","1"
"t4","1"
"t11","0"
"t91",NA
"t92","0"
"t52","1"
"t82","1"
"t83","0"
"t95","1"
"t96","1"
"t65","1"
"t32","1"
"t33","1"
"t55","0"
"t99","1"
"t100","1"
"t87","1"
"t88",NA
"t84",NA
"t85","0"
"t1",NA
"t16",NA
"t18","1"
"t89","1"
"t90","1"
"t27","0"
"t45","1"
"t46","0"
"t43","0"
"t31","1"
"t9","0"
"t10","0"
"t17","0"
"t22","1"
"t50","0"
"t51","1"
"t7","1"
"t70","1"
"t71","1"
"t28","0"
"t39","1"
"t38",NA
"t6","1"
"t12","0"
"t47","0"
"t76","1"
"t77","0"
"t3","1"
"t44","1"
"t26","1"
"t34","0"
"t68","1"
"t69","0"
"t40","1"
"t15","0"
"t29","0"
"t2","0"
"t30","0"
"t93","0"
"t94",NA
"t80","1"
"t81","0"
"t78",NA
"t79","0"
