,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
t1,-1.3253118,3.975856,2.9892657,3.237312,3.8825703,7.1522183,4.4586625,5.209473,5.3863354,4.477784,3.5331285,7.7431107,7.3641367,2.9656444,6.5804276,7.261055,1.9946983,5.4201827,3.1474085,3.8778338,3.2954416,6.899062
t7,-1.1424804,4.1690025,3.6059203,2.6249785,4.0904417,6.841678,4.2659507,5.0649905,4.8054852,4.0650463,3.5691187,7.2972975,7.436415,2.8127866,6.450296,6.728505,2.1605086,5.552377,3.2105932,3.6473336,3.1229644,7.1405964
t45,0.5136254,-0.2401658,-0.60769415,0.49681118,1.1461921,7.7265496,5.2826986,3.9424675,4.9060965,3.147081,1.9846888,7.5305247,5.529942,0.7876802,7.704097,8.080019,-1.0205885,8.736457,0.7820946,4.626774,2.2034965,7.4462667
t46,0.4783527,-0.24578936,-0.6200484,0.55046666,1.0674361,7.7724633,5.2536674,3.9695873,4.9182158,3.1335065,1.9200872,7.537556,5.5453258,0.7931694,7.7611237,8.029368,-1.1206869,8.838672,0.7157592,4.6531844,2.1663222,7.4108095
t39,0.5794417,-0.13168024,-0.49393022,0.4340477,1.307357,7.666225,5.3402433,3.8919072,4.867634,3.210802,2.1137595,7.544805,5.566922,0.79085416,7.6243362,8.164218,-0.8592819,8.575532,0.9402577,4.6139026,2.2514496,7.513436
t49,0.54535264,-0.11943683,-0.5056689,0.42637625,1.258543,7.671967,5.3015466,3.9100928,4.909695,3.2570436,2.0932956,7.6182194,5.6293683,0.83637923,7.6662655,8.1686325,-0.9171327,8.632633,0.89953053,4.6956673,2.3031363,7.5037084
t157,0.108875506,-0.48440263,-0.84794265,0.8255711,0.81603867,7.8455305,5.0453796,4.18426,4.8043237,3.0536,1.7659817,7.5060277,5.52706,0.72714055,7.7710147,7.7320185,-1.5976762,9.301745,0.3818137,4.7232776,2.1804528,7.2753935
t190,0.12520808,-0.4839959,-0.84784836,0.79014,0.71540534,7.81164,5.1129766,4.1004233,4.8577986,3.0410366,1.7463784,7.562429,5.5803695,0.7699453,7.7815075,7.7348638,-1.6008315,9.291605,0.35624287,4.8231726,2.1856067,7.2693105
t191,0.13292329,-0.4756866,-0.8406664,0.80353874,0.6802127,7.764325,5.12964,4.0697665,4.87364,3.1040564,1.69314,7.6154838,5.6338153,0.7690068,7.8568954,7.718601,-1.5815799,9.28213,0.33818576,4.839236,2.2227829,7.2027683
t165,0.12756756,-0.4719249,-0.83804053,0.8034327,0.7434317,7.813548,5.0751963,4.14662,4.847016,3.06225,1.7262553,7.5246096,5.544651,0.76342684,7.81036,7.737634,-1.5892718,9.289421,0.36679983,4.7698298,2.1809921,7.244435
t170,0.08972673,-0.52446353,-0.89329404,0.841325,0.7292148,7.796591,5.0791097,4.1289573,4.822176,3.0766363,1.7258908,7.580053,5.6015215,0.7390374,7.80968,7.690079,-1.622196,9.326153,0.30979997,4.803441,2.2250402,7.2339897
t206,0.08015586,-0.56635946,-0.93001604,0.77657616,0.7131663,7.8423333,5.1451144,4.06284,4.879019,2.9976387,1.7909896,7.6353555,5.656503,0.73205256,7.7624097,7.667865,-1.6604267,9.344597,0.27163696,4.8618093,2.246767,7.324515
t207,0.10484397,-0.53383756,-0.89920884,0.79867595,0.71885306,7.8136873,5.128997,4.080439,4.86409,3.0528963,1.7436916,7.61919,5.6398544,0.7353776,7.812511,7.6889496,-1.6193061,9.315878,0.3027056,4.826845,2.2359176,7.2656703
t211,0.14164703,-0.4142759,-0.7801161,0.82986706,0.7566607,7.789281,5.0962105,4.1242437,4.8222623,3.1177084,1.7001392,7.5342965,5.553525,0.73562235,7.849297,7.739248,-1.5555242,9.265655,0.3909328,4.75962,2.200741,7.2232237
t212,0.13667868,-0.5330972,-0.91256267,0.8309967,0.6959898,7.7686353,5.1221976,4.072726,4.8719773,3.1078122,1.6898384,7.6199784,5.6383195,0.7577729,7.8501024,7.7190924,-1.5708867,9.281624,0.3255064,4.8145366,2.2026196,7.2033305
t70,0.52924955,-0.15603963,-0.5301696,0.47179863,1.2146544,7.6977887,5.2959085,3.925656,4.896357,3.2128713,2.0463896,7.5827217,5.5894785,0.8065631,7.6861854,8.127136,-0.96361023,8.680149,0.85613453,4.6698465,2.255796,7.476086
t87,0.52692175,-0.16515052,-0.537894,0.4872616,1.1925212,7.704683,5.2919292,3.9323096,4.8937736,3.1965735,2.022757,7.5686336,5.576413,0.7915517,7.6982517,8.112774,-0.98585767,8.702908,0.8317029,4.662586,2.2397287,7.461935
t114,0.26726642,-0.33771148,-0.6929221,0.75884825,0.8523115,7.771522,5.14664,4.074303,4.8656955,3.1285398,1.7450354,7.5523024,5.5675893,0.7412771,7.864996,7.843382,-1.3961356,9.112307,0.49725434,4.7287664,2.1934752,7.248636
t115,0.17385426,-0.30966887,-0.6611082,0.8424515,0.76672727,7.8110766,5.1815376,4.0402746,4.78537,3.1517797,1.655584,7.512208,5.5367966,0.6836662,7.8587933,7.777363,-1.507241,9.224874,0.45043197,4.767054,2.1644423,7.2439713
t80,0.54963595,-0.16747196,-0.54038614,0.45217487,1.2307456,7.6893606,5.312145,3.9119365,4.888844,3.2008164,2.056398,7.5647774,5.572175,0.79483545,7.667707,8.134834,-0.9380148,8.654485,0.8662703,4.648418,2.246571,7.486065
t187,0.2439426,-0.36011386,-0.70769465,0.7651475,0.86105067,7.79855,5.157299,4.0689983,4.8524976,3.1132295,1.7612615,7.559182,5.576695,0.72769374,7.82806,7.831636,-1.4190032,9.13009,0.49460068,4.726858,2.1816807,7.273543
t188,0.2099914,-0.30645162,-0.6562437,0.8212611,0.7889731,7.8129587,5.1764235,4.0486484,4.807991,3.1348927,1.6759584,7.52998,5.5521054,0.69569623,7.867291,7.800719,-1.4744949,9.191771,0.46499965,4.749495,2.1577854,7.2456527
t94,0.4678904,-0.21782619,-0.59190166,0.6047293,1.0224286,7.780011,5.205935,4.022217,4.95834,3.121825,1.8641845,7.5284395,5.535247,0.7747419,7.8148603,8.0260725,-1.1652857,8.880685,0.6665336,4.6497874,2.1704037,7.3565946
t219,0.2995164,-0.29162154,-0.6560955,0.6879861,0.90619147,7.8629513,5.2495394,3.976092,4.857581,3.108914,1.7904192,7.5299625,5.551767,0.72852355,7.747806,7.8983636,-1.3559858,9.062666,0.57373095,4.725817,2.1216388,7.3851733
t220,0.33954686,-0.25515833,-0.62110966,0.70733255,0.89358175,7.8926573,5.217708,4.0153303,4.909924,3.0906847,1.7682023,7.4988623,5.5182157,0.74159914,7.7836757,7.926288,-1.3578963,9.066033,0.574341,4.665177,2.0716755,7.35488
t126,0.44948798,-0.25146523,-0.62522703,0.57994175,1.016355,7.8004513,5.2556486,3.9675257,4.9158897,3.1268215,1.8811458,7.5261354,5.536434,0.78356296,7.7563705,8.008452,-1.178213,8.892682,0.6826446,4.6558614,2.1411955,7.403644
t122,0.34480542,-0.33467108,-0.69882953,0.6824154,0.93716604,7.807563,5.144382,4.090267,4.953885,3.100242,1.8213531,7.5551267,5.566471,0.77990264,7.829889,7.9153385,-1.3147758,9.025046,0.57658535,4.661129,2.1508322,7.303908
t9,-1.1070881,4.111038,3.6296685,2.537596,4.0326686,6.851782,4.333011,5.0864434,4.735367,4.0497203,3.5070248,7.2843122,7.376763,2.803387,6.464267,6.699743,2.0866966,5.601922,3.2000027,3.6030865,3.1607924,7.091955
t6,-1.1299235,4.207678,3.6714673,2.5394332,4.109367,6.8121023,4.2280407,5.03202,4.7534323,4.0275455,3.5852823,7.256553,7.461389,2.7423093,6.4456844,6.677584,2.1862254,5.5708795,3.1874135,3.6576521,3.106327,7.1898026
t14,-1.2289569,4.077132,3.366366,2.9072714,4.049452,6.9665465,4.3350487,5.1283455,5.05472,4.227776,3.5443509,7.468777,7.454424,2.8820772,6.477092,6.9192476,2.124124,5.481812,3.2366545,3.7174213,3.1512156,7.0669203
t15,-1.2021396,4.090552,3.4617214,2.8107705,4.056435,6.9253635,4.320353,5.1069407,4.9530377,4.1757226,3.5439556,7.405706,7.449116,2.8442824,6.472582,6.8757496,2.1320393,5.5154824,3.1800177,3.6632035,3.1432154,7.095985
t53,-1.336427,3.8985863,2.9564486,3.254794,3.8933887,7.1477027,4.4876933,5.1353693,5.3847895,4.503634,3.435907,7.7476797,7.403712,2.8477335,6.525531,7.3308077,1.9966177,5.4726014,3.0422828,3.7739244,3.2146742,7.000228
t54,-1.3345176,3.9541252,3.0548563,3.1782982,3.9342039,7.1248198,4.439469,5.1699147,5.317359,4.442798,3.4898665,7.6965847,7.4204383,2.8933105,6.5352135,7.216663,2.0389428,5.43716,3.1295805,3.7938776,3.2305274,6.9785385
t11,-1.1495934,4.1265836,3.596642,2.6279564,4.0609775,6.8492384,4.290678,5.059208,4.7940273,4.074494,3.5355759,7.309175,7.422636,2.7728567,6.4594584,6.781335,2.1358662,5.5756063,3.1237752,3.610037,3.135829,7.1392436
t18,-1.3827815,3.9973974,3.0122225,3.2192955,3.9342,7.188298,4.446516,5.2108016,5.3627725,4.5041976,3.5153582,7.7455916,7.4114075,2.9342601,6.582459,7.2631083,2.0446222,5.3809795,3.1073468,3.8436913,3.283453,6.938523
t19,-1.2701303,4.0166106,3.2608502,3.01069,4.0095024,7.0193276,4.372815,5.141663,5.1411133,4.3002143,3.5181177,7.549885,7.450186,2.873469,6.4939156,7.0300803,2.0988781,5.471494,3.1937683,3.7204337,3.175324,7.0429635
t16,-1.2359378,4.057455,3.321213,2.9424706,4.0381584,6.983053,4.353263,5.126281,5.083952,4.255687,3.531392,7.4995203,7.448476,2.859381,6.4878464,6.9724345,2.1115031,5.484714,3.2031674,3.7069967,3.1559823,7.0689898
t17,-1.2975049,3.9937105,3.1870127,3.0712776,3.9867537,7.060878,4.3981633,5.1543036,5.204034,4.352812,3.5083337,7.6016417,7.442972,2.881493,6.508504,7.094991,2.0806167,5.455658,3.171926,3.7500298,3.1933234,7.0207257
t91,-2.05364,4.232026,2.0694995,4.21049,4.062003,7.880829,4.4421268,5.4764314,6.2117505,5.317706,3.5315413,8.373589,7.453075,2.91994,6.805974,8.135908,2.149526,5.152568,2.4746575,4.267436,3.3826745,6.9191813
t92,-1.4104022,3.9881597,2.8532543,3.3400772,3.8797874,7.256313,4.4929295,5.2132435,5.4951253,4.6133046,3.5044813,7.8399153,7.355395,2.9409485,6.618532,7.411132,1.9857416,5.3899593,3.0118349,3.910213,3.3161857,6.906399
