"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115"
"t1",0.0544570268011025,-0.089749610755191,-0.0582274376132028,-0.000619125548641682,0.00843272857496394,-0.00113983894107253,-0.00333300125584544,0.00139330116513974,0.000768208093623638,0.000871601752579409,0.168881678774646,0.108851611177376,-0.00704889052539898,-0.000353017086072418,-0.00237583204830409,0.000884759058397727,-0.00137836115464282,0.000125749060931947,0.0694890972971457,-0.0122609797119362,-0.0444030395042217,-0.00740592827461162,-0.0561015715020958,0.0135669234591609,-0.00400247656094805,0.0543620638026867,0.0218898303211841,0.00435780486723689,0.0671018852902927,0.0091064600349042,-0.00489398777964057,-0.0210205347950203,-0.0166412943203626,0.784017405190154,0.000763051481003159,0.43313858247087,-0.00450204525132641,-0.0210099393976692,-0.0428473075642618,-4.5530905587848e-17,-0.0116804507222497,0.00113377280752864,-0.242977765195552,-0.0645568514622404,0.0366179646555589,-0.128371383145114,0.0136707000311683,-0.000160246970304848,-0.0328113391937099,-0.000612063252214281,-0.000290186888047767,0.000616115212472205,-0.000246068195725105,0.110814974296118,-0.000462118826578721,0.132916368486508,1.08741144270674e-14,-0.0161691473398939,0.00093863453945564,-0.000282617730729166,-2.21632339116215e-05,-0.00239402137214429,-0.00575355557946287,0.000500319872759945,-0.000892744710661651,0.000713931856648512,0.000814933446631726,4.56585361670822e-16,-9.14811402968603e-05,0.000766943686842171,6.52966164838123e-06,-0.000135062506444919,3.55440574175102e-16,-0.000214664224310994,2.03530076956794e-16,5.16520245494583e-06,0.000752718837139985,0.00017842105904038,-0.00148556541407109,2.17299441966938e-09,0.000106818620106863,0.00567355512159104,0.000164344185191293,-7.11846593198907e-16,8.63721920454795e-06,-1.77064907073382e-17,2.32676883497809e-06,-0.000129443213030449,5.32375964828522e-16,3.93116118883467e-16,-1.09885175068068e-17,-0.00373700877030806,-7.82297950137167e-16,-4.39008911366324e-06,2.84441637086534e-16,3.58749065633255e-16,-3.38091049501614e-16,-7.62766667558897e-08,-2.93472405846701e-17,-5.22715950641634e-16,-2.6750168280145e-16,4.64319782357945e-06,-6.34077607936744e-16,6.03604009998524e-16,5.98916355544073e-16,-3.28183869775975e-16,2.24628295484803e-16,4.72185121475186e-16,-1.09886737098388e-15,4.30357562729366e-16,-1.08305871466129e-15,4.8565828014008e-16,-3.60656847187934e-15,2.56239217427345e-15,3.37117232253742e-14
"t3",0.0678777070824135,-0.128946592763996,-0.180374043681683,0.00664398223605391,-0.0214770687216549,0.000815381798816927,0.000228974162392969,0.000193206872492105,0.000170621501042057,0.000397655153110006,0.200893324153447,0.163660201987051,-0.015506480670022,0.00772742174345813,0.00241359701862167,-0.000834620752063633,-0.000147398244519234,0.000320953099894263,0.487722073539181,-0.320168778211068,0.0488629235668886,-0.0274083842644461,-0.698453288705981,-0.0105327421039182,0.00286393370080096,-0.0213658137400491,-0.00691826494591641,-0.00128245679687058,-0.018832014598907,-0.0023621798163518,0.00124860349793108,0.00461699035152764,0.0035333814919404,-0.16106189064666,-0.000148934997744491,-0.082512505108705,0.000737363561351682,0.00312456827710404,0.00586746758041066,-2.5681916945564e-16,0.00112497916026035,-0.000107044452737801,0.0202498381168214,0.00492909150794049,-0.00261163869512006,0.0089811059103158,-0.000948835220992072,8.94448171545709e-06,0.0017855852844394,3.25967783864096e-05,1.63869948182209e-05,-4.51121802922047e-05,5.1134332482901e-05,0.0477728338619147,-6.91646515726372e-05,0.0407492078592229,1.60347248893755e-15,-0.00165600677803455,1.32222054520582e-05,-1.7524918091085e-06,-3.51160536851425e-08,1.49320831150637e-06,3.53691567144703e-06,-2.40371763758989e-07,2.10937321297374e-07,2.33923228093501e-06,2.73422957630467e-06,-4.88808085916791e-16,-5.63701355682974e-07,5.7555909767878e-06,1.31303845728222e-05,-1.52811792202903e-06,-6.82120116087913e-16,-3.39796665738043e-06,1.30563009637024e-16,1.03217207029251e-07,0.00142449781365636,3.90766512788423e-06,-0.00278969921612898,4.73008728252383e-11,2.43252548936208e-06,0.000148842797251976,4.976442871831e-06,2.25314816294133e-16,3.08513287754177e-07,-4.37604749921487e-16,9.37191544716253e-08,-5.40523863014189e-06,-7.84820964941792e-15,5.68266810196867e-16,4.03252194978469e-18,-0.000171389224780699,3.43715462761466e-16,-2.04543793939673e-07,3.58143733051806e-16,4.2454963969959e-16,-2.03973753021534e-16,-3.79078081914099e-09,-6.97246866900457e-16,-3.00775928155957e-16,3.68728106004033e-17,2.70822911182869e-07,7.93502661755106e-17,6.4389581077359e-16,2.11707449810011e-16,-1.28911453518121e-16,2.5481664330761e-16,1.72253932071441e-16,-9.0049839135113e-16,1.34618571094023e-15,-8.47552836509318e-16,-5.30321092599938e-17,-3.8215765061999e-15,2.22569527444315e-15,3.3498246317999e-14
"t61",0.0747230470601146,-0.149426737179478,-0.249129599269783,0.011010789241454,-0.0401574197238678,0.00214899036774894,0.00314752867954603,-0.000978977966783278,-0.000481255401339213,-0.000433545915782198,-0.0871154872842195,-0.0624140678752448,0.00508118231289321,-0.00180026129462564,-0.000330558740660518,0.000110253170440348,-1.14546892395853e-06,9.88781770223054e-05,0.230030983499082,-0.182887365549221,0.101045662812576,0.0187716436779344,0.325799382967586,0.000326165163366369,-6.41624456204645e-05,-0.000723902773379268,-0.000356947947506012,-7.3172483971367e-05,-0.00114112427497929,-0.000156595803851657,8.42369081204136e-05,0.000358267757031963,0.000281872733402201,-0.0131834906129226,-1.26587519691428e-05,-0.0071333268649265,7.00496590242338e-05,0.000312457516796965,0.00061019150156495,-5.15020229551775e-16,0.000133108546146815,-1.27397249916193e-05,0.00249329127306623,0.000620240569885128,-0.000334004143834768,0.00115382428521769,-0.000122128672736009,1.22490259193091e-06,0.000247890465196912,4.77544308539597e-06,2.55045847972654e-06,-8.17279636693937e-06,1.46796816447291e-05,0.026369292857168,-5.90096365354212e-05,-0.00982104823444842,-7.92622257224457e-16,0.000137811618701708,8.15798247467412e-07,-1.34666065537024e-07,-3.0397705966918e-09,1.39424400661458e-07,3.30287856187012e-07,-2.24493817104229e-08,1.96546129245095e-08,1.97722232525059e-07,2.30378022214398e-07,-1.03246466222383e-15,-4.0816260164779e-08,3.73053362290899e-07,8.19170712172476e-06,-4.94735087064638e-08,-1.58531800242061e-14,1.81465382822301e-07,3.5709680369411e-15,-3.59394456428103e-08,-0.00862378521136725,-4.06444534335286e-06,0.827022734836052,1.01850178486139e-09,2.16823383015026e-05,0.000113462359060209,2.1870967335685e-06,3.49913077075558e-15,1.03626485773828e-07,1.24141777351698e-16,2.82711322397287e-08,-1.5918173152698e-06,-1.14036387024121e-13,2.93278932027775e-15,-1.11510435530775e-15,-4.80243123982076e-05,-8.17789129417883e-15,-5.69235941776765e-08,4.42474497533887e-15,-4.24345819754887e-15,-7.36885915293686e-16,-1.02975737057294e-09,1.96355907240791e-15,5.45512962620452e-15,4.43008206204334e-15,7.07840056664023e-08,-2.28086221452696e-15,2.73267997949483e-15,2.4196937801251e-16,-1.73676093758297e-15,1.10108459256768e-15,2.37187353983937e-15,-2.46429936940585e-15,2.94861024498438e-15,2.20114992398954e-15,3.51604084244307e-15,-7.68998350433278e-15,2.75911551902997e-16,3.14363799785647e-14
"t68",0.0748136051901873,-0.149694698087616,-0.24999994999098,0.0110645470230871,-0.040383839471333,0.00216460810260818,0.00317956109531126,-0.000991165415723704,-0.000487830658135821,-0.000441114621271953,-0.0892220065632127,-0.0639955482994864,0.00521709735983708,-0.00185425870539081,-0.000342050745330972,0.000114118549612523,-1.19742091829637e-06,0.000104262005846615,0.242763740588574,-0.193067239821974,0.106780870294294,0.0198694334188556,0.345047119756007,0.000349165028847367,-6.87672291554657e-05,-0.00078637397585328,-0.000390788241640468,-8.03493589211005e-05,-0.0012557060606796,-0.000172968802521638,9.31217893309004e-05,0.000399312037264353,0.000314803121394937,-0.0147538061962047,-1.4213426102097e-05,-0.00802243630339266,7.96531336912569e-05,0.000358112333879284,0.000704504199528828,8.44135869639217e-16,0.000159706996960699,-1.53249395867514e-05,0.00305188875825992,0.00076966112370074,-0.000419350567977436,0.00145374521448288,-0.000154102584408645,1.6292490838204e-06,0.000333174955347697,6.61935634831975e-06,3.60885665083569e-06,-1.18580971596771e-05,2.1783095841614e-05,0.0394498048725537,-8.84707695958019e-05,-0.0148647032646753,5.4234379918992e-17,0.000209647426531922,1.28141380736624e-06,-2.15661298956657e-07,-5.00864029592214e-09,2.50343034063753e-07,5.93896366303244e-07,-4.10023302979234e-08,3.66211293726781e-08,4.53275101187646e-07,5.30777089648485e-07,2.73418481367754e-15,-1.16476506863873e-07,1.22594631008447e-06,4.49098502107559e-05,-3.59619607890775e-07,1.19844319516917e-14,-9.63890588663933e-07,-1.4474918564736e-15,4.51398773966266e-08,0.00911990327770154,2.96962855094874e-06,-0.397234872338921,-4.75762550055371e-10,-9.7496791647294e-06,-1.42714797379606e-05,3.1822725511057e-07,-7.12183261605942e-18,3.70155361767694e-08,-4.43190228007736e-15,1.32656751013339e-08,-7.92575063535273e-07,-0.707106781186493,3.07794556808074e-14,-8.55749455177883e-15,-2.70836262191265e-05,1.97874526545328e-15,-3.26743502258671e-08,1.15522740566866e-15,2.49926216282797e-15,-1.41787226445805e-15,-6.30530901898658e-10,-4.09932727946833e-15,1.37680488115169e-15,-4.90523986950435e-15,4.89303829295737e-08,3.41279186099724e-15,-3.314969439272e-15,-1.59729607064532e-15,1.16569095824887e-15,-3.44795734839412e-16,-1.24629518282595e-15,1.93549778184185e-14,-2.86050895457049e-15,-2.0285103378004e-14,-2.02343893323669e-15,-1.9367980897533e-15,1.88917805586094e-15,3.35995658677372e-14
"t69",0.0748136051901871,-0.149694698087616,-0.249999949990979,0.0110645470230871,-0.0403838394713329,0.0021646081026078,0.00317956109531106,-0.000991165415723155,-0.000487830658135395,-0.000441114621271677,-0.089222006563207,-0.0639955482994839,0.00521709735983712,-0.00185425870539076,-0.000342050745332406,0.000114118549613759,-1.19742091906554e-06,0.000104262005846307,0.242763740588577,-0.193067239821974,0.106780870294293,0.0198694334188555,0.345047119756001,0.000349165028845925,-6.87672291550197e-05,-0.000786373975851072,-0.000390788241640571,-8.03493589222894e-05,-0.00125570606068064,-0.000172968802521925,9.31217893320463e-05,0.000399312037263772,0.000314803121394646,-0.0147538061962152,-1.42134261003821e-05,-0.00802243630339159,7.96531336931315e-05,0.000358112333877949,0.000704504199525244,1.68729916260528e-16,0.000159706996970635,-1.53249395874235e-05,0.00305188875825494,0.000769661123697766,-0.000419350567975577,0.00145374521448341,-0.000154102584406014,1.62924908790846e-06,0.000333174955344418,6.61935634613313e-06,3.60885666306413e-06,-1.18580971584213e-05,2.17830958443697e-05,0.0394498048725895,-8.84707695962356e-05,-0.0148647032646764,3.68442096473858e-16,0.000209647426532961,1.28141380866588e-06,-2.15661305402114e-07,-5.00864096677138e-09,2.50343033879994e-07,5.93896370265623e-07,-4.10023317921471e-08,3.66211294713337e-08,4.53275107806531e-07,5.30777090893136e-07,-6.3725451919739e-16,-1.16476511056149e-07,1.22594633491033e-06,4.49098501661014e-05,-3.59619616680355e-07,4.26869351054936e-15,-9.63890597637742e-07,-2.03232526491089e-15,4.51398722833844e-08,0.00911990327765999,2.96962855352988e-06,-0.397234872338727,-4.75748838569134e-10,-9.74967916256294e-06,-1.42714797262659e-05,3.18227251690058e-07,-3.5205600335846e-15,3.70155814167221e-08,3.85437361945686e-15,1.32656208525225e-08,-7.92576121776397e-07,0.707106781186602,-3.31450873472871e-14,1.06340762712224e-14,-2.70836258008631e-05,4.99429208897707e-15,-3.26744356711093e-08,-3.98982680110723e-15,1.88704380210479e-15,1.57287278813618e-15,-6.30551778038614e-10,2.15025235557047e-15,-6.65653590301634e-15,6.14150209755118e-16,4.89303613888473e-08,-2.23079197164537e-15,2.36149893133736e-15,3.70629304721442e-15,-7.8027121252451e-16,4.55586217738448e-17,3.85576802170307e-16,-2.22113197035096e-14,2.16985978794524e-15,1.61639351982251e-14,5.87620136400676e-16,-3.49442464179866e-15,4.58994696924104e-15,3.45283591823019e-14
"t47",0.0752093748194149,-0.150889608767758,-0.254120364899876,0.0113320799990565,-0.0415422139286233,0.00224950715564597,0.00337445892321098,-0.00107249989225306,-0.000534017021073542,-0.000504126362523714,-0.114131805983593,-0.0840402791354726,0.0071006040978632,-0.0027962392513227,-0.000651925758680321,0.000221796288114345,2.52240514211845e-05,-7.48715560172107e-05,-0.147751137864548,0.111082425990913,-0.0503679073905512,-0.00682002431042744,-0.105647402039531,2.01084980014652e-05,-5.30107990728151e-06,-0.000158567645718426,-8.96009981705157e-05,-1.8906199698677e-05,-0.000299345409545591,-4.18252960245937e-05,2.25584892669611e-05,9.64249055893619e-05,7.5570446283083e-05,-0.00351437290711001,-3.33128126895537e-06,-0.00186234372057959,1.68650197286354e-05,6.88254055985764e-05,0.000120367395197589,-1.81548283358133e-16,2.35482647282961e-06,-2.46590590241029e-08,-0.000294860902651673,-0.000143909673562372,0.000115326672888352,-0.000441278418979866,4.8685073770439e-05,-1.51283051089521e-06,-0.000369195070495626,-1.22818238069939e-05,-9.64476853273913e-06,5.31448674713951e-05,-0.000183449267465492,-0.457696600863515,0.00113357749366461,0.339443129188524,1.16127904161255e-14,-0.00788142827824462,1.91905732074899e-05,-1.90524061032072e-06,-2.92453400751945e-08,8.40714635984597e-07,1.98334532774922e-06,-1.29364679638329e-07,1.08477551736484e-07,9.42041426274715e-07,1.09759189268219e-06,-2.62863026953401e-15,-2.06654797227947e-07,2.04596612348923e-06,0.694462624225203,-4.95271058527962e-07,2.94836681638879e-14,-1.10356252196779e-06,2.18511453358372e-15,5.47116124325799e-08,0.145993113403117,6.47572153689474e-07,-0.00797673122060874,1.05865935938926e-12,3.33017051972125e-07,3.41543299193421e-05,1.17616712078186e-06,-3.01062484234144e-16,7.27471003711511e-08,-3.24523540497292e-15,2.1932474285934e-08,-1.26179822171878e-06,3.87162418286209e-14,-1.82848674951572e-15,2.3302444613685e-15,-3.97561996910508e-05,2.58787857942812e-15,-4.73991649669153e-08,5.60206852801321e-16,9.87653448963758e-16,3.02538106810583e-17,-8.75097193170262e-10,3.03802595085043e-16,-8.84360241821043e-16,-8.50041383757709e-16,6.21164960833966e-08,9.03143582341877e-16,2.09031985971618e-16,3.96886893697679e-17,-1.75196206194306e-15,7.30413892639723e-16,2.34015272317868e-15,-3.5972244474668e-15,-4.8793634806327e-16,3.68608894311741e-15,1.75367523079412e-15,-4.55617231759171e-15,2.21755444463929e-15,3.38147172071748e-14
"t48",0.0752326586161285,-0.150958920705294,-0.254349628417705,0.0113464632908217,-0.041603329416788,0.00225380674177267,0.00338362120299475,-0.00107610273996875,-0.00053599790531102,-0.000506562613339394,-0.114923320992952,-0.0846548356656052,0.00715583952761034,-0.00282107026499092,-0.000658818955876128,0.000224165270274366,2.55945119842981e-05,-7.62697480827383e-05,-0.150572702541217,0.113219943842387,-0.0513633871713448,-0.00696051075858439,-0.107854706449343,2.06519117772026e-05,-5.44823008902001e-06,-0.000164500698580555,-9.35662525430652e-05,-1.97982022127603e-05,-0.000314124884970879,-4.40640286379549e-05,2.37877938994634e-05,0.000102705945706361,8.07195558782722e-05,-0.0037650330045146,-3.58735725703156e-06,-0.00201095723162353,1.8619705661908e-05,7.76466160652195e-05,0.000139485723442313,9.45509419668116e-16,9.08360262605692e-06,-6.87950506546418e-07,-0.000137231999148233,-9.84134253416481e-05,8.75437930010813e-05,-0.000341629151110203,3.79688379587013e-05,-1.3210943963696e-06,-0.000325343936859681,-1.1028730614344e-05,-8.73480431231285e-06,4.85081312214436e-05,-0.00016835103863281,-0.420736134682804,0.00104247743850664,0.312718454909548,1.01067256516335e-14,-0.00726739043441774,1.77813520973203e-05,-1.76958844033451e-06,-2.72449292236253e-08,7.8831892550747e-07,1.85989518028444e-06,-1.2142018227861e-07,1.01921444678803e-07,8.90977585194656e-07,1.038191515894e-06,-1.49862050613506e-15,-1.95804512885866e-07,1.93556572704142e-06,-0.718404456426684,-4.99978443550076e-07,-3.04045321728213e-14,-1.09555215787402e-06,1.76423238665048e-15,6.0808705798113e-08,0.187289344166364,4.71367773159073e-07,-0.00699925791132313,9.24377935327998e-13,2.94581717759338e-07,3.16376573207396e-05,1.10868530421415e-06,-4.54753262849876e-16,6.92379136607255e-08,2.22052886269456e-15,2.09729009224087e-08,-1.20806365789143e-06,-5.95253477177882e-15,3.83944665488293e-16,-1.85314041256631e-15,-3.81734244587889e-05,-1.1832234838343e-15,-4.55328527935905e-08,6.6599127551742e-16,1.75802598251319e-16,7.55271253336191e-16,-8.42147919013896e-10,-1.33602902557031e-15,-1.24732960816577e-15,1.3934438245074e-15,6.00209066410326e-08,-7.8775415895754e-16,-1.03307778196821e-15,1.40525423962801e-15,6.08624123099276e-16,-1.09379491690473e-15,-3.62768336540041e-16,-1.66361190485934e-15,1.59622565571764e-17,-1.58543338678542e-15,-4.50109269049208e-16,-2.90662865663986e-15,1.73246187440765e-15,3.36754487024316e-14
"t62",0.0754600331611678,-0.151636085983219,-0.256592484752249,0.0114873264080524,-0.0422022194792672,0.00229599337888345,0.00347372332952624,-0.00111159570404421,-0.000555530634004998,-0.000530655855254493,-0.122791310336032,-0.0907691598175115,0.00770597389538118,-0.00306898975229563,-0.000727889613373271,0.000247907972927488,2.93358841627531e-05,-9.04847800372889e-05,-0.179277610411057,0.134970659826671,-0.0615011416064627,-0.00839298046196059,-0.130371197756458,2.62408386353208e-05,-6.96299247705551e-06,-0.000226201675551452,-0.000135046005555042,-2.91502305380218e-05,-0.000469323872737108,-6.76391645606537e-05,3.67411277710161e-05,0.000169295361601732,0.000135391066031268,-0.00643050081264856,-6.3170935598243e-06,-0.0035970666916883,3.74997609032159e-05,0.00017311294821324,0.000347504212812273,-1.28372679806128e-15,8.43540414334085e-05,-8.12140105019921e-06,0.0016511793302543,0.000422745760580005,-0.000233308800447524,0.000811971339002066,-8.62157842495039e-05,9.81643513855265e-07,0.000204956766307632,4.43337191737698e-06,2.64255041447456e-06,-1.03873291200635e-05,2.61025857493473e-05,0.0576575525986669,-0.000138198740250775,-0.0356275541549204,-3.3434177949165e-15,0.000760757145310179,-9.94224413166575e-07,5.79945711947896e-08,1.40215587702044e-10,3.77738320443547e-08,9.02614062534761e-08,-6.65406158146904e-09,6.29574175142744e-09,8.24181076360108e-08,9.62033457087885e-08,-3.01299274966649e-15,-1.723254528414e-08,1.50980193189304e-07,-0.0229151941792055,-4.25091579296687e-09,-3.35961584477931e-15,2.9967559488864e-07,-7.70800628653584e-15,-1.44909410461547e-07,-0.891550548580363,3.31974186547381e-06,-0.0169204643759266,2.18759826524009e-12,6.5933217508887e-07,4.00999471777051e-05,1.05587502672434e-06,1.47479824980647e-15,5.68951185850495e-08,-3.12503932839811e-17,1.63555263055187e-08,-9.32528876001759e-07,-2.65757051330873e-14,5.19040539671414e-15,1.68255711786365e-16,-2.89427713105568e-05,-6.85017257133427e-15,-3.44538075929021e-08,1.49001291776627e-15,-1.48630510343789e-15,-2.53287628347228e-15,-6.33655692002465e-10,3.82328294183928e-16,-9.86998238357357e-16,-1.84622794961852e-15,4.51366656992549e-08,-3.26444873662736e-16,2.59177678546319e-15,5.76074869038476e-16,-9.32649228329671e-16,-3.97925564767035e-16,-5.38293062644213e-17,-3.63588549127608e-15,2.75233876769624e-15,-1.00673305516924e-15,2.18259262633397e-15,-1.78756573384357e-15,3.25971583489162e-15,3.33537239647192e-14
"t103",0.0757000011809208,-0.152350243221411,-0.258952897840941,0.0116353188678467,-0.0428308343268081,0.00234018512723544,0.00356777114329844,-0.00114853991679475,-0.000575831853242163,-0.00055558126895314,-0.130864847877902,-0.0970344326215194,0.00826872961994959,-0.00332160613127731,-0.0007978664100201,0.000271953686190579,3.30787398897092e-05,-0.000104553288284642,-0.207656438212086,0.156466458997242,-0.0715071687584366,-0.00980397883728539,-0.152534651118214,3.16691821540781e-05,-8.43209639707181e-06,-0.000285048886920675,-0.000174225021728312,-3.79507243677456e-05,-0.000614985083164217,-8.96621282186256e-05,4.88290905650511e-05,0.000230805379270367,0.000185764683898133,-0.00888017761277139,-8.81552592422094e-06,-0.00504583588180269,5.45096531642868e-05,0.000258278460547032,0.000531382694225301,-5.81993999599782e-16,0.000147762557472187,-1.43631766676601e-05,0.00312044166216182,0.000843598692688847,-0.000488616297607166,0.00172586268733907,-0.000184412259124666,2.68512668392168e-06,0.000592101322208977,1.52873475387744e-05,1.0421828776268e-05,-4.93843511902843e-05,0.000151193311492139,0.362187539174135,-0.000887705968277826,-0.254070141734117,-8.05194570305438e-15,0.0057621691014861,-1.2215745311003e-05,1.12309279965546e-06,1.55166954304883e-08,-3.38364217449517e-07,-7.94902964372198e-07,4.95635246213848e-08,-3.9306946589962e-08,-2.06821516034325e-07,-2.38367369427102e-07,3.94193494972557e-15,2.87971270737743e-08,-2.14280132742756e-07,0.0233622515374848,3.93266424710745e-09,4.07983277143508e-15,-1.67954142194147e-07,2.30975195367931e-15,4.84096503715952e-08,0.272488095907613,-8.24952615046462e-07,0.00326459751243824,-4.16681529778215e-13,-1.22125018441118e-07,-3.51104662953366e-06,2.79212914030882e-08,7.12882914899413e-16,8.44552755457097e-09,-5.92995938710715e-16,3.77127797748027e-09,-2.37009629715186e-07,1.90514434160135e-14,-1.82229873818533e-15,9.8435585255495e-16,-9.06383970100864e-06,3.71522406006431e-15,-1.11206729834053e-08,-7.34551583473548e-15,2.68388326568693e-16,-6.52214528753085e-16,-2.28800439077032e-10,-5.85997682839722e-16,2.75124754388351e-15,-1.36283856528615e-15,2.02954169668292e-08,6.71099515271344e-15,3.79772466767302e-15,7.89936306662655e-15,7.3060883092013e-15,4.39711027698173e-15,2.35592332985006e-14,0.707106781186549,-8.91485820398206e-14,-2.04670922655047e-13,4.85658112625981e-14,-5.30806267176968e-15,1.90157103253213e-15,3.90189296995491e-14
"t104",0.0757000011809208,-0.152350243221411,-0.258952897840941,0.0116353188678467,-0.0428308343268079,0.0023401851272352,0.00356777114329889,-0.00114853991679518,-0.000575831853242072,-0.000555581268952881,-0.130864847877903,-0.0970344326215189,0.00826872961994974,-0.00332160613127729,-0.000797866410020568,0.000271953686191291,3.307873989062e-05,-0.000104553288284166,-0.207656438212086,0.156466458997242,-0.0715071687584363,-0.00980397883728538,-0.152534651118215,3.16691821542594e-05,-8.43209639717242e-06,-0.000285048886921954,-0.000174225021729086,-3.79507243689111e-05,-0.00061498508316529,-8.96621282184212e-05,4.88290905635469e-05,0.000230805379270657,0.000185764683900801,-0.00888017761276982,-8.81552592422988e-06,-0.00504583588180497,5.45096531623247e-05,0.000258278460546931,0.000531382694224695,8.1522613234472e-16,0.000147762557477425,-1.43631766677202e-05,0.00312044166216184,0.000843598692686367,-0.000488616297607725,0.00172586268733456,-0.000184412259127507,2.68512668545248e-06,0.000592101322209922,1.52873475393787e-05,1.04218287742875e-05,-4.93843511902551e-05,0.000151193311494931,0.362187539174137,-0.000887705968276639,-0.254070141734121,-6.31589756479602e-15,0.00576216910148673,-1.22157453097638e-05,1.12309280305309e-06,1.55166963644442e-08,-3.38364217705294e-07,-7.94902967417776e-07,4.95635247643064e-08,-3.93069434141509e-08,-2.06821514480142e-07,-2.38367368611768e-07,2.9487187637954e-15,2.87971295243758e-08,-2.14280136612571e-07,0.0233622515374833,3.93265895850816e-09,8.21642745707389e-16,-1.67954137462687e-07,1.20385400771526e-15,4.84096571192178e-08,0.272488095907618,-8.24952619738873e-07,0.00326459751243695,-4.1526609001871e-13,-1.22125014688589e-07,-3.51104663577509e-06,2.79212949316377e-08,-2.53797234013039e-15,8.44552658088722e-09,9.53422008333461e-16,3.77127692791695e-09,-2.37009620082712e-07,-2.24292643415439e-14,-3.10342674279911e-16,-1.11253698091859e-15,-9.06383970813423e-06,2.70590253252528e-15,-1.11206695904096e-08,5.37494495681482e-15,1.48768432671855e-15,1.12834541141249e-15,-2.28804022956812e-10,5.35980827282359e-16,-2.32607254438673e-15,2.70186752265562e-15,2.0295399194982e-08,-8.05925308357918e-15,-2.30345597947047e-15,-8.0706725575044e-15,-6.42096471025864e-15,-2.9461958639115e-15,-2.26671766820016e-14,-0.707106781186546,8.99792897557275e-14,1.99901709522226e-13,-5.04733385310905e-14,-2.99689993413097e-15,3.45014378224773e-15,2.80886363150314e-14
