,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
t2,5.267088,9.122603,5.005007,3.1977773,4.4772243,7.0691304,4.123762,5.9078913,5.451895,3.321606,5.3021736,6.222029,2.8843985,5.2871814,3.4439483,6.460091,6.2305255,5.0613794,5.666349,5.475798,6.005523,5.8025384,4.450592,3.5208495,6.7385154,4.1436076,3.60054,3.6012728,4.95254,3.205283,3.5483832,5.8736424
t3,5.1843815,9.078839,4.8969917,3.1587512,4.50761,7.092271,4.038754,5.8903675,5.4928565,3.3019354,5.27584,6.2314806,2.8568072,5.2424383,3.4748986,6.4110165,6.218998,5.0944686,5.7078743,5.38706,6.0236893,5.846129,4.3888664,3.5757492,6.7345934,4.1636276,3.62449,3.585197,4.9773655,3.2666838,3.5075727,5.8460402
t5,5.2053065,9.1174,4.9363213,3.1735253,4.517279,7.084452,4.0758753,5.8702555,5.435068,3.3219857,5.2662077,6.199368,2.860602,5.2745576,3.456399,6.411099,6.2223005,5.100722,5.6643567,5.4097266,6.0300026,5.85773,4.4192986,3.5594957,6.7043996,4.1109767,3.6341403,3.630743,4.994477,3.2490418,3.5220973,5.8410034
t6,5.2381573,9.12858,4.977459,3.1819937,4.5045843,7.0811205,4.1104465,5.8829794,5.4270372,3.3265026,5.277682,6.2010193,2.8660316,5.284687,3.4518569,6.4329805,6.216691,5.088306,5.6493444,5.44543,6.0259767,5.8346386,4.4367127,3.5383625,6.712399,4.1142726,3.6235058,3.6272137,4.9795327,3.230815,3.5354242,5.847575
t4,5.185113,9.047673,4.8536587,3.1768637,4.5419145,7.130431,4.03531,5.911698,5.533118,3.2809947,5.310872,6.2698026,2.8719256,5.215227,3.4885519,6.4320793,6.191257,5.1281385,5.7347937,5.379289,6.0557137,5.877997,4.35815,3.5641286,6.7752724,4.205927,3.5801613,3.5489047,4.95012,3.2497098,3.5314832,5.841538
t10,4.7182975,9.4069195,4.2249546,3.3092499,4.8720655,7.250623,3.7922096,5.250779,4.997494,3.656879,5.081727,5.782567,2.8905413,5.5690985,3.4582276,5.9647813,6.1873446,5.3830075,5.264073,5.011595,6.327646,6.2801723,4.664482,3.761706,6.306713,3.2923276,4.0658417,4.224765,5.6070805,3.6572657,3.2313483,5.533761
t11,4.688279,9.433678,4.250591,3.2554255,4.833576,7.2242484,3.8501437,5.2657733,4.9963603,3.708273,5.041534,5.814896,2.9293423,5.511418,3.4083369,5.9436836,6.2086635,5.311992,5.2351446,5.019201,6.28915,6.2492886,4.6236143,3.7442317,6.289406,3.2659295,4.076304,4.2355704,5.589447,3.6396828,3.282896,5.5802045
t9,4.6415467,9.468957,4.272563,3.2353015,4.8481145,7.207669,3.7903214,5.282063,4.972821,3.6599457,5.0102954,5.7873883,2.9544115,5.5650387,3.4693615,5.965548,6.2354074,5.3453546,5.2222323,4.9581,6.3160515,6.2502685,4.6706967,3.8016317,6.296923,3.300931,4.061223,4.288377,5.628922,3.7031467,3.2097807,5.6063476
t21,4.7412586,9.434565,4.2936625,3.302886,4.8556695,7.1879416,3.8814352,5.309579,4.90479,3.6331806,5.0698953,5.8512354,2.9183896,5.493136,3.4057283,6.000482,6.1340513,5.35679,5.1960096,5.079366,6.3128896,6.2177444,4.58229,3.6808643,6.3426075,3.2515492,4.0396833,4.2303615,5.5772076,3.6307693,3.289109,5.537617
t22,4.68105,9.46876,4.301059,3.2528777,4.8531466,7.178072,3.8174975,5.3177304,4.9223866,3.6264515,5.02577,5.80532,2.955254,5.5563464,3.461424,5.98552,6.202561,5.364249,5.1996083,5.007109,6.320863,6.2302823,4.64624,3.758609,6.3146095,3.3115098,4.059217,4.2582207,5.6205153,3.6868072,3.2229095,5.5927563
t59,5.4988046,9.0453615,5.5794587,3.4179,4.6595974,7.2402983,4.5364723,5.93348,5.3784676,3.2125351,5.4752913,6.260463,2.771406,5.1793056,3.5085485,6.52804,5.992845,5.2385244,5.653958,5.790741,6.2259984,5.9712095,4.4645405,3.306147,6.768861,3.879968,3.3964863,3.6638792,5.0299945,3.1758106,3.4387107,5.655343
t60,5.5493674,9.0758505,5.7013535,3.4757879,4.7176685,7.2858095,4.640487,5.890114,5.28519,3.1862836,5.4886165,6.250365,2.7404366,5.2016263,3.458083,6.5583344,5.932327,5.2734275,5.6343207,5.860952,6.2693048,6.0447874,4.4656687,3.2459788,6.7446184,3.7384474,3.3551433,3.6987894,5.0669913,3.2106228,3.3749619,5.627063
t49,5.5483246,9.147929,5.8581276,3.603704,4.798289,7.3480062,4.761645,5.7666726,5.0877037,3.1683514,5.4724264,6.2485514,2.674929,5.275123,3.3436456,6.595423,5.8122725,5.354037,5.525542,5.9146266,6.32115,6.2423444,4.486699,3.0882072,6.7279687,3.4164348,3.2992392,3.7747676,5.124322,3.3105927,3.2444937,5.6298137
t51,5.5792065,9.120281,5.8675833,3.589963,4.810801,7.359736,4.7803297,5.8005486,5.1255226,3.1662571,5.4982986,6.256709,2.6843061,5.245563,3.372539,6.5960345,5.8220825,5.3572025,5.5501456,5.9400597,6.3359346,6.212806,4.48718,3.102805,6.7374516,3.463071,3.2839258,3.7521899,5.106188,3.2770548,3.2717848,5.6072884
t224,12.057165,-1.8024971,2.143078,3.6730938,3.6563494,5.3313947,5.355472,4.724979,4.848882,1.3073301,4.5773625,5.7166543,3.4842222,6.514153,2.605725,6.477648,6.0381956,5.772892,4.692347,7.798597,6.892456,6.06195,6.0854254,3.168347,6.6824694,5.1088896,4.320367,5.463937,6.0902743,4.1499996,4.0586195,4.428889
t225,11.9602785,-1.6366338,2.3155277,3.4674435,3.7683568,5.521766,5.320585,4.9005003,4.958404,1.2335327,4.8902817,5.8855896,3.6343095,6.701734,2.590608,6.366936,5.8106756,5.689679,4.587643,7.7276235,6.6961427,5.8820615,5.9254684,3.3362777,6.8453407,4.949678,4.507538,5.4339333,6.2775326,4.0430646,3.9202113,4.5856104
t181,11.937456,-1.5683839,2.3936563,3.3887103,3.8020413,5.602917,5.2806215,4.9685206,4.9870033,1.1978074,4.9871254,5.9540434,3.6667032,6.7718544,2.579104,6.310117,5.6983743,5.6554804,4.5405335,7.6903033,6.6261296,5.827182,5.840754,3.4046834,6.9223084,4.8918996,4.6050873,5.4232225,6.3512135,3.9833913,3.8777168,4.6597824
t157,11.935487,-1.5608947,2.4235873,3.3587308,3.8119428,5.635598,5.279323,4.992678,4.9896674,1.1763033,5.0248876,5.982931,3.7061174,6.7910037,2.5832565,6.2963247,5.657041,5.6356144,4.5153813,7.6613364,6.61209,5.8064203,5.8124423,3.4403048,6.9533873,4.8745313,4.643169,5.4114733,6.352433,3.9555461,3.8655221,4.690805
t134,11.925124,-1.517723,2.5116,3.274544,3.838492,5.728248,5.255893,5.0628343,5.001698,1.1215107,5.122682,6.062115,3.7778673,6.8523583,2.587269,6.245675,5.528571,5.5864234,4.4477963,7.5898027,6.5608263,5.7500105,5.7240767,3.5355468,7.0438924,4.819991,4.7602706,5.3849826,6.386574,3.8749745,3.8257983,4.78008
t188,11.945832,-1.6449502,2.2884812,3.4647706,3.7736795,5.5171843,5.3831654,4.8850627,4.9447794,1.2637831,4.9531403,5.873385,3.7178612,6.7023163,2.6093185,6.3986583,5.82644,5.714038,4.621845,7.765599,6.7013874,5.8482013,5.9276342,3.317091,6.818912,4.924782,4.4784136,5.415004,6.2690916,4.088512,3.894301,4.5566473
t318,11.967871,-1.7748783,2.034492,3.6330316,3.6621573,5.361232,5.7398467,4.6257563,4.731912,1.4931602,4.9230123,5.6597724,3.9452536,6.5479417,2.7006066,6.595106,6.05618,5.9267926,4.8830247,7.992645,6.89758,5.828263,6.007767,3.0823388,6.586419,4.898947,4.2207446,5.344794,6.136034,4.3243027,3.8539345,4.305607
t319,11.990648,-1.7597548,2.0690916,3.589569,3.6387687,5.389586,5.7301755,4.6710186,4.720032,1.4951265,4.938559,5.703469,3.9367087,6.582834,2.7261117,6.5650043,6.008358,5.9326196,4.878762,8.005742,6.8810625,5.8332257,5.9631853,3.0867639,6.611836,4.8993154,4.2653036,5.3172884,6.1345916,4.313193,3.8181107,4.331606
