"accepted_species","Medicinal"
"Hoppea_fastigiata",0
"Dictyanthus_eximius",0
"Galianthe_guaranitica",0
"Gonolobus_aristolochiifolius",0
"Morinda_morindoides",1
"Ceropegia_elenaduensis",1
"Rovaeanthus_strigosus",0
"Psychotria_chalconeura",0
"Coussarea_capitata",0
"Hoya_chunii",0
"Jobinia_schizocorona",0
"Perama_holosericea",NA
"Lasianthus_lanceolatus",0
"Gongronemopsis_obscura",0
"Vincetoxicum_diplostigma",0
"Cascabela_thevetia",1
"Rubia_balearica",0
"Cyclophyllum_lordbergense",0
"Praravinia_panayensis",0
"Carapichea_araguariensis",0
"Tennantia_sennii",0
"Rudgea_megalocarpa",0
"Matelea_fruticosa",0
"Virectaria_procumbens",NA
"Warszewiczia_uxpanapensis",0
"Chonemorpha_megacalyx",1
"Sommera_sabiceoides",0
"Catesbaea_gamboana",NA
"Bouvardia_hernan-maganae",0
"Voyria_obconica",0
"Strychnos_erichsonii",1
"Hindsia_republicana",0
"Blepharodon_colombianum",0
"Strychnos_trichoneura",0
"Strychnos_javariensis",0
"Bousigonia_angustifolia",0
"Atractocarpus_longistipitatus",0
"Rondeletia_exasperata",0
"Rondeletia_fortunensis",0
"Gardenia_moszkowskii",NA
"Gardenia_obtusifolia",1
"Spigelia_paraguariensis",0
"Psychotria_spathulifolia",0
"Danais_volubilis",NA
"Galium_plumosum",0
"Galium_tubiflorum",0
"Psychotria_keralensis",0
"Psychotria_christii",0
"Psychotria_expansissima",0
"Galium_aparine",1
"Psychotria_maingayi",0
"Galium_×_alberti",0
"Gaertnera_hirsuta",0
"Gaertnera_obesa",0
"Manettia_spraguei",0
"Ixora_neriifolia",0
"Alyxia_cylindrocarpa",0
"Ixora_effusa",0
"Canscora_bidoupensis",0
"Hoya_greenii",0
"Hoya_galenii",0
"Hedyotis_shenzhenensis",0
"Hoya_dennisii",0
"Tabernaemontana_pandacaqui",1
"Thiollierea_retusiflora",NA
"Rudgea_guianensis",0
"Rhigospira_quadrangularis",0
"Spermacoce_affinis",0
"Neonauclea_kentii",0
"Palicourea_apicata",0
"Dolicholobium_acuminatum",NA
"Hydnophytum_dauloense",0
"Schizoglossum_austromontanum",0
"Spermacoce_laevigata",0
"Hoffmannia_piratarum",0
"Hoffmannia_terepaimensis",0
"Triainolepis_sancta",0
"Spermacoce_aequabilis",0
"Gonolobus_sagasteguii",0
"Dischidia_dasyphylla",0
"Malanea_duckei",0
"Pavetta_camerounensis",0
"Lasianthus_ridleyi",0
"Lasianthus_saprosmoides",0
"Vinca_minor",1
"Elaeagia_laxiflora",0
"Wendlandia_tombuyukonensis",0
"Sabicea_glabrescens",NA
"Oldenlandia_sieberi",0
"Ophiorrhiza_australiana",0
"Ophiorrhiza_brachyantha",0
"Oldenlandia_paniculata",1
"Ophiorrhiza_wui",0
"Sabicea_romboutsii",0
"Faramea_ortiziana",NA
"Argostemma_parvum",NA
"Exacum_quinquenervium",1
"Argostemma_distichum",0
"Argostemma_ophirense",0
"Faramea_platypoda",0
