,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
t1,-0.4390775,-0.044425845,-0.20255917,-0.0040523876,-0.009712288,5.573519,-0.01536636,-0.41593495,-0.021264449,3.310851,3.520228,2.3642123,3.0743437,4.639318,1.5312605,-0.04245206,0.047079947,1.0088352,-0.09238674,-0.0005479264,-0.21366529,-0.07384408,2.9287376,0.38139313,0.0316535,3.8018568,0.18877462,0.03142287,1.9892001,2.5822017,-0.23389412,0.014026935,2.5455804,-0.05450945,0.03125719,-0.23251447,0.010119111,3.4392028
t2,-0.44966558,-0.033700477,-0.24810971,-0.0033302768,-0.02395699,5.8528,-0.00014559789,-0.4269993,-0.014846117,3.5385137,3.789578,2.3219464,3.4128637,4.4408526,1.7148964,-0.038482513,0.043373957,0.6436867,-0.0827681,-0.00074906053,-0.21074235,-0.09879756,3.2200704,0.332573,0.022152537,4.1005654,0.053511262,-0.0059623034,2.1979961,2.5059614,-0.20713992,0.017234022,2.7665765,-0.04855287,0.031494573,-0.2501447,0.010734527,3.5316296
t3,-0.5127258,-0.020084694,-0.2170318,-0.0018498258,0.16829042,8.349577,-0.0030623295,-0.5365315,-0.30674064,3.6606624,5.2979226,3.7263577,4.8754745,4.7151704,3.0832596,-0.043361265,0.05745206,0.31126034,-0.1254844,0.5484162,-0.25799507,-0.30141366,1.5349485,0.18351078,0.12537727,6.5192337,-0.093249194,-0.014499272,2.706681,4.024947,-0.21345742,0.023182465,1.5298793,-0.31884453,0.0477097,-0.31015563,0.007624692,3.8467884
t4,-0.51749593,-0.017960254,-0.21263602,-0.0017300425,0.19620974,8.509451,-0.0057887887,-0.5457892,-0.32653892,3.6621861,5.392688,3.8414137,4.990434,4.7498784,3.1638162,-0.04229695,0.058325995,0.31142464,-0.12832227,0.5785578,-0.26189002,-0.3154092,1.4633325,0.19180161,0.13306811,6.6850443,-0.097503275,-0.014866053,2.745761,4.1499867,-0.21449104,0.023617567,1.4593699,-0.33253536,0.048489477,-0.3160024,0.0071273525,3.866518
t5,-0.66293013,0.22640458,-0.027467847,-8.400025e-05,1.143167,12.156712,-0.014407577,-0.8027255,-0.78268385,4.3378177,7.4727125,6.9122925,8.312057,5.804405,6.188668,0.07242817,0.07142254,0.3944737,-0.15526289,1.4958891,-0.3668193,-0.7928101,-0.25755566,-0.0070435996,0.34099373,11.117158,-0.21195188,-0.016967913,4.366056,7.852648,-0.23678948,0.040210262,-0.055671375,-0.74783427,0.08264626,-0.43093,0.8149096,4.3360453
t6,-0.6396467,-0.006554579,-0.14372247,-0.0009890388,0.93119824,11.17678,-0.04260096,-0.7193274,-0.5882721,4.468855,6.7879047,5.705101,6.8303757,5.680996,5.004362,-0.04764988,0.073987864,0.26059115,-0.16157964,1.2390019,-0.3454253,-0.5884831,0.13239774,0.04040819,0.24596518,9.41814,-0.11042789,-0.011018157,3.4743786,6.318817,-0.2563854,0.03478942,0.44666317,-0.6169788,0.07065477,-0.42756417,0.68424857,4.3014565
t7,-0.669019,-0.03221463,-0.28128305,-0.004105013,1.0665622,12.879642,-0.1129613,-0.6577694,-0.5513013,4.4653487,7.04376,6.3950186,5.7163887,6.1998024,3.7636654,-0.104445204,0.07880936,-0.0024836797,-0.19682552,1.7999803,-0.32155237,-0.32485682,1.9970746,0.12834817,0.25438645,8.500122,-0.1563793,-0.02112084,2.421887,6.7952137,-0.22469288,0.027792554,0.5641643,-0.53589296,0.05738752,-0.4855573,0.014827888,4.2738857
t8,-0.62119013,0.19641678,0.08296359,0.15860258,0.834476,10.657219,0.7703933,-0.7408262,-0.7072657,3.8600075,6.8784904,6.1954083,8.107519,5.6669226,6.010271,0.6456424,0.06312711,0.9087966,-0.1305063,1.1631733,-0.33818832,-0.75567585,-0.3063605,-0.007895507,0.30154935,10.100583,-0.24381144,-0.0151131945,4.7390394,7.0408573,-0.2167497,0.038136728,-0.064368404,-0.6448664,0.0825778,-0.38047856,0.65826285,4.5032344
t9,-0.71769667,-0.016407628,-0.27735424,-0.0035734845,1.2945071,14.175333,-0.1321401,-0.72675025,-0.6695429,4.703758,7.7623234,7.1991577,6.6354933,6.5861716,4.44156,-0.10425909,0.08588501,-0.0030430888,-0.21634272,1.9820303,-0.35199556,-0.42789528,1.4948356,0.03945274,0.30263653,9.687484,-0.20235132,-0.021309257,2.6665602,7.777956,-0.23609808,0.031418882,0.09358622,-0.6562408,0.06359919,-0.5238316,0.010529449,4.4354825
t10,-0.6549094,-0.013244108,-0.16526222,-0.0014262565,0.89916456,11.110693,-0.036503535,-0.72310054,-0.5601563,4.6511316,6.770987,5.479034,6.69788,5.7771735,5.019819,-0.044328228,0.07545523,0.20819111,-0.15796757,1.2361258,-0.3491789,-0.57785094,0.4018233,0.010451,0.22886145,9.401211,-0.09240882,-0.0135512,3.4232948,6.139819,-0.26960716,0.034920976,0.85159993,-0.61244893,0.07211693,-0.4237531,0.67678607,4.3738427
