,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
t1,7.840594,3.945438,6.1395674,7.479993,5.567507,5.075067,3.3563128,6.213015,4.377709,3.7339125,4.1621366,5.146567,3.893237,5.728461,3.83955,5.567107,5.63288,5.793053,4.1390758,4.5603156,5.630839,4.919488,3.229604,4.9474764,5.8799543,3.732159,4.662443,6.2468014,3.8720984,6.6970906,5.6954126,3.8933072,3.7796817,5.968646,4.523601,6.2290993,6.9203644,4.9149604
t2,7.8957515,3.8682463,6.174848,7.504212,5.628443,5.1081533,3.3806705,6.242984,4.3366733,3.734621,4.1567736,5.1255097,3.861256,5.726148,3.8175893,5.5926003,5.6304436,5.7906227,4.1162887,4.601992,5.67155,4.927887,3.2479453,4.9533477,5.873857,3.7003546,4.6487584,6.2370853,3.869937,6.7090597,5.7020307,3.9077907,3.7304947,5.998556,4.528086,6.2514696,6.886006,4.918793
t3,7.6581783,4.2127895,6.10928,7.4042807,5.4174247,5.042665,3.3218088,6.19301,4.4750934,3.7279744,4.1233215,5.1556106,3.9149725,5.723787,3.8389642,5.5643377,5.6346025,5.8759975,4.1755047,4.4797077,5.558544,4.8835864,3.2376945,4.956722,5.8848844,3.814787,4.6515017,6.280521,3.8699718,6.6839104,5.664556,3.9070077,3.8660264,5.9499335,4.570404,6.2148614,6.9525623,4.8868117
t4,7.686737,4.186054,6.1253495,7.4290543,5.443079,5.061254,3.3400066,6.213767,4.4535117,3.7318587,4.117566,5.1476245,3.9031048,5.7178845,3.829458,5.579237,5.639319,5.8878345,4.1656466,4.503669,5.581985,4.894562,3.2500215,4.955231,5.8836308,3.7874057,4.648954,6.2701707,3.868663,6.6906376,5.6704063,3.9086812,3.842819,5.972691,4.573456,6.226193,6.9306507,4.8879457
t5,7.335504,4.687135,6.040266,7.145635,5.2285466,4.923587,3.283921,6.1017694,4.593624,3.7065978,4.1064014,5.1795535,3.9773438,5.74262,3.8813193,5.5413156,5.6519012,5.8297496,4.229971,4.3162003,5.412927,4.8779736,3.2018683,4.9411745,5.897118,4.005777,4.66864,6.2983537,3.8784454,6.644432,5.643519,3.8589196,3.982908,5.886588,4.559611,6.1640034,7.062706,4.8764462
t6,7.4862247,4.500919,6.0747657,7.2150927,5.318188,4.9858847,3.2867854,6.1417174,4.548285,3.7439516,4.132135,5.1823864,3.9452739,5.705269,3.8621905,5.526633,5.6101813,5.8579545,4.203551,4.3968134,5.4838142,4.8400655,3.2421105,4.9364247,5.890462,3.9139552,4.6619496,6.3135896,3.8725603,6.6643453,5.6465454,3.8838716,3.928014,5.9061804,4.575883,6.190989,6.987143,4.8839526
t7,7.4620347,4.5223827,6.0509,7.2067823,5.2580357,4.971612,3.2480497,6.1214585,4.554854,3.7320628,4.140778,5.195562,3.967696,5.7321415,3.8493063,5.502751,5.6332064,5.82708,4.223671,4.385577,5.462869,4.850123,3.1974595,4.968141,5.8955216,3.952786,4.6724286,6.305781,3.8622925,6.6758175,5.6452894,3.9174397,3.9657853,5.8748417,4.5628314,6.1656427,7.028047,4.8642225
t8,7.335976,4.6648765,6.03275,7.2318587,5.2197876,4.925853,3.2879689,6.1055374,4.601183,3.673702,4.101383,5.1816773,3.989274,5.7793255,3.8912213,5.5609226,5.66553,5.8912287,4.220733,4.2973075,5.398091,4.8945947,3.1789415,4.9638667,5.896871,4.0088496,4.6641,6.303704,3.8918018,6.629457,5.6383796,3.8451602,3.9999673,5.9028254,4.556034,6.1749415,7.0883017,4.8943195
t9,7.4007792,4.597455,6.0478454,7.1756206,5.2542095,4.948502,3.2749536,6.112141,4.5748496,3.722246,4.120568,5.18482,3.9692643,5.7286754,3.8699367,5.5246067,5.640089,5.8142695,4.224806,4.348941,5.4379926,4.8636227,3.20996,4.944136,5.8954034,3.9735641,4.6699166,6.3015842,3.872634,6.656866,5.64585,3.8780503,3.9687505,5.8804755,4.5628176,6.1684017,7.0394692,4.872901
t10,7.4642253,4.526404,6.0823574,7.2061243,5.310973,5.018244,3.24473,6.162828,4.521902,3.7238643,4.1649446,5.2069964,3.957712,5.74402,3.8296566,5.500029,5.5925417,5.8850675,4.1867766,4.4094543,5.4975414,4.821424,3.2008955,5.000787,5.8876166,3.9216053,4.65887,6.3418975,3.8745584,6.671715,5.631522,3.9130623,3.9382713,5.9034863,4.5684023,6.204645,7.0045547,4.906373
