"accepted_species","trait_ARD"
"t1","0"
"t2","1"
"t11","0"
"t62","0"
"t63",NA
"t73",NA
"t159","0"
"t160","0"
"t102",NA
"t72",NA
"t139",NA
"t140",NA
"t97",NA
"t89",NA
"t75",NA
"t76",NA
"t30",NA
"t107",NA
"t108","0"
"t57","1"
"t125",NA
"t126",NA
"t33",NA
"t35",NA
"t66","0"
"t67",NA
"t14","0"
"t17","0"
"t38","0"
"t60","0"
"t92","1"
"t93","0"
"t77","1"
"t99","0"
"t111","0"
"t153","0"
"t154","0"
"t169","0"
"t170","0"
"t120","0"
"t81","0"
"t142","1"
"t143","1"
"t59","0"
"t68","0"
"t69","0"
"t56","0"
"t44","1"
"t51","1"
"t52","1"
"t29","0"
"t22","1"
"t36","0"
"t37","0"
"t41","1"
"t42","1"
"t6","1"
"t5","1"
"t23","0"
"t24","0"
"t25","0"
"t144","0"
"t145","0"
"t100","0"
"t121","0"
"t122","0"
"t65","0"
"t7","0"
"t50","0"
"t70","0"
"t155","0"
"t156","0"
"t161","0"
"t162","0"
"t53","0"
"t46","0"
"t87","0"
"t88","0"
"t61","0"
"t151","0"
"t152","0"
"t105","0"
"t18","1"
"t34","1"
"t43","1"
"t48","1"
"t49","1"
"t47","0"
"t135","0"
"t171","0"
"t172","0"
"t91","0"
"t80","0"
"t118","0"
"t119","0"
"t117","0"
"t94","0"
"t39","0"
"t40","1"
"t28","0"
"t26","0"
"t27","0"
"t45","0"
"t137","0"
"t138","0"
"t106","0"
"t74","0"
"t114","0"
"t115","0"
"t58","0"
"t123","0"
"t124","0"
"t109","0"
"t64","0"
"t82","1"
"t83","0"
"t165","0"
"t166","0"
"t163","0"
"t164","0"
"t84","0"
"t129","1"
"t147","0"
"t148","1"
"t90","0"
"t31","0"
"t127","1"
"t128","1"
"t98","0"
"t86","0"
"t141","0"
"t149","0"
"t150","0"
"t55","1"
"t78","1"
"t79","1"
"t54","0"
"t133","1"
"t134","0"
"t85","0"
"t110","1"
"t113","1"
"t173","1"
"t174","1"
"t116","1"
"t32","0"
"t21","0"
"t3","0"
"t12","1"
"t13","1"
"t10","0"
"t4","0"
"t15","0"
"t16","0"
"t9","0"
"t19","0"
"t95","0"
"t96","0"
"t71","0"
"t130","1"
"t131","1"
"t132","1"
"t103","1"
"t104","1"
"t136","1"
"t167","1"
"t168","1"
"t112","1"
"t157","1"
"t158","1"
"t146","1"
"t101","1"
"t20","1"
"t8","1"
