"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109"
"t60",0.013619817935064,-0.247456360343179,-0.0706868813768654,-0.00601650242366883,0.0176809386421409,-0.0404524194858561,-0.000410250583375337,-0.000382678146059486,-0.0285177767449645,-0.0122162069488079,-0.210229587641019,0.000252377859041844,0.195652185448518,-0.000347330480968986,-0.000374384089144482,2.17530804044079e-06,2.97060896845515e-06,-0.000138678856986412,-0.000256895012281616,-0.000858099145472774,-0.000611600802620962,-8.17055133994039e-06,-0.000111945504809944,0.000300842532232757,-1.143721377208e-16,8.8189366349488e-05,-0.000703206295091323,-0.000505133713176698,0.000880164068567214,-0.00300552286976312,0.00857120644493527,-0.000172390433561662,-1.05869057366856e-05,7.92174635884439e-05,0.000118290705831427,-6.25267835742388e-06,-0.0214891235198019,4.98798210321476e-07,2.51449060178815e-05,1.58652344133312e-05,-2.70845623656038e-05,4.58065588778913e-06,0.000649368061668743,2.83991737811574e-05,0.00151287047031294,2.70062340511628e-07,-1.05349936381216e-06,1.82609386060574e-15,0.349948862122557,4.52405299924725e-05,-2.35023737148597e-05,-3.495872548379e-06,-4.36597368736571e-06,5.36831312788052e-07,1.0583174363338e-05,-1.69749663347971e-05,0.000927833670102808,-2.367466310617e-08,-9.30865552512138e-16,-9.94974376823123e-07,3.08848311326459e-15,4.58079902229671e-16,-1.21395725006022e-06,4.07911900810504e-07,-4.3632852728715e-06,1.74905700186598e-05,-2.09987397226866e-05,-4.62651414605918e-15,2.32159056687055e-15,-4.56799494035482e-07,-3.44315678827185e-07,-7.89906271104578e-06,-1.2080632443658e-07,9.58129437007945e-09,-1.34614644317604e-07,0.846148894448091,-4.86353811947794e-06,-1.79298089873399e-05,-6.41115387375325e-14,7.78077526361675e-06,-1.96634956422571e-05,-0.000121339669721131,-2.81609943405152e-15,3.5282246377306e-07,3.10874926289545e-07,5.93163824547504e-15,-0.00117570382552518,1.36823551788453e-15,1.18946785275263e-14,-1.00978369896845e-16,1.51573324135422e-15,9.4593228784417e-15,-9.7571050820882e-16,-8.71399813538397e-17,9.28671249165985e-16,5.7107291216046e-17,-1.6438907446748e-16,2.62853121469399e-15,7.4397908393577e-08,-1.69621057686017e-15,1.33767766475541e-15,-7.14665199541706e-17,-9.01979110852292e-15,-1.1870005503736e-15,1.23175585704913e-15,2.86361052306326e-15,-1.2228531012952e-14,-1.80370482075561e-14,-0.0957826285221097
"t77",0.0136381046933691,-0.248096763083501,-0.070965151831145,-0.00604899246694142,0.0177807035383577,-0.0407864176415766,-0.000414580778434182,-0.000387113327699256,-0.0289386459594409,-0.0124228364680926,-0.213966920710506,0.000257720408280063,0.200650285786909,-0.000357092292635789,-0.000385076352106941,2.23776616888858e-06,3.06187805834184e-06,-0.000143831925567656,-0.000269350037004295,-0.000903549636768068,-0.000644984336095195,-8.62708503418425e-06,-0.000118281289409684,0.000322893120537373,-2.58388301906995e-16,9.57357032654825e-05,-0.000763797065674279,-0.000548983172084636,0.000956787597436392,-0.00328306255523207,0.0093634232836409,-0.000188443549631202,-1.15752539659228e-05,8.70499551136129e-05,0.000131006641394489,-6.93565119751114e-06,-0.0240218802657395,5.59219421479876e-07,2.82413641999386e-05,1.80458398159615e-05,-3.08884924605832e-05,5.25842141451279e-06,0.000746383817241768,3.31567833283712e-05,0.00178574606768748,3.28790608759803e-07,-1.2831207022813e-06,1.43958841444126e-15,0.43987198337279,5.85966161646158e-05,-3.06716242460395e-05,-4.59043897095792e-06,-5.84968205731576e-06,7.45634319604818e-07,1.49308776812962e-05,-2.5113061594036e-05,0.00146438718756521,-3.94464030181638e-08,-5.76848001736241e-16,-1.89739584242366e-06,-6.4515036497361e-15,8.67877386416985e-17,-2.52479195649892e-06,8.70455666648731e-07,-9.90524365967281e-06,4.02174965562982e-05,-4.85130176844504e-05,1.43131211730009e-15,5.50084463547274e-16,-1.36592068414959e-06,-1.09868200625582e-06,-3.66954081782561e-05,-7.53440928068756e-07,-7.14469452717895e-08,1.1930742732401e-07,-0.375270813076626,2.08744497532084e-06,5.41892332095839e-06,2.80656263496665e-14,-1.82832516567329e-06,2.73371620713924e-06,7.91887204968247e-06,2.87907186598245e-15,1.13393285791645e-07,1.07654679549607e-07,-2.35343681805329e-15,-0.000524884070223396,-2.42139287405214e-14,5.00235788214229e-15,-5.78385422396482e-14,-3.99187535963052e-14,0.707106781186533,-7.73821150614416e-15,7.25409944717995e-15,-5.79402504069869e-14,3.25819636085035e-15,1.03550245784498e-14,5.77054789351257e-15,4.57096890347702e-08,-1.24090037814605e-15,-7.36418866048068e-15,3.88172085343584e-15,2.7678367051444e-14,-6.40728535893992e-15,9.13736800932785e-16,-1.74218625684281e-15,-1.24422995462649e-14,-1.71322106037967e-14,-0.0957826285221081
"t78",0.0136381046933684,-0.248096763083501,-0.0709651518311451,-0.00604899246694162,0.0177807035383578,-0.0407864176415768,-0.000414580778434392,-0.000387113327699055,-0.0289386459594407,-0.0124228364680922,-0.213966920710507,0.000257720408280433,0.200650285786908,-0.000357092292635303,-0.000385076352107658,2.23776616921454e-06,3.06187805833494e-06,-0.000143831925565806,-0.000269350037003461,-0.000903549636770173,-0.000644984336097235,-8.62708503424997e-06,-0.000118281289411023,0.000322893120538795,-2.9195378025044e-16,9.57357032651653e-05,-0.000763797065673915,-0.000548983172085577,0.000956787597438856,-0.0032830625552346,0.00936342328364267,-0.000188443549636173,-1.15752539681795e-05,8.70499551133756e-05,0.000131006641394648,-6.93565119608408e-06,-0.0240218802657324,5.59219422845019e-07,2.82413642002869e-05,1.80458398154946e-05,-3.08884924606855e-05,5.25842141498817e-06,0.000746383817242018,3.315678332843e-05,0.0017857460676897,3.28790609780905e-07,-1.28312070440574e-06,3.38833834559964e-15,0.439871983372767,5.85966161642153e-05,-3.06716242468078e-05,-4.59043897047746e-06,-5.84968205735397e-06,7.45634318190275e-07,1.49308776824625e-05,-2.51130615924976e-05,0.00146438718756067,-3.94464082145349e-08,-2.71067519741467e-16,-1.89739584621191e-06,6.71076287138734e-15,-1.08655258927847e-15,-2.52479195190531e-06,8.70455668181198e-07,-9.90524365345213e-06,4.02174965508355e-05,-4.85130176835325e-05,1.52224192501591e-15,-2.58825760844481e-16,-1.3659206897655e-06,-1.09868200247591e-06,-3.66954081615213e-05,-7.53440915634693e-07,-7.14469534502775e-08,1.19307416289828e-07,-0.375270813076601,2.08744501352752e-06,5.41892332363654e-06,2.88054306229435e-14,-1.8283251616095e-06,2.73371621086385e-06,7.91887204707697e-06,-3.15354584228034e-15,1.13393346168625e-07,1.07654655814943e-07,4.62804093160858e-15,-0.000524884069633765,2.31490422063407e-14,-6.94678026762894e-15,5.96701129962226e-14,3.57252924221485e-14,-0.707106781186561,7.66441767137844e-15,-8.62077413983537e-15,5.68464624363338e-14,-1.91477600771256e-15,-9.17816695693377e-15,-5.8567873492065e-15,4.57096998643309e-08,7.15525145216609e-16,5.15434947792645e-15,-2.35067736811799e-15,-2.89393274243251e-14,5.67549097985936e-15,2.09672725013224e-15,1.03968077261109e-14,-1.21877748812845e-14,-1.53300491272072e-14,-0.0957826285221116
"t67",0.0136498293251818,-0.248511223367015,-0.0711470838322679,-0.00607047021491448,0.0178467746185193,-0.0410120344943769,-0.000417557358446735,-0.000390186196171388,-0.0292373850992096,-0.0125719519107453,-0.216681954308029,0.000261704546577588,0.20450661021425,-0.000364776550572897,-0.000393523125803872,2.28716667320119e-06,3.135219208853e-06,-0.000148190111254594,-0.000280898963054925,-0.000947291482037035,-0.000677550999259925,-9.07731282347317e-06,-0.000124567716656733,0.000348188169352991,2.47155888715649e-16,0.000105424802538443,-0.000842029582985281,-0.000605946013146421,0.00105656038396239,-0.00366327815422443,0.0104496132301178,-0.00021060277716517,-1.29426756352409e-05,9.84957464795936e-05,0.000151314193369365,-8.04658290239879e-06,-0.0285502436289176,6.71347603979586e-07,3.41232950784109e-05,2.29879520233481e-05,-3.98596349335092e-05,7.03325666240576e-06,0.00100580728882483,5.02559483096562e-05,0.00305744209572222,1.56100207846768e-06,-6.32175864054867e-06,-1.5821842508877e-15,-0.402801586588634,2.37566109723319e-06,-3.97996984409923e-06,-8.59200844867029e-07,-1.85265022095811e-06,3.27326643246376e-07,7.03535532565288e-06,-1.33911213969981e-05,0.000842820903812752,-2.34419011521549e-08,-3.57941826153493e-15,-1.16488352635243e-06,2.55815842982292e-15,-7.50417208191141e-16,-1.55909514008102e-06,5.37846981559903e-07,-6.12100401196488e-06,2.48484237124314e-05,-2.99715278214711e-05,5.10372675090776e-15,-1.28055536678433e-15,-8.3485717289982e-07,-6.69057224346099e-07,-2.18728819600384e-05,-4.42697303749057e-07,-3.81436687259547e-08,3.85137849373985e-08,-0.0274797110171834,1.17902954009725e-07,-8.78519497242822e-07,7.4561077943494e-15,6.83845498238653e-07,-2.82157876526477e-06,-2.26060432505841e-05,-2.07755865481485e-14,1.41422123303976e-07,1.27385085761771e-07,-4.42704559480091e-14,0.817335774495219,5.11918321621477e-14,-7.3808393049792e-13,2.15921384978883e-14,-8.39616893058399e-15,3.46694895014821e-13,7.64953406003749e-15,-1.65291237503085e-15,-1.18555334232846e-14,7.68604423562341e-15,1.05928073188524e-14,1.4665702086044e-15,4.77828232375923e-08,1.51349771460205e-14,2.04236468144864e-16,7.04313639638371e-15,6.18487491157621e-17,-1.34600560729667e-14,2.73068041180019e-15,1.44332973433197e-14,-1.07711275096885e-14,-1.28532555161044e-14,-0.0957826285220977
"t71",0.0136504264735301,-0.248532132129601,-0.0711561677631101,-0.00607153066933632,0.0178500308078122,-0.0410229335042967,-0.000417698644237725,-0.000390330902388901,-0.0292511162923396,-0.0125786936447278,-0.216803896726246,0.000261878900712311,0.204669800581688,-0.000365095401887939,-0.000393872395629616,2.28920696386097e-06,3.13820178350187e-06,-0.00014835877347902,-0.000281308343741692,-0.000948788704640697,-0.000678651686782268,-9.09237630131821e-06,-0.000124776856844752,0.000348925281761354,1.4580930846649e-16,0.00010568040755003,-0.000844083384790054,-0.000607433546889934,0.00105916055082122,-0.00367276344713098,0.010476691563118,-0.000211152025869838,-1.29765029523095e-05,9.87661103309752e-05,0.000151759936428249,-8.07060613528992e-06,-0.0286410472281378,6.73531543201351e-07,3.42358112785741e-05,2.30708199032457e-05,-4.00058309685525e-05,7.06014516525556e-06,0.00100968203949949,5.04676360352785e-05,0.0030710675137275,1.56898925957178e-06,-6.35415859594971e-06,-1.84129045376628e-15,-0.405119255422119,2.39066341250413e-06,-4.00564468538225e-06,-8.64837501951541e-07,-1.86545017673781e-06,3.29781088322755e-07,7.08982012519584e-06,-1.35041196143084e-05,0.000850654641680178,-2.36749123039014e-08,4.58126436545137e-15,-1.17806079123608e-06,-4.93643170430746e-15,5.14343648176147e-16,-1.5778798703257e-06,5.44434662923156e-07,-6.19873201739308e-06,2.51661524107378e-05,-3.03557269985881e-05,-1.33336200389144e-15,3.64183040455176e-16,-8.4677903126847e-07,-6.78807690456432e-07,-2.22198399825203e-05,-4.50015839569415e-07,-3.88912285744032e-08,3.95164531429521e-08,-0.028301653908045,1.21452069059776e-07,-9.06739078147702e-07,1.11124767015009e-15,7.06753911546008e-07,-2.9232107732239e-06,-2.34788167783812e-05,1.07322473345696e-14,1.56269260845582e-07,1.43703585787375e-07,-3.88748771578064e-13,-0.407406607022978,-4.28153298145678e-14,-0.707106781186177,2.37748778473205e-13,2.01515271770783e-14,-1.57651669496772e-13,-4.88414426429313e-15,-1.54281432942045e-14,-8.44863340072829e-15,7.49025199751602e-17,-6.20743683809242e-15,1.04086232455896e-15,4.58528114856408e-08,-8.91028857530835e-15,-6.15866123270691e-15,-5.29674980952218e-15,-1.02051597985985e-14,2.63261584622572e-15,4.17316239536421e-16,-2.84887928309058e-15,-1.1460760308609e-14,-1.99887732744459e-14,-0.0957826285221475
"t72",0.01365042647353,-0.248532132129601,-0.0711561677631101,-0.00607153066933605,0.017850030807812,-0.0410229335042967,-0.000417698644238197,-0.000390330902388396,-0.0292511162923398,-0.0125786936447274,-0.216803896726245,0.000261878900712584,0.20466980058169,-0.000365095401887815,-0.000393872395630194,2.28920696378367e-06,3.13820178349324e-06,-0.000148358773479429,-0.000281308343741518,-0.000948788704641092,-0.000678651686782974,-9.09237630139121e-06,-0.000124776856843913,0.000348925281758671,2.04141720434969e-16,0.000105680407549785,-0.00084408338478982,-0.000607433546890316,0.00105916055082157,-0.00367276344713034,0.0104766915631156,-0.000211152025864597,-1.29765029543661e-05,9.87661103296936e-05,0.000151759936427145,-8.07060613695215e-06,-0.0286410472281402,6.73531545287917e-07,3.42358112785792e-05,2.30708199045419e-05,-4.000583096918e-05,7.06014516433323e-06,0.00100968203950546,5.04676360343255e-05,0.00307106751372466,1.56898926221289e-06,-6.35415859576992e-06,-3.17841300296667e-15,-0.40511925542212,2.39066341297499e-06,-4.00564468481277e-06,-8.64837503147022e-07,-1.86545017558399e-06,3.29781088803031e-07,7.08982012521526e-06,-1.35041196177745e-05,0.000850654641662721,-2.3674905560157e-08,7.72243753131726e-16,-1.17806079107859e-06,-5.28929533432678e-16,1.55343774764121e-15,-1.57787987021076e-06,5.44434653803331e-07,-6.19873201938635e-06,2.51661524070256e-05,-3.03557269874943e-05,-4.77247845110041e-15,-1.43246690571133e-15,-8.46779029664908e-07,-6.78807686894493e-07,-2.22198399882569e-05,-4.50015841764956e-07,-3.88912387021276e-08,3.95164547887374e-08,-0.0283016539080595,1.21452076628384e-07,-9.06739078610426e-07,-2.26951385195954e-15,7.0675390561187e-07,-2.92321077793929e-06,-2.34788167993588e-05,1.32050027140278e-14,1.56269314998673e-07,1.43703627135974e-07,4.42486744482803e-13,-0.407406607021699,-8.68749518515671e-15,0.707106781186917,-2.5926114478107e-13,-9.97119340142132e-15,-1.70086167372574e-13,-3.43323455659233e-15,1.79048527163715e-14,2.06267239993826e-14,-7.71195373877425e-15,-3.37850449418287e-15,5.81657941861446e-16,4.58528237844578e-08,-5.18798611415808e-15,2.44435382705149e-15,-2.36408594048286e-16,-2.18117498420236e-15,5.94528535594344e-15,1.38380833996948e-15,1.20712024965064e-15,-1.31360605782004e-14,-1.79125897795722e-14,-0.0957826285221143
"t12",0.0129448412557513,-0.223300029405057,-0.059930413446019,-0.00472520083786157,0.0136969835630529,-0.0263751725180597,-0.00021790828051643,-0.000180583150711412,-0.00759016132400391,-0.00119825558150103,-0.00465769569255366,-8.78139823644794e-05,-0.23057565865572,0.000774009009067414,0.000947576235327513,-5.75687454239506e-06,-1.65683300762825e-05,-0.000437913333352099,-5.12496131887527e-05,0.000285428936935143,0.000316095642831368,5.42363480363725e-06,8.3538456037381e-05,-0.00090721080663481,3.53045727093377e-16,-0.000510333785581047,0.00420009584403004,0.00312382766187134,-0.00551748553249939,0.0301273231727003,-0.0885201017081209,0.0424947078976952,4.87637858731282e-06,-0.000841450849728091,-0.00213957948704815,0.000127417750066968,0.93324944742143,-3.35177537642348e-05,-0.00245094506109318,0.000999311164836664,-0.00134511034575087,0.000156241881231218,0.0210471779216923,0.000631290381426761,0.0304516592645395,8.88678294122633e-06,-3.56773629701937e-05,-4.72090182328657e-16,-0.00745379729460703,0.000202353671097148,-0.000113461890587969,-1.76374469996054e-05,-2.40126180681031e-05,3.15910070567758e-06,6.33346248308717e-05,-0.000105322384534669,0.00598385834175678,-1.57632527089735e-07,-2.20176070331306e-16,-7.2195553859332e-06,8.82236373791732e-16,-1.93180682431365e-16,-9.35601417981846e-06,3.20250671167734e-06,-3.585503050426e-05,0.000145115846855886,-0.000174844714271501,7.95724643477913e-16,-3.65213900230774e-16,-4.66496551364218e-06,-3.71086927881074e-06,-0.000117824200807092,-2.35283197015755e-06,-1.92110263328528e-07,1.66465829568831e-07,-0.00332553705466691,-1.72461240807373e-07,-6.87638377341506e-06,-2.43136755475484e-16,4.40747651613435e-06,-1.62301362435692e-05,-0.000124060825714515,4.51244738403628e-17,7.07472073280291e-07,6.41543603743743e-07,2.61068279827429e-15,-8.02748715763625e-05,-2.58802952102441e-16,3.88579059582047e-15,5.48811650590285e-17,-6.07121607489712e-16,4.9960036108132e-15,-7.71421890943974e-16,2.15155646609647e-16,1.20613588202259e-15,3.5833907195968e-16,7.11010781596689e-16,1.43107841054045e-15,1.93696087045016e-07,1.02563585392571e-15,2.21776439769604e-16,2.19358188163302e-16,-4.20224833038238e-15,-4.03274975917266e-16,1.56334869374471e-15,2.84590474978993e-15,-1.22496631832186e-14,-1.70719768364837e-14,-0.0957826285221119
"t98",0.0131949829787957,-0.231836775494948,-0.0635182294078146,-0.00512605178130971,0.0149177528111593,-0.0300315967360834,-0.000258789379128163,-0.0002187909689914,-0.00981991134740422,-0.00162811790445425,-0.00646110406904055,-0.000133084917478976,-0.399794930231529,0.00147221935498053,0.00183462094316936,-1.12137564010671e-05,-3.51304279328179e-05,-0.00132829967781731,-0.0011399923481213,-0.00350280769492479,-0.00244804103371314,-3.22949057427111e-05,-0.000439848654144856,0.00121645198682352,-3.85990795972266e-16,0.000497585735917818,-0.0041208684289342,-0.003102113362734,0.0055142262207888,-0.0806025566440255,0.254132723652501,-0.430553251331388,0.000820261731660403,3.23833727073238e-05,0.000350101165466636,-2.0619267264226e-05,-0.12324845957289,3.95502749268661e-06,0.000267925147389068,-5.23083290420706e-05,5.62548501285944e-05,-2.75634249750657e-06,-0.000280986061545107,2.08108350402792e-05,0.00178932413915411,9.98010737611801e-07,-4.02687287608179e-06,-5.12028666886759e-16,-0.00111040948141763,3.51081053784047e-05,-2.02677443567001e-05,-3.21990876745987e-06,-4.65986761221153e-06,6.65056773854373e-07,1.37070075595917e-05,-2.4337627894999e-05,0.00146933522785947,-4.01235942657846e-08,4.58528601070373e-16,-1.94751253307786e-06,-4.24929177629701e-15,5.20415550628295e-16,-2.58509839729561e-06,8.90060062881135e-07,-1.00886691081995e-05,4.09250533413768e-05,-4.9349623837544e-05,-1.4046340688992e-15,3.8522039245381e-16,-1.36016032041838e-06,-1.0879916699611e-06,-3.52924774828223e-05,-7.11500960674462e-07,-6.00999218338308e-08,5.43149202856426e-08,-0.00110224695219627,-5.71998496125651e-08,-2.2954128423363e-06,4.65576219605061e-16,1.47702499139911e-06,-5.47344228539716e-06,-4.20713717202253e-05,4.01018863638671e-15,2.51305084604437e-07,2.28941752688246e-07,-1.48919776761968e-15,-2.92884111990307e-05,1.30196616903986e-15,8.87426996752833e-15,7.09697735872756e-16,1.1912436223412e-15,3.03923552991137e-14,4.23787458632837e-15,6.30963083608511e-15,1.20030672695204e-14,-5.69530012768748e-15,4.76510070351127e-16,-2.84751501019516e-16,7.48711878307665e-08,-1.64815266869865e-14,3.23599023927642e-14,-8.57126037784673e-14,-0.707106781186552,5.5059997618539e-14,-4.45306382211671e-14,3.60782110410042e-14,-8.7656256404885e-15,-2.04803317067966e-14,-0.0957826285220897
"t99",0.0131949829787957,-0.231836775494948,-0.0635182294078147,-0.00512605178131004,0.0149177528111589,-0.0300315967360835,-0.000258789379128497,-0.000218790968991665,-0.00981991134740384,-0.00162811790445395,-0.00646110406904078,-0.00013308491747911,-0.399794930231531,0.00147221935498032,0.00183462094316976,-1.12137564008632e-05,-3.51304279325672e-05,-0.00132829967781731,-0.0011399923481213,-0.0035028076949244,-0.00244804103371371,-3.22949057420676e-05,-0.000439848654144684,0.00121645198682473,3.23729826644114e-16,0.000497585735916798,-0.00412086842893554,-0.00310211336273413,0.0055142262207885,-0.0806025566440264,0.254132723652504,-0.43055325133139,0.000820261731660333,3.23833727067728e-05,0.000350101165466702,-2.06192672635908e-05,-0.123248459572889,3.95502749362425e-06,0.000267925147389376,-5.23083290416069e-05,5.62548501300171e-05,-2.75634249795568e-06,-0.000280986061541374,2.08108350386641e-05,0.00178932413915618,9.98010738439692e-07,-4.02687287527868e-06,1.14141318257013e-16,-0.00111040948141888,3.51081053774995e-05,-2.02677443569906e-05,-3.21990876892648e-06,-4.65986761367489e-06,6.65056774984683e-07,1.37070075581377e-05,-2.43376278984083e-05,0.00146933522785895,-4.0123593404094e-08,-1.10022381773938e-15,-1.94751253220191e-06,3.73895924524579e-15,-7.97855633365423e-16,-2.58509839698675e-06,8.90060058199361e-07,-1.00886691083621e-05,4.09250533433625e-05,-4.93496238370206e-05,-9.07623259824802e-18,5.49363441151599e-16,-1.3601603214971e-06,-1.087991669005e-06,-3.52924774810939e-05,-7.11500951498711e-07,-6.0099925459758e-08,5.43149178685144e-08,-0.00110224695218683,-5.719984422639e-08,-2.29541284019213e-06,3.68179269734158e-16,1.47702499607031e-06,-5.47344228341049e-06,-4.2071371720344e-05,-5.06122338789461e-15,2.51305085920001e-07,2.28941752649693e-07,1.03555346463299e-14,-2.92884112057892e-05,-1.29837954513595e-15,6.30864009686373e-16,7.19813124259184e-16,-1.78315545617883e-15,-2.67286193178506e-14,-5.09029510497894e-15,-6.86771111490844e-15,-1.27235294341752e-14,6.0626550861211e-15,8.09183693915155e-17,3.09532546777802e-15,7.48712228187226e-08,1.49325038167099e-14,-3.38864424214637e-14,8.66176653472068e-14,0.707106781186543,-5.75491290541293e-14,4.733865613495e-14,-2.69202393764707e-14,-1.54260713904504e-14,-1.32992985428135e-14,-0.095782628522147
"t65",0.0131744290615514,-0.2311316387852,-0.0632201522245598,-0.00509253347259307,0.0148155639278908,-0.0297218269509463,-0.000255287510436098,-0.000215501265179811,-0.00962476467057193,-0.00159005295744941,-0.0063006355126837,-0.000128975902470099,-0.384002352222581,0.00140590365432411,0.00175009762455038,-1.06932216388471e-05,-3.33334666170319e-05,-0.00123747431182672,-0.0010151498680001,-0.00304225656736984,-0.00210406081509906,-2.75081446937749e-05,-0.000372668762632607,0.000814918740246183,-4.28244695841367e-17,0.00012045658107601,-0.000821569982141401,-0.000459241529092119,0.000698515854027593,0.060732302635751,-0.198345075763124,0.445828668329012,-0.000933713399143426,0.000624221384076778,0.000808477163112484,-4.37181038990441e-05,-0.20659815128213,6.31071807809952e-06,0.000417042944318429,-7.29419214048845e-05,7.73165306262943e-05,-3.67911302594389e-06,-0.000373298323523109,2.64709537113616e-05,0.00223133117849317,1.20274822018807e-06,-4.8514127513646e-06,3.39539000346184e-16,-0.00131258502079121,4.10254554336003e-05,-2.36298059769081e-05,-3.74758070398254e-06,-5.39699567976296e-06,7.6511945694284e-07,1.57328897414438e-05,-2.77798380578929e-05,0.00166837841144962,-4.54159760544914e-08,9.49768028534692e-16,-2.1931114987148e-06,-2.95863436897611e-15,2.7021218972183e-16,-2.90488372807365e-06,9.99639808668932e-07,-1.13182253359032e-05,4.59033966637573e-05,-5.53486941177823e-05,-6.52417072651066e-16,-7.75362063925333e-16,-1.52104870514498e-06,-1.21607674988789e-06,-3.93709093863038e-05,-7.93036376746415e-07,-6.67802963951598e-08,6.01200061166267e-08,-0.00121829068026577,-6.32179657414552e-08,-2.53541271724687e-06,-8.84590486229057e-16,1.63086946395856e-06,-6.04002898302186e-06,-4.64025964655213e-05,4.58727510882066e-15,2.75989039455997e-07,2.51321235258621e-07,-0.707106781186546,-3.20852878297265e-05,-4.28788220330849e-14,4.16347833653127e-13,-2.22099473096242e-14,3.22445969938014e-15,-5.96744875736022e-15,4.14931692677053e-15,7.59485522365973e-15,2.59141548428855e-15,-1.1240825723264e-15,3.96375558966471e-15,1.30648649088611e-15,8.15804463078769e-08,-3.87339850825718e-15,-1.18748427577641e-15,3.10999174597823e-16,2.63940439433305e-15,4.83236677117558e-16,7.90584151339295e-16,3.49889741835119e-15,-1.38767725079671e-14,-1.97174122393378e-14,-0.0957826285221358
