"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126"
"t12",-0.135004455391633,-0.0199080959551717,0.0059623450920283,0.00519574383186866,0.00207739234574392,-0.0076115754529335,-0.000884389966179589,2.5204289093174e-05,-0.00235595178575602,0.00216167718067615,0.000335081409932142,-0.00257060967053817,3.95846410647275e-05,0.00438671937124398,-1.17597376005409e-05,0.000401358637858922,0.0313644097739691,-0.0446982841189415,0.200350254276429,-0.000755643656894342,-2.11361025904537e-06,3.17516801488508e-05,-0.0181045212847889,0.0144503301837796,-0.0363619082984743,0.0156530317207316,0.140692071111168,0.000770131254755266,-0.00316837852917013,0.715120266409788,0.541705923648111,0.00240004369159226,0.00195299190694509,0.102486017059316,0.00111548776874124,-0.238129442953177,-3.02623170308947e-15,0.00903068243295773,-0.0207875762212303,-0.00655329507960368,0.000710647460988193,0.0593677841935497,-0.000109036751035751,1.06211286614613e-06,-0.0011655856828716,-0.021929704608543,0.0853559331040775,0.0555602138208731,-4.33492581740785e-17,0.00154902701458378,-0.0504864679482325,0.00210903931258093,0.136615586240241,-3.6087230289115e-15,0.000412761342722198,9.27833658110725e-17,-4.54280624437556e-05,-0.000260800160044964,0.000458389290988214,-0.000660442412477235,0.00435567965516343,-6.70723706888001e-16,0.000205478534270705,-0.000216473653043652,-0.000615432661827068,-0.00138498615638752,-1.8601977174417e-05,0.000149311989989184,-2.01590617060688e-05,-3.42916266414973e-05,-0.000499401711772923,-0.00020169691746919,-1.48071005627917e-16,0.000341312024810272,-0.00062187731428347,0.00136371763406879,-1.43229702870989e-05,-2.00406431325024e-05,-4.54920415672301e-05,0.000451163813787067,-3.22895344044596e-05,1.34799789554989e-05,0.0013024466257431,4.11609797386913e-06,-0.000310409338241895,-7.71438079988285e-05,1.74184842459925e-08,3.26914625797172e-06,-3.23017876958542e-06,-4.19189558047199e-06,-9.19392151046555e-17,5.60347307009895e-17,-0.00068121540375141,-1.45615171008077e-05,1.32777836222996e-17,1.51453691854979e-06,0.00123065984100045,-3.55427685781884e-07,-4.8523478008145e-08,-4.23510585059579e-17,-1.47318353746099e-16,6.71991519771857e-06,-3.13414299868368e-16,-6.13907972217943e-16,-2.19238826917088e-08,-0.000881089224144258,2.96257935260938e-16,7.89500352087605e-16,-2.72526499212433e-16,-1.09355638018811e-16,3.73770506023274e-16,3.52031720593012e-15,-2.70394465323373e-16,-9.38315140403015e-16,1.4069601150627e-16,-2.62735841829659e-16,-1.15597991583811e-14,1.21485937827666e-15,1.49395857262078e-15,1.77537507683001e-15,-1.3913803295095e-15,-1.12693761122943e-15,1.03871362423186e-15,-6.60702439696233e-07,-6.20750531095138e-15,-0.0890870806374726
"t43",-0.170061697765024,-0.0263752574971776,0.0132591721456939,0.0137982552325182,0.00807262038424955,-0.23606279962686,0.0097098057266601,-0.000160587565695226,0.00339115863541248,-0.00265089153387609,-0.000387241937426232,0.00211232972958365,-3.22845267701958e-05,-0.00324279731749205,5.9000345001831e-06,-0.000162020882261012,-0.00843957725939499,0.0111920382174636,-0.0458518765507772,0.000496708115464726,2.18470328820942e-07,-3.22803212455385e-06,0.00126678475544079,-0.00084709948181756,0.00157609510365234,-0.000555592558973166,-0.00452116255938151,-2.22405206398366e-05,8.57199243705899e-05,-0.0186140436069445,-0.0125052911019492,-1.02705217228587e-05,-7.16982839271707e-06,-5.52634239818738e-05,3.01861955527587e-06,-0.00172866317241887,3.15715124072465e-16,-0.19228403701743,-0.00115868494202387,-0.000345868404720566,2.85822802815202e-05,0.00123050260959552,-2.20961409311233e-06,1.74682866891873e-08,-1.32999707506004e-05,0.000436683898198738,-0.0062694089118784,-0.00457775416402713,-4.00436574019408e-16,-0.000691052091895402,0.231005622780171,0.00143582663622151,0.0757036915019929,-5.41086273669634e-15,0.000154194062546262,-1.49116310270568e-15,-1.90087805846973e-05,-0.000151906745463999,0.000309972041207406,-0.552985646525152,-0.00109861998201167,-4.93124091494094e-15,0.296360837026634,-1.64026491892274e-05,-0.0603475589808084,-0.000214411603055106,-3.46225737249518e-06,2.94475270050438e-05,-4.9283045980601e-06,-1.27639032776666e-05,-0.640255656439637,5.35883610629517e-06,-6.6907188325189e-16,0.0019959346804353,-6.35571369661241e-05,0.000180933706654816,-1.55608420807418e-06,-2.37620663380111e-06,-5.41452142223774e-06,5.60952564507515e-05,-4.0796878678508e-06,1.71692477112109e-06,0.000195999928679703,5.3083580780107e-07,-4.72924718699177e-05,-1.01748695475594e-05,2.32623500515506e-09,4.48712881095648e-07,-4.44310387479308e-07,-5.7903653453845e-07,8.32331728739406e-15,-3.76878618635011e-16,-9.59826675958811e-05,-2.08538365377828e-06,3.49504667543367e-16,2.17291542001352e-07,0.000207484724363191,-5.23918928297907e-08,-7.21833736984618e-09,2.57460746876191e-16,-2.72605761602239e-16,1.01163306647237e-06,9.36611391711112e-16,-8.64226759782182e-17,-3.31594828029883e-09,-0.000154561317319113,2.16868696453145e-16,2.21755985867038e-15,3.16650195012295e-17,-2.74801741118679e-15,-1.73896429576287e-15,4.74106056447749e-15,1.1636964126252e-15,-2.90980210017379e-15,1.62340773894033e-15,-4.59670702088046e-16,-6.50810805780963e-15,9.8454003472577e-16,1.93422826121967e-15,2.36160003860796e-15,-9.0581611283867e-16,-1.70979858356053e-15,1.14815374332484e-15,-1.05533857666901e-07,-5.44410786044045e-15,-0.0890870806374809
"t44",-0.169913002764814,-0.0263479728943576,0.0132296432092599,0.0137637987935044,0.00804903219620697,-0.235118127264097,0.00966843222008167,-0.000159872928961211,0.00337057616930195,-0.00263388493043124,-0.000384703183901612,0.0020964651079368,-3.20412783343272e-05,-0.00321730065728894,5.84449903989704e-06,-0.000160322759112723,-0.00833038294400336,0.0110413326983862,-0.0452001763963026,0.000488557265958176,2.1449588976953e-07,-3.1683435502921e-06,0.00123901583854488,-0.000827366012412062,0.00153593722448876,-0.000540590164226565,-0.00439713158825168,-2.16160314996769e-05,8.32801792431169e-05,-0.0180800292385696,-0.012139258388135,-9.91271406303169e-06,-6.91831397560938e-06,-5.32497840290531e-05,2.90349994003101e-06,-0.0016509791792544,1.79190544226822e-16,-0.182542689572796,-0.00109695854256889,-0.000327341401832787,2.6975184902885e-05,0.00114413114137241,-2.05389778335832e-06,1.61998803506658e-08,-1.23019294301888e-05,0.000399624585785797,-0.00568423275982339,-0.00414398858215203,-9.68319999216518e-16,-0.000615637141180361,0.203835711116251,0.0012464091324988,0.0653308292355478,-4.4121057260188e-15,0.000130738426359635,-1.03440347906113e-15,-1.55859282817512e-05,-0.000121496640704232,0.00024666570964357,-0.431884853993039,-0.000844108185732258,-3.60742304626554e-15,0.222531314883677,-1.16333815169452e-05,-0.0358517086870558,-9.92623315956333e-05,-1.02701181817249e-06,6.8336203215251e-06,5.20230566991534e-08,5.13035059153249e-06,0.766167256053311,-6.92226639951395e-05,3.53941370045436e-15,0.0197477276472022,-0.000119013128733621,0.000298116078961138,-2.56185908583679e-06,-3.57392622214421e-06,-8.09897598622304e-06,7.88466616349579e-05,-5.61003920405011e-06,2.33870066210754e-06,0.000265991456190357,7.09261417419322e-07,-6.30189866149212e-05,-1.32052076446174e-05,2.97244196056279e-09,5.55139613950479e-07,-5.48379510768479e-07,-7.11320361418572e-07,2.03264342345995e-15,-1.50068292422027e-15,-0.000115468047351536,-2.46949962023903e-06,2.9799052514735e-17,2.56889731107284e-07,0.000242987201412346,-6.05070491509175e-08,-8.27832058277984e-09,-1.15628423655577e-15,-7.07173084465777e-16,1.15036030213591e-06,-8.14829551487058e-16,2.61031009887191e-15,-3.75897982255076e-09,-0.000174800247722378,-3.5062044135326e-16,-1.83527795732369e-15,-4.70532001195401e-16,-7.48542109540257e-16,1.13748286250887e-15,-3.37292379650173e-15,-1.1019796406182e-15,-2.30525378371988e-15,-8.96874358874729e-16,-1.04122044254521e-15,-4.49997358255051e-15,4.15788912493676e-16,4.06180550265708e-16,7.55487445634488e-16,-2.23143486751894e-15,-1.13924409804769e-15,9.87033863315557e-16,-1.160397333531e-07,-6.20120427077406e-15,-0.089087080637477
"t110",-0.171626965243802,-0.0266630636273669,0.0135754859263072,0.0141686541395397,0.00832760247330565,-0.246421302314514,0.0101650451090356,-0.000168470752132911,0.00362323851100434,-0.00284356396771858,-0.000416059882853398,0.0022948128362207,-3.50834358156193e-05,-0.00353752200289173,6.55626122594624e-06,-0.000182398657014333,-0.0097985563785225,0.0130826911134101,-0.054121789028027,0.000603759573684114,2.72194804748668e-07,-4.0388399941184e-06,0.00166657819781768,-0.00113818642991431,0.00219252301342143,-0.000792593603408481,-0.00649683806610201,-3.23133741188538e-05,0.000125368998041563,-0.0273314220106033,-0.0185499767398886,-1.69195184817847e-05,-1.18691151915243e-05,-9.40775371865896e-05,5.32919058817367e-06,-0.00359619743404265,-3.53389105804575e-16,-0.473161413455545,-0.00311654855979403,-0.000940204700247457,8.6060039209434e-05,0.00900203095600705,-1.66597038173762e-05,1.72203140532291e-07,-0.000202655015765174,-0.00521399750391714,0.0286669192587056,0.018928819929758,6.0416435718051e-16,0.00142029472054412,-0.360970258827982,-0.00156909246739038,-0.0743336705760816,4.27136251933536e-15,-0.00011484677582477,-4.21788983658968e-16,9.39435556096208e-06,5.86323157929453e-05,-0.000114217155095607,0.173240317842123,0.000301627193788831,8.77054614295246e-16,-0.0684034755949833,2.56192667430771e-06,0.00310967132286974,-4.36956129085825e-08,-1.06699883969933e-07,1.11022173642289e-06,-2.52717011454274e-07,-6.87704631590322e-07,-0.0226100318221637,-2.61606309274522e-06,1.56084017791228e-17,0.00118583763797127,-1.77793348352958e-05,5.25823782146832e-05,-4.52382631999388e-07,-7.27609687146482e-07,-1.66465119990723e-06,1.82049030845098e-05,-1.3553628275164e-06,5.76673395965025e-07,6.61236041049947e-05,1.82612238682473e-07,-1.6326394048375e-05,-3.64590894779022e-06,8.54174242694247e-10,1.74535107356381e-07,-1.73633428221596e-07,-2.28409151339409e-07,-1.66767363897539e-15,-2.88046567772595e-16,-3.95997091635165e-05,-8.93287651770692e-07,1.95023497177966e-15,9.3465327387002e-08,9.14615142917415e-05,-2.40095975280262e-08,-3.37747172823793e-09,2.01014296054833e-15,-5.80408102151684e-15,4.86113214891013e-07,-1.13594785817189e-15,1.23577000282969e-15,-1.60956451618795e-09,-7.56101068069625e-05,3.30993335137446e-16,5.62267485806129e-15,9.42151935446463e-15,5.54129945726278e-15,1.28556843224134e-14,2.81735864382838e-14,-1.78294150333565e-14,-9.34184562182004e-14,1.56409210892423e-14,2.84095072288031e-14,-0.707106781186559,-9.64574269490948e-15,-9.36867525663966e-14,-5.90361616266317e-14,1.10409069027079e-14,2.34376100370031e-14,8.3347293330477e-15,-5.72751667732678e-08,1.5889474785387e-14,-0.0890870806373831
"t111",-0.171626965243802,-0.0266630636273661,0.0135754859263063,0.0141686541395391,0.00832760247330549,-0.246421302314513,0.0101650451090357,-0.000168470752133135,0.00362323851100417,-0.00284356396771859,-0.000416059882853596,0.00229481283622086,-3.50834358154331e-05,-0.00353752200289165,6.5562612259961e-06,-0.000182398657014572,-0.00979855637852169,0.0130826911134096,-0.054121789028025,0.000603759573683863,2.72194804926956e-07,-4.03883999489778e-06,0.00166657819781785,-0.00113818642991399,0.00219252301342111,-0.000792593603408587,-0.00649683806610144,-3.23133741187907e-05,0.000125368998041739,-0.0273314220106035,-0.0185499767398874,-1.69195184809727e-05,-1.1869115191589e-05,-9.40775371876257e-05,5.3291905884149e-06,-0.00359619743403937,-1.44700744663006e-16,-0.473161413455538,-0.00311654855979474,-0.000940204700246539,8.60600392087408e-05,0.00900203095600762,-1.66597038150322e-05,1.72203139232488e-07,-0.000202655015765394,-0.00521399750391644,0.0286669192587016,0.0189288199297558,-7.23109426351381e-17,0.00142029472054476,-0.36097025882798,-0.00156909246739051,-0.0743336705760837,3.4036979849522e-15,-0.000114846775824734,-9.58087986236363e-16,9.39435556132127e-06,5.86323157929997e-05,-0.000114217155097983,0.173240317842134,0.000301627193790712,-6.9883281431048e-16,-0.0684034755949914,2.56192667191067e-06,0.00310967132286811,-4.36956110968806e-08,-1.06699880440678e-07,1.11022173176186e-06,-2.52717007544919e-07,-6.87704633555006e-07,-0.0226100318221674,-2.61606309445095e-06,-2.45475523263494e-15,0.00118583763796829,-1.77793348361606e-05,5.2582378211255e-05,-4.5238263443199e-07,-7.27609685492624e-07,-1.66465120009749e-06,1.82049030874812e-05,-1.35536283126714e-06,5.76673396031599e-07,6.61236041020277e-05,1.82612237808491e-07,-1.63263940418456e-05,-3.64590894864807e-06,8.54173767059842e-10,1.74535108199505e-07,-1.73633426716781e-07,-2.28409152076018e-07,-3.62774735667122e-15,6.43632258324209e-16,-3.95997091583385e-05,-8.93287648668621e-07,-2.18804167612886e-15,9.34653272238605e-08,9.146151429119e-05,-2.40096051101426e-08,-3.37747224421397e-09,-1.92729317402213e-15,6.22468690708699e-15,4.86113207886147e-07,2.38059164687598e-16,-3.93580223010269e-15,-1.60955918538612e-09,-7.56101068689258e-05,-5.79311492080267e-18,-3.85837405907557e-15,-9.37041350845852e-15,-2.48174150588807e-15,-1.23392158293897e-14,-1.96022025286455e-14,1.72913026998715e-14,9.6061579180222e-14,-1.49041410157198e-14,-2.87791089032606e-14,0.707106781186535,1.24349527948334e-14,9.66048291784574e-14,6.20986678663977e-14,-1.34432863812117e-14,-2.51992501047577e-14,-6.16657568072083e-15,-5.72751361271538e-08,-2.59995366460745e-14,-0.0890870806375724
"t45",-0.170517260021867,-0.0264592122939265,0.0133530351060759,0.0139085996052451,0.00814905456051873,-0.239217992584691,0.00984901192611165,-0.000163005023062521,0.00346411929952615,-0.00271179247819533,-0.000396371046687036,0.00217102342448091,-3.31851137187115e-05,-0.0033381331986892,6.11781384968134e-06,-0.00016890788391685,-0.00891947393199872,0.0118662674888187,-0.0488431517312178,0.00053715598571911,2.39552356882546e-07,-3.54830206200589e-06,0.00143810155491732,-0.000976426954881407,0.00186767679604339,-0.000673235721333467,-0.00551610017017799,-2.74276322009153e-05,0.000106418619664764,-0.0232026801775237,-0.015756979259505,-1.49303724935268e-05,-1.05118416523231e-05,-8.54569499924513e-05,5.07392626051216e-06,-0.00767165924980093,-2.10297784089987e-16,0.191260183843641,0.000212362716758634,4.52502441994993e-05,5.80958974400312e-06,0.00132986736175615,-2.44563505808578e-06,2.3853068854204e-08,-2.57453366229555e-05,-0.000349363926534584,0.000179579062863745,-8.11762275028664e-05,-4.25251605687972e-16,-0.000161245377917559,0.0640443765552659,0.000437996218271407,0.0232263404450513,-3.14685543510815e-15,4.56387506206189e-05,4.68955676802296e-16,-4.34053801271313e-06,-2.13293794196425e-05,3.63875033238166e-05,-0.0055295388268722,0.00014450986993047,-3.07211424298047e-15,-0.165474600500707,-7.42788747378277e-06,0.824670542779582,-0.000435348074750237,-4.54060306043269e-06,3.51482541720874e-05,-4.49725403612926e-06,-7.71618547024611e-06,-0.027184534565646,-6.08142217267455e-05,3.42329145075297e-14,0.389287932138283,-7.95510439145694e-05,0.000215956743528398,-1.85667202797002e-06,-2.72061351965636e-06,-6.18253635436409e-06,6.20275300012372e-05,-4.45742488907298e-06,1.86601154806039e-06,0.000212575581792796,5.70652782271081e-07,-5.07613890511135e-05,-1.07542496450848e-05,2.43600715374091e-09,4.60760415712129e-07,-4.55570533463835e-07,-5.92003706074104e-07,-5.4084462250965e-16,5.69619299204356e-16,-9.68747097930342e-05,-2.08447017827441e-06,-9.18527883513551e-17,2.16976461589329e-07,0.000205994773216919,-5.1582928128096e-08,-7.07778841268484e-09,1.89429099167877e-15,3.46077481881109e-16,9.87105717193484e-07,6.01887696569178e-16,-1.15528806438189e-15,-3.22990911074664e-09,-0.000150354302506027,-2.98073415154278e-18,4.82130101048145e-16,-1.99401116441168e-16,2.39446837143404e-15,5.06663681152806e-16,-2.89772183535868e-15,9.31396538355803e-16,-6.58626001855841e-17,1.63910711614595e-16,4.64505218081251e-16,-1.16314118618519e-14,1.31399059658065e-17,2.22423535785996e-15,-3.15476101233158e-16,-2.89781708528092e-17,-1.33684314936602e-15,1.67060411806549e-15,-1.01208721693136e-07,-5.67572678974852e-15,-0.0890870806374672
"t100",-0.172212624725968,-0.0267709880733019,0.013696122876157,0.014310474053878,0.00842584329483973,-0.250477914809817,0.0103440428345892,-0.000171579532334025,0.00371717861639159,-0.00292200439087758,-0.000427819978428066,0.00237051177942315,-3.62449873000883e-05,-0.00366054141786688,6.83802610567795e-06,-0.000191329240894722,-0.0104249644812903,0.0139642388992083,-0.0580428285464936,0.000657241454031877,3.00305918988425e-07,-4.46654992596598e-06,0.00190009807873261,-0.00131620011915946,0.00260096801197692,-0.000959676847728879,-0.00791578485774513,-3.97588320985911e-05,0.000155196809308964,-0.0339596363129982,-0.0232764687382921,-2.42018829753495e-05,-1.71114086224289e-05,-0.000142488268350702,8.72494734547724e-06,-0.015070643339176,-4.83083278887957e-16,0.42643611042013,0.000504409366380584,0.000108273787095617,1.48961152466483e-05,0.00543301578268057,-1.01108009075118e-05,1.08510071891561e-07,-0.000132135401970651,-0.00370116597785991,0.0211209450745685,0.0140064288469948,-1.59614446325813e-15,0.00107568034527729,-0.273485152659714,-0.00116771677788666,-0.0546558285747329,2.56940063028886e-15,-7.98227892088329e-05,2.5674451470704e-16,5.16516798400087e-06,2.06735774220784e-05,-3.40066264334391e-05,0.00457197494741371,-0.000108757961861892,3.22131165163632e-16,0.11085980655193,3.94476386727566e-06,-0.276967279629258,0.000101031133871308,7.24574800303147e-07,-4.91350468824416e-06,3.87392695940362e-07,2.54883024569487e-07,-0.000792552168085811,-1.28302016438807e-05,1.75415111560729e-14,0.208152989817744,4.58335616775687e-06,1.57803803511646e-06,-1.43404261107618e-08,-1.58995308466992e-07,-3.82101282114835e-07,6.39927760589571e-06,-5.33270538752143e-07,2.37258625687808e-07,2.76686852474802e-05,8.17593020422462e-08,-7.39169298654705e-06,-1.82919890858925e-06,4.52921393017261e-10,1.02747630948697e-07,-1.02961373221723e-07,-1.37357539577514e-07,-2.678713658358e-15,8.44343995889749e-16,-2.52864606537353e-05,-5.95183437760016e-07,1.0523998789378e-15,6.25455152232746e-08,6.27152579515324e-05,-1.7045070825371e-08,-2.43861779028859e-09,1.10171490384906e-14,-2.88447586597047e-15,3.58123974769593e-07,-7.39281792138375e-16,1.11279922317664e-15,-1.19439310195624e-09,-5.64135469274432e-05,9.97967992912672e-15,-1.82778832807151e-14,9.57437621520423e-15,-2.4767512744691e-14,1.13969394824811e-14,0.707106781186555,-2.13267874906205e-14,1.05177516281032e-13,-7.32181762595434e-15,-1.69733435332186e-14,1.07796386414894e-14,6.83902184097069e-15,9.33882724632411e-15,1.12906205314052e-14,2.02718453751697e-15,-1.30370115133882e-16,1.27442275183379e-15,-4.55120804953705e-08,2.61253173425469e-15,-0.0890870806374368
"t101",-0.172212624725968,-0.0267709880733019,0.0136961228761572,0.014310474053878,0.00842584329483955,-0.250477914809817,0.0103440428345888,-0.000171579532334015,0.00371717861639158,-0.00292200439087738,-0.00042781997842796,0.00237051177942299,-3.62449873000642e-05,-0.00366054141786677,6.83802610515396e-06,-0.000191329240894555,-0.0104249644812906,0.0139642388992079,-0.0580428285464933,0.00065724145403149,3.0030591892525e-07,-4.46654992610394e-06,0.00190009807873241,-0.00131620011915923,0.00260096801197733,-0.000959676847730536,-0.00791578485774655,-3.97588320979693e-05,0.000155196809309059,-0.0339596363129993,-0.0232764687382914,-2.42018829752134e-05,-1.71114086227679e-05,-0.000142488268351563,8.72494734467207e-06,-0.0150706433391771,-1.70998698549398e-16,0.426436110420132,0.00050440936638017,0.000108273787095308,1.48961152465697e-05,0.00543301578268493,-1.01108009069114e-05,1.08510071535793e-07,-0.000132135401969647,-0.00370116597786092,0.0211209450745729,0.0140064288469928,-1.56730194321536e-15,0.00107568034527769,-0.273485152659717,-0.00116771677788642,-0.0546558285747324,2.81700635414171e-15,-7.98227892093182e-05,-3.59133217111817e-16,5.16516798424739e-06,2.06735774204411e-05,-3.40066264285217e-05,0.00457197494741926,-0.000108757961859715,8.88871678556446e-16,0.110859806551929,3.94476386614616e-06,-0.276967279629272,0.000101031133869593,7.24574798676285e-07,-4.91350468783877e-06,3.87392694704538e-07,2.54883023662425e-07,-0.000792552168094499,-1.28302016438487e-05,1.86258692351565e-14,0.208152989817749,4.58335616614434e-06,1.57803804411563e-06,-1.43404256073359e-08,-1.58995308833738e-07,-3.8210128289034e-07,6.39927760565074e-06,-5.332705391942e-07,2.37258626617793e-07,2.76686852596984e-05,8.17593012244682e-08,-7.39169299286536e-06,-1.82919890712859e-06,4.52918643376499e-10,1.02747629548958e-07,-1.0296137372131e-07,-1.37357543072729e-07,1.39742339620817e-15,-1.57168578073846e-15,-2.52864606510318e-05,-5.95183434928981e-07,-2.70169680746218e-15,6.25455147617861e-08,6.2715257930022e-05,-1.70450747048032e-08,-2.43861966407051e-09,-1.20062368950191e-14,2.31633195831907e-15,3.58123965695467e-07,-7.49702356257313e-16,-3.58693474389837e-15,-1.19439745234247e-09,-5.641354695299e-05,-9.54714787412052e-15,1.88224451007722e-14,-9.5805586288127e-15,2.56802164531595e-14,-1.22090015436816e-14,-0.70710678118654,1.95710375644142e-14,-1.07985531528399e-13,7.61428581615172e-15,1.63409679250603e-14,-3.64534121624071e-14,-4.19198479342452e-15,-5.61465919464644e-15,-6.7252759447918e-15,-5.6274147500243e-15,-2.33307882029181e-15,6.83602131418535e-16,-4.55120847929202e-08,-1.71897551512637e-14,-0.0890870806374889
"t55",-0.171137073823266,-0.0265732191960323,0.0134786868551285,0.0140558329844845,0.0082505167323486,-0.243351321853036,0.0100307906010402,-0.000166154412611591,0.00355726221013228,-0.00278919925545815,-0.000407953656374739,0.00224458535284699,-3.43134862416973e-05,-0.00345707617287826,6.38404558719613e-06,-0.000177207482201606,-0.00947851035642491,0.0126458356214397,-0.0522648486070923,0.000581945254818371,2.62263426806299e-07,-3.89169396491201e-06,0.00161162186312407,-0.00110426252283174,0.00214432571018821,-0.00078150748095344,-0.00642364417262244,-3.20949630586852e-05,0.000124889867818495,-0.0272772595350821,-0.0186073159567706,-1.84691602655285e-05,-1.30315407235322e-05,-0.00010726781194843,6.47312877606267e-06,-0.0105308535214009,-6.23413326815086e-17,0.282769977657718,0.000326358435498708,6.98591308815779e-05,9.368915199938e-06,0.00296382983305513,-5.4990679109672e-06,5.76604900111552e-08,-6.83517052946261e-05,-0.00170692078390282,0.00874321316890665,0.00568891876364859,7.52658571244862e-16,0.000353552131077713,-0.0777427713209899,-0.000246988093699626,-0.0101778119813281,9.92573481226758e-16,-9.02947114556091e-06,5.02839664493399e-16,-7.9282067201782e-08,-2.12394380069177e-06,4.07435583038929e-06,-0.000826758337617597,2.51900080533799e-05,1.19782515351973e-15,-0.0331787311653939,-1.77829528919485e-06,0.224002080334701,-0.000114499203338414,-1.05485774602107e-06,7.66972444495565e-06,-7.29755522767956e-07,-5.7227289121596e-07,0.00212056843049857,4.59001578640047e-05,-7.55240143561439e-14,-0.872078272686491,-9.05619166943829e-05,0.000212880542006879,-1.82875822332266e-06,-2.46413030243549e-06,-5.57403486385106e-06,5.33442945643404e-05,-3.77865977459168e-06,1.57268454463811e-06,0.000178764682579391,4.75673928705225e-07,-4.22516033186356e-05,-8.8364472610529e-06,1.98875022143228e-09,3.72372613788073e-07,-3.67973441566456e-07,-4.77692561793087e-07,-2.20397605110478e-15,6.52575660008969e-16,-7.79330473912943e-05,-1.67604473125873e-06,9.23056102438561e-16,1.74470398442069e-07,0.000165745655345873,-4.15968617411948e-08,-5.71761135691436e-09,8.37745950333897e-16,-4.31313313058188e-16,7.99618764826439e-07,6.32211629557097e-16,1.61685819848034e-15,-2.61956100493356e-09,-0.000122060977097726,3.50842594536653e-16,2.53129168192099e-15,-8.876273961886e-16,-2.29176371677138e-15,2.22470899717394e-15,-1.23484281844919e-15,4.32614597029455e-16,-2.53658687418171e-15,-2.31514826308598e-16,-1.03800955675135e-15,-1.45291223733116e-14,1.8732137270422e-15,8.80942857620025e-16,2.15780275603981e-15,-1.31311899153933e-15,-1.39483382004856e-15,1.4484772286721e-15,-8.35633104671221e-08,-4.63250998569513e-15,-0.0890870806374809
"t41",-0.169314604336579,-0.02623798882884,0.0131091296830766,0.0136227781544785,0.00795206216131143,-0.23119024421597,0.00949593186004904,-0.000156887388799004,0.00328309185272119,-0.00256133073089583,-0.000373855886601711,0.00202797915906606,-3.09909266316707e-05,-0.00310681372583885,5.59974469389507e-06,-0.000152750624608458,-0.00783005718918886,0.0103467444283824,-0.0421714263973241,0.000449736273506676,1.95186549492932e-07,-2.87739025931202e-06,0.00109847369599922,-0.000726026644103611,0.00132510296852884,-0.000460694786632382,-0.00373409079514773,-1.82594123498885e-05,7.01260989241776e-05,-0.0151957509108225,-0.0101537240117026,-7.94736101788187e-06,-5.53891139754134e-06,-4.23678155459391e-05,2.30614753510504e-06,-0.00198442049578271,1.23244289221138e-16,0.00828882266829926,-1.61485396499284e-05,-4.09418182845388e-06,-1.34676322580327e-06,-0.00200892423631793,3.79590194241028e-06,-4.54458746437328e-08,6.18756934341994e-05,0.00248287617107353,-0.0179375179757699,-0.0123186365714283,2.410290410017e-15,-0.00128380457597305,0.379087812088018,0.00201614509798697,0.101305145598619,-7.33777664874014e-15,0.0001797117800941,1.4628475634548e-16,-1.60621822907041e-05,-8.03370761557752e-05,0.000138275276528726,-0.0220490035458861,0.000614053890886343,-9.03165667166884e-15,-0.802624261823595,-8.39892063731176e-05,-0.325262891405702,-0.000264669625165338,-3.95950898226406e-06,3.21663864180815e-05,-4.44370963749605e-06,-7.78234262225306e-06,-0.0266705670069075,-4.37477100943691e-05,3.07686639896379e-15,0.0261821224671584,-0.000129069367466348,0.000336423873108186,-2.8917483144539e-06,-4.14102000133179e-06,-9.39811694636827e-06,9.29394776278006e-05,-6.64487498550569e-06,2.77552057164982e-06,0.000315906736696979,8.44837724460894e-07,-7.51009813571256e-05,-1.58025812924372e-05,3.56403053135072e-09,6.67308320410678e-07,-6.59242773632794e-07,-8.55241303192162e-07,2.07363442953953e-16,3.41687246545249e-16,-0.000138808256277467,-2.96545413833178e-06,3.26335160956252e-16,3.08429232359644e-07,0.000291390929956833,-7.23778465622396e-08,-9.88611563295939e-09,-1.73415273169196e-15,-6.0281109512559e-17,1.37048129205142e-06,-3.92624081452244e-16,-1.28970106153797e-15,-4.47380767582845e-09,-0.00020787521580484,1.00165367111366e-15,-2.55792058667012e-16,-6.67461865353475e-16,-3.27756690395916e-16,-5.8013451351308e-17,6.71615240222532e-15,4.51623529774173e-18,-1.30118155885792e-15,-4.97911821720761e-16,-8.028671325111e-17,-1.6929324070869e-14,1.30469981428223e-15,2.20752914902317e-15,1.47599553244586e-15,-1.89715133181861e-15,-8.68248232812434e-16,-1.00678432509372e-15,-1.36204559995097e-07,-6.2942774960537e-15,-0.089087080637477
