"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98"
"t13",-0.12978294992317,-0.18495868388106,0.0316412618997626,-0.18389060724765,-0.00277673002849642,0.00014109614963677,-0.0170505394847764,0.000155358326867195,-0.00973597148178423,0.00188009797282622,-0.000212099948075496,0.000648861528798391,-2.9090209154411e-05,2.46856624716867e-05,-0.00064951241533235,0.00816978073090211,0.00162852956955606,-0.231859401270062,0.0236611441861602,-0.00067577997397079,9.94637441215134e-05,-4.23312069512137e-05,9.15740987224967e-05,-0.000348790738804168,0.000860808814522816,-0.00538741695298316,0.0176201709387044,-0.0977689616850468,0.0464297169369538,-0.0002096812374255,-0.0127910935026686,0.0219455898028119,-0.911176571713003,0.0475655646944173,0.000458920665250617,0.000246052486105955,0.00443493950787405,-0.000609011981071249,0.000417967484958972,-5.44248415702191e-05,-1.41698142727135e-05,1.22512575047296e-05,3.59955591790599e-06,1.75332272555217e-16,5.19772804843229e-06,0.00138724638997459,-1.60459387895725e-06,-0.000139555878551644,-2.15923797040922e-06,-3.259746674881e-06,-5.91896042507294e-06,0.00061041109172568,3.11359148634233e-06,8.71920933256407e-16,-0.0608776064902538,-3.75838763907886e-17,-9.38323715738322e-07,-7.61188723409819e-06,8.94077605014942e-17,0.000115393033617377,-0.00178647399058916,-0.0120474456762631,0.000183934772710488,-0.0121152134469442,-9.46056343249315e-17,-9.06249405863109e-07,-4.41626696926984e-17,-3.35028459891828e-05,1.84116095497347e-05,1.34613369683993e-16,1.7850024122948e-06,6.06104438536911e-17,-0.00362427006690305,1.06407910082588e-16,4.77435862388781e-17,-7.79917343003934e-08,-1.76128677733273e-18,-7.89093425093264e-17,0.000131879501645122,2.91453274660883e-16,7.2077314344908e-18,-3.34368713800158e-05,3.16879087924168e-05,-2.52722112986739e-05,-2.18308517417462e-17,-5.07429913634789e-17,1.0088359150119e-17,-1.01618840633369e-17,-1.51829329723482e-17,-6.44097830535722e-17,-2.15506566825915e-15,-3.45542501397925e-17,-1.26631797197028e-17,-5.1733318946586e-17,-8.72351257743199e-16,3.06490378837965e-17,-4.68985811565951e-17,-5.01453655787032e-17
"t92",-0.13130870060954,-0.190613264250107,0.0326504412451389,-0.190919839327641,-0.00295123363612502,0.000150893463537284,-0.0183079528130714,0.000174464824008147,-0.0112857903476625,0.00226372937069203,-0.000265034863913591,0.000827101312019547,-3.88514330351103e-05,2.89095692921706e-05,-0.00112062724342945,0.0153859541100993,0.00349468801286899,-0.568218881913462,0.0772249745938207,-0.0262944271615154,-0.00126736735502441,0.000528036836448339,-0.000750890163033678,0.00271458775916098,-0.00249921858523555,0.0058389305046449,-0.0150518058241478,0.0818809445500148,-0.0305082042302026,0.000129502132693422,0.00395987679500624,-0.00636558382571616,0.245123082938772,-0.0125725829714272,-9.73482397963803e-05,-3.17500408363491e-05,-0.000515251234634696,3.43001559133576e-05,1.67726896499462e-05,-5.77812392427362e-06,-1.6393753500221e-06,1.90088198272708e-06,5.97948586873097e-07,5.87946741237564e-17,8.90993242088853e-07,0.000251018886619414,-3.05807292556711e-07,-2.73922783386937e-05,-4.91527254943325e-07,-7.61126148827271e-07,-1.42163757720987e-06,0.000152911445973396,8.1902927508245e-07,8.98688757607629e-17,-0.0172120081805479,-3.63433588343789e-17,-2.73793809907881e-07,-2.23457874306886e-06,2.11326458174294e-16,3.97101599306295e-05,-0.000627628064210492,-0.00423453532250587,6.5496456875317e-05,-0.00479576316231464,-1.28781458398622e-16,-3.63962514274292e-07,1.71004086456521e-17,-1.35931304079788e-05,7.53417267225086e-06,-5.41592788469956e-16,7.38612191811272e-07,-3.54793545458808e-17,-0.00156860992287303,3.06328764735768e-16,-2.50519623035849e-16,-3.40572863717728e-08,-4.49088058217424e-17,-8.83619389095535e-17,5.82623970512455e-05,-8.69318157004416e-16,-4.13593592371639e-17,-1.51695787342698e-05,1.43835196200752e-05,-1.19521542439152e-05,4.23919598556869e-16,-1.99643580079653e-16,9.14284451095948e-16,1.43476914779996e-15,-5.25612768014698e-16,1.70197358360343e-15,0.707106781186548,1.10016488699129e-13,5.55672194522868e-15,-1.78774110347713e-15,-1.2095541705286e-16,1.50552464497336e-17,-6.50897553168627e-16,4.3031937074365e-16
"t93",-0.13130870060954,-0.190613264250108,0.0326504412451386,-0.190919839327641,-0.00295123363612504,0.000150893463537259,-0.0183079528130718,0.000174464824008202,-0.0112857903476626,0.00226372937069198,-0.000265034863913644,0.000827101312019644,-3.88514330350128e-05,2.89095692921646e-05,-0.00112062724342924,0.0153859541100993,0.00349468801286905,-0.568218881913462,0.0772249745938215,-0.0262944271615156,-0.00126736735502477,0.000528036836448346,-0.000750890163033577,0.00271458775916083,-0.00249921858523563,0.00583893050464483,-0.015051805824148,0.0818809445500148,-0.0305082042302029,0.00012950213269338,0.00395987679500657,-0.00636558382571622,0.245123082938775,-0.012572582971427,-9.73482397963387e-05,-3.17500408365614e-05,-0.000515251234634807,3.43001559132462e-05,1.6772689650056e-05,-5.77812392408072e-06,-1.63937534969833e-06,1.9008819823253e-06,5.97948586561639e-07,-1.22813844365118e-16,8.90993242162663e-07,0.000251018886619084,-3.05807292323167e-07,-2.73922783391009e-05,-4.91527255249378e-07,-7.61126148990236e-07,-1.4216375774994e-06,0.000152911445972713,8.19029275324402e-07,2.35657815594544e-16,-0.017212008180548,-1.66201394455539e-17,-2.73793809191939e-07,-2.23457874282668e-06,-1.52742695748015e-16,3.97101599304801e-05,-0.000627628064211542,-0.00423453532250621,6.54964568749652e-05,-0.00479576316231579,1.78701694424867e-16,-3.63962513971047e-07,-2.97656389809208e-16,-1.35931304066496e-05,7.53417267187925e-06,8.11521717648732e-18,7.38612191675896e-07,1.12241108876197e-16,-0.00156860992287257,-1.72211615045485e-16,1.29543983743994e-16,-3.40572867816953e-08,1.02955910009022e-16,1.03015059188772e-16,5.82623970509025e-05,7.02868780643852e-16,6.46090881450673e-17,-1.51695787326665e-05,1.43835196191889e-05,-1.195215424618e-05,-3.92945984050664e-16,2.22726121147972e-16,-9.05941133715677e-16,-1.65928332772088e-15,5.07604091456376e-16,-1.72876596993266e-15,-0.707106781186548,-1.09586136492709e-13,-5.57410501730443e-15,1.65828928992745e-15,-1.08055191512474e-15,-2.23690647873531e-17,6.0529101279373e-16,-5.34098641418342e-16
"t102",-0.135363270267687,-0.20652670218706,0.0355021250808714,-0.211175591641018,-0.00349463174156615,0.000182053735738624,-0.0223631503843227,0.000247075387846702,-0.0179740649162084,0.00421683372126933,-0.000586250611991804,0.00202164300937307,-0.000122185242106079,-0.00029726748998518,0.00131579436687537,-0.0131567027055161,-0.00205221567236317,0.245142491224346,-0.0196961602374961,0.000575994314787157,-3.24618414466598e-05,1.38822946564508e-05,-3.17456718627986e-05,0.000121203359045983,-0.000270475600359556,0.00119074175264635,-0.0034521265755839,0.0189526885209908,-0.0078486271326484,3.41591835207062e-05,0.00131403931022475,-0.0021495008501925,0.0843893992353318,-0.00434750523658001,-3.54305201776458e-05,-1.26722334661519e-05,-0.000208921733720374,1.50770087223968e-05,8.72600460598326e-06,-3.5615223183721e-06,-1.04244875487769e-06,1.41874549121471e-06,4.72566549687853e-07,2.92344730786332e-16,7.25978382786719e-07,0.000217273994167361,-2.83926992854389e-07,-2.66506717705286e-05,-6.97176066888597e-07,-1.20402753468527e-06,-2.62001777363354e-06,0.000391659408514178,4.2759803923593e-06,5.65059830975007e-15,-0.438024064179742,-3.78133405846987e-16,3.62395612562088e-07,2.68560197539904e-06,5.4325252944395e-16,6.70757984870859e-07,-6.82660758688241e-05,-0.000470142887171621,1.1684117466411e-05,-0.236220780009252,5.00465688497875e-16,-2.75545876061925e-09,-4.27776789445549e-17,-1.39102811290614e-06,1.66811830687203e-06,9.15322302161227e-16,5.9643425258594e-07,2.282968568181e-15,-0.257488157477401,-4.74260247145467e-17,-7.17841428460418e-16,-9.52566852216934e-10,5.18444292138227e-17,1.78912356393806e-16,3.55325989059505e-06,1.19633006305447e-16,-3.43241671679276e-16,-1.75894663186665e-06,1.68063908701895e-06,-2.10817282640998e-06,-1.21536740151429e-16,3.14588950790648e-17,-7.35758868243538e-17,5.13952027942669e-16,3.54435178764802e-16,9.34286359272162e-16,-1.06272128628143e-15,1.34106533959086e-15,-4.67276963044314e-16,2.55888707415911e-16,0.707106781186548,1.55579873415837e-15,-1.35415514801761e-15,-1.16091443359709e-16
"t103",-0.135363270267687,-0.20652670218706,0.0355021250808715,-0.211175591641018,-0.003494631741566,0.000182053735738704,-0.0223631503843229,0.000247075387846685,-0.0179740649162086,0.00421683372126931,-0.000586250611991701,0.00202164300937296,-0.000122185242106105,-0.00029726748998522,0.0013157943668754,-0.0131567027055162,-0.00205221567236322,0.245142491224348,-0.0196961602374964,0.000575994314786608,-3.24618414467177e-05,1.38822946564341e-05,-3.17456718628326e-05,0.000121203359045748,-0.000270475600359566,0.00119074175264638,-0.00345212657558376,0.0189526885209907,-0.00784862713264806,3.415918352071e-05,0.00131403931022467,-0.00214950085019194,0.0843893992353326,-0.00434750523657973,-3.54305201777795e-05,-1.26722334665032e-05,-0.000208921733720263,1.50770087223904e-05,8.72600460587145e-06,-3.56152231853574e-06,-1.04244875480303e-06,1.4187454908454e-06,4.72566549971814e-07,1.073965770702e-16,7.25978383194177e-07,0.000217273994167426,-2.8392699282522e-07,-2.66506717710588e-05,-6.97176066712299e-07,-1.20402753479051e-06,-2.62001777356109e-06,0.000391659408513961,4.27598039219121e-06,5.55782128485439e-15,-0.438024064179744,-2.58891731995485e-16,3.62395612576362e-07,2.6856019755792e-06,6.11054156043419e-16,6.70757985125585e-07,-6.82660758682018e-05,-0.000470142887171138,1.16841174666241e-05,-0.236220780009253,3.07074836613413e-16,-2.75545884999226e-09,-5.51074277375078e-16,-1.39102811307768e-06,1.66811830686836e-06,5.96694735810885e-16,5.96434252583037e-07,2.50731906785927e-15,-0.257488157477401,5.63692745535198e-16,-1.91765386376138e-15,-9.52565831662035e-10,1.69699669217301e-16,1.40679916690653e-16,3.55325989021282e-06,2.10241334552954e-16,3.59650709218697e-16,-1.75894663349442e-06,1.6806390867837e-06,-2.10817282567013e-06,3.28904001164363e-16,1.6690289322186e-17,2.14172054426585e-16,-7.17651617743768e-16,-3.92165282651456e-16,-4.73926447246666e-16,9.31614214269638e-16,-1.31376648137052e-15,3.42495809596991e-16,-3.60921614096096e-16,-0.707106781186546,-1.70512570143516e-15,1.27204577600905e-15,2.29198610122772e-17
"t61",-0.135007664815874,-0.205163001762805,0.0352581413303321,-0.209455703469437,-0.00344980421283182,0.000179502418956228,-0.0220327334953436,0.000241464426262655,-0.0174754639039982,0.0040770607847584,-0.000564099943926999,0.00194077553985073,-0.000116756364705549,-0.000279206427080834,0.00121073041261216,-0.0120329833061643,-0.00186193816706729,0.220878189462355,-0.017543897329893,0.00049918299250773,-2.78875844034575e-05,1.19244901773605e-05,-2.71781487274071e-05,0.000103711832342802,-0.000227858057475904,0.000971166197076555,-0.00278520405798,0.0152766760940636,-0.00624985946322242,2.71128756018946e-05,0.0010041492614045,-0.00163673363629151,0.0639962184501732,-0.00329378247363382,-2.65352694813526e-05,-9.27328290717745e-06,-0.00015223301804048,1.07345601098579e-05,5.88505752690532e-06,-2.26499251904371e-06,-6.55799653769213e-07,8.45104703927252e-07,2.76285301608722e-07,6.93180394004287e-17,4.20332492445744e-07,0.000123460478415685,-1.5800373349609e-07,-1.46342583541212e-05,-3.49599033536646e-07,-5.91181079667152e-07,-1.25338120844315e-06,0.000179213462522971,1.84601661371959e-06,1.47406991041991e-15,-0.180915962539338,-2.81339729631794e-16,1.20052271080608e-07,8.72070657059117e-07,1.91877540352333e-16,1.45814563038446e-08,3.54507284295214e-06,2.52852878643538e-05,-1.26429446316324e-06,0.122839589726442,-4.62326607476832e-16,4.16531381484999e-09,2.59866160583133e-15,2.594677872969e-06,-3.76574447071197e-06,-4.45720069786663e-15,-1.77619270925723e-06,-7.92577759853372e-15,0.88441234401434,-8.31790325363277e-16,3.61249618222938e-15,-2.2029529240985e-08,-5.34665420883495e-16,-7.68040796995075e-16,3.45937848262893e-05,-2.54906964825548e-16,2.69777679804954e-17,-8.02012229252428e-06,7.59266492900031e-06,-5.82848969814666e-06,-2.828049864336e-16,8.9054174033097e-17,2.95965503404201e-16,2.35407261261249e-16,-3.34503242841638e-17,-1.15986462926409e-15,1.18232540931182e-16,7.39527831225012e-17,5.08644224876833e-17,-1.17298400397208e-17,2.32856106309007e-16,-4.92899977660877e-17,-4.95154456647151e-17,1.8594438031193e-17
"t47",-0.134721186070913,-0.204062630935166,0.0350612492751321,-0.208067060972104,-0.00341354178323898,0.000177437585813489,-0.0217652379402473,0.000236907324612829,-0.0170696819989583,0.00396305704486579,-0.000545998845764526,0.0018746322832376,-0.000112307907710366,-0.000264307423122524,0.00112337274209743,-0.0110964772482103,-0.00170287682229709,0.200541360145077,-0.0157321897351146,0.000433863588894753,-2.3985152379631e-05,1.02541466969219e-05,-2.32765239780558e-05,8.87676034690799e-05,-0.00019123966159889,0.000780299014936634,-0.00220325509853618,0.0120679580230003,-0.00484836752359817,2.09290401261875e-05,0.000728617063219877,-0.00118026518588565,0.0458169704713821,-0.00235415351564791,-1.85723241716848e-05,-6.20702505545085e-06,-0.00010102099940209,6.7818575401326e-06,3.25412498446793e-06,-1.04253431241079e-06,-2.90056105734366e-07,2.93763772611041e-07,8.66297829707489e-08,-2.0503233880759e-16,1.24194177117482e-07,3.20887615464553e-05,-3.46533767051452e-08,-2.82066547487795e-06,3.09634469154003e-10,2.90380079542592e-08,1.38582637388792e-07,-3.94876048016846e-05,-6.89235548410599e-07,-9.73870254106427e-16,0.0899736184549016,4.31457710550632e-16,-1.46772683465845e-07,-1.13189391230715e-06,-3.09848181688777e-16,-8.56278903240685e-07,0.000103749528302736,0.000717494475245656,-2.00707674565478e-05,0.866850029550663,-1.21198803355266e-15,-5.19416565650875e-07,-3.44586244616139e-15,-1.83787311358182e-05,1.03069227420516e-05,2.79750172791991e-15,1.40257533525894e-06,2.42313446880821e-15,-0.287040242904987,5.33314013900991e-16,2.45378294403998e-16,-2.37422831885455e-08,3.23282232192146e-16,4.79152592466937e-16,4.01263568425846e-05,3.70393054941572e-16,-9.26962750698916e-17,-1.00916994765239e-05,9.56237256223253e-06,-7.5792541266236e-06,-8.74838299864356e-18,-1.99210098907117e-16,-5.54791977480814e-16,-5.15731338059169e-16,-3.47304385700596e-17,-4.9343125565223e-16,-9.51683713906789e-16,4.26889508671608e-17,7.8339105294867e-17,-1.92169604582633e-17,-5.0968182512861e-16,2.05839515866191e-16,6.82981854378709e-17,-2.30874322776752e-16
"t51",-0.1345928443394,-0.203565967627259,0.0349723350560133,-0.207438463637618,-0.00339698160009869,0.000176492518469937,-0.0216426306737458,0.00023478713833357,-0.0168790955694992,0.0039089639463869,-0.000537334740438714,0.00184284011748467,-0.000110151783817877,-0.000256859848270117,0.00107809680905902,-0.0106059482187498,-0.00161839662072796,0.189610494486172,-0.0147390896037909,0.0003963653165495,-2.17119755383428e-05,9.2809473140949e-06,-2.09907547254117e-05,8.000512069433e-05,-0.000169210199874345,0.000659293423867404,-0.00182787126519329,0.00999505797296977,-0.00392535024188249,1.68354946893686e-05,0.000535104555032967,-0.000857909194047771,0.0328979538158767,-0.00168543678132668,-1.2804291509009e-05,-3.90646189826868e-06,-6.23493719464788e-05,3.69181041572509e-06,1.02682286182311e-06,8.34141781963163e-08,5.20331026766469e-08,-2.62886801430764e-07,-1.098634297618e-07,-5.01424545567398e-16,-1.86759400525587e-07,-6.63545806653841e-05,1.0207709260426e-07,1.05137267361913e-05,4.46315618445336e-07,8.41895684888709e-07,2.02641982730806e-06,-0.000353842112767224,-4.6183961963978e-06,-6.16409358413441e-15,0.534369297184082,-1.301858242406e-16,-7.25687453717901e-07,-5.59037807750269e-06,3.71741087630875e-17,4.84677573573205e-05,-0.000753644646227902,-0.00508436217909113,7.90221029706253e-05,-0.24665110683642,-8.4866536487037e-16,-2.06030539533509e-07,-9.85749315763192e-15,-8.13399823138896e-06,4.71092508541644e-06,0.707106781186548,5.29076211395209e-07,-1.35961072275077e-14,-0.037442681007311,-4.54750910311621e-16,-2.0234362633508e-15,-2.07706664053567e-08,-6.51830004574467e-16,-6.20277035467697e-16,3.56758674461753e-05,2.17841287197239e-16,-5.97373706354334e-16,-9.31179811747701e-06,8.82921901934731e-06,-7.31146631985755e-06,5.9011555458589e-16,1.23997203726695e-16,-4.7842603019448e-16,3.49156386876711e-16,3.6451429579496e-16,1.06504886632576e-15,1.7249356233833e-16,-3.25677138190732e-17,5.45491034773746e-17,-1.49292988890321e-16,1.48332725648826e-16,-1.09443343016251e-16,3.07506424774897e-16,1.82198140136418e-16
"t52",-0.1345928443394,-0.203565967627259,0.0349723350560133,-0.207438463637618,-0.00339698160009905,0.000176492518470014,-0.0216426306737456,0.000234787138333643,-0.0168790955694996,0.00390896394638666,-0.000537334740438678,0.00184284011748452,-0.000110151783818074,-0.000256859848270233,0.00107809680905898,-0.0106059482187496,-0.00161839662072795,0.189610494486172,-0.0147390896037904,0.000396365316549695,-2.17119755384997e-05,9.28094731399298e-06,-2.09907547254841e-05,8.00051206943783e-05,-0.000169210199874493,0.000659293423866451,-0.0018278712651932,0.00999505797296921,-0.00392535024188229,1.68354946891938e-05,0.000535104555033082,-0.000857909194047809,0.0328979538158767,-0.00168543678132657,-1.28042915093343e-05,-3.90646189817333e-06,-6.23493719471551e-05,3.69181041561309e-06,1.02682286083134e-06,8.34141781954083e-08,5.2033102437416e-08,-2.62886801095886e-07,-1.09863429857885e-07,3.26897714772194e-16,-1.86759400469267e-07,-6.63545806652661e-05,1.02077093248123e-07,1.05137267364992e-05,4.46315619351003e-07,8.41895684720426e-07,2.02641982704075e-06,-0.000353842112767526,-4.61839619658473e-06,-6.74392944652873e-15,0.534369297184081,6.98803726420733e-16,-7.2568745344543e-07,-5.59037807791693e-06,-1.10369078715083e-15,4.84677573576894e-05,-0.00075364464622756,-0.00508436217908866,7.90221029706791e-05,-0.246651106836417,1.7519450197819e-15,-2.06030533369061e-07,1.11241178681823e-14,-8.13399825117051e-06,4.71092508948288e-06,-0.707106781186548,5.29076110804793e-07,1.43909376133661e-14,-0.0374426810073182,8.38155702102335e-16,1.00053712228856e-15,-2.07706654220086e-08,7.00653358524558e-16,4.98613410454321e-16,3.56758674448737e-05,-1.45876269568814e-16,6.79047775933625e-16,-9.31179812143243e-06,8.82921902000311e-06,-7.31146632056369e-06,-5.35575330029867e-16,-1.10911715783079e-16,4.44027717498612e-16,1.61479996957541e-17,-3.25967390143459e-16,2.69045906208031e-16,-4.38662998978238e-16,3.53006680185115e-17,-1.58091000965651e-16,2.08003231809426e-17,-2.14788737874529e-17,1.59916270720904e-16,-4.76774054153543e-16,-1.90048314433912e-16
"t75",-0.169559521266874,0.187517361608012,-0.0198571517475255,-0.0180049988604086,-0.00178289882096005,9.94995417836139e-05,-0.0126591867321365,0.000180921442268056,-0.0173486935378299,0.23215396585137,4.26396970266071e-05,0.000212275412588447,-2.96977847614689e-05,-9.5073702966689e-05,0.000316025245555721,-0.00256532234030034,-0.000233503043177652,0.00362155423656055,0.00517995726990833,-0.00708603142243586,-0.302311027380089,-0.00564298005022595,0.000210373797155531,-0.000616100953555433,-0.000179884455273251,0.000731259810899328,-0.0018966855457746,0.0103028237936473,-0.00365904770410128,1.51796835872706e-05,0.000130591067649675,-0.000108203148297801,-0.00107582220489688,0.000124539602557508,9.90060256524897e-06,4.21032924166044e-05,-0.0179928225570381,-9.47272262007181e-06,2.97622041851701e-05,-6.10996904445147e-06,-1.69760832975137e-06,1.97366631015911e-06,6.39077002007213e-07,4.3476302231381e-17,9.71166335207978e-07,0.000286702828598048,-3.74534424677513e-07,-0.00186271325416641,-1.08006981144462e-06,-2.10523381696915e-06,-5.98617329387511e-06,0.293650253205789,-2.04077135966985e-06,1.64768731303066e-15,0.000203596536898276,-1.78087275438631e-16,1.24575351656042e-07,9.33976151554661e-07,4.56357933649994e-16,1.31182777352175e-06,-3.62373202992192e-05,-0.0002466816265147,4.69889230760977e-06,-3.94130761574574e-06,-1.10067194008446e-16,-5.0613397578295e-08,-3.81216553421272e-16,-7.29621130080915e-05,1.03162224608929e-06,-2.478683969016e-15,3.64177790086689e-06,2.83402955217136e-16,-2.08771808772601e-06,4.52318480870941e-16,2.57970252938376e-16,-9.36200869187399e-10,1.66555676640197e-16,-5.47943768802817e-16,-3.88503067837815e-06,-2.16308372822903e-16,-1.14587558501511e-15,0.832285893177487,0.000246235991154452,-0.00188930258827403,1.18736085694712e-16,-6.17526564710112e-17,4.96536471022205e-16,-1.30122521768984e-15,-5.49766347634381e-16,-1.29132974964337e-15,7.32523583815023e-16,2.87971004426627e-16,-5.28149947684873e-17,-1.25530676530511e-16,-1.15046608971277e-15,-2.84732428469044e-18,1.80918286902161e-16,-6.97663564348017e-17
