"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104","V_105","V_106","V_107","V_108","V_109","V_110","V_111","V_112","V_113","V_114","V_115","V_116","V_117","V_118","V_119","V_120","V_121","V_122","V_123","V_124"
"t17",-0.0788226704675011,-0.143440163734187,0.0790558969715168,-0.0103000764981931,0.00482959564350601,-0.0463195980231454,0.0043464500933442,-0.00128780294383288,0.0142716886005512,-0.00011922269702585,2.70217358801279e-06,-0.00144597049760972,1.28129553790082e-05,-0.000404863387291561,0.000746120329834763,-0.00162523348848988,0.000351937627495595,0.132635947010381,-0.0582566823257076,0.000775312718069468,-0.0183486192451923,0.000211253546907535,0.000463683006330748,-0.000131254725782641,2.68337037536455e-05,-0.0141070428529495,0.00539485209835338,-0.0327370479431536,0.0018276952245848,-0.0100385023443374,0.00174532878763598,-0.000940051212905327,7.58899409603302e-07,-0.0509399362671867,0.00161930614760745,-4.18462272863877e-06,0.00519137805329997,-4.98743138357627e-05,0.138140629513579,0.000106840272596498,-0.0143166731595342,0.0124663363977195,-0.00481802021033404,6.1734517195617e-05,0.000168427474621162,0.0104513156036208,-0.0107879043620771,0.0239844773649074,-0.00840915765025521,-0.00294073260076682,0.0116696434054836,0.00225039159443379,-0.0848276093855047,-0.00156207630481057,-0.00195769466298881,0.00644379623690226,0.49864407664155,-0.00732042476010545,-0.00165299973001016,-1.54886258820176e-05,-0.00420854374121433,-0.010692468884543,-0.0273564122019539,-0.000296900387933223,0.0665089499828451,-0.000875487872551529,-0.0936102850661081,0.00103998068318485,2.45853178316483e-06,3.24354544434832e-12,0.196203298076181,-3.22083838469403e-09,-1.6134052931496e-07,-4.60517475914983e-07,-3.68665429544282e-09,-2.74601874060574e-07,-2.40353814073925e-08,-5.70107684273785e-16,-0.000104484784032765,0.739026846679952,0.000128051475667995,1.63482732689238e-14,4.86613029290181e-10,3.82085972289979e-14,-0.235760347948829,-5.68506419122069e-15,-1.5321531968479e-17,-7.80645312264841e-08,-1.17542416741026e-15,4.18657925338716e-05,2.16699934409703e-07,1.63727576864167e-06,-8.42572465863673e-08,-5.98178143979765e-18,-2.02243378488849e-07,-1.72095772375851e-15,-6.24380313068173e-17,-1.1145439011976e-16,-1.8642519489291e-16,-7.29290982459088e-05,1.22427936703237e-07,1.93837720173413e-16,1.33618802399345e-10,1.55145245009594e-16,2.32346024412362e-16,3.14035245089618e-16,2.00747852778284e-07,0.0189620730463565,-1.91318048823918e-05,2.82521363662001e-15,6.75196075533962e-06,-5.19634567095913e-15,4.11435865070686e-19,-1.33519845839499e-16,-2.16529245972576e-16,-1.62017812847406e-16,-2.06853770518769e-17,-1.73592291272616e-16,-1.20509386151583e-06,1.4751303276816e-16,6.45049648398886e-17,1.70460039652445e-16,1.52709623791683e-16,3.81983307667046e-17
"t89",-0.0847877020732435,-0.170877879099752,0.107901920677926,-0.0147688989175059,0.00743304521851338,-0.105439597970946,0.012709548184206,-0.004451619359131,0.109395718999551,0.00125086019155719,-1.09525640191367e-05,0.00240369536370237,-1.39615525952729e-05,0.000223983560968286,2.46176808983246e-05,-8.84992556412988e-05,3.40989528653842e-05,0.0336856623049678,-0.0252137031398926,0.000447945728032939,-0.363217072148501,0.00628275260150503,-0.00050272474288671,0.000120300756292285,-1.72682984205656e-05,0.0060012090770056,-0.00225487962804678,0.013568563982212,-0.000738912741612825,0.00403350959535178,-0.000716321094943959,0.000459843538373752,-6.78768681269699e-07,0.0732134898518786,-9.53934847339871e-05,2.10899962163829e-07,-0.00022663888359881,1.42561932948723e-06,-0.00330327079831711,-9.99227191517533e-07,-0.00032458774928859,0.000335821757731174,-0.000156777416106814,2.76736424011138e-06,8.73918299872495e-06,0.00073810127462659,-0.00103410842790335,0.00251588543573212,-0.00111171335465216,-0.000397131479058469,0.00213727020420264,0.000415661732700549,-0.0173402777877679,-0.000325740647151905,-0.000546031646048411,0.00192664452923127,0.153873946573988,-0.00244517123678333,-0.000666522795943347,-7.16187485610743e-06,-0.00198037291883047,-0.00546887998216788,-0.0149531530490653,-0.000168523121201987,-0.082509753716423,-0.000408262678582366,-0.0459517347368379,0.000520379595050708,1.9853767577391e-06,3.32283157335944e-12,0.765069453083317,-3.60038962564856e-08,3.22377861512443e-06,1.55898083956388e-06,1.06156093871866e-08,7.06759790664891e-07,2.61536716948371e-08,-5.27637848497177e-16,6.85839212332962e-05,-0.401950928811684,-6.59549299993647e-05,-2.53663937235699e-15,-2.29097521854834e-10,1.52426946092956e-11,-0.0288794277524146,-1.08205327743802e-15,4.16031361417682e-15,1.57788164649406e-08,1.39789185479127e-15,-8.39056784069727e-06,-3.1896616898478e-08,-2.2732100373347e-07,1.00931476067498e-08,-5.39544325192534e-16,2.05698101411127e-08,1.14428546323328e-15,4.79396204285529e-16,-2.98216142579159e-16,5.03804929691988e-16,5.54679751374109e-06,-8.63136162740705e-09,-7.80431847278491e-16,-9.2065192026483e-12,-2.61454101889608e-16,-2.567283622477e-17,4.92510507404846e-16,-1.2111892610145e-08,0.0126904821219904,-1.28052201106341e-06,2.42891167797955e-15,-2.64235463927094e-07,-2.28122005439958e-15,1.04164404842231e-16,-1.04005281236874e-16,6.05959711727616e-19,-8.84733781076356e-17,-2.78096278482609e-16,1.99856805358114e-16,-1.39748895399438e-09,-2.20243497129088e-17,-7.12935333707645e-17,9.18905344720189e-17,2.74941897070702e-16,-4.38454509038087e-17
"t108",-0.0854561185589471,-0.173924976786865,0.111067001801257,-0.0152571116588291,0.00771572595384243,-0.111662642714408,0.0135754639704555,-0.00477611216614976,0.118856346552861,0.00138062258318557,-1.22006404510602e-05,0.00272554080935951,-1.60222578724262e-05,0.00026257234550023,3.02266352011607e-05,-0.000108896302046367,4.21373128724994e-05,0.0422836791547488,-0.0321723924590361,0.000578174494812884,-0.511449155860849,0.00886037795786074,-0.00079109271163778,0.000193788286429602,-2.983373718219e-05,0.012155538966834,-0.00462824135019766,0.0280504104485432,-0.00157183382156669,0.00894432191053909,-0.0016301882154844,0.00110781731185925,-1.71765372987131e-06,0.187726210252505,-0.000398037334540108,1.07300041487077e-06,-0.00134049349672234,1.27970571814548e-05,-0.0352717955872354,-2.67556561798886e-05,0.0034106542692477,-0.00295054512632845,0.00113085430202276,-1.4242735768176e-05,-3.85076323369221e-05,-0.00234106004325724,0.00237243309434589,-0.00525402157625827,0.00183565812893881,0.000642140663006434,-0.00260372846129719,-0.000502681243354832,0.0192614486647708,0.000356056243656113,0.000484177605490282,-0.00163759431732893,-0.128430882820173,0.00195551457619493,0.000489790124577279,5.02161329281921e-06,0.00138140555044242,0.00373105179084028,0.0100489454148791,0.000112392696952394,0.0491647195891787,0.00020939587517929,0.0233496146702129,-0.000263474402269668,-9.11832030889146e-07,-1.45879756611181e-12,-0.291210970066277,1.32155072108561e-08,-1.14714879642749e-06,-5.24535450388127e-07,-3.52890497618443e-09,-2.3269056457921e-07,-7.57358222015372e-09,-1.03640652734366e-17,-1.69371146920338e-05,0.0902474152458477,1.42835416438965e-05,1.27754349841561e-15,4.38196255861475e-11,-2.57862453685721e-12,0.00476524211637755,5.59793685242733e-16,-7.72118730844304e-16,-2.2836386692962e-09,-1.54222332825858e-16,1.03987854743172e-06,2.11124618603989e-09,1.29346582721319e-08,-3.47597246779368e-10,6.85657196935382e-17,-2.29374091152433e-10,-1.08304819104193e-15,-1.25503678642927e-15,-1.45704769735474e-15,1.56527844799817e-15,1.43961209461365e-07,-3.00065694468867e-10,4.96363621492305e-16,-3.41830595879644e-13,1.5553461124617e-15,-2.06270120710515e-15,-5.92973835354002e-15,-8.36618892344181e-10,0.000899912179720553,-9.09907421793424e-08,-4.31120859718228e-15,-2.24008515705616e-08,-0.707106781186545,1.82954000505799e-14,7.9967371185532e-15,-3.98414934486487e-15,2.57003062907982e-15,-5.42189689745621e-15,2.16162660760788e-15,-2.35037449047956e-10,-5.69699436575037e-16,-2.89303828375641e-16,-1.37781574837323e-15,-8.7865848826808e-17,-3.41827041852665e-16
"t109",-0.0854561185589471,-0.173924976786864,0.111067001801256,-0.015257111658829,0.00771572595384223,-0.111662642714409,0.0135754639704555,-0.00477611216614988,0.118856346552861,0.00138062258318568,-1.22006404510757e-05,0.00272554080935955,-1.60222578724869e-05,0.000262572345500345,3.0226635201182e-05,-0.000108896302046475,4.21373128724826e-05,0.04228367915475,-0.0321723924590362,0.000578174494812802,-0.511449155860848,0.00886037795786036,-0.000791092711637669,0.000193788286429658,-2.98337371818987e-05,0.0121555389668337,-0.00462824135019762,0.0280504104485431,-0.00157183382156687,0.00894432191053892,-0.0016301882154846,0.00110781731185956,-1.71765372954601e-06,0.187726210252504,-0.000398037334539144,1.07300041595465e-06,-0.00134049349672207,1.27970571816096e-05,-0.0352717955872348,-2.67556561806078e-05,0.00341065426924757,-0.00295054512632852,0.00113085430202244,-1.42427357679805e-05,-3.85076323366433e-05,-0.00234106004325615,0.00237243309434583,-0.0052540215762598,0.00183565812893834,0.000642140663006062,-0.00260372846129691,-0.000502681243355501,0.0192614486647711,0.000356056243656039,0.00048417760549005,-0.00163759431732993,-0.128430882820167,0.00195551457619484,0.000489790124577722,5.02161329400522e-06,0.00138140555044213,0.00373105179084129,0.010048945414879,0.000112392696952108,0.0491647195891781,0.000209395875180401,0.0233496146702105,-0.00026347440227044,-9.11832031829495e-07,-1.45933197167103e-12,-0.291210970066271,1.32155097959874e-08,-1.14714879568565e-06,-5.24535452081578e-07,-3.52890422726148e-09,-2.32690562921516e-07,-7.57358309050354e-09,4.62242993953078e-16,-1.69371146911778e-05,0.0902474152458525,1.42835416453401e-05,-7.37697946743924e-16,4.38184950746001e-11,-2.57888883104952e-12,0.00476524211637959,-2.52602313983843e-16,-1.29615793175798e-15,-2.28363894242152e-09,-6.08080709827394e-16,1.03987854495199e-06,2.11124510329187e-09,1.29346588788042e-08,-3.47598080809162e-10,2.1776813810143e-16,-2.29373582244927e-10,-9.58501073900266e-17,9.75506622328321e-16,1.64137591047913e-15,-1.96282237912198e-15,1.43961208777966e-07,-3.00070585822947e-10,8.56805282542915e-17,-3.46422997786646e-13,-1.52054957340056e-15,1.869439404409e-15,5.42533556948959e-15,-8.36618839289068e-10,0.00089991217972874,-9.09907396412167e-08,4.21680056938805e-15,-2.24008484467405e-08,0.707106781186549,-1.83471444550183e-14,-7.90332272220239e-15,4.07342257157857e-15,-2.98479557490824e-15,5.60952565811675e-15,-2.42149788311107e-15,-2.35037344555854e-10,6.30639200685701e-16,3.35887237094715e-16,1.15534039509126e-15,-4.35526059777167e-17,4.19031438821816e-16
"t70",-0.0859864534193569,-0.176593046407592,0.114174479812344,-0.0157546460937339,0.00801857986404993,-0.119930691877685,0.0148422209852794,-0.0052757709478668,0.1357877429185,0.00166496943084364,-1.53084280975564e-05,0.00377907517764206,-2.4374850144723e-05,0.000514065249451307,-0.000529939906308829,0.00112959085616612,-0.00023449560966221,-0.0763664096532435,0.0291408631139464,-0.000353501026838688,0.00747698671949397,-0.00010487790848455,-1.96285900359248e-05,1.56269119455966e-06,2.24913773831837e-06,-0.00574370718742604,0.00242643367135645,-0.0155391051991711,0.00107847460715813,-0.00829930166455911,0.00182465534271234,-0.00190007003002438,4.45109744042695e-06,-0.550341496280238,-0.00103920428101382,2.19094371635814e-06,-0.00245069213482996,1.97639700257508e-05,-0.0523120006299081,-3.57000155049294e-05,0.00384566730148694,-0.00326688695120625,0.00122390285433495,-1.47209301546068e-05,-3.88442808787154e-05,-0.0022281938491929,0.00211414021268102,-0.00458666328131157,0.00151894623956299,0.000528768212515303,-0.00201101888544662,-0.000387660194541793,0.0146112454427619,0.000269338924996833,0.000360017287263365,-0.00122324090743461,-0.0962667446564612,0.00148456081723143,0.000392783234893849,4.27623376365548e-06,0.00118657893705516,0.00334702729888988,0.00934904539932372,0.000106789387146878,0.115038765844857,-4.96248181593359e-05,-0.00453619908909687,4.73397482588225e-05,-1.54669066622346e-08,-6.92903826708372e-14,-0.0192368111086564,7.96719323180946e-10,-6.10815884649855e-08,-1.90960829508543e-08,-1.13465423999687e-10,-6.65603934255943e-09,2.30960083028952e-10,2.23443577676326e-16,2.3320803408702e-06,-0.0208406438214493,-3.95346112911922e-06,3.35268377642484e-15,-2.39375020776172e-11,6.05279335887425e-12,-0.0375272860792226,-8.44760490549655e-16,1.05098852540894e-15,-1.11370808377206e-09,-3.55840768217893e-17,6.94746846565878e-08,-4.41911970032964e-10,-2.29041011993288e-09,-9.07907912455142e-11,7.04707293465636e-16,-1.06614662611184e-09,1.345336074931e-15,1.7745370078683e-16,-8.40898341106269e-17,-1.0278978387004e-15,-1.39901487514752e-06,3.17926119274738e-09,-1.25255266027116e-15,3.81945235316955e-12,-8.78239728966313e-16,-6.45023851513702e-16,8.95370920303737e-16,1.22177698215936e-07,-0.754423037873215,0.000122155142588923,-1.21602433672765e-13,-5.31972739860944e-07,4.73629634498554e-15,-1.71602335492604e-15,-1.3662657282498e-15,1.37826065809172e-15,-1.47175259368803e-15,5.19147181314152e-16,1.26959250767083e-15,-8.36044378489521e-10,1.36062266708812e-16,3.89579142811382e-16,-2.61130683907811e-16,3.98295215177401e-16,9.80272172593548e-17
"t71",-0.0861336362823085,-0.177270366803176,0.114887104360647,-0.0158650793457001,0.00808294550065156,-0.121396251394691,0.0150498757298639,-0.00535440537562,0.138160005363777,0.00169933646880305,-1.56524608320617e-05,0.00387717618622252,-2.50643211234155e-05,0.000530693290382727,-0.000551618046593065,0.00117623637574827,-0.000244359132759871,-0.0797921193542478,0.0305321028954167,-0.000371082492295912,0.00795677099055354,-0.000111633304971487,-2.12176399326173e-05,1.6943815758465e-06,2.46002054228254e-06,-0.00639338823890875,0.00270449209143952,-0.0173321608074751,0.00120627680049248,-0.00931913076897149,0.00205369815054973,-0.00214918121885643,5.05504210797243e-06,-0.625669029784921,-0.00121763035574594,2.58917211477314e-06,-0.00291190592295207,2.37514128000457e-05,-0.0630850778849351,-4.35275550522437e-05,0.00481039594513652,-0.00410104510803848,0.00154371591422824,-1.87653363014433e-05,-4.98234901423344e-05,-0.00290591646550843,0.00281982433668345,-0.00616642657919574,0.00209012025049158,0.000729304149429872,-0.00287678143480591,-0.000555149959275185,0.0211990457885986,0.00039178880334667,0.000543630512342283,-0.00186280694377374,-0.147148359307566,0.00228978813262706,0.000617405687900804,6.79690738768975e-06,0.00188838556284695,0.00535576439972961,0.0150163333397483,0.000171853898712318,0.190763123609751,-8.60575953209409e-05,-0.00789000297240672,8.24351298729023e-05,-2.78298323366689e-08,-1.27457681221628e-13,-0.0371707264167137,1.56296455051956e-09,-1.21432554162903e-07,-3.89213487363853e-08,-2.32543408829162e-10,-1.37022303262198e-08,5.06279078840344e-10,-8.64142429253707e-17,5.58139671935276e-06,-0.0528753967641878,-1.02674387310047e-05,-1.81814454975062e-15,-6.77503424339093e-11,1.88279846785838e-11,-0.11913444430768,-3.42253598159357e-15,2.60942480994785e-15,-3.96678120908778e-09,1.73392407510834e-16,2.89000253294903e-07,-5.03507993023121e-09,-4.14248416711949e-08,2.4751021579566e-09,-5.76317078182299e-16,6.70710962997185e-09,-1.63436816411779e-15,-3.46125667776115e-16,-4.11559604231743e-17,1.18302810299728e-15,3.12322551831888e-06,-5.84755703367211e-09,6.57495440213605e-16,-6.64483134002235e-12,6.7316340259055e-16,1.19769215925882e-15,-9.51548657882188e-16,-1.09775260757928e-07,0.651902777405181,-0.000105229314914849,1.04926297036e-13,3.38720045363746e-07,-2.89024586332787e-15,1.44178630354793e-15,1.50081327298623e-15,-1.16645157976152e-15,8.70885850479495e-16,-4.7178479527757e-16,-7.88952459931242e-16,-8.40634054290441e-11,3.23255318743931e-16,-2.4592886614576e-16,4.60582866710581e-17,-3.56736056418533e-16,-1.71055949902494e-18
"t65",-0.0862749668998402,-0.178009252555847,0.11577837900422,-0.0160091477086339,0.00817165765739486,-0.123906169323118,0.0154383277802035,-0.00550826942761639,0.143417328768304,0.00178796454302422,-1.66203434344471e-05,0.00420292711589364,-2.76243271853349e-05,0.000606041814768899,-0.000706668048492469,0.00151745270518484,-0.000319853752494739,-0.110966857688462,0.0459321279072559,-0.000597037517726793,0.0934400764917362,-0.00157466566228757,1.00407755105643e-05,-5.13698347732669e-07,-1.21948220365631e-07,-0.000772180373420896,0.000342116634604886,-0.00224137528021426,0.000167545617039206,-0.00138821214435531,0.000315126476599416,-0.000343194400185195,8.19647994023612e-07,-0.101641190389375,-0.000162574462186112,3.02114386514206e-07,-0.000304880082128748,1.82749469463459e-06,-0.00427571694918195,-1.61197708790523e-06,-0.000210590720721607,0.000229608941427404,-0.000111975283253692,2.08032092252244e-06,6.68147074981151e-06,0.000580678385964857,-0.000835890986193308,0.00205274306996162,-0.000935130602501378,-0.000335202730970951,0.00192936358845611,0.000376152757012792,-0.0162125396536815,-0.00030673955617739,-0.000590089584769512,0.00217469585911475,0.177413805486008,-0.00298560172847692,-0.000952774677937119,-1.16336382051313e-05,-0.00327104742211514,-0.00978070459810564,-0.0284660279006194,-0.000332149264614342,-0.517894957578968,0.000544356732510675,0.0548742640418565,-0.000596433940882379,-8.78537162387845e-07,-9.88432822284568e-13,-0.0536407785225258,1.53267248745793e-09,-8.0694707237102e-08,-7.97347028583071e-09,-2.75302683404028e-11,-7.07344803927816e-10,-3.65014138558852e-10,-3.40263175571228e-16,-9.09267202147024e-06,0.119675797849112,2.60738922707746e-05,-1.10766186480678e-14,2.53501817354432e-10,-1.06266346936949e-10,0.736860409744107,1.94439630309743e-14,-1.47758126699633e-14,4.4005251165637e-08,-5.64143952053337e-16,-1.3263378281159e-05,-3.07777872923243e-08,-2.11739454580591e-07,8.81894334830595e-09,4.29481504869961e-16,1.72166711841774e-08,1.88311577532613e-15,-1.22687560580317e-17,4.57254641118636e-16,-5.03025236880735e-16,4.51506320545378e-06,-7.05277021127918e-09,9.17897287085821e-16,-7.54253288706984e-12,5.24935822207614e-16,5.2071356235852e-16,1.43557382952455e-16,-1.95513995156425e-08,0.0730931235807494,-1.12418657763142e-05,1.22823071245545e-14,-1.56315132209536e-07,-2.72117121098047e-15,5.11602710884772e-16,-5.46648032934252e-16,-3.97097297785268e-16,7.01797937253987e-16,-9.00482321578324e-17,-4.02698718084817e-16,-9.68709158787672e-10,-5.70172672395477e-16,-3.22985396250862e-17,1.64194419317436e-16,-8.34641864257455e-17,1.27531908363605e-16
"t72",-0.0874234083170103,-0.183432282226059,0.121660975419507,-0.0169299745664359,0.00871569502664726,-0.137048346666212,0.0173507733767605,-0.0062428265271721,0.166517314700317,0.00214157011544741,-2.02824037304107e-05,0.00532234259046909,-3.58992197708227e-05,0.000826030985565249,-0.00107822279062853,0.00232822478947822,-0.000496264469574082,-0.179591326531589,0.0778613837907737,-0.00104692229741539,0.222661973709354,-0.00377649256046598,4.52748917772576e-05,-2.86754532300782e-06,-2.47381149743922e-06,0.00296143115189537,-0.00118936749565007,0.00741530647406508,-0.000464043232281958,0.00309782470338138,-0.000625966407023634,0.000546918844240399,-1.11095964898889e-06,0.132374528659766,7.92183947707454e-05,-1.12523005312476e-07,9.49319561615054e-05,-3.74820320552893e-07,0.000756951461025557,1.59239766272357e-07,-8.75078494109657e-06,1.33048941346366e-05,-8.82628588482967e-06,2.5444383912111e-07,9.7559187611291e-07,0.000119067638089882,-0.000231726931753681,0.000618637967732691,-0.000345840821936033,-0.000126240281184874,0.000931687569932886,0.000182848049387206,-0.00851801852616256,-0.000163591314849271,-0.000386604649499388,0.0014902564218297,0.124002119624812,-0.0021883931032787,-0.000771659479085074,-9.99629272330683e-06,-0.0028295654208733,-0.00871195254956431,-0.0258760645386902,-0.000305091549114358,-0.562401324394299,0.000780028696698848,0.0802325382446116,-0.000878950915984876,-1.65107123362839e-06,-2.12747615036047e-12,-0.220250742579794,8.22039233280703e-09,-5.87898445036178e-07,-1.67695037809526e-07,-9.81464352179657e-10,-5.69404931523513e-08,1.82907910532247e-09,7.34455344976028e-16,1.91978416622998e-05,-0.185902407083369,-3.67510788404183e-05,6.09043850139234e-15,-2.69437209324968e-10,9.0245523196981e-11,-0.600940902481597,-1.51290010717234e-14,1.069812718667e-14,-2.95733877343774e-08,5.01857402946098e-16,7.34148679663675e-06,9.80271767888856e-09,6.12723280476005e-08,-1.99152859902266e-09,-4.54830345522891e-16,-2.89870038482953e-09,-4.79209226997039e-15,3.49203979731019e-16,3.55407715372802e-16,4.39901391710212e-16,-4.07653863838085e-07,5.19774453952956e-10,-5.04068043159763e-16,5.19280377117871e-13,-6.57187671441587e-16,-1.26064929635664e-15,-5.11680155606282e-17,2.87848673759031e-10,-0.000861425291725617,1.29890918399467e-07,-3.91916606432886e-16,-1.52161919318924e-09,1.97225768602061e-15,-2.54517294995307e-16,3.6082480340108e-16,8.52509560641662e-17,5.8138011463383e-16,3.48003943445819e-16,-5.06297408654058e-16,-1.16936175446179e-10,1.54744847470743e-16,-1.61058007367903e-17,1.27334405355423e-16,-7.10157885614788e-18,1.05086751042863e-16
"t78",-0.0880536363056057,-0.186421944761115,0.124920921558815,-0.0174411174251082,0.00901835270598694,-0.144426562384049,0.0184286054023807,-0.0066576419326178,0.179635687392424,0.00234378393363967,-2.23850628150802e-05,0.0059700464988119,-4.07118860685481e-05,0.000955135963516268,-0.00130049434858869,0.00281366776116941,-0.000602071737739276,-0.221011099131388,0.0972590684570779,-0.00132147531187363,0.304173050680232,-0.00516615196272492,6.83879723052329e-05,-4.42378003090763e-06,-4.06428825087474e-06,0.00560778416470056,-0.00227884383975006,0.0142984059319411,-0.000917706591555247,0.0063553613756341,-0.00131387244311668,0.00120674822601519,-2.55877757112677e-06,0.308401239118133,0.000278423094539424,-4.6357048118819e-07,0.000439464440883049,-2.34590668070131e-06,0.00531506626349421,1.82628490185934e-06,0.000200199995230022,-0.000213775077516902,0.00010152411089588,-1.78551352733854e-06,-5.56829616311894e-06,-0.000450843849503904,0.000599646148846047,-0.00143769130736569,0.000616945791327046,0.000219998624553435,-0.00118730989186486,-0.000231146425317932,0.00980933860741658,0.000185101072442254,0.000347999890698863,-0.00128084388051561,-0.104480545087724,0.00175981007399548,0.000565708685153441,6.96165405749483e-06,0.00195947151675821,0.00588815236697584,0.0172025505305831,0.000201140412836538,0.327653428050959,-0.000385169033776449,-0.0392108597234883,0.000427851430958134,7.21194917489042e-07,8.83933707463311e-13,0.0779262257612711,-2.79121653493038e-09,1.92701660888892e-07,5.15635954857636e-08,2.97642718428293e-10,1.70780576814917e-08,-4.7291623806325e-10,-7.08212149812398e-16,-4.11355205611597e-06,0.0355160176478614,6.71881619904544e-06,4.53543515538887e-16,4.22250760671552e-11,-1.20868903286806e-11,0.0779308826498998,1.67043912588641e-15,-1.61407991279196e-15,3.21940909671308e-09,-8.46643307740789e-16,-6.42789452792958e-07,-2.80634227065495e-10,-1.17522845988618e-09,-7.22125708171479e-12,2.06518364429316e-13,-8.11227961126931e-11,-0.707106781186546,5.25914488565963e-15,-3.62432726344638e-14,-1.88636594549791e-15,-2.63695118794374e-08,3.82365800872971e-11,-1.88803349829516e-15,4.41365506103356e-14,8.12300817195268e-15,-6.18074802987813e-16,2.7443339051325e-15,3.11044034838686e-11,-9.46686521534797e-05,1.42936297121181e-08,2.43504255916182e-15,-1.88374235592032e-10,5.02552028470339e-16,7.65311853856105e-16,4.73143624363656e-16,-1.01952281806683e-15,-3.33920477057468e-16,-2.30631461477101e-16,1.0231951578398e-15,-2.42070769972377e-11,1.60265203518458e-16,4.36484910004732e-16,-5.02775043366328e-16,3.04814365837829e-16,-7.96131347205404e-17
"t79",-0.0880536363056057,-0.186421944761115,0.124920921558815,-0.0174411174251086,0.00901835270598672,-0.144426562384049,0.0184286054023807,-0.00665764193261787,0.179635687392424,0.00234378393363987,-2.23850628149281e-05,0.0059700464988118,-4.07118860687137e-05,0.000955135963516302,-0.00130049434858889,0.00281366776116959,-0.000602071737739235,-0.221011099131388,0.0972590684570779,-0.00132147531187363,0.304173050680231,-0.00516615196272484,6.83879723050662e-05,-4.42378003045172e-06,-4.06428825077859e-06,0.00560778416470042,-0.00227884383974987,0.0142984059319411,-0.000917706591555317,0.00635536137563396,-0.00131387244311679,0.00120674822601549,-2.55877757126345e-06,0.308401239118132,0.000278423094539521,-4.63570480980002e-07,0.000439464440882914,-2.34590668073993e-06,0.00531506626349493,1.82628490156221e-06,0.00020019999522965,-0.000213775077516715,0.000101524110896227,-1.7855135271143e-06,-5.56829616312298e-06,-0.00045084384950417,0.000599646148846432,-0.00143769130736547,0.000616945791326992,0.000219998624553796,-0.00118730989186391,-0.000231146425319151,0.00980933860741699,0.000185101072442962,0.000347999890698071,-0.00128084388051538,-0.104480545087725,0.00175981007399627,0.000565708685153534,6.9616540580997e-06,0.00195947151675735,0.00588815236697578,0.0172025505305831,0.000201140412836124,0.327653428050954,-0.000385169033777598,-0.0392108597234865,0.000427851430956849,7.21194919066087e-07,8.84133172757436e-13,0.0779262257612699,-2.7912178804046e-09,1.92701662087572e-07,5.15635906779084e-08,2.97642744740319e-10,1.70780585678617e-08,-4.7291651906084e-10,2.69303372169848e-16,-4.11355205612506e-06,0.0355160176478639,6.71881619988792e-06,-1.13783411060318e-15,4.22244721176559e-11,-1.20884581791665e-11,0.0779308826498923,1.80625250517967e-15,-1.22650858824687e-16,3.21940760398549e-09,7.97941612544792e-16,-6.4278945015812e-07,-2.80632747772574e-10,-1.17522857485163e-09,-7.22016847261517e-12,-2.06380112915153e-13,-7.66579172721563e-11,0.70710678118655,-5.55329708973218e-15,3.57108655520735e-14,1.61562662153297e-15,-2.63695145289226e-08,3.82346864371203e-11,2.26421889366379e-15,3.53738888858356e-14,-8.00004395357325e-15,1.50234366605357e-15,-2.88535711023275e-15,3.110136566831e-11,-9.46686521508602e-05,1.42936318421721e-08,-2.3892870828278e-15,-1.88372186994568e-10,-3.3785750592338e-16,-6.17524524631138e-16,-6.10350994977657e-16,1.08155882640404e-15,-1.68243785868362e-16,-2.80016254648664e-17,-5.21790652819648e-16,-2.42079750949426e-11,-1.76992689507217e-16,-3.18518080645783e-16,3.50510099770113e-16,-3.17588386007492e-16,5.45344254388305e-17
