"accepted_species","trait_BM_trend_scaled"
"t62",1
"t63",1
"t37",1
"t12",1
"t74",1
"t75",1
"t47",1
"t48",1
"t42",1
"t35",1
"t34",1
"t7",1
"t50",1
"t96",1
"t97",1
"t98",1
"t71",1
"t85",1
"t86",1
"t79",1
"t88",1
"t89",1
"t19",1
"t20",1
"t8",1
"t27",1
"t28",1
"t1",1
"t60",1
"t61",1
"t52",1
"t51",1
"t39",1
"t40",1
"t14",1
"t15",1
"t9",1
"t72",1
"t73",1
"t81",1
"t82",1
"t77",0
"t78",0
"t41",0
"t33",1
"t83",1
"t84",1
"t43",0
"t13",0
"t5",0
"t56",0
"t57",0
"t38",0
"t49",0
"t99",0
"t100",0
"t17",1
"t22",1
"t80",1
"t90",1
"t32",1
"t76",0
"t91",0
"t94",0
"t95",0
"t21",1
"t92",1
"t93",1
"t87",1
"t18",1
"t3",1
"t54",1
"t55",1
"t10",1
"t31",1
"t2",1
"t6",1
"t44",1
"t58",1
"t59",1
"t64",1
"t65",1
"t68",1
"t69",1
"t70",1
"t53",1
"t45",1
"t46",1
"t25",1
"t26",1
"t16",1
"t36",1
"t66",1
"t67",1
"t4",1
"t11",1
"t23",1
"t24",1
"t29",1
"t30",1
