,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
t1,11.320149,-1.3600287,1.9862819,-0.47818574,3.5818737,5.3980975,4.2086043,3.9726129,5.2528644,4.7993155,5.437844,3.7674267,5.7325325,4.0398593,4.286978,5.3705883,4.6100554,3.3782785,4.59029,5.2220173,6.215888,5.947095,4.31004,3.372912,6.474341,5.8927655,5.6221457,5.72372,5.3162446,6.302646,3.3360322,5.159019,5.352874,3.9071307,6.165214,4.434471,2.7338736,4.8645644,4.147811,4.9993567,6.3401866,4.1330624,5.258066,4.870944,2.0649788,5.2718,6.133898,4.1278815,6.818307
t2,11.300395,-1.3622525,1.9877491,-0.3800336,3.5741558,5.3637147,4.1981463,3.9516532,5.262924,4.824028,5.4471993,3.7952683,5.704796,4.0203695,4.305004,5.3487616,4.635563,3.3919003,4.6006923,5.234315,6.2156053,5.9468007,4.32254,3.399626,6.44906,5.8936043,5.639547,5.7397456,5.300534,6.307125,3.3318694,5.1448283,5.3363585,3.8983138,6.179707,4.443781,2.7163901,4.868809,4.140672,4.9787135,6.326344,4.1273456,5.2542996,4.8701487,2.0677629,5.3010635,6.1209583,4.1161046,6.832475
t3,11.29656,-1.3656689,1.9825816,-0.38964063,3.5626874,5.387519,4.211695,3.95453,5.266805,4.8278885,5.4386597,3.7737963,5.71802,4.038123,4.2877755,5.36719,4.6331096,3.3769593,4.5944433,5.242912,6.208364,5.9587107,4.31731,3.3863957,6.465971,5.887125,5.64004,5.743134,5.3108735,6.3182216,3.341293,5.140886,5.328614,3.9069388,6.1846466,4.4489207,2.7142615,4.8794794,4.134265,4.989398,6.340888,4.1356244,5.24322,4.8671722,2.0570903,5.29011,6.116195,4.1303,6.8355293
t4,11.346598,-1.35276,1.9768593,-0.5483365,3.596731,5.412603,4.2098866,3.9958968,5.2335253,4.7666163,5.437479,3.7603126,5.753254,4.045702,4.2747755,5.3762403,4.580849,3.3662076,4.593909,5.1994257,6.2176204,5.9369617,4.2929664,3.3476222,6.4911914,5.883068,5.610034,5.7114024,5.3328557,6.2860866,3.332001,5.1734843,5.3746386,3.911516,6.146525,4.432305,2.7574267,4.851159,4.16205,5.0165343,6.3406296,4.1333337,5.2586594,4.8602114,2.0606344,5.24745,6.1418557,4.1290483,6.80375
t5,11.358048,-1.3454338,1.9845684,-0.5565757,3.589966,5.431945,4.2134237,4.0209374,5.23044,4.7702413,5.4194255,3.7446656,5.7837057,4.06461,4.243128,5.3807044,4.5593233,3.3614802,4.5907335,5.21344,6.2237124,5.9575663,4.28223,3.3462257,6.514627,5.8780713,5.58925,5.692859,5.341451,6.2989354,3.3267639,5.170835,5.3562407,3.9101422,6.1357436,4.4340706,2.7725,4.8716917,4.167476,5.032784,6.350226,4.1226897,5.2660403,4.8506417,2.052275,5.2137127,6.1557794,4.1404753,6.8024564
t6,11.306682,-1.3602462,1.9846144,-0.38574374,3.5777404,5.3677516,4.1975803,3.9557488,5.2584057,4.8158226,5.4488564,3.792847,5.7080064,4.0205708,4.3048806,5.3497047,4.6291933,3.3892875,4.6033096,5.2279263,6.216769,5.9431715,4.318878,3.3938522,6.451932,5.89049,5.6382003,5.738285,5.3040814,6.3022637,3.3301764,5.1472535,5.34028,3.8985662,6.176478,4.4436717,2.72137,4.8649325,4.1434846,4.981391,6.3243814,4.1270113,5.254316,4.8664846,2.0670292,5.2973447,6.1217628,4.114491,6.8282323
t7,11.383532,-1.3503233,1.9486696,-0.6385327,3.6387951,5.428739,4.207782,4.020008,5.1987133,4.711662,5.4531865,3.7601764,5.7607837,4.0308795,4.2855616,5.3837414,4.548208,3.350358,4.610372,5.148676,6.212441,5.886894,4.266224,3.3068686,6.490681,5.8645053,5.606329,5.702446,5.357427,6.241647,3.3314366,5.2069016,5.4352317,3.9235342,6.1152415,4.4307065,2.789859,4.8006377,4.1929374,5.0362144,6.3283434,4.145806,5.251091,4.8453846,2.0673308,5.232936,6.1437984,4.119443,6.7874165
t8,11.362039,-1.3404456,1.9926058,-0.5975077,3.5866795,5.3766866,4.2088,4.017948,5.236936,4.7685714,5.4103894,3.7946305,5.781673,4.040772,4.253066,5.33287,4.549353,3.3735523,4.587493,5.216138,6.245493,5.9763756,4.289225,3.3594356,6.5201406,5.8837867,5.5657673,5.673257,5.330183,6.3089566,3.3160734,5.16016,5.3538456,3.8988404,6.146209,4.4142303,2.7695892,4.882305,4.165946,5.035179,6.345509,4.104725,5.2878366,4.846013,2.0536332,5.21537,6.1775064,4.112806,6.773601
t9,11.4238615,-1.3539467,1.9039944,-0.8851173,3.686806,5.4251328,4.2097797,4.0239134,5.1490297,4.578953,5.4935913,3.790875,5.735238,3.9822752,4.339499,5.360846,4.523823,3.3197682,4.63626,5.018466,6.1878676,5.7833295,4.245316,3.2295513,6.457873,5.848597,5.654239,5.7426353,5.3862143,6.1481967,3.341648,5.2428727,5.594885,3.9454436,6.0867867,4.4401016,2.8206208,4.6645637,4.209422,5.0361447,6.2726784,4.182749,5.225407,4.844106,2.0888977,5.2542167,6.1104975,4.065817,6.7951884
t10,11.362758,-1.3515587,1.9667376,-0.6011749,3.6175778,5.418676,4.207537,4.0028915,5.218717,4.7377186,5.4467626,3.761621,5.7541428,4.0364537,4.285474,5.379543,4.5682073,3.3613608,4.5981812,5.173288,6.2164774,5.910637,4.2845473,3.329086,6.489313,5.8787613,5.6081305,5.7070255,5.3409348,6.2639904,3.3315372,5.190908,5.409034,3.9158733,6.1325035,4.4286957,2.7704477,4.8242517,4.1746025,5.0225205,6.3359203,4.139063,5.257481,4.8581066,2.0647364,5.2449527,6.144,4.1226206,6.796059
t11,12.122072,-1.0793734,3.4162896,6.1924214,4.235872,4.5081325,4.227756,4.7786927,4.482795,5.347262,4.692501,5.304181,5.1713214,2.64519,4.4279532,5.6534576,5.407407,4.4149776,4.57893,4.5001802,5.3236275,4.6382966,4.5602484,5.60838,5.165678,7.1920824,5.282378,4.854465,4.604135,5.080412,3.1338742,5.5894227,5.6479306,4.189382,4.446373,4.7916284,3.3795483,4.9748893,4.9365783,4.6788573,6.1613693,4.1686563,6.1722746,5.9215856,3.660818,5.560824,6.879807,4.6666975,6.949443
t12,11.435474,-1.3415214,1.9280002,-0.89384854,3.7227304,5.449151,4.1861978,4.010648,5.162684,4.583104,5.5060463,3.7690227,5.757425,3.9818208,4.3589644,5.3912024,4.5268226,3.348847,4.60649,5.02332,6.219071,5.772241,4.269345,3.2464283,6.488982,5.878566,5.622279,5.7084465,5.361328,6.1571565,3.3250568,5.28916,5.5939083,3.9238446,6.064077,4.4053006,2.820116,4.6694856,4.214502,5.0291057,6.300902,4.160933,5.2564735,4.8767138,2.0800016,5.2486286,6.143092,4.071986,6.7615395
t13,11.380973,-1.3561227,1.9477336,-0.66838634,3.6388476,5.433763,4.2099257,4.0165386,5.2011013,4.707633,5.4529624,3.7543106,5.755073,4.031505,4.284162,5.3911047,4.5516105,3.3506103,4.6103806,5.146914,6.2065215,5.8802004,4.267056,3.3032606,6.483788,5.8650613,5.6114826,5.7061625,5.3568444,6.2403173,3.3364289,5.207752,5.441085,3.9261794,6.115272,4.434085,2.7853956,4.800159,4.1927342,5.034693,6.330119,4.150379,5.2464004,4.8488436,2.0707211,5.2372885,6.1396265,4.124549,6.796302
t14,11.2972555,-1.3572354,1.9860213,-0.33622977,3.5877428,5.316761,4.172763,3.930083,5.26383,4.8136272,5.4741044,3.8433669,5.6711383,3.972618,4.352469,5.299938,4.643655,3.4121308,4.61949,5.21394,6.2351646,5.9172263,4.3359118,3.4125345,6.418661,5.8951793,5.6535015,5.752216,5.2828007,6.2860904,3.314873,5.1381507,5.367247,3.8783624,6.1923714,4.437234,2.7086215,4.8380117,4.138046,4.951485,6.290329,4.1124415,5.266413,4.8658376,2.0790272,5.335007,6.115813,4.0654235,6.827322
t15,11.425959,-1.3483154,1.91803,-0.8721448,3.6991653,5.437048,4.200023,4.021911,5.1546354,4.5909243,5.496227,3.7778392,5.745707,3.9875815,4.338542,5.3790073,4.5253158,3.3331432,4.6197357,5.032407,6.2010865,5.784454,4.254399,3.2400603,6.471164,5.862115,5.632279,5.7207365,5.375754,6.155571,3.334279,5.2601213,5.581526,3.9366472,6.0774245,4.424373,2.820755,4.6768136,4.213443,5.0348306,6.2940145,4.172632,5.240708,4.8571067,2.0838091,5.2487283,6.1296473,4.076399,6.784362
t16,11.303464,-1.361708,1.9894549,-0.38727844,3.579925,5.359593,4.194665,3.9515486,5.261607,4.8187103,5.4503245,3.8021681,5.701787,4.011632,4.3121796,5.3422976,4.633599,3.3957846,4.6021614,5.227814,6.219234,5.937822,4.3238072,3.3995478,6.4448633,5.8964667,5.638957,5.7383275,5.2984643,6.300569,3.3294933,5.146742,5.3481503,3.8959262,6.178392,4.4395924,2.7178068,4.8614225,4.142122,4.9759617,6.320884,4.125695,5.2596726,4.872049,2.0733454,5.3029304,6.1235657,4.1072397,6.8293605
