,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,
top,EB,mcar,ultrametric,continuous,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,
mean,,,,,1.0001478633083563,0.10340102440199342,0.5644954778773758,0.322482647824858,0.11054377939949867,0.40048512881615944,0.3439571325400208,0.14829448715162807,0.15711522780868506,0.18488883714951512,0.17665379474591483
std,,,,,0.0006085667483160855,0.1401899997576126,0.391733982609694,1.88413590296424,0.1412120318035607,2.74784568713884,1.1529147939725348,0.2185470695267586,0.21735651729210648,0.1942186488677819,0.35499575926835236
min,,,,,0.997276712313504,9.460263260594036e-13,0.0004390065469549936,0.0006360314494867853,4.178537273643942e-09,0.007374900735351453,0.0008969836220765303,6.438731666357275e-06,7.827792854048221e-07,1.2441079718328308e-05,8.696912069298636e-06
25%,,,,,0.999926686256414,0.006507163346342017,0.3016702873654484,0.04303051542836317,0.012479753051075024,0.08737126981708629,0.059708318575248914,0.013982078799575066,0.015932466814283005,0.02989091524800061,0.02379441459408925
50%,,,,,0.999926686256414,0.03917234866007591,0.5383970526878821,0.12029026827785086,0.04560139825479473,0.21664919215920425,0.1964357522878225,0.06668322878056093,0.08170248787703097,0.11833126242175249,0.09855757943532578
75%,,,,,1.0000957738218375,0.1695101556828465,0.7436299498333905,0.31639174696146877,0.1750846311261206,0.3695540083581571,0.40539590431813544,0.22660535095100204,0.23943158386607985,0.2965750107647675,0.2494884391528346
max,,,,,1.00342865958072,1.1000974721126922,2.6124073384355286,36.60057884076015,0.9672532859378087,55.03765695098281,18.77306497244842,2.6075951610797183,2.1819403773311827,0.9400395650670477,6.2513091847820155
