accepted_species,estimate
t1,-0.34160194
t21,-0.3144239
t60,-0.3141667
t149,0.63545895
t220,2.89839
t289,0.34211546
t210,0.82359153
t177,-0.6180986
t301,-0.44985572
t264,-1.2707094
t202,0.35599595
t179,0.60056275
t118,-0.52528304
t117,-0.52528304
t310,0.7255447
t106,-0.40507385
t164,-0.92233634
t206,-0.46106753
t152,-0.81701624
t260,-0.119470984
t94,-0.03949326
t129,-0.58926797
t130,-0.58926797
t175,-0.68195486
t101,-0.18471658
t244,1.5768408
t322,1.9540355
t147,-0.43742558
t294,-0.13832743
t126,-0.2439349
t2,-0.3554496
t20,-0.3561606
t65,-0.16522105
t309,-0.9524235
