,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-15.189456507369796,1.912428458561327e-41,2.4861569961297253e-40
1,corHMM_logit_umap_supervised,-11.124636763548315,3.190086515984589e-25,3.8281038191815065e-24
3,corHMM_logit_umap,-9.925783059357881,6.741040430777442e-21,6.741040430777442e-20
2,corHMM_logit_eigenvecs,-9.930191149284434,6.506310936487968e-21,7.156942030136764e-20
4,corHMM_logit_autoenc_supervised,-9.651890156867205,5.98635395549376e-20,5.387718559944384e-19
5,corHMM_logit_autoencoded,-9.43230274114289,3.3573063456329233e-19,2.6858450765063387e-18
7,corHMM_logit_PEM,-8.383053812974849,8.948710902362458e-16,5.369226541417475e-15
6,corHMM_xgb_umap,-8.39541274843677,8.183831102251619e-16,5.728681771576133e-15
8,corHMM_xgb_eigenvecs,-7.86361949274581,3.524470970885471e-14,1.7622354854427356e-13
9,corHMM_xgb_autoencoded,-7.503144050260901,4.092332516537628e-13,1.6369330066150513e-12
10,corHMM_xgb_PEM,-7.25549169058952,2.102093439038471e-12,6.306280317115413e-12
11,corHMM_xgb_autoenc_supervised,-6.428319823187172,3.6874069708201754e-10,7.374813941640351e-10
12,corHMM_phylnn_fill_means,-3.9656915902526007,8.673872615681405e-05,8.673872615681405e-05
