,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
t4,-0.020776693,-0.15316935,-0.058756158,0.008829806,0.39876226,-0.069700465,-0.85073566,-0.016325042,1.6613404,-0.03164299,-0.030243834,0.026169123,-0.64258516,-0.07678355,0.18207116,4.020059,0.029273296,2.120807,8.753573,-0.11912069,7.9363728,-0.020871991,-0.24879129,-0.109758824,-0.9996232,-0.17185271,5.163709,10.462089,-0.3613991,2.7034376,3.0796058,-0.15620174,9.438553,-0.08401924,16.720442,1.0308483,0.017692719,-0.07484101,0.038866643,0.19975959,0.009203175,0.2806033,4.8340945,-0.30474648,-0.030777324,-0.07404419,-1.8264047,-0.0022445724
t5,0.38188335,-0.1840631,-0.19045572,1.7564374,1.7994822,-0.08314415,-0.741724,0.8759969,2.3613703,-0.011483491,-0.03930134,0.028481757,-0.5314429,-0.13874307,0.20775802,3.7179708,0.0526762,2.2475808,7.678771,-0.12513822,6.4599085,-0.029303275,-0.23309016,-0.1285441,-0.90394646,-0.17116143,4.6928935,11.707004,-0.35380203,5.0885563,1.3990555,-0.0028066926,9.16397,-0.10724414,16.877552,0.95879227,0.036593616,-0.078157105,0.0357195,0.17658257,0.012347979,0.1531633,6.5756145,-0.16428754,-0.036761146,-0.074588306,-1.6285442,-0.0030658615
t10,2.0377998,-0.23956856,-0.3839835,3.7619708,3.967574,-0.1109344,-0.6986255,2.4481328,3.291963,0.09255712,-0.038031094,0.03543187,-0.5260687,-0.19057149,0.27179444,3.842177,0.08569987,2.6673815,7.0529957,-0.15104805,5.218519,-0.044780854,-0.31961852,-0.17125228,-0.8833352,-0.1893691,4.372891,14.978675,-0.40512607,8.664031,0.4526787,1.1011045,9.809255,-0.14910397,19.124111,1.0555623,0.06493169,-0.086674884,0.036906138,0.17411594,0.01929348,0.07783404,9.584236,-0.039307714,-0.046828296,-0.09076112,-1.6317246,-0.0055131787
t11,1.7198738,-0.23008253,-0.34957343,3.3122175,3.5953083,-0.106277294,-0.72680277,2.0696757,3.1229036,-0.0031196,-0.038364835,0.033880763,-0.5435237,-0.17578033,0.26301277,3.9388366,0.078805804,2.6417313,7.411869,-0.15132914,5.580329,-0.042944673,-0.31397358,-0.16577981,-0.9080519,-0.18890938,4.4187493,14.627472,-0.40949103,8.018691,0.7778091,0.7993092,9.955703,-0.1439054,19.14491,1.0611736,0.05713914,-0.08639793,0.037436135,0.18037881,0.017629253,0.23929662,9.210861,-0.08898245,-0.04589715,-0.09055015,-1.6829827,-0.005258917
t12,1.9021775,-0.24012479,-0.37086642,3.5944097,3.8542998,-0.110400714,-0.7330935,2.236515,3.2523918,-0.004690322,-0.037618034,0.03510615,-0.5537933,-0.1796539,0.27270955,4.070087,0.08281061,2.7801096,7.567281,-0.15460724,5.580908,-0.045531746,-0.3347138,-0.16859469,-0.92520696,-0.19404094,4.4541574,15.1979475,-0.42070132,8.46809,0.77505744,0.9033156,10.241613,-0.1500261,19.769617,1.0977829,0.058739647,-0.08875952,0.03908974,0.18613683,0.018953098,0.24494028,9.688318,-0.09522691,-0.046966765,-0.094932094,-1.7287982,-0.005472829
t13,2.0788147,-0.24550216,-0.3890743,3.8432026,4.0561657,-0.11290868,-0.7177095,2.4401762,3.3471587,-0.0018915859,-0.037220065,0.03594792,-0.5444426,-0.18760288,0.27733383,4.0168686,0.086614504,2.7954443,7.373778,-0.15419865,5.38981,-0.046623833,-0.33700383,-0.17126049,-0.91161996,-0.19434509,4.429233,15.383958,-0.4176787,8.811562,0.59715194,1.0701977,10.165524,-0.15286918,19.75816,1.0945476,0.06299094,-0.089066036,0.03891256,0.18271092,0.019877572,0.15495993,9.889726,-0.06875943,-0.04744814,-0.095215805,-1.7010479,-0.0055908947
t8,2.077538,-0.24654631,-0.39316413,3.8614368,4.0769005,-0.113415025,-0.71588314,2.463304,3.3744144,-0.0012704291,-0.03748366,0.036067005,-0.5439698,-0.18922304,0.27848244,4.034122,0.08737089,2.7807622,7.3431363,-0.15429556,5.365899,-0.046334,-0.3382686,-0.17434092,-0.9086765,-0.19405073,4.4310975,15.424019,-0.41807234,8.860095,0.5421154,1.1158178,10.151072,-0.15346871,19.754549,1.0918461,0.06456414,-0.08913254,0.038804904,0.18210661,0.01996899,0.14886557,9.902331,-0.06190671,-0.04765504,-0.0949369,-1.6931386,-0.0056228833
t20,2.9948065,-0.26986524,-0.47792295,4.948994,5.058282,-0.12701926,-0.65091735,3.4228542,3.890187,0.59229934,-0.036125828,0.03981844,-0.49202505,-0.23014843,0.30183956,3.743191,0.105677746,2.7767708,6.524128,-0.15672383,4.7215257,-0.051719844,-0.343228,-0.17863287,-0.8660179,-0.19539356,4.310688,16.440704,-0.4075054,10.472571,-0.014835122,2.0548904,9.883471,-0.16821948,19.862793,1.0803277,0.08268163,-0.0904895,0.039843757,0.16729438,0.025576917,-0.0019110284,10.964335,0.35571948,-0.049593735,-0.09396302,-1.5841365,-0.006171398
t52,5.153281,-0.29708636,-0.65353274,7.258737,7.1518064,-0.15670288,-0.44586495,5.4510756,5.273196,2.1464956,-0.02704206,0.047624595,-0.35091946,-0.3312005,0.3581684,2.880169,0.14209235,2.6255293,4.6008344,-0.1669228,3.3296616,-0.06668122,-0.29882604,-0.16867298,-0.7468445,-0.1975435,3.6769643,18.406397,-0.33963493,13.987554,-0.10769955,4.7493377,9.254749,-0.210414,19.405294,0.9940811,0.12144011,-0.08966302,0.04288788,0.12167149,0.04185949,-0.01133216,13.392692,2.349673,-0.050127722,-0.071870044,-1.1595914,-0.006854452
t53,5.2175674,-0.29854113,-0.65881765,7.331651,7.2141433,-0.15753028,-0.43988287,5.5090404,5.3119097,2.196637,-0.026585799,0.04789869,-0.34666532,-0.33452874,0.35997045,2.8493602,0.14330325,2.6167135,4.53877,-0.16697514,3.2874117,-0.067198284,-0.29784852,-0.16843644,-0.7420268,-0.19767514,3.6561978,18.460453,-0.33687267,14.095359,-0.11077247,4.834235,9.236587,-0.21183231,19.381859,0.9910062,0.12271806,-0.08982913,0.042979203,0.12003578,0.042326864,-0.011602218,13.466371,2.4072013,-0.05006769,-0.07111372,-1.1470046,-0.006858239
t38,4.1783996,-0.28459075,-0.57538646,6.206562,6.1961956,-0.14343701,-0.54015166,4.5307746,4.6525617,1.4436302,-0.030843021,0.044025462,-0.41281995,-0.28569898,0.33301938,3.3159506,0.12588525,2.6876578,5.5007195,-0.16335595,3.9868622,-0.059997436,-0.31942737,-0.17588842,-0.8046327,-0.19674583,3.967915,17.556404,-0.37061465,12.401725,-0.065157235,3.532307,9.55689,-0.19272204,19.645525,1.0353982,0.1049458,-0.090273194,0.04178964,0.1420033,0.034554344,-0.006988782,12.300753,1.425472,-0.050316684,-0.08240854,-1.35265,-0.0064988113
