,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
t4,4.4454517,7.160502,10.837383,4.9299073,5.0547624,5.798171,5.912402,4.908438,5.3029447,3.3438907,4.6480966,4.722846,5.852864,6.2724595,4.032636,5.0079126,5.0583243,5.1159124,3.1539893,4.451258,4.2107315,6.0518966,5.599289,5.0192885,5.588727,4.784937,4.8028307,5.343595,4.7861605,4.837359,5.4542503,5.2737236,6.1031423,5.3814416,5.732046,4.797892,6.5846276,5.187454,4.599515,4.71391,3.6595294,4.810067,5.704734,5.2927537,4.7211666,4.845583,3.9804847,5.3499756
t5,4.454022,7.1502934,11.092744,4.8710847,5.0452476,5.816994,5.965185,4.965687,5.367957,3.3524861,4.744338,4.7290945,5.864588,6.279195,4.005338,4.9818034,5.062193,5.1008577,3.0990567,4.4316263,4.177778,6.139679,5.584065,5.026106,5.607701,4.81221,4.7923393,5.346282,4.8308935,4.8287606,5.4517922,5.2392073,6.1014776,5.374046,5.7311954,4.744396,6.581759,5.231508,4.6082563,4.6732206,3.6315966,4.770045,5.6980753,5.3217435,4.7597504,4.899625,3.9138515,5.3185115
t10,4.438801,7.1313477,11.651057,4.8188443,5.0302744,5.8342195,6.025955,5.030977,5.440197,3.3516822,4.8354564,4.725418,5.894959,6.299711,3.9836364,4.9335337,5.0714025,5.0788965,3.0272229,4.420163,4.136567,6.2196765,5.5573316,5.031761,5.6137023,4.827605,4.7599754,5.350556,4.8601427,4.818862,5.430252,5.2018523,6.1037297,5.355384,5.72741,4.6831646,6.562432,5.272643,4.635951,4.637411,3.6057842,4.717939,5.694301,5.3477077,4.8099985,4.942004,3.862502,5.3147264
t11,4.4453297,7.1361866,11.627383,4.8265243,5.032333,5.837117,6.0138006,5.020064,5.426499,3.359381,4.8189883,4.728831,5.8854227,6.298127,3.9890952,4.945591,5.0665493,5.084016,3.0387528,4.417218,4.1417136,6.205637,5.5658197,5.032144,5.614914,4.8235807,4.766354,5.347641,4.859602,4.820775,5.440053,5.2068663,6.102137,5.362239,5.729845,4.694681,6.571907,5.265864,4.6265745,4.6356745,3.6055822,4.725698,5.6948557,5.348329,4.804305,4.9363136,3.8691993,5.3095627
t12,4.4377604,7.1335607,11.621815,4.810169,5.0414066,5.8535957,6.0277042,5.0379014,5.4388647,3.3661537,4.845002,4.718702,5.883529,6.300189,3.9995885,4.964929,5.053406,5.082185,3.0385065,4.4199185,4.1162715,6.231466,5.5558243,5.045036,5.6206684,4.8204465,4.761761,5.345281,4.873209,4.827616,5.450031,5.193037,6.10787,5.3557005,5.731704,4.6795597,6.594577,5.256655,4.6286893,4.607486,3.6002648,4.7274284,5.686101,5.352941,4.8256774,4.9462495,3.8367035,5.282804
t13,4.4322476,7.12643,11.681934,4.806006,5.0327225,5.846019,6.0362124,5.042552,5.4495783,3.3569334,4.8453283,4.718272,5.8967376,6.303772,3.9856882,4.9394803,5.0661187,5.0742917,3.0201256,4.418904,4.120421,6.231204,5.5489078,5.040058,5.618073,4.8288894,4.753236,5.351233,4.8727155,4.8228,5.4331965,5.189319,6.107079,5.349507,5.7281165,4.6725216,6.573945,5.272222,4.6402082,4.6179748,3.598168,4.7132564,5.6871505,5.352722,4.8242407,4.9527283,3.846261,5.298253
t8,4.4177136,7.120994,11.7207365,4.791277,5.041156,5.841141,6.0532594,5.0588374,5.4665966,3.3387768,4.86258,4.7046795,5.9089446,6.2990637,3.9855676,4.935846,5.065763,5.06885,3.014077,4.4350977,4.1054025,6.2483797,5.529298,5.045748,5.6161013,4.8322535,4.7478795,5.3552303,4.872489,4.825324,5.4224815,5.181391,6.114707,5.3344073,5.7250776,4.6558647,6.5701413,5.2702255,4.654941,4.618589,3.6078072,4.713441,5.6834106,5.343932,4.8351645,4.9601316,3.8317938,5.3038263
t20,4.416613,7.119443,11.984301,4.791694,5.0398293,5.829297,6.0647974,5.066669,5.4811625,3.3269658,4.882621,4.7028084,5.914522,6.2942758,3.9761262,4.922008,5.073858,5.0666347,3.0103579,4.4397774,4.107722,6.267391,5.5236006,5.0425334,5.6122804,4.838765,4.749101,5.3604846,4.868462,4.824158,5.4121356,5.1846523,6.115364,5.331032,5.7240257,4.647072,6.5567026,5.276954,4.659591,4.63452,3.6138158,4.712287,5.6850524,5.336298,4.8276477,4.960967,3.8320012,5.3250175
t52,4.260385,7.0469637,12.744472,4.607796,5.119891,5.824574,6.2965207,5.281605,5.7014885,3.1900675,5.1865015,4.577748,6.0445333,6.2617497,3.9646597,4.888036,5.0721364,4.9889345,2.9241436,4.576152,3.9086645,6.5774364,5.325167,5.103771,5.624577,4.8798046,4.673483,5.4046974,4.912918,4.852359,5.3249125,5.0698223,6.180352,5.183279,5.683444,4.420586,6.5441127,5.2707305,4.808471,4.5860147,3.6741757,4.6986465,5.625669,5.274404,4.958889,5.0784464,3.6094456,5.314261
t53,4.2574854,7.051979,12.752001,4.6035085,5.1113515,5.8225994,6.2949786,5.2833633,5.705801,3.1942687,5.1767774,4.574477,6.0336547,6.265214,3.9540045,4.8794937,5.079941,4.979482,2.9255002,4.571492,3.9093432,6.5717287,5.3241496,5.0997357,5.6243653,4.8897195,4.684544,5.4146543,4.9125357,4.8599067,5.3152094,5.071172,6.176185,5.1869774,5.6880865,4.422931,6.535241,5.281131,4.809786,4.5852127,3.678406,4.7010703,5.6292214,5.2662888,4.9473915,5.0862885,3.611411,5.3230824
