"","t3","t4","t6","t10","t125","t126","t51","t109","t164","t165","t62","t68","t69","t38","t26","t23","t11","t9","t15","t16","t20","t156","t157","t133","t79","t80","t41","t180","t181","t148","t88","t98","t99","t96","t182","t183","t179","t110","t111","t90","t123","t124","t85","t86","t87","t60","t61","t55","t81","t91","t173","t174","t36","t37","t83","t154","t155","t73","t162","t163","t92","t108","t129","t138","t139","t94","t117","t118","t65","t114","t115","t104","t120","t121","t45","t46","t17","t8","t13","t14","t52","t53","t43","t97","t142","t143","t150","t151","t27","t71","t72","t149","t177","t178","t101","t135","t136","t100","t78","t54","t48","t44","t169","t170","t140","t141","t130","t82","t63","t64","t21","t22","t18","t19","t42","t58","t59","t112","t113","t146","t147","t137","t89","t103","t167","t168","t166","t106","t107","t84","t95","t184","t185","t93","t175","t176","t131","t132","t152","t153","t134","t119","t35","t160","t161","t49","t50","t122","t158","t159","t144","t145","t105","t171","t172","t116","t127","t128","t102","t70","t74","t75","t34","t76","t77","t29","t56","t57","t47","t24","t28","t32","t33","t31","t66","t67","t39","t40","t30","t25","t12","t7","t5","t2","t1"
"t3",0,2.10317435,4.13716466552,6.35896150042,13.20995831172,13.20995831172,11.53654968852,13.20995831212,13.20995831212,13.20995831212,13.20995831172,13.20995831172,11.58653048029,10.83251189362,9.00131116312,8.53704513712,6.51136258022,7.43777514972,7.92542154342,7.52270554532,8.68031362832,13.20995831182,13.20995831182,13.20995831192,12.88767869402,12.40369235162,10.43128255349,13.20995831164,13.20995831164,13.20995831159,13.17746914789,13.04188897331,13.20995831151,13.20995831149,13.20995831094,13.20995831094,13.20995831093,12.700548976258,13.209958311258,13.209958311758,13.20995831125,13.20995831125,12.98838259425,12.051174657786,12.741778268046,11.54481056295,11.49932190765,12.28085710142,13.20995831142,12.59358968212,13.20995831102,13.20995831102,11.62257862569,13.20995831169,13.20995831152,13.20995831212,13.20995831212,13.20995831212,13.20995831172,13.20995831172,12.22575361986,13.20995831182,13.20995831182,13.2099583118,13.2099583118,13.20995831198,13.20995831178,12.64918737202,11.88275107502,13.20995831182,12.99868594852,13.20995831192,13.20995831182,13.20995831182,11.27329078431,10.90495060581,7.44505560582,4.84999322302,7.99187176142,7.12885267232,11.64481374602,12.01730445202,10.40205562452,13.20995831152,13.20995831142,13.20995831142,13.20995831102,13.20995831102,8.70789834958,13.20995831082,13.20995831082,13.20995831112,13.20995831107,13.20995831107,13.20995831112,13.20995831102,13.20995831102,13.20995831112,13.20995831102,13.20995831082,11.96278819672,10.65058390182,13.20995831123,13.20995831123,13.20995831122,13.20995831122,13.20995831122,13.20995831172,12.25058655592,13.20995831092,8.33445573612,8.34637530852,8.05150634702,8.78589785642,10.3181075496,11.45547069169,13.20995831079,13.20995831129,13.20995831129,13.20995831136,12.93482723336,12.94651998591,12.283177637765,12.672053329665,13.209958311415,13.209958311415,13.209958311365,12.660040229575,13.209958311365,12.31555356084,13.20995831146,13.209958310873,13.209958310873,13.01458455374,13.20995831063,13.20995831063,13.20995831062,13.20995831062,13.20995831069,13.17100817029,13.20995831069,13.20995831069,13.20995831159,13.20995831069,13.20995831069,11.30571085379,10.69848263699,12.90770947304,13.20995831094,13.20995831094,13.20995831094,13.20995831094,13.12736116044,13.106536751002,13.20995831089,13.20995831099,13.20995831099,12.91301922249,13.20995831099,12.52571363369,13.20995831079,12.21245420499,13.20995831112,13.20995831112,13.20995831112,12.38784620502,11.69173995732,13.20995831082,10.99614593032,8.57445675813,9.69015721343,11.5949403438,9.95682960072,9.9589288408,11.7728939828,13.2099583109,10.773834963,10.5702718472,10.0263447747,9.41102129403,7.62162402912,4.58165494772,3.860857625,3.301943632,3.7273634317
"t4",2.10317435,0,4.51286539552,6.73466223042,13.58565904172,13.58565904172,11.91225041852,13.58565904212,13.58565904212,13.58565904212,13.58565904172,13.58565904172,11.96223121029,11.20821262362,9.37701189312,8.91274586712,6.88706331022,7.81347587972,8.30112227342,7.89840627532,9.05601435832,13.58565904182,13.58565904182,13.58565904192,13.26337942402,12.77939308162,10.80698328349,13.58565904164,13.58565904164,13.58565904159,13.55316987789,13.41758970331,13.58565904151,13.58565904149,13.58565904094,13.58565904094,13.58565904093,13.076249706258,13.585659041258,13.585659041758,13.58565904125,13.58565904125,13.36408332425,12.426875387786,13.117478998046,11.92051129295,11.87502263765,12.65655783142,13.58565904142,12.96929041212,13.58565904102,13.58565904102,11.99827935569,13.58565904169,13.58565904152,13.58565904212,13.58565904212,13.58565904212,13.58565904172,13.58565904172,12.60145434986,13.58565904182,13.58565904182,13.5856590418,13.5856590418,13.58565904198,13.58565904178,13.02488810202,12.25845180502,13.58565904182,13.37438667852,13.58565904192,13.58565904182,13.58565904182,11.64899151431,11.28065133581,7.82075633582,5.22569395302,8.36757249142,7.50455340232,12.02051447602,12.39300518202,10.77775635452,13.58565904152,13.58565904142,13.58565904142,13.58565904102,13.58565904102,9.08359907958,13.58565904082,13.58565904082,13.58565904112,13.58565904107,13.58565904107,13.58565904112,13.58565904102,13.58565904102,13.58565904112,13.58565904102,13.58565904082,12.33848892672,11.02628463182,13.58565904123,13.58565904123,13.58565904122,13.58565904122,13.58565904122,13.58565904172,12.62628728592,13.58565904092,8.71015646612,8.72207603852,8.42720707702,9.16159858642,10.6938082796,11.83117142169,13.58565904079,13.58565904129,13.58565904129,13.58565904136,13.31052796336,13.32222071591,12.658878367765,13.047754059665,13.585659041415,13.585659041415,13.585659041365,13.035740959575,13.585659041365,12.69125429084,13.58565904146,13.585659040873,13.585659040873,13.39028528374,13.58565904063,13.58565904063,13.58565904062,13.58565904062,13.58565904069,13.54670890029,13.58565904069,13.58565904069,13.58565904159,13.58565904069,13.58565904069,11.68141158379,11.07418336699,13.28341020304,13.58565904094,13.58565904094,13.58565904094,13.58565904094,13.50306189044,13.482237481002,13.58565904089,13.58565904099,13.58565904099,13.28871995249,13.58565904099,12.90141436369,13.58565904079,12.58815493499,13.58565904112,13.58565904112,13.58565904112,12.76354693502,12.06744068732,13.58565904082,11.37184666032,8.95015748813,10.06585794343,11.9706410738,10.33253033072,10.3346295708,12.1485947128,13.5856590409,11.149535693,10.9459725772,10.4020455047,9.78672202403,7.99732475912,4.95735567772,4.236558355,3.677644362,4.1030641617
"t6",4.13716466552,4.51286539552,0,6.5950013089,13.4459981202,13.4459981202,11.772589497,13.4459981206,13.4459981206,13.4459981206,13.4459981202,13.4459981202,11.82257028877,11.0685517021,9.2373509716,8.7730849456,6.7474023887,7.6738149582,8.1614613519,7.7587453538,8.9163534368,13.4459981203,13.4459981203,13.4459981204,13.1237185025,12.6397321601,10.66732236197,13.44599812012,13.44599812012,13.44599812007,13.41350895637,13.27792878179,13.44599811999,13.44599811997,13.44599811942,13.44599811942,13.44599811941,12.936588784738,13.445998119738,13.445998120238,13.44599811973,13.44599811973,13.22442240273,12.287214466266,12.977818076526,11.78085037143,11.73536171613,12.5168969099,13.4459981199,12.8296294906,13.4459981195,13.4459981195,11.85861843417,13.44599812017,13.44599812,13.4459981206,13.4459981206,13.4459981206,13.4459981202,13.4459981202,12.46179342834,13.4459981203,13.4459981203,13.44599812028,13.44599812028,13.44599812046,13.44599812026,12.8852271805,12.1187908835,13.4459981203,13.234725757,13.4459981204,13.4459981203,13.4459981203,11.50933059279,11.14099041429,7.6810954143,5.0860330315,8.2279115699,7.3648924808,11.8808535545,12.2533442605,10.638095433,13.44599812,13.4459981199,13.4459981199,13.4459981195,13.4459981195,8.94393815806,13.4459981193,13.4459981193,13.4459981196,13.44599811955,13.44599811955,13.4459981196,13.4459981195,13.4459981195,13.4459981196,13.4459981195,13.4459981193,12.1988280052,10.8866237103,13.44599811971,13.44599811971,13.4459981197,13.4459981197,13.4459981197,13.4459981202,12.4866263644,13.4459981194,8.5704955446,8.582415117,8.2875461555,9.0219376649,10.55414735808,11.69151050017,13.44599811927,13.44599811977,13.44599811977,13.44599811984,13.17086704184,13.18255979439,12.519217446245,12.908093138145,13.445998119895,13.445998119895,13.445998119845,12.896080038055,13.445998119845,12.55159336932,13.44599811994,13.445998119353,13.445998119353,13.25062436222,13.44599811911,13.44599811911,13.4459981191,13.4459981191,13.44599811917,13.40704797877,13.44599811917,13.44599811917,13.44599812007,13.44599811917,13.44599811917,11.54175066227,10.93452244547,13.14374928152,13.44599811942,13.44599811942,13.44599811942,13.44599811942,13.36340096892,13.342576559482,13.44599811937,13.44599811947,13.44599811947,13.14905903097,13.44599811947,12.76175344217,13.44599811927,12.44849401347,13.4459981196,13.4459981196,13.4459981196,12.6238860135,11.9277797658,13.4459981193,11.2321857388,8.81049656661,9.92619702191,11.83098015228,10.1928694092,10.19496864928,12.00893379128,13.44599811938,11.00987477148,10.80631165568,10.26238458318,9.64706110251,7.8576638376,4.8176947562,4.28631509652,4.82628852932,5.25170832902
"t10",6.35896150042,6.73466223042,6.5950013089,0,8.6263856503,8.6263856503,6.9529770271,8.6263856507,8.6263856507,8.6263856507,8.6263856503,8.6263856503,7.00295781887,6.2489392322,4.4177385017,3.9534724757,1.9277899188,4.1229190047,9.6357406144,9.2330246163,10.3906326993,14.9202773828,14.9202773828,14.9202773829,14.597997765,14.1140114226,12.14160162447,14.92027738262,14.92027738262,14.92027738257,14.88778821887,14.75220804429,14.92027738249,14.92027738247,14.92027738192,14.92027738192,14.92027738191,14.410868047238,14.920277382238,14.920277382738,14.92027738223,14.92027738223,14.69870166523,13.761493728766,14.452097339026,13.25512963393,13.20964097863,13.9911761724,14.9202773824,14.3039087531,14.920277382,14.920277382,13.33289769667,14.92027738267,14.9202773825,14.9202773831,14.9202773831,14.9202773831,14.9202773827,14.9202773827,13.93607269084,14.9202773828,14.9202773828,14.92027738278,14.92027738278,14.92027738296,14.92027738276,14.359506443,13.593070146,14.9202773828,14.7090050195,14.9202773829,14.9202773828,14.9202773828,12.98360985529,12.61526967679,9.1553746768,6.560312294,9.7021908324,8.8391717433,13.355132817,13.727623523,12.1123746955,14.9202773825,14.9202773824,14.9202773824,14.920277382,14.920277382,10.41821742056,14.9202773818,14.9202773818,14.9202773821,14.92027738205,14.92027738205,14.9202773821,14.920277382,14.920277382,14.9202773821,14.920277382,14.9202773818,13.6731072677,12.3609029728,14.92027738221,14.92027738221,14.9202773822,14.9202773822,14.9202773822,14.9202773827,13.9609056269,14.9202773819,10.0447748071,10.0566943795,9.761825418,10.4962169274,12.02842662058,13.16578976267,14.92027738177,14.92027738227,14.92027738227,14.92027738234,14.64514630434,14.65683905689,13.993496708745,14.382372400645,14.920277382395,14.920277382395,14.920277382345,14.370359300555,14.920277382345,14.02587263182,14.92027738244,14.920277381853,14.920277381853,14.72490362472,14.92027738161,14.92027738161,14.9202773816,14.9202773816,14.92027738167,14.88132724127,14.92027738167,14.92027738167,14.92027738257,14.92027738167,14.92027738167,13.01602992477,12.40880170797,14.61802854402,14.92027738192,14.92027738192,14.92027738192,14.92027738192,14.83768023142,14.816855821982,14.92027738187,14.92027738197,14.92027738197,14.62333829347,14.92027738197,14.23603270467,14.92027738177,13.92277327597,14.9202773821,14.9202773821,14.9202773821,14.098165276,13.4020590283,14.9202773818,12.7064650013,10.28477582911,11.40047628441,13.30525941478,11.6671486717,11.66924791178,13.48321305378,14.92027738188,12.48415403398,12.28059091818,11.73666384568,11.12134036501,9.3319431001,6.2919740187,6.50811193142,7.04808536422,7.47350516392
"t125",13.20995831172,13.58565904172,13.4459981202,8.6263856503,0,0.942876422,3.5859682928,6.0728431104,6.0728431104,6.0728431104,6.07284311,8.754662268,7.13123443657,6.3772158499,4.9820576122,5.150000519,7.8052993461,10.973915816,16.4867374257,16.0840214276,17.2416295106,21.7712741941,21.7712741941,21.7712741942,21.4489945763,20.9650082339,18.99259843577,21.77127419392,21.77127419392,21.77127419387,21.73878503017,21.60320485559,21.77127419379,21.77127419377,21.77127419322,21.77127419322,21.77127419321,21.261864858538,21.771274193538,21.771274194038,21.77127419353,21.77127419353,21.54969847653,20.612490540066,21.303094150326,20.10612644523,20.06063778993,20.8421729837,21.7712741937,21.1549055644,21.7712741933,21.7712741933,20.18389450797,21.77127419397,21.7712741938,21.7712741944,21.7712741944,21.7712741944,21.771274194,21.771274194,20.78706950214,21.7712741941,21.7712741941,21.77127419408,21.77127419408,21.77127419426,21.77127419406,21.2105032543,20.4440669573,21.7712741941,21.5600018308,21.7712741942,21.7712741941,21.7712741941,19.83460666659,19.46626648809,16.0063714881,13.4113091053,16.5531876437,15.6901685546,20.2061296283,20.5786203343,18.9633715068,21.7712741938,21.7712741937,21.7712741937,21.7712741933,21.7712741933,17.26921423186,21.7712741931,21.7712741931,21.7712741934,21.77127419335,21.77127419335,21.7712741934,21.7712741933,21.7712741933,21.7712741934,21.7712741933,21.7712741931,20.524104079,19.2118997841,21.77127419351,21.77127419351,21.7712741935,21.7712741935,21.7712741935,21.771274194,20.8119024382,21.7712741932,16.8957716184,16.9076911908,16.6128222293,17.3472137387,18.87942343188,20.01678657397,21.77127419307,21.77127419357,21.77127419357,21.77127419364,21.49614311564,21.50783586819,20.844493520045,21.233369211945,21.771274193695,21.771274193695,21.771274193645,21.221356111855,21.771274193645,20.87686944312,21.77127419374,21.771274193153,21.771274193153,21.57590043602,21.77127419291,21.77127419291,21.7712741929,21.7712741929,21.77127419297,21.73232405257,21.77127419297,21.77127419297,21.77127419387,21.77127419297,21.77127419297,19.86702673607,19.25979851927,21.46902535532,21.77127419322,21.77127419322,21.77127419322,21.77127419322,21.68867704272,21.667852633282,21.77127419317,21.77127419327,21.77127419327,21.47433510477,21.77127419327,21.08702951597,21.77127419307,20.77377008727,21.7712741934,21.7712741934,21.7712741934,20.9491620873,20.2530558396,21.7712741931,19.5574618126,17.13577264041,18.25147309571,20.15625622608,18.518145483,18.52024472308,20.33420986508,21.77127419318,19.33515084528,19.13158772948,18.58766065698,17.97233717631,16.1829399114,13.14297083,13.35910874272,13.89908217552,14.32450197522
"t126",13.20995831172,13.58565904172,13.4459981202,8.6263856503,0.942876422,0,3.5859682928,6.0728431104,6.0728431104,6.0728431104,6.07284311,8.754662268,7.13123443657,6.3772158499,4.9820576122,5.150000519,7.8052993461,10.973915816,16.4867374257,16.0840214276,17.2416295106,21.7712741941,21.7712741941,21.7712741942,21.4489945763,20.9650082339,18.99259843577,21.77127419392,21.77127419392,21.77127419387,21.73878503017,21.60320485559,21.77127419379,21.77127419377,21.77127419322,21.77127419322,21.77127419321,21.261864858538,21.771274193538,21.771274194038,21.77127419353,21.77127419353,21.54969847653,20.612490540066,21.303094150326,20.10612644523,20.06063778993,20.8421729837,21.7712741937,21.1549055644,21.7712741933,21.7712741933,20.18389450797,21.77127419397,21.7712741938,21.7712741944,21.7712741944,21.7712741944,21.771274194,21.771274194,20.78706950214,21.7712741941,21.7712741941,21.77127419408,21.77127419408,21.77127419426,21.77127419406,21.2105032543,20.4440669573,21.7712741941,21.5600018308,21.7712741942,21.7712741941,21.7712741941,19.83460666659,19.46626648809,16.0063714881,13.4113091053,16.5531876437,15.6901685546,20.2061296283,20.5786203343,18.9633715068,21.7712741938,21.7712741937,21.7712741937,21.7712741933,21.7712741933,17.26921423186,21.7712741931,21.7712741931,21.7712741934,21.77127419335,21.77127419335,21.7712741934,21.7712741933,21.7712741933,21.7712741934,21.7712741933,21.7712741931,20.524104079,19.2118997841,21.77127419351,21.77127419351,21.7712741935,21.7712741935,21.7712741935,21.771274194,20.8119024382,21.7712741932,16.8957716184,16.9076911908,16.6128222293,17.3472137387,18.87942343188,20.01678657397,21.77127419307,21.77127419357,21.77127419357,21.77127419364,21.49614311564,21.50783586819,20.844493520045,21.233369211945,21.771274193695,21.771274193695,21.771274193645,21.221356111855,21.771274193645,20.87686944312,21.77127419374,21.771274193153,21.771274193153,21.57590043602,21.77127419291,21.77127419291,21.7712741929,21.7712741929,21.77127419297,21.73232405257,21.77127419297,21.77127419297,21.77127419387,21.77127419297,21.77127419297,19.86702673607,19.25979851927,21.46902535532,21.77127419322,21.77127419322,21.77127419322,21.77127419322,21.68867704272,21.667852633282,21.77127419317,21.77127419327,21.77127419327,21.47433510477,21.77127419327,21.08702951597,21.77127419307,20.77377008727,21.7712741934,21.7712741934,21.7712741934,20.9491620873,20.2530558396,21.7712741931,19.5574618126,17.13577264041,18.25147309571,20.15625622608,18.518145483,18.52024472308,20.33420986508,21.77127419318,19.33515084528,19.13158772948,18.58766065698,17.97233717631,16.1829399114,13.14297083,13.35910874272,13.89908217552,14.32450197522
"t51",11.53654968852,11.91225041852,11.772589497,6.9529770271,3.5859682928,3.5859682928,0,4.3994344872,4.3994344872,4.3994344872,4.3994344868,7.0812536448,5.45782581337,4.7038072267,3.308648989,3.4765918958,6.1318907229,9.3005071928,14.8133288025,14.4106128044,15.5682208874,20.0978655709,20.0978655709,20.097865571,19.7755859531,19.2915996107,17.31918981257,20.09786557072,20.09786557072,20.09786557067,20.06537640697,19.92979623239,20.09786557059,20.09786557057,20.09786557002,20.09786557002,20.09786557001,19.588456235338,20.097865570338,20.097865570838,20.09786557033,20.09786557033,19.87628985333,18.939081916866,19.629685527126,18.43271782203,18.38722916673,19.1687643605,20.0978655705,19.4814969412,20.0978655701,20.0978655701,18.51048588477,20.09786557077,20.0978655706,20.0978655712,20.0978655712,20.0978655712,20.0978655708,20.0978655708,19.11366087894,20.0978655709,20.0978655709,20.09786557088,20.09786557088,20.09786557106,20.09786557086,19.5370946311,18.7706583341,20.0978655709,19.8865932076,20.097865571,20.0978655709,20.0978655709,18.16119804339,17.79285786489,14.3329628649,11.7379004821,14.8797790205,14.0167599314,18.5327210051,18.9052117111,17.2899628836,20.0978655706,20.0978655705,20.0978655705,20.0978655701,20.0978655701,15.59580560866,20.0978655699,20.0978655699,20.0978655702,20.09786557015,20.09786557015,20.0978655702,20.0978655701,20.0978655701,20.0978655702,20.0978655701,20.0978655699,18.8506954558,17.5384911609,20.09786557031,20.09786557031,20.0978655703,20.0978655703,20.0978655703,20.0978655708,19.138493815,20.09786557,15.2223629952,15.2342825676,14.9394136061,15.6738051155,17.20601480868,18.34337795077,20.09786556987,20.09786557037,20.09786557037,20.09786557044,19.82273449244,19.83442724499,19.171084896845,19.559960588745,20.097865570495,20.097865570495,20.097865570445,19.547947488655,20.097865570445,19.20346081992,20.09786557054,20.097865569953,20.097865569953,19.90249181282,20.09786556971,20.09786556971,20.0978655697,20.0978655697,20.09786556977,20.05891542937,20.09786556977,20.09786556977,20.09786557067,20.09786556977,20.09786556977,18.19361811287,17.58638989607,19.79561673212,20.09786557002,20.09786557002,20.09786557002,20.09786557002,20.01526841952,19.994444010082,20.09786556997,20.09786557007,20.09786557007,19.80092648157,20.09786557007,19.41362089277,20.09786556987,19.10036146407,20.0978655702,20.0978655702,20.0978655702,19.2757534641,18.5796472164,20.0978655699,17.8840531894,15.46236401721,16.57806447251,18.48284760288,16.8447368598,16.84683609988,18.66080124188,20.09786556998,17.66174222208,17.45817910628,16.91425203378,16.29892855311,14.5095312882,11.4695622068,11.68570011952,12.22567355232,12.65109335202
"t109",13.20995831212,13.58565904212,13.4459981206,8.6263856507,6.0728431104,6.0728431104,4.3994344872,0,1.2513630748,1.2513630748,3.8206312884,8.7546622684,7.13123443697,6.3772158503,4.9820576126,5.1500005194,7.8052993465,10.9739158164,16.4867374261,16.084021428,17.241629511,21.7712741945,21.7712741945,21.7712741946,21.4489945767,20.9650082343,18.99259843617,21.77127419432,21.77127419432,21.77127419427,21.73878503057,21.60320485599,21.77127419419,21.77127419417,21.77127419362,21.77127419362,21.77127419361,21.261864858938,21.771274193938,21.771274194438,21.77127419393,21.77127419393,21.54969847693,20.612490540466,21.303094150726,20.10612644563,20.06063779033,20.8421729841,21.7712741941,21.1549055648,21.7712741937,21.7712741937,20.18389450837,21.77127419437,21.7712741942,21.7712741948,21.7712741948,21.7712741948,21.7712741944,21.7712741944,20.78706950254,21.7712741945,21.7712741945,21.77127419448,21.77127419448,21.77127419466,21.77127419446,21.2105032547,20.4440669577,21.7712741945,21.5600018312,21.7712741946,21.7712741945,21.7712741945,19.83460666699,19.46626648849,16.0063714885,13.4113091057,16.5531876441,15.690168555,20.2061296287,20.5786203347,18.9633715072,21.7712741942,21.7712741941,21.7712741941,21.7712741937,21.7712741937,17.26921423226,21.7712741935,21.7712741935,21.7712741938,21.77127419375,21.77127419375,21.7712741938,21.7712741937,21.7712741937,21.7712741938,21.7712741937,21.7712741935,20.5241040794,19.2118997845,21.77127419391,21.77127419391,21.7712741939,21.7712741939,21.7712741939,21.7712741944,20.8119024386,21.7712741936,16.8957716188,16.9076911912,16.6128222297,17.3472137391,18.87942343228,20.01678657437,21.77127419347,21.77127419397,21.77127419397,21.77127419404,21.49614311604,21.50783586859,20.844493520445,21.233369212345,21.771274194095,21.771274194095,21.771274194045,21.221356112255,21.771274194045,20.87686944352,21.77127419414,21.771274193553,21.771274193553,21.57590043642,21.77127419331,21.77127419331,21.7712741933,21.7712741933,21.77127419337,21.73232405297,21.77127419337,21.77127419337,21.77127419427,21.77127419337,21.77127419337,19.86702673647,19.25979851967,21.46902535572,21.77127419362,21.77127419362,21.77127419362,21.77127419362,21.68867704312,21.667852633682,21.77127419357,21.77127419367,21.77127419367,21.47433510517,21.77127419367,21.08702951637,21.77127419347,20.77377008767,21.7712741938,21.7712741938,21.7712741938,20.9491620877,20.25305584,21.7712741935,19.557461813,17.13577264081,18.25147309611,20.15625622648,18.5181454834,18.52024472348,20.33420986548,21.77127419358,19.33515084568,19.13158772988,18.58766065738,17.97233717671,16.1829399118,13.1429708304,13.35910874312,13.89908217592,14.32450197562
"t164",13.20995831212,13.58565904212,13.4459981206,8.6263856507,6.0728431104,6.0728431104,4.3994344872,1.2513630748,0,0.3110551482,3.8206312884,8.7546622684,7.13123443697,6.3772158503,4.9820576126,5.1500005194,7.8052993465,10.9739158164,16.4867374261,16.084021428,17.241629511,21.7712741945,21.7712741945,21.7712741946,21.4489945767,20.9650082343,18.99259843617,21.77127419432,21.77127419432,21.77127419427,21.73878503057,21.60320485599,21.77127419419,21.77127419417,21.77127419362,21.77127419362,21.77127419361,21.261864858938,21.771274193938,21.771274194438,21.77127419393,21.77127419393,21.54969847693,20.612490540466,21.303094150726,20.10612644563,20.06063779033,20.8421729841,21.7712741941,21.1549055648,21.7712741937,21.7712741937,20.18389450837,21.77127419437,21.7712741942,21.7712741948,21.7712741948,21.7712741948,21.7712741944,21.7712741944,20.78706950254,21.7712741945,21.7712741945,21.77127419448,21.77127419448,21.77127419466,21.77127419446,21.2105032547,20.4440669577,21.7712741945,21.5600018312,21.7712741946,21.7712741945,21.7712741945,19.83460666699,19.46626648849,16.0063714885,13.4113091057,16.5531876441,15.690168555,20.2061296287,20.5786203347,18.9633715072,21.7712741942,21.7712741941,21.7712741941,21.7712741937,21.7712741937,17.26921423226,21.7712741935,21.7712741935,21.7712741938,21.77127419375,21.77127419375,21.7712741938,21.7712741937,21.7712741937,21.7712741938,21.7712741937,21.7712741935,20.5241040794,19.2118997845,21.77127419391,21.77127419391,21.7712741939,21.7712741939,21.7712741939,21.7712741944,20.8119024386,21.7712741936,16.8957716188,16.9076911912,16.6128222297,17.3472137391,18.87942343228,20.01678657437,21.77127419347,21.77127419397,21.77127419397,21.77127419404,21.49614311604,21.50783586859,20.844493520445,21.233369212345,21.771274194095,21.771274194095,21.771274194045,21.221356112255,21.771274194045,20.87686944352,21.77127419414,21.771274193553,21.771274193553,21.57590043642,21.77127419331,21.77127419331,21.7712741933,21.7712741933,21.77127419337,21.73232405297,21.77127419337,21.77127419337,21.77127419427,21.77127419337,21.77127419337,19.86702673647,19.25979851967,21.46902535572,21.77127419362,21.77127419362,21.77127419362,21.77127419362,21.68867704312,21.667852633682,21.77127419357,21.77127419367,21.77127419367,21.47433510517,21.77127419367,21.08702951637,21.77127419347,20.77377008767,21.7712741938,21.7712741938,21.7712741938,20.9491620877,20.25305584,21.7712741935,19.557461813,17.13577264081,18.25147309611,20.15625622648,18.5181454834,18.52024472348,20.33420986548,21.77127419358,19.33515084568,19.13158772988,18.58766065738,17.97233717671,16.1829399118,13.1429708304,13.35910874312,13.89908217592,14.32450197562
"t165",13.20995831212,13.58565904212,13.4459981206,8.6263856507,6.0728431104,6.0728431104,4.3994344872,1.2513630748,0.3110551482,0,3.8206312884,8.7546622684,7.13123443697,6.3772158503,4.9820576126,5.1500005194,7.8052993465,10.9739158164,16.4867374261,16.084021428,17.241629511,21.7712741945,21.7712741945,21.7712741946,21.4489945767,20.9650082343,18.99259843617,21.77127419432,21.77127419432,21.77127419427,21.73878503057,21.60320485599,21.77127419419,21.77127419417,21.77127419362,21.77127419362,21.77127419361,21.261864858938,21.771274193938,21.771274194438,21.77127419393,21.77127419393,21.54969847693,20.612490540466,21.303094150726,20.10612644563,20.06063779033,20.8421729841,21.7712741941,21.1549055648,21.7712741937,21.7712741937,20.18389450837,21.77127419437,21.7712741942,21.7712741948,21.7712741948,21.7712741948,21.7712741944,21.7712741944,20.78706950254,21.7712741945,21.7712741945,21.77127419448,21.77127419448,21.77127419466,21.77127419446,21.2105032547,20.4440669577,21.7712741945,21.5600018312,21.7712741946,21.7712741945,21.7712741945,19.83460666699,19.46626648849,16.0063714885,13.4113091057,16.5531876441,15.690168555,20.2061296287,20.5786203347,18.9633715072,21.7712741942,21.7712741941,21.7712741941,21.7712741937,21.7712741937,17.26921423226,21.7712741935,21.7712741935,21.7712741938,21.77127419375,21.77127419375,21.7712741938,21.7712741937,21.7712741937,21.7712741938,21.7712741937,21.7712741935,20.5241040794,19.2118997845,21.77127419391,21.77127419391,21.7712741939,21.7712741939,21.7712741939,21.7712741944,20.8119024386,21.7712741936,16.8957716188,16.9076911912,16.6128222297,17.3472137391,18.87942343228,20.01678657437,21.77127419347,21.77127419397,21.77127419397,21.77127419404,21.49614311604,21.50783586859,20.844493520445,21.233369212345,21.771274194095,21.771274194095,21.771274194045,21.221356112255,21.771274194045,20.87686944352,21.77127419414,21.771274193553,21.771274193553,21.57590043642,21.77127419331,21.77127419331,21.7712741933,21.7712741933,21.77127419337,21.73232405297,21.77127419337,21.77127419337,21.77127419427,21.77127419337,21.77127419337,19.86702673647,19.25979851967,21.46902535572,21.77127419362,21.77127419362,21.77127419362,21.77127419362,21.68867704312,21.667852633682,21.77127419357,21.77127419367,21.77127419367,21.47433510517,21.77127419367,21.08702951637,21.77127419347,20.77377008767,21.7712741938,21.7712741938,21.7712741938,20.9491620877,20.25305584,21.7712741935,19.557461813,17.13577264081,18.25147309611,20.15625622648,18.5181454834,18.52024472348,20.33420986548,21.77127419358,19.33515084568,19.13158772988,18.58766065738,17.97233717671,16.1829399118,13.1429708304,13.35910874312,13.89908217592,14.32450197562
