accepted_species,estimate
t10,2.527882
t15,2.0006535
t70,0.31916475
t234,-0.66014445
t30,1.5511647
t47,1.0118159
t128,0.15557133
t61,0.73257834
t197,-0.36669454
t315,-0.89558476
t249,-0.72108597
t222,-0.36566037
t243,-0.5512738
t319,-0.46567857
t84,0.15721183
t32,1.0694233
t321,-0.20982923
t120,-0.46399146
t200,-0.91810316
t253,-0.9304689
t156,-0.6862148
t313,-1.2414796
t152,-0.119529344
t217,-0.6636041
t177,-0.16431886
t179,-0.14983986
t42,1.0193168
t144,-0.029346414
t244,-0.7208319
t206,-0.6166049
t162,-0.05627722
t54,0.82723933
t153,-0.48372254
