"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108"
"t1",-0.0808755290310294,-0.0189113738470315,0.0141365048284897,-0.000381205717235215,0.00318825066262483,-0.0146691148085509,0.00234033329212789,-0.0058169724251041,-0.0012533208214051,-0.0722001783453759,0.0530262447827636,0.0294784154658998,-0.00169881488612303,-0.00691804373293145,-0.00143539235593281,0.00338397272790766,0.0436746601674622,-0.0179458019539356,0.275392934432091,-0.00453091561050203,-0.0876188107286427,0.883124340587549,0.226308311684418,0.00352222766792701,0.016958870828219,-0.00821144110763286,-0.0500481439357287,0.00963434207843265,-0.0162699341444809,-0.00494415440022374,0.00180480326619383,-0.00225147509202357,-0.0162832217927952,0.034757671502898,0.223323581322572,-0.000604035984929245,-0.00293395464391784,0.0047221960027051,2.32719894709328e-16,2.49908773361793e-16,0.00173859751232826,-0.00167468146518438,2.84405216828769e-17,-0.00182894954267983,-0.00106820724202399,0.000759085721928112,0.000697642632468639,-1.2877831928773e-17,2.37645014478902e-16,-0.00836941979671853,0.000561959924562805,0.0484058948649252,0.00743688215784245,-0.00157175554174589,0.000171311869217385,0.00732492964324589,-0.0107281373943822,-0.000149292144946937,0.00152219170074444,0.00768765283071975,-0.00243425488850216,0.00182085301442558,-0.000961454330378396,1.79559847741454e-05,0.00423201834204295,1.2122289167771e-05,-0.000120454835472189,4.52297620502346e-16,0.00678392707115336,-0.000349954237138779,1.55240730239794e-16,0.0135247709243751,-2.00073916779956e-16,-4.37322026044385e-05,-0.000135810135869557,-2.18464397680117e-05,0.00010871563400157,-9.66028683897015e-06,-0.000181735779260494,-6.39544705820122e-18,-0.000266381627363315,-2.17361032642935e-16,6.58506442583831e-18,2.37404270355705e-05,-1.99485250091999e-16,2.30649691983096e-08,-8.50226460315971e-17,-3.1583356732363e-05,1.24680513193156e-16,-2.41119428706234e-16,-4.88986997053197e-16,2.03069559114753e-16,1.7095523177244e-16,2.17837614192909e-16,-0.000125492567973742,-5.60197694458598e-17,4.00648716822679e-16,-5.83787285483614e-16,-2.56896266691548e-16,1.4403701441259e-16,2.42695611449276e-16,4.67432928200612e-17,-5.74188363660168e-16,9.27459125197127e-18,-1.45078111542423e-16,0,-2.5948044322193e-14,-3.59076943391674e-14
"t48",-0.14596803002085,-0.0937864822707817,-0.0215910927650153,0.000428028634446886,-0.00216581056309813,0.00781587304196944,-0.00054735989236061,0.00128366163059547,0.000135266109297065,-0.0531912719578199,-0.030224267306425,0.140599843566705,0.000879079043885598,0.000988333188419173,2.9033330641249e-05,0.000400006282984358,0.0810614828943031,-0.645207507279506,-0.039431799511713,0.000508011438977647,0.00650415559561756,-0.066912750155954,0.0751028470833672,-7.43128525619496e-05,-0.000407493123024869,0.000201878537527132,-0.0155843767133726,-0.000137401109650488,0.000225333891002075,-0.00165489353674278,0.000594312286370201,2.58223916337694e-05,0.000164716484362493,0.013704386119474,0.0371100813477104,-0.000966445294276627,2.21816612714456e-05,-2.282368885041e-05,-1.64671384912015e-15,-2.43653740297117e-15,6.33061480882329e-06,-0.00853247932821335,-3.23248145308831e-16,-1.43469425558527e-05,-1.10525248991272e-05,8.32676362993843e-06,8.69479519716981e-06,-2.72036473959209e-15,1.03520697977558e-15,-0.0128346969221253,6.50350319971862e-06,0.000592639664938849,9.43688892165993e-05,-2.1066700115867e-05,2.61370818761755e-06,0.000121108390676781,-0.000181002744334363,-2.62482807773265e-06,2.71339920860703e-05,0.000160705555274008,-0.00679933700310938,1.66791391573152e-05,-0.000288546862743655,3.82142458579186e-07,9.43600366332831e-05,2.76245362214911e-07,-2.83244091987445e-06,1.17084704751347e-14,0.000168982984860065,-8.74758723973196e-06,2.14971145242877e-14,0.000341732489461987,-0.70710678118655,-1.16154761655132e-06,-4.00109538931358e-06,-6.47557700846086e-07,3.44966776935327e-06,-3.23646722085679e-07,-6.10808106543902e-06,2.41500120216868e-15,-0.000631127521824797,-8.78612689443684e-16,1.58881291833509e-15,8.88364723246337e-07,4.02373996684596e-17,9.15098622529609e-10,8.54699738114052e-16,-1.28419014917278e-06,-1.30488436647708e-16,-2.57048281973729e-15,-2.53695589566834e-15,5.16058951471421e-16,8.27764071332775e-16,-2.58395296836225e-16,-0.000289911498901369,-2.88280516987252e-16,-1.24474165105051e-15,-8.60568092071529e-17,-2.53849513321254e-15,1.31215954045022e-15,3.96428604241719e-16,-6.11143851139546e-17,-1.26897443092261e-15,-6.47166999609579e-16,1.18420966439019e-16,1.64530743405682e-16,-2.72803684012494e-14,-3.61343531840811e-14
"t49",-0.14596803002085,-0.0937864822707823,-0.0215910927650151,0.000428028634447154,-0.00216581056309823,0.00781587304196897,-0.000547359892360806,0.00128366163059599,0.000135266109297331,-0.0531912719578212,-0.0302242673064252,0.140599843566707,0.000879079043884862,0.000988333188420512,2.90333306404351e-05,0.000400006282985347,0.0810614828943047,-0.645207507279509,-0.0394317995117123,0.00050801143897572,0.00650415559561929,-0.0669127501559577,0.0751028470833719,-7.43128525630782e-05,-0.000407493123026728,0.000201878537531133,-0.0155843767133711,-0.000137401109651168,0.00022533389100295,-0.00165489353673788,0.000594312286374293,2.58223916334547e-05,0.000164716484359037,0.0137043861194739,0.0371100813477087,-0.000966445294277466,2.21816612715711e-05,-2.28236888502968e-05,5.09052127293803e-16,1.22878332999445e-15,6.33061481467731e-06,-0.00853247932821591,5.20182478418188e-16,-1.43469425621912e-05,-1.10525248866696e-05,8.32676362653878e-06,8.69479519519483e-06,3.01971310028425e-15,-2.20828868629553e-16,-0.0128346969221271,6.50350319068941e-06,0.000592639664938133,9.43688892172668e-05,-2.10667001107717e-05,2.61370818338737e-06,0.000121108390677468,-0.00018100274433298,-2.62482808134152e-06,2.71339920874241e-05,0.000160705555289856,-0.00679933700308775,1.6679139139462e-05,-0.000288546862764944,3.82142457882637e-07,9.4360036616205e-05,2.76245356768517e-07,-2.83244086078854e-06,-1.14457696456865e-14,0.000168982984869853,-8.74758728188069e-06,-2.16878299928663e-14,0.000341732489569316,0.707106781186545,-1.16154786239111e-06,-4.00109540826234e-06,-6.47557693164128e-07,3.44966774548832e-06,-3.2364673534532e-07,-6.10808107130115e-06,-1.97908236476684e-15,-0.000631127521826216,1.00669361719558e-15,-1.41691315367013e-15,8.8836472043813e-07,-3.25115751731101e-16,9.15102760393623e-10,-9.90883416400655e-16,-1.28419015188426e-06,3.20864672497487e-16,1.84019599810287e-15,3.21480554739567e-15,-2.49012339891572e-16,-8.73629018785067e-16,7.55357863536629e-16,-0.000289911498914036,-1.55889764691795e-16,1.37262239242044e-15,-1.19981292337756e-15,1.0453396009504e-15,-1.65677344050558e-15,-3.37489617156396e-16,-1.45662785935609e-16,6.63813438168052e-16,3.84072925575775e-16,-3.67542487785033e-16,-1.33942456085171e-16,-2.44775913050472e-14,-3.60715028632268e-14
"t29",-0.152061322073218,-0.101147861909558,-0.025544260852326,0.000520461459018842,-0.00282550406715134,0.0107275863945208,-0.00101273506174746,0.00244564088317685,0.000394667436092766,-0.0696533488937642,-0.267520086588439,-0.145992497244664,-0.000744603425700994,-0.000439720240522417,-5.15019065452315e-06,-3.97663167122039e-05,-0.00454782750204121,0.0332576950332312,-0.0011852389951665,2.33548665342079e-05,4.35130388445949e-05,0.00359246464848852,-0.0416723167190306,-4.17663854520694e-05,-0.000139092527789548,5.79056177431958e-05,-0.00337787925817129,-1.60952224083131e-05,2.44868743649463e-05,-0.000146471413531182,4.17690087540606e-05,1.80015060457659e-06,7.15973586315417e-06,-0.000609127887463066,-0.00388130069881843,0.000103880993529815,-7.54571913916479e-06,1.16654623712495e-05,-2.4310624412407e-14,3.53372518929746e-14,-4.02413774469651e-05,0.924698524409511,5.14779464180196e-14,-4.77252563129598e-05,-2.5711649198434e-05,1.84854939306734e-05,1.79242858889541e-05,-3.61519644076483e-15,-5.34917864151468e-15,-0.0228476125049363,8.91629717791383e-06,0.00078663315500706,0.000122591836136156,-2.64599135512587e-05,3.03462534078065e-06,0.000134784351328075,-0.000199670431182795,-2.85481250495085e-06,2.94146604449763e-05,0.000176528061355892,-0.0100185391786238,9.3832279688875e-06,-0.000272546053615673,3.51277196980054e-07,8.50335673291802e-05,2.46612512565163e-07,-2.4948039436067e-06,2.08043599606528e-15,0.000145288324246362,-7.51026057593203e-06,-1.15896085132296e-15,0.000292110273318612,1.09634523681734e-15,-9.73458347909647e-07,-3.23001649095955e-06,-5.21703160343142e-07,2.72180232269632e-06,-2.52152582871839e-07,-4.75645819127567e-06,3.10693720145916e-16,-0.0189920562743698,4.1815560623873e-16,1.32230109652723e-17,6.57363097145451e-07,-8.45085015036063e-16,6.72958778556163e-10,-1.47106552372858e-16,-9.40458062044128e-07,2.18823123716768e-16,-5.1764610641369e-17,-8.50711220080564e-15,3.53380794975915e-16,5.96597737564259e-16,3.67135502651888e-16,-0.000285977428778608,-3.61350558616997e-16,-2.41465764816364e-16,-6.5466412398937e-16,1.26052722663947e-15,4.65889961628525e-18,-3.00746469129337e-16,8.90174946421726e-16,1.267011350156e-15,4.25944717638409e-16,9.15301654347873e-17,2.93609300653414e-16,-2.61181965381995e-14,-3.63677614144042e-14
"t63",-0.154705656697288,-0.104271055083969,-0.0271325210614757,0.000557052680906813,-0.00307745682627372,0.0118129501850569,-0.00116562076573305,0.00282307135874567,0.000467445477635569,-0.0865440991087929,-0.352004598445471,-0.218679831965111,-0.00113794278180852,-0.000726847335425779,-9.78394118891879e-06,-8.25084733356632e-05,-0.0101769828027428,0.0751575855245364,-0.00377678065495698,9.36659056392355e-05,0.00406212894078578,-0.0610729658239669,0.232358578675852,0.000130003094845161,0.000335871304877273,-0.000123297095269632,0.0057213717301838,1.82643629049759e-05,-2.69077803299815e-05,0.00014956940601765,-4.00792030973325e-05,-1.72408418788144e-06,-6.31402869475051e-06,0.000440665112723129,0.00241927117392188,-6.44193489057636e-05,3.45424576183114e-06,-4.64523706639259e-06,5.17049699255642e-15,-6.62780502268799e-15,8.21797574216757e-06,-0.165551420442188,-6.12138651534751e-15,5.64228523451009e-06,2.28506610947739e-06,-1.55170710220025e-06,-1.35281045314264e-06,-5.33525010842652e-16,9.47380345835523e-16,0.00127766474321119,-7.80286945028911e-08,-1.12335798971232e-06,4.50046826054248e-07,-3.18996921459344e-07,1.02838810248435e-07,6.42481402082616e-06,-1.01693157891766e-05,-1.62618740867751e-07,1.72731170769107e-06,1.21163505478614e-05,-0.000725164820668898,6.91083083919245e-07,-2.61122601450177e-05,3.77455509388008e-08,9.80094021710095e-06,2.92903630813604e-08,-3.08171727140839e-07,2.97796062282861e-15,1.9004148304725e-05,-9.85047500800583e-07,-9.69442499093755e-16,3.86132659168154e-05,-6.24500451351651e-16,-1.31473382212318e-07,-3.92869010880743e-07,-6.22359909063358e-08,1.74073957230668e-07,2.35050855077124e-08,5.3117537277814e-07,-1.64364962160602e-16,0.827618688893793,-2.06457152476275e-14,-1.74836548110811e-14,6.05660298757495e-07,-9.27304024942244e-15,4.09519126414265e-10,6.08333733757554e-16,-5.34346297260138e-07,-5.01460186111546e-16,-5.07397652561472e-16,2.19188372967598e-14,4.91488078200536e-15,-5.92060126633968e-16,2.25281899075819e-15,-0.00015081009187696,-1.4037049804679e-15,2.75791861219321e-17,-9.81115936397864e-16,-4.17222045075626e-15,1.82076184543249e-15,-1.99013966494286e-15,-1.42762353400818e-15,-2.01332087884733e-15,1.09334489036601e-16,-8.52225724112191e-17,-8.58179467038062e-16,-2.7785191218876e-14,-3.59900341286392e-14
"t74",-0.154960542905725,-0.104570199568338,-0.0272825519193844,0.000560497345690442,-0.00310099348406379,0.0119138638698606,-0.001179578548488,0.00285748909043671,0.000474015973653099,-0.0880423627281906,-0.359353621492863,-0.224762374646845,-0.00117068030016514,-0.000750276426211554,-1.01506879402784e-05,-8.58352327794893e-05,-0.0106094699085533,0.0783716002632122,-0.00396667715646137,9.87059103813617e-05,0.00432894297229298,-0.0652769288484224,0.249555763401417,0.000140362468537821,0.000363807573209834,-0.000133800140748242,0.00623268701868328,2.00637680003644e-05,-2.95813919235301e-05,0.000164727442496156,-4.42111157310278e-05,-1.90191901153246e-06,-6.98056846182787e-06,0.000489933367794924,0.00270206169336935,-7.1961027631339e-05,3.89775454856213e-06,-5.26746634862613e-06,4.23908217185634e-15,-7.55925245836073e-15,9.54977199901856e-06,-0.193295035358593,-1.00814974428413e-14,6.68114736298309e-06,2.7291002392156e-06,-1.85618214917556e-06,-1.62286452963712e-06,-4.11130897009996e-16,2.12534074210949e-15,0.00154375385534572,-9.63727579737768e-08,-1.39329255094975e-06,5.59915003124232e-07,-3.99018612715455e-07,1.30748956278662e-07,8.27071721054166e-06,-1.31337391404459e-05,-2.11368794367612e-07,2.24953350687886e-06,1.59698991622252e-05,-0.000960599047160402,9.17068548246525e-07,-3.60009239001085e-05,5.35655051988006e-08,1.42723994069894e-05,4.32697402307497e-08,-4.66186654955457e-07,-4.07232806771974e-15,3.04084477105916e-05,-1.58259250816981e-06,-1.01530615891952e-16,6.28578547135853e-05,-4.62130334000221e-15,-2.30804244254507e-07,-9.47352878433132e-07,-1.55149604071751e-07,9.72175238899454e-07,-1.15560904618191e-07,-2.22872497479131e-06,-4.89408081736368e-16,-0.396641223634698,9.26838627344488e-15,9.48172924502154e-15,2.60775436185124e-08,4.8992130150814e-15,1.45889248128448e-10,2.80150490702659e-15,-2.3375720904249e-07,1.77990048223324e-15,3.37673479836007e-14,0.707106781186538,-7.81323955265806e-14,-8.96634681917918e-14,-2.74694762846875e-14,-8.41881392577553e-05,7.87273013904094e-15,2.49348862914587e-15,6.71281891651398e-16,-4.08195518155425e-15,-7.501853538131e-15,1.63149511066486e-15,-4.58367890508635e-16,1.98690802964051e-15,-1.19890258819305e-15,9.25166112606757e-16,4.72637335688415e-15,-1.90774324468543e-14,-3.7465614935331e-14
"t75",-0.154960542905724,-0.104570199568338,-0.0272825519193849,0.000560497345690333,-0.00310099348406375,0.0119138638698603,-0.00117957854848756,0.00285748909043661,0.000474015973652816,-0.088042362728191,-0.359353621492863,-0.224762374646844,-0.00117068030016474,-0.000750276426211302,-1.01506879410545e-05,-8.58352327792045e-05,-0.010609469908553,0.0783716002632105,-0.00396667715646031,9.87059103813369e-05,0.00432894297229246,-0.0652769288484227,0.249555763401418,0.000140362468536793,0.00036380757320935,-0.00013380014074821,0.00623268701868209,2.00637680014814e-05,-2.95813919237758e-05,0.000164727442496285,-4.4211115732923e-05,-1.90191901163165e-06,-6.98056846211946e-06,0.000489933367795369,0.00270206169336798,-7.19610276318555e-05,3.89775455019131e-06,-5.26746634951029e-06,4.85399731030052e-15,-7.14030467445156e-15,9.54977199952278e-06,-0.193295035358604,-1.33124557559249e-14,6.68114736300769e-06,2.7291002386446e-06,-1.85618214836061e-06,-1.62286452945014e-06,1.68404396180066e-15,3.00693586264004e-16,0.00154375385534664,-9.6372756477239e-08,-1.39329255040613e-06,5.59915004570341e-07,-3.99018616071135e-07,1.30748956177658e-07,8.2707172119746e-06,-1.3133739138037e-05,-2.11368796051963e-07,2.24953350666996e-06,1.59698991584487e-05,-0.000960599047160368,9.17068549934248e-07,-3.60009238943276e-05,5.35655054307677e-08,1.42723994077582e-05,4.32697415089233e-08,-4.66186653816783e-07,2.02450287648932e-16,3.04084477108439e-05,-1.58259250556518e-06,1.41968372946766e-15,6.28578547067791e-05,4.16333634234434e-16,-2.30804243775185e-07,-9.47352876941916e-07,-1.55149600005987e-07,9.72175232695883e-07,-1.15560901892007e-07,-2.2287249781668e-06,4.37013610078847e-16,-0.396641223634662,1.03020199427891e-14,7.89445920426405e-15,2.60775429177207e-08,4.2510275642693e-15,1.4589132789728e-10,-3.56458717695367e-15,-2.33757194405158e-07,-1.04138941334506e-15,-3.41952869928641e-14,-0.707106781186556,7.34671230637009e-14,8.99131644314211e-14,2.56962139403748e-14,-8.41881393904359e-05,-6.56889346850788e-15,-1.38693147061503e-15,-1.32011179047526e-15,6.0406414753413e-15,6.17948469823449e-15,1.24151996717609e-15,1.21381852737583e-15,-2.5063090644098e-15,7.07742321289169e-16,-1.22966219288136e-15,-4.36651529111621e-15,-3.06471083511329e-14,-3.39877553057603e-14
"t20",-0.149936538808491,-0.0986162561418716,-0.0242314912832479,0.000490068843792077,-0.00261389837566496,0.00980974187913743,-0.00087989506875955,0.00211712190672852,0.000330346242137574,-0.0543081212563213,-0.188302623687044,-0.0731760662686923,-0.000346753309397907,-0.000138611585056728,2.5886469153041e-09,9.39747795731886e-06,0.00210470375346085,-0.0164278250796874,0.00221958101987757,-7.40913889183983e-05,-0.00684735717997943,0.122223591808937,-0.611073240217518,-0.000461337755820868,-0.00144330603170563,0.000594350023350092,-0.0356485887540724,-0.000236724935714993,0.000381834987124979,-0.00270793515569011,0.000947036225366912,4.11169487359505e-05,0.000254475352163605,0.0267995458045637,0.0503472061916736,-0.00131049246247995,2.90989699101689e-05,-2.98260106655579e-05,-1.17657441253639e-15,-7.06911875969344e-15,1.3074006582693e-05,-0.14403521201332,-0.707106781186556,-8.91308415110107e-06,-8.34142144842148e-06,6.3965369871583e-06,6.85039783419199e-06,1.92763443373606e-14,2.6789360480364e-15,-0.0105391374129407,5.6137315464048e-06,0.000513827387223644,8.20461627631452e-05,-1.83910069921717e-05,2.30262208077968e-06,0.000107382323860061,-0.00016082266074395,-2.34489761517726e-06,2.42960281237437e-05,0.000150312870842763,-0.00862567673501772,8.10863860306462e-06,-0.000250428018717823,3.32811641490345e-07,8.22386507622022e-05,2.40774787289212e-07,-2.46839917421682e-06,-2.78485020674668e-16,0.000147143314854219,-7.61650773957995e-06,2.392592425914e-16,0.000297478895388093,1.94289029309402e-15,-1.00986400439012e-06,-3.46675181629783e-06,-5.60951184889155e-07,2.98069477317567e-06,-2.79156885711526e-07,-5.26806950871713e-06,1.88589861601564e-16,-0.00416838923501697,-4.90516266443232e-17,-1.07494240334739e-16,7.59376131249651e-07,1.28098838192875e-15,7.81012878671933e-10,-3.36467341065048e-16,-1.09493515503934e-06,-2.95852946227061e-16,-5.36512872854412e-16,1.96106982386505e-15,1.93396213966117e-16,2.70996779854827e-16,8.11134396542285e-16,-0.000335147314674627,-1.46591161055161e-16,1.35620343550937e-16,1.61498374337221e-16,8.27609457398555e-16,-2.30461777264712e-16,6.27263819612747e-17,7.82622412188791e-16,-6.56331849854383e-16,-7.30721117936597e-17,-2.36207023192586e-16,5.14688865264543e-16,-2.60047366026615e-14,-3.51172754736952e-14
"t21",-0.14993653880849,-0.0986162561418716,-0.0242314912832478,0.000490068843792467,-0.00261389837566511,0.00980974187913705,-0.000879895068759564,0.00211712190672831,0.000330346242137315,-0.0543081212563209,-0.188302623687045,-0.0731760662686925,-0.000346753309398064,-0.000138611585056865,2.58864667455701e-09,9.39747795865036e-06,0.0021047037534616,-0.0164278250796865,0.00221958101987896,-7.40913889196933e-05,-0.00684735717998087,0.122223591808938,-0.611073240217521,-0.000461337755822037,-0.00144330603170538,0.000594350023350899,-0.0356485887540728,-0.000236724935715338,0.000381834987128748,-0.00270793515568872,0.000947036225366994,4.11169487359405e-05,0.00025447535216248,0.0267995458045592,0.0503472061916713,-0.00131049246248055,2.90989699051566e-05,-2.98260106663778e-05,1.05866765616574e-14,-3.36182681441753e-15,1.30740066110324e-05,-0.1440352120134,0.707106781186538,-8.91308408894241e-06,-8.34142142801178e-06,6.39653699586538e-06,6.8503978594243e-06,-1.57734649153832e-14,5.19164191474026e-17,-0.0105391374129459,5.61373153859485e-06,0.000513827387220426,8.20461627626985e-05,-1.83910069948401e-05,2.30262207858291e-06,0.000107382323854848,-0.000160822660747769,-2.34489761779745e-06,2.42960281219088e-05,0.000150312870846501,-0.00862567673502654,8.10863860834588e-06,-0.00025042801872165,3.32811637908168e-07,8.22386507616704e-05,2.40774789236973e-07,-2.46839917610039e-06,-4.66524634444724e-16,0.000147143314857727,-7.61650773757575e-06,3.72203337001589e-16,0.000297478895389964,1.22124532708767e-15,-1.00986400523556e-06,-3.46675181634569e-06,-5.60951185486638e-07,2.98069477383987e-06,-2.79156884942927e-07,-5.26806950989683e-06,4.33505573280123e-16,-0.00416838923502168,1.19908861825908e-17,4.29451764922234e-16,7.59376131336363e-07,-1.34721937920704e-16,7.8101141523507e-10,1.74681280449758e-16,-1.09493515479921e-06,6.33996930053122e-16,1.87076345550456e-16,-1.30714920487527e-15,5.73020074648796e-17,-1.78099532951266e-16,-3.96406222326177e-16,-0.000335147314674666,-1.91047745300809e-16,1.0103261464551e-15,-5.97057021017136e-16,-1.12394325829992e-15,2.34016944437448e-16,-2.77284510175306e-17,-2.11774046609361e-16,-1.07845435853196e-15,-1.74096585353999e-16,-3.42363021213494e-16,-1.21258623689241e-16,-2.5727990060448e-14,-3.59510961497034e-14
"t40",-0.156826048257235,-0.107187350899446,-0.0292335494326389,0.000610089032839673,-0.00353130550937849,0.0140715362545614,-0.00180973549655267,0.00450881613380679,0.00109547361950735,0.286636552739659,0.0896410231189549,-0.0429523935758135,-0.000243035664862515,-0.000181381721264977,-2.55255186663713e-06,-2.10879381553973e-05,-0.00252520919107349,0.0185677182789854,-0.000778374801609392,1.70357980008254e-05,0.000362039522360893,-0.00388815958718352,0.00552628960898858,-1.55682212749084e-06,-8.26503385847329e-06,3.1987472398154e-06,-1.97235955852698e-05,8.72540835791512e-06,-1.65902639690378e-05,0.000170555282449686,-8.24892738334506e-05,-3.61774200320431e-06,-3.6165813542423e-05,-0.115316955722451,0.0143812854959523,-0.000361564237216018,2.18872469257843e-06,-1.18342131227798e-06,-5.18398648813753e-15,3.86169296915625e-17,-7.8996097280162e-07,0.00199578350592814,5.67485995753323e-15,3.89502949813339e-06,3.9697346625039e-06,-3.13845648923075e-06,-3.56492366381805e-06,-3.75489402529276e-16,-1.6600879683087e-15,0.00644771223308039,-5.85894569912632e-06,-0.000596834152265639,-0.0001032454099737,2.67186903773915e-05,-5.4039233137247e-06,-0.000396449772446422,0.000683885136786936,1.37801818675404e-05,-0.000160434332717269,-0.00314580315400049,0.920618785017038,0.00227934746031926,-0.00111661807115428,9.81231485029203e-07,0.000196627116676061,5.28998544567633e-07,-4.862088918584e-06,-3.22869006098369e-15,0.000244609554970102,-1.25457776348179e-05,1.27674724421459e-15,0.000476617100226934,-1.44606548957427e-14,-1.44056118718442e-06,-4.08543672899462e-06,-6.54764939243225e-07,3.15852524317554e-06,-2.76966458399489e-07,-5.20791351773188e-06,2.07346271581912e-15,-0.000693593658103703,-3.67847706328168e-15,1.52392057098354e-16,6.78717884630383e-07,1.06599302905929e-15,6.66577763294541e-10,1.30435706047855e-15,-9.19152874019436e-07,-3.5794092299769e-16,-2.49932410150802e-17,3.61341158264026e-16,-1.01332291268945e-16,2.70121733150451e-16,1.16216731310553e-16,-0.0102800099916356,2.22228700026228e-15,-1.03272182930898e-15,-6.17299097346452e-16,8.68077837334756e-16,3.89062045489394e-16,-5.87667145704711e-16,1.15603612320424e-15,-1.59222404193563e-15,-1.47940111979633e-15,2.83130532995112e-16,4.22398880920224e-17,-2.52756737648499e-14,-3.46603602747692e-14
