,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
t1,13.157578,3.3264196,4.1047826,7.133096,-2.3639402,1.2894758,6.511594,7.5754676,2.8260922,6.973665,6.269111,8.431335,4.4580336,4.1628966,5.930403,4.896181,6.5341606,5.656151,8.313795,8.928739
t2,13.0805435,3.3702102,4.116407,7.1526074,-2.4141438,1.3114349,6.5141325,7.5296264,2.855492,6.9698877,6.234575,8.43264,4.463486,4.1348195,5.990755,4.947579,6.5694456,5.6540165,8.361258,8.928208
t3,13.22488,3.217558,4.138546,7.011938,-2.1775491,1.1946536,6.6878614,7.560855,2.8959482,6.907941,6.3115077,8.169346,4.3926487,4.157781,5.8354955,5.0084333,6.547429,5.6489315,8.028189,8.886794
t4,13.118296,3.331444,4.1126432,7.120333,-2.3530984,1.2664142,6.545201,7.5629683,2.8619246,6.9538665,6.2744365,8.379919,4.446218,4.1575713,5.9323664,4.929871,6.538476,5.663699,8.277373,8.898327
t5,13.149789,3.3411758,4.005621,7.180125,-2.3735619,1.2831712,6.478658,7.6391945,2.7361212,6.993565,6.349484,8.433764,4.3742685,4.111946,6.0148954,4.9010234,6.461126,5.7552695,8.335169,8.910975
t6,13.097328,3.3772578,4.0625615,7.192464,-2.421212,1.2843167,6.540822,7.569422,2.8186889,6.938009,6.2787538,8.400888,4.4078517,4.129589,5.9340386,4.9229546,6.5130787,5.6755285,8.34594,8.882947
t7,13.390042,3.2577252,4.062951,7.107285,-2.2693732,1.3230821,6.5797,7.579176,2.6865776,6.9437785,6.253444,8.374194,4.4513793,4.127789,5.7940326,4.8969617,6.53718,5.6314616,8.231703,8.977718
t8,13.202563,3.1913905,4.0869193,6.929916,-2.1612742,1.2007614,6.513623,7.662364,2.7786562,7.0327263,6.3618484,8.345363,4.4819794,4.227017,5.944214,4.8194084,6.429947,5.804717,8.080309,8.915866
t9,13.330024,3.2437317,4.1070347,7.034342,-2.2507904,1.2796551,6.5506706,7.58465,2.7353168,6.990459,6.2620387,8.38523,4.4871807,4.1771855,5.864594,4.858907,6.518404,5.6629553,8.191994,8.993661
t10,13.239607,3.1582975,4.1721954,6.8763227,-2.0899744,1.1782256,6.530913,7.6364317,2.831476,7.0462313,6.3252306,8.326028,4.5439796,4.264512,5.9378986,4.849994,6.4988947,5.757676,8.019555,8.9494505
t11,10.224264,7.970346,5.302123,8.941362,0.6946271,-2.3282082,5.2500815,7.9169416,2.4349854,4.55354,2.7467253,6.8802404,4.4302473,3.5106475,6.667329,6.4765663,4.6672344,4.136785,0.4612656,5.3699727
t12,10.307364,7.9695616,5.3177867,9.0626135,0.8045466,-2.2586582,5.238785,7.9046,2.5545647,4.6219454,2.778007,6.799926,4.435211,3.5510893,6.606812,6.4777493,4.7153563,4.0689735,0.5540629,5.2704897
t13,13.258113,3.1756568,4.117981,6.9390473,-2.1752377,1.2655672,6.5795116,7.6115904,2.754834,7.0114703,6.311655,8.261455,4.5038085,4.166584,5.9557886,4.9173684,6.529151,5.7630987,8.112435,9.011011
