"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107"
"t1",-0.0275205315010729,-0.0242594010557102,0.00670734823567883,0.00726762593185238,0.0101020870985375,-0.0497617033620214,-0.00442253494265142,-0.013950287181024,0.0764476915435515,0.078028209288369,-0.00552445844484204,-0.00765609816563016,0.0396888843388026,-0.0800220509817193,0.0201398539479568,0.00198498557110527,-0.3311307135394,-0.0104840033334074,-0.254551508349726,0.728324053024539,-0.183053991392191,0.467141176971083,0.0308722854410007,0.070384375785644,0.00151493119268012,0.00236994790335449,-0.0027454121849797,0.011879127512762,0.00676428951511691,0.0269128056655196,0.0119511937364141,0.00357211431093705,-2.00071634372295e-06,0.0181597687157282,-1.64779197737639e-15,0.00791940405630939,-0.0397444875450224,-0.000218952015695925,0.00533636906641028,-5.53348225521618e-16,-0.000137047873513002,0.000296565301515375,0.00270262120917129,0.0015920346389314,0.00101402558004568,-0.00372512540762299,-0.0151133290758486,0.000821565084005233,0.00460182086084741,-0.000120233843358171,-1.2840519944841e-05,-1.384713319199e-06,0.000406226734949038,-0.000278141772865292,-0.00015998919228718,7.39248507230981e-05,-0.00043935321792667,-3.55894075313424e-16,6.58604347181461e-05,1.37867145506122e-16,8.27295207325613e-05,1.89678232990265e-06,-8.60511279428305e-17,-3.29754708462019e-05,0.000109815112247282,6.16326138587202e-05,-0.000222166885164502,8.03232677550549e-05,-3.75520776401809e-16,0.000694660854020277,-1.94678312634647e-16,-4.34662161080412e-17,-6.6117053311492e-17,-0.000547805811952603,5.15702224413857e-18,-2.48464764029267e-16,-0.00139130131902858,-0.000119926479510433,0.000203539398172901,-2.68254713773081e-05,1.90311255554416e-05,4.64545642976651e-18,3.28849016670355e-05,3.41476412096092e-16,-0.000203844354532655,6.84865908811455e-16,-0.000226981491665269,0.000102874339184605,-3.72033674607715e-05,-2.64035069584806e-05,-4.94304644766721e-16,1.12412448694467e-05,8.50975491858346e-15,1.19129762955546e-15,-9.81330347877508e-16,3.05904292379646e-17,6.06972892110314e-16,-5.21359599316859e-16,6.90551852033722e-06,-1.40256397568794e-15,-1.99047887673679e-15,1.82114309074815e-15,4.29767601617057e-15,-2.2499035847371e-15,1.03953503312491e-14,1.48996629953881e-15,-0.0966736489045704
"t7",-0.0795657733204422,-0.0985238661715088,-0.00993281521939286,-0.000100806999180976,0.00911080941012163,-0.203305124222754,0.0019942006440493,0.0339651557628344,-0.0139364916318786,-0.00373340089760342,-0.0004996792206596,-0.0006085533169314,0.00111896732369811,-0.0028382146116025,0.000838054017486357,0.000104713067089932,-0.0207424684972174,-0.00148259386318938,-0.0200303450758613,0.0637944708231983,-0.000592129476632827,-0.0996158038616047,-0.00619778783619219,0.0543949347497165,-0.000101895528481863,-1.05056146765844e-05,-1.89250296441829e-05,5.52601157827789e-05,-7.548948430396e-05,-0.0190130302195873,-0.00940156807592413,-0.000106393321974555,4.35789896106745e-07,-0.00633518425251925,4.55400348370038e-14,-0.101565668124602,0.882057975222694,-0.0204926392765861,-0.339264659234589,1.02240080622381e-14,-0.00104175718578414,0.000131920694756881,0.00974321204388855,0.000393041693196864,0.0022849829359714,-0.0360716300855715,-0.00259696749362642,0.000142558650816328,0.000782528037900992,-2.00535136183467e-05,-2.11034926373295e-06,-2.26961250737039e-07,6.62977075530943e-05,-4.53152132575242e-05,-0.000240591866483878,0.0892533382962416,-6.61464141514622e-05,-4.15621400432761e-15,8.659222870925e-05,1.49380795672977e-15,1.2021870727997e-05,2.73626287021426e-07,6.259368804987e-16,-3.7915636980784e-05,1.53033458463966e-05,8.51066123810761e-06,-0.0115870467085468,8.58947076867306e-05,4.02240835163296e-16,0.00301602384205541,1.05625243394809e-15,-3.68874541892495e-15,-2.5684794235876e-15,-0.000559164071395856,5.70970520230561e-16,3.64415314191686e-15,-0.00531029318455513,-0.000455389568732638,0.000193581951496717,-3.41276813536741e-06,6.77415386083041e-05,5.39829207976774e-17,4.16240924672614e-06,2.05692076569735e-16,-0.000710766926648333,3.93504472769927e-15,-2.85970354053101e-05,9.2547371875849e-05,-4.68181233184744e-06,-9.01027616878879e-05,-5.00105502332702e-15,3.78967591321885e-05,-1.30710632387404e-14,-3.24357961714048e-15,-1.0022600910417e-15,6.86199682729296e-16,-1.14233048105649e-15,-2.10578347985157e-15,2.22648043132711e-05,-1.92343189125274e-15,-4.30362603041879e-15,3.6627313611089e-15,2.91355345295842e-15,-3.42691819222738e-15,1.13341313352804e-14,1.9513325951962e-15,-0.0966736489045581
"t81",-0.0817794143604831,-0.110675457717618,-0.011287501002312,-0.000126053673939701,0.0134149979404389,-0.31039868835988,0.00348675428903165,0.0796963759891173,-0.0488040291267601,-0.0312859372059407,-0.00509508059151225,0.000926331691656748,-0.00161792564241544,0.00272413051886338,-0.000557056573118705,-3.15652210540745e-05,0.00188803482606358,2.39854554839402e-05,-0.00272599203097667,0.0143011414470857,-0.000653314250701518,-0.164280577145008,-0.0536705922915296,0.557850942120395,-0.00216803919518887,7.06230426057907e-05,1.90826486399677e-05,-3.99792950196581e-05,3.46987221591989e-05,0.00697593003587512,0.00327446241957079,3.63757982418098e-05,-9.44078272557887e-08,0.00125744173972775,-7.70899877294384e-15,0.0170775023073859,-0.14316800972387,0.00331018822502057,0.0471287642790076,-2.84253168738837e-15,0.000131790342411504,-1.58626924775651e-05,-0.000952315508452492,-3.10570703090399e-05,-0.000138158251217909,0.00156294221145444,0.000100189972565527,-5.33916935608857e-06,-1.8134195795926e-05,3.45852596644968e-07,2.66108223788603e-08,2.65981083499596e-09,-6.81387081499946e-07,4.38596519071074e-07,1.64186256621052e-06,0.0299483131904661,8.72428347700803e-07,1.84394019753431e-15,1.49185226607174e-06,-7.6471980593703e-16,3.55726232317287e-07,9.02975976902122e-09,-2.54190488755596e-16,-1.92864581636652e-06,7.85987637577772e-07,4.9111278489485e-07,-0.00562604437279747,4.52363159567518e-06,-2.96455368218049e-16,0.00022103762834718,-4.01889089878391e-15,-5.72663021553631e-16,-1.21737705509296e-15,-4.83668910227219e-05,-3.31624247872964e-15,-6.01662689013022e-15,-0.000560816469170757,-4.87210426993608e-05,2.10409608834863e-05,-4.08156533078362e-07,8.49608701569494e-06,-5.2804491138336e-16,5.33707738273968e-07,2.67686345473781e-15,-9.35817932490248e-05,-3.90073331341269e-14,-3.86782678943849e-06,1.26468488302488e-05,-6.40581362073474e-07,-1.24710975556299e-05,2.72519600889927e-14,5.39297076483104e-06,-0.707106781186535,5.18697410770141e-14,2.80535317828308e-14,-1.60234060233324e-15,1.12686682039931e-13,-1.93640070786191e-14,3.50118180704754e-06,3.38378694167943e-14,-6.71447604165319e-15,-1.37997102065202e-14,6.64573289143679e-15,6.03425683405811e-17,1.28688606436324e-14,-1.84961170891505e-15,-0.0966736489046296
"t82",-0.0817794143604833,-0.110675457717618,-0.0112875010023121,-0.000126053673939693,0.0134149979404387,-0.31039868835988,0.00348675428903234,0.0796963759891179,-0.0488040291267611,-0.0312859372059419,-0.00509508059151283,0.00092633169165618,-0.00161792564241334,0.00272413051886489,-0.000557056573119302,-3.15652210545327e-05,0.00188803482606622,2.39854554832397e-05,-0.00272599203097717,0.0143011414470856,-0.000653314250703595,-0.164280577145005,-0.0536705922915292,0.557850942120392,-0.00216803919518805,7.06230426075095e-05,1.90826486407868e-05,-3.99792950197076e-05,3.4698722161483e-05,0.00697593003587499,0.003274462419575,3.63757982406171e-05,-9.44078247054583e-08,0.00125744173973317,-7.87635683931138e-15,0.017077502307381,-0.14316800972384,0.00331018822502145,0.0471287642790006,-1.53154245275747e-15,0.000131790342413318,-1.58626924782428e-05,-0.000952315508452509,-3.10570703111956e-05,-0.000138158251221922,0.00156294221145628,0.000100189972562931,-5.33916935775517e-06,-1.81341957947466e-05,3.45852602644138e-07,2.66108259760655e-08,2.65981035976468e-09,-6.81387071057202e-07,4.38596511904169e-07,1.64186256922297e-06,0.0299483131904735,8.72428340989883e-07,-2.83618678921408e-15,1.49185226594711e-06,1.38695281455028e-15,3.55726231633343e-07,9.02976615265154e-09,-9.35178748430031e-16,-1.92864582168477e-06,7.85987639449123e-07,4.91112776964402e-07,-0.00562604437281278,4.52363158562102e-06,-6.77768876090406e-16,0.000221037628376928,3.53412631609382e-15,1.13509891695775e-15,1.59497214439945e-15,-4.83668910383134e-05,3.02839245333438e-15,5.24569026837999e-15,-0.000560816469194189,-4.87210426710073e-05,2.10409608409999e-05,-4.081565165475e-07,8.49608703056811e-06,2.75898446824238e-16,5.33707733253123e-07,-2.3678790681854e-15,-9.35817932263034e-05,3.99546152611253e-14,-3.86782681364473e-06,1.26468488560223e-05,-6.40581285183558e-07,-1.24710976138866e-05,-2.7453157415971e-14,5.39297057616783e-06,0.70710678118656,-4.82350832144124e-14,-2.90577205256802e-14,1.43266384220298e-15,-1.10839657434462e-13,1.85085979926863e-14,3.5011818053077e-06,-3.67799794186926e-14,2.82056567316936e-15,1.58640922780908e-14,2.76588865108603e-15,-5.26084385248852e-15,7.44556230317237e-15,4.85452572889307e-15,-0.0966736489045131
"t36",-0.0821073874229454,-0.112588282638036,-0.0115023494135982,-0.000130300142649442,0.0142056921283732,-0.33042228695407,0.00378321502599372,0.0897880297453307,-0.0573064445385099,-0.0388214907203663,-0.00637007107477278,0.00158444552761351,-0.00281029888297719,0.00551667781773484,-0.00136350050192864,-0.000135785792080998,0.0239286179600148,0.00165054053287105,0.0210083926924073,-0.0651842993460764,0.000596526965435055,0.109403219193533,0.0175457306969365,-0.17648255151547,0.0006232242919425,-1.31499899365885e-05,1.40249741364315e-06,-4.99125518491701e-06,5.66849489599605e-06,0.00113182204315886,0.000522934158625061,5.7683231084348e-06,-8.56321512373326e-09,8.53745326198179e-05,-1.09997128072779e-15,0.000251241175418944,-0.000230748822270824,-7.57285849236743e-07,-0.00302842404161537,-9.84822839020101e-17,-1.45810483322204e-05,2.19071142737005e-06,0.000255628044969777,1.3557812659474e-05,9.76784886756415e-05,-0.0018065907755742,-0.000134923137334703,7.46708246320891e-06,4.41971793136665e-05,-1.13480551648974e-06,-1.1572776506005e-07,-1.22930925826459e-08,3.49498712811306e-06,-2.35440192251238e-06,-1.11736345867691e-05,-0.857094437928522,-3.21538507353193e-05,1.61268001500331e-14,9.10317858437762e-06,-7.45028111856628e-15,1.30657035892186e-06,3.02953622491892e-08,3.39615077466573e-15,-4.95824369935606e-06,2.01731326735922e-06,1.3192307806407e-06,-0.25584702391184,-3.99059571860542e-05,1.0499501625878e-14,0.00029118415062816,-5.47969120840329e-15,3.14824379682487e-15,5.53304656173165e-15,-6.63529921288394e-05,-1.04226633318138e-15,2.50685459852566e-15,-0.000720589250814301,-6.2284982778383e-05,2.67320145853876e-05,-4.9924072384674e-07,1.0199151542866e-05,-1.21086215167233e-16,6.35194258215068e-07,-5.88991337617785e-16,-0.000110242994139811,-2.60901113148362e-16,-4.5099450313756e-06,1.4689172161459e-05,-7.43678423741658e-07,-1.44157565013437e-05,1.04719766157873e-15,6.1700591722741e-06,9.06697026009653e-15,1.52662262780222e-17,7.59894935663971e-16,-7.61081757882457e-18,1.32396668623456e-15,-1.39369661323111e-15,3.86619864474432e-06,1.28717091062497e-15,-1.82076630833262e-15,1.55757410454347e-15,3.50116499844972e-15,-2.49078724085916e-15,8.97770181021495e-15,1.20055004714145e-15,-0.0966736489045541
"t51",-0.0822899639318927,-0.113604264127302,-0.0116158083610972,-0.000132444040395666,0.0145792321119748,-0.339758388327348,0.00391540879722001,0.0939579983449323,-0.0605809816300953,-0.0415046194593629,-0.00681969880054862,0.00176143393081376,-0.00312805537406865,0.006204725896601,-0.00154817333745402,-0.000156720177853536,0.0279422441626409,0.00193579360034171,0.0248570652677935,-0.0775054829243947,0.000733684303198201,0.135965526618663,0.0223750162049463,-0.22532837715741,0.000798498679615477,-1.71050020086658e-05,2.00694671565029e-06,-7.5843831587578e-06,1.00231261617671e-05,0.00228168310196889,0.00109612965904458,1.22722601590749e-05,-3.63687047467143e-08,0.000491605897074218,-2.80222016121005e-15,0.0068156578076468,-0.0573245766608212,0.00132595184289057,0.0190610397707352,-1.44565418146224e-15,5.34589661127944e-05,-6.43896321209612e-06,-0.000385336937290729,-1.2413304452041e-05,-5.37641705429141e-05,0.000579299013171326,3.63744913661459e-05,-1.92761527140138e-06,-5.87828238171676e-06,1.03102284139976e-07,7.13903798411797e-09,6.94333077675168e-10,-1.68928480622751e-07,1.06082535175814e-07,3.39468195800578e-07,-0.00777818988446605,-3.74744301112968e-07,1.36453009538044e-15,5.51760361006133e-07,5.70005671983962e-15,7.55050033026686e-08,1.44121167422535e-09,-1.88733877522084e-15,9.66810325174525e-07,-4.28026340074224e-07,-7.91733517022514e-07,0.871734068242836,0.0001759349010237,-2.14856051019329e-14,0.00045424670376601,1.34060169801311e-14,-2.65988768381795e-15,-6.93597272156712e-15,-6.13126453959638e-05,-2.25020192171543e-15,-4.0327054073789e-15,-0.00055551350148595,-4.77540036533325e-05,2.03722204706874e-05,-3.7146119402127e-07,7.54583025023803e-06,-1.43824597892906e-15,4.69223924032929e-07,1.39724067248952e-16,-8.13516399127804e-05,-1.28450053976413e-15,-3.32710206163509e-06,1.08375234516251e-05,-5.48688028022706e-07,-1.06384244539022e-05,-5.25876624362279e-16,4.55801928969212e-06,1.83080393383707e-14,-1.04574020238004e-14,-3.90624724091306e-15,9.81903981675921e-16,2.79862270332036e-15,-4.51552623674082e-15,2.87991956487553e-06,-4.19079772052714e-15,-2.20794030190917e-15,3.63425581609907e-15,3.52548674712446e-15,-4.47193442662989e-15,1.21072817003282e-14,1.85776672513906e-15,-0.0966736489045634
"t83",-0.0824615653760288,-0.11455600946712,-0.0117220509352163,-0.000134445337982292,0.0149263629091693,-0.348426854983787,0.00403779033169714,0.097799738302773,-0.063584741427581,-0.0439544775852199,-0.00723000789794961,0.0019206321887584,-0.00341374524640114,0.00682104535302812,-0.00171305009661165,-0.000175308098342812,0.0314925416813988,0.00218776932761995,0.0282474245306538,-0.0883430758922647,0.000853137403027477,0.159032389047258,0.0265400857904855,-0.267442897123599,0.000949483446850803,-2.04989735279598e-05,2.51466969946308e-06,-9.7376266394742e-06,1.35533942914536e-05,0.00319878548810955,0.00155136570471067,1.74297380170421e-05,-5.74327081435901e-08,0.000796145239387786,-3.43880110043114e-15,0.011633092756683,-0.0990244733773898,0.00229430861385843,0.0348429891184105,4.92482477727469e-16,0.000101396076659301,-1.24717180099064e-05,-0.000818782613723439,-2.9355749621218e-05,-0.000148039574482985,0.00198028193666755,0.000134984412001727,-7.30886647100394e-06,-3.24881983054134e-05,7.35675144050072e-07,6.77846361574209e-08,7.05952066151973e-09,-1.94367193802127e-06,1.2919922813412e-06,5.75545452280695e-06,0.357469268653599,1.31859853340906e-05,-7.75455239434332e-15,-2.0900314420007e-06,3.75759275695821e-16,-1.43552955097201e-07,-2.32030101917171e-09,-9.90907016783866e-16,-6.73483264379034e-07,2.91161031928179e-07,3.94697946428642e-07,-0.295316474204472,-5.77385643190898e-05,6.72709493212512e-15,-6.28759862792749e-05,-3.05590684800806e-15,-8.71725112560953e-16,6.91263852085809e-16,-2.74221816794897e-06,2.92827176407535e-15,-2.48567667219739e-15,-0.000129983854973711,-1.17048871471448e-05,5.26588568122319e-06,-1.24506467284528e-07,2.7977129440231e-06,5.3428990142296e-15,1.81472429186175e-07,-1.46627661779957e-15,-3.29859047319892e-05,1.78025283249015e-14,-1.41067220327076e-06,4.67050485827349e-06,-2.36921261382745e-07,-4.67556312062488e-06,7.20623130051548e-15,2.08618890612874e-06,-4.56430734368881e-14,-0.707106781186541,-7.28926697303148e-14,3.00145088468084e-15,6.20521830103294e-14,5.33601327783845e-14,1.49520046241847e-06,1.11569726242271e-14,-9.04262657950697e-17,5.07924864513848e-15,6.36983277843407e-15,4.0693183318443e-15,1.34544355303362e-14,3.65116585346787e-15,-0.0966736489045771
"t84",-0.0824615653760288,-0.11455600946712,-0.0117220509352164,-0.000134445337981932,0.0149263629091694,-0.348426854983788,0.00403779033169724,0.097799738302773,-0.063584741427581,-0.0439544775852203,-0.00723000789794975,0.00192063218875928,-0.00341374524640051,0.0068210453530283,-0.00171305009661237,-0.000175308098342967,0.0314925416813991,0.00218776932762069,0.0282474245306548,-0.0883430758922639,0.000853137403027145,0.159032389047258,0.0265400857904855,-0.267442897123599,0.000949483446850434,-2.04989735275509e-05,2.51466970005153e-06,-9.73762664059164e-06,1.35533942891776e-05,0.00319878548810876,0.00155136570471026,1.74297380169377e-05,-5.74327118062576e-08,0.000796145239384591,-4.1515231974553e-15,0.0116330927566819,-0.0990244733773833,0.00229430861385873,0.0348429891184077,-5.61356333699168e-16,0.000101396076658745,-1.24717180096203e-05,-0.000818782613722978,-2.9355749620757e-05,-0.000148039574483839,0.00198028193666615,0.000134984412000592,-7.30886647255002e-06,-3.24881983085348e-05,7.35675146251152e-07,6.77846376397846e-08,7.05952561468275e-09,-1.94367193573139e-06,1.29199228118669e-06,5.75545452489532e-06,0.357469268653591,1.3185985334281e-05,-7.60384854862325e-15,-2.09003144482451e-06,2.56415422413344e-16,-1.43552956242403e-07,-2.32030336657594e-09,3.47619217195307e-16,-6.73483267924265e-07,2.91161029814201e-07,3.94697945327759e-07,-0.295316474204453,-5.77385643125757e-05,3.28944658707529e-15,-6.28759862759275e-05,-5.3298568544548e-15,1.40895368223057e-15,9.51082944209213e-16,-2.74221817406355e-06,1.97795308573059e-16,2.11262330348258e-15,-0.000129983854958716,-1.17048871500125e-05,5.26588567528957e-06,-1.24506462059197e-07,2.79771294021026e-06,-3.45526630980363e-15,1.81472438866505e-07,2.96262393212249e-15,-3.29859047263886e-05,-1.43089579132022e-14,-1.41067219122835e-06,4.67050485170816e-06,-2.36921268249335e-07,-4.67556311295508e-06,-8.77998077302949e-15,2.08618884422357e-06,5.47488435648417e-14,0.707106781186555,7.15621939184248e-14,-3.66179394958806e-15,-6.33544800454009e-14,-4.92994702676444e-14,1.49520054585525e-06,-1.33729579714504e-14,-3.40842891370749e-15,-2.06725517448452e-15,3.04116646316883e-15,-5.68915127517578e-15,6.58658673714799e-15,-9.71432661375694e-16,-0.0966736489045627
"t4",-0.0778056004478736,-0.0883319866434608,-0.00879012593552378,-8.5684772605195e-05,0.00480960780629718,-0.09464714721792,0.000394348207104811,-0.0204211463395566,0.031288827893083,0.0360268809031309,0.0062202967137715,-0.00393783691449553,0.00714022468078373,-0.0167071102294186,0.00477217707524263,0.00059379258337559,-0.120511935893746,-0.00873014457247186,-0.1219495311762,0.396976179678815,-0.0044593819181439,-0.787258441703265,0.01828842414985,-0.369425684595301,0.0036716418376252,-0.000703720559018136,0.000160766863327995,-0.000249666656255502,0.000149949851075973,0.0249015633933997,0.0111505514607344,0.000121765321942809,-1.8325855860005e-07,0.00208684968780137,-6.74610307964452e-15,0.0187446045882533,-0.13917020607078,0.00316036569827257,0.0179152343645577,-1.8558260166078e-15,5.27507027758595e-07,3.38958734914377e-06,0.0011380227032203,7.42877493643427e-05,0.000588095168037721,-0.0115845768132246,-0.000866005251287294,4.80910660665584e-05,0.000300995663294449,-8.09062169240916e-06,-8.8141861966274e-07,-9.53966418331696e-08,2.81469065497354e-05,-1.93170601432216e-05,-0.000104463472331623,0.000226234916606423,-3.18652080461962e-05,-2.92492558731218e-16,4.44875617170812e-05,-4.23872563274299e-16,6.59413362262841e-06,1.52675123622068e-07,-5.05361350814368e-17,-2.29659860360943e-05,9.28858670437418e-06,5.29496002207368e-06,-0.000648211611436303,5.64091981562915e-05,-1.6210865680939e-16,0.00202929135582417,-2.32096731747077e-16,8.84503818162822e-17,-2.24849610668499e-16,-0.000390481558318679,1.82901137783673e-16,-7.73174297455683e-16,-0.00397504732734174,-0.000342299459058525,0.00014504288244876,-2.63883073965262e-06,5.36502413538907e-05,-9.50341818608914e-17,3.29480610099048e-06,3.22352898067903e-16,-0.000572250501192078,1.32351616288927e-15,-2.30530967827301e-05,7.48706810087988e-05,-3.78920837250414e-06,-7.37948608605156e-05,-1.45902548644632e-16,3.1336485008147e-05,1.1927857197506e-14,1.54588273635353e-15,-6.79362327495205e-16,1.23576803786624e-16,5.74498627717095e-16,-3.19607581395897e-16,1.90625463176744e-05,-8.99806532990481e-16,-1.80588751991462e-15,1.92352123942314e-15,4.97064660368156e-15,-1.74866127624854e-15,1.03806288045297e-14,1.28224940105313e-15,-0.096673648904567
"t62",-0.0865208614946096,-0.160587047807262,-0.0175471988112894,-0.00280463657761905,-0.00237618549936439,0.0224631108732737,0.000181929836437736,-0.375261531702641,-0.0424533471278767,-0.023672813190975,-0.00384356133952935,0.000834912037800448,-0.00147571770014148,0.00280878434329732,-0.000672988382945511,-6.29034088821622e-05,0.0104821448880409,0.000706002025587689,0.00850873358733329,-0.0254959252204864,0.00015588254443215,0.0222246173365679,-0.000267211458361907,0.00519485611464174,-4.59169514296782e-05,4.46608676420131e-06,2.97418882707788e-06,-6.83431582223988e-06,6.0351768629075e-06,0.00115295617460466,0.000531170563639779,5.85759185565751e-06,-1.09212594719653e-08,0.000130401502886052,3.40241891347687e-16,0.00136202143207705,-0.0107593865090399,0.000246868784764597,-0.006867309075014,-1.87486900410934e-15,1.14433854352027e-08,1.11792523018563e-07,5.22845085012913e-05,3.67022761297873e-06,3.09157682588928e-05,-0.00394790355668876,-1.66147636740876e-05,1.15649400275857e-06,1.05291350224154e-05,-2.78650445783124e-07,-2.95070718155547e-08,-3.17197431036729e-09,9.24905845530564e-07,-6.31471487470471e-07,-3.32483845875814e-06,6.43370852558556e-06,-8.96713124903766e-07,-5.50698899010193e-16,7.54421155172218e-07,2.46356810899036e-15,2.87530423413862e-08,-1.28842577316557e-11,-1.33315444320638e-15,7.78356110299425e-07,-3.26557537274584e-07,-2.81888762772397e-07,5.13576661084249e-05,-4.59772254156178e-06,2.43077522865599e-15,-0.00169964836675815,-1.82318349415613e-14,-1.17354670145395e-14,-1.48045929118896e-15,0.000127836596706201,-2.80520857081586e-14,-7.3355568915853e-14,0.867185226778318,-0.0151651352189312,0.000449141055436114,-2.14910051665278e-06,0.00019199296776471,1.23789993811679e-14,2.13466608602888e-06,-1.4686833688142e-14,-0.243985908368658,2.33129556691008e-13,-7.97614817524654e-06,2.70699379257467e-05,-1.37347284061465e-06,-0.000144436476441284,-4.59041791192852e-15,0.00598519161431714,2.75667218850496e-14,-7.05185426540585e-15,1.67586634714394e-15,-3.07403006229426e-16,1.09702059635951e-14,3.1214178287292e-15,3.09203650018805e-05,1.07824177887482e-14,-4.94445948773772e-15,-4.21730470405395e-16,4.35618136412989e-16,-6.32574292194717e-15,1.15765751684637e-14,2.00105980470275e-15,-0.0966736489045728
