,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,366.0,366,366,366,366,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,bBMT,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,366,183,188,366,,,,,,,,,,,,,
mean,198.44535519125682,,,,,-0.36356925643061083,0.044764489484093985,0.09509619340319171,0.07502055548750364,0.0684832173466389,0.06319670631455868,0.06773584780441828,0.06604527036200625,0.05710169189421915,0.05587272018032245,0.06805258916198287,0.050532045389834475,0.05017487309645465
std,115.21075871450601,,,,,0.7448310157280678,0.06374538171573432,0.11125485083678821,0.08004474218337229,0.07764491917090217,0.07876675549908922,0.0802695079127998,0.07946218763739755,0.07539575989085008,0.07108969241262225,0.09067892335998005,0.07185777401994008,0.06943315092611026
min,0.0,,,,,-4.65218350580921,4.182121351996924e-07,0.0,2.5878816693469888e-11,2.638025683406594e-13,1.4557269837801806e-08,2.1385590595895137e-23,1.9083420635475696e-33,2.644462001600132e-07,7.681188803754994e-08,6.648995649999979e-07,3.622817170000593e-09,5.379850362998804e-08
25%,99.25,,,,,-0.46958477408693927,0.00048455294476284995,0.0024691358024691,0.00358772733296735,0.005193026982431125,0.001781833398702175,0.0031313657823340496,0.0034533859761716997,0.000758087419830325,0.001145336560447225,0.0006223004625409749,0.0009538603917081751,0.000711278050892375
50%,198.5,,,,,-0.190606899585115,0.0127112831167163,0.061935653719195696,0.049733837612806295,0.0398831563436537,0.0303902644535869,0.02956007632712535,0.0281504597833847,0.02418321187514175,0.025213527892386997,0.02933260393477085,0.016581175424409747,0.016099251516065803
75%,295.75,,,,,0.013133932591837125,0.0709351236756979,0.15816578878065934,0.11454010989633757,0.10184883768325835,0.09985433859578785,0.10528141749115548,0.10177973165109168,0.09063527596435644,0.09603521771697485,0.09954938160056283,0.0797890879345929,0.0835052135391775
max,399.0,,,,,0.471505669987502,0.4161214880125022,0.549820379643392,0.3812876433934808,0.3864408291616402,0.4141374212529607,0.3711444985498641,0.3722323393395244,0.3721834818324082,0.3532048848817807,0.5515869698873672,0.3685437054771339,0.4843472759713997
