,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,286.0,286,286,286,286,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ER,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,286,143,146,286,,,,,,,,,,,,,
mean,201.71678321678323,,,,,0.11613524886729475,0.125056104903771,0.18441571797193715,0.18772593777320395,0.19441791656282137,0.1928209084978469,0.1966704635671186,0.19518346564398034,0.16697152566943696,0.18212697685257548,0.21371649257866773,0.1733444318759435,0.16665635155578076
std,116.98061107063043,,,,,0.36154261736787063,0.08347448008441186,0.08101788849236208,0.08611571035336799,0.0931010169449512,0.09472944542589525,0.08453729090219395,0.08093459946957915,0.1055261449020711,0.09857394530056263,0.11944943970025083,0.10397156820154962,0.10158529700691228
min,0.0,,,,,-3.277310654388,9.068093404926729e-05,8.493493195491794e-05,8.114822649153929e-05,3.906630268488279e-06,3.4420814602238896e-06,5.2547859425277945e-08,2.400282252465676e-18,6.235656219414722e-05,3.6962782121896e-05,3.240687562979072e-05,4.9891106758477696e-05,9.3589700627329e-05
25%,99.75,,,,,-0.03201748865075363,0.06663306330268037,0.1355681423611111,0.13393005738068958,0.13169627862961406,0.1261942286928276,0.1395897192508149,0.1426499703004881,0.09280586715698298,0.11130182702080782,0.13389310382098907,0.09526523757648905,0.09173861778245652
50%,204.5,,,,,0.181683102896917,0.1170008837352644,0.19194444444444442,0.19194359232001273,0.20007842206290205,0.19525002777942654,0.2063335764662572,0.20160208815934483,0.1588723078203632,0.18210337319285508,0.21040801888426344,0.1680488206007168,0.15947568709964643
75%,303.75,,,,,0.33251328865906,0.174540679370831,0.23412073269594366,0.24069371787954297,0.24572410942289996,0.2522013577559917,0.25321854849132214,0.25245273189577266,0.22523167153078724,0.24530922366238114,0.28653785984455427,0.23249821355571398,0.22957591328302532
max,397.0,,,,,0.487413844802615,0.447214775142278,0.5169204400510204,0.5471540575144738,0.7703138554588769,0.5945855478010765,0.6129561839612354,0.4733855594982844,0.6565564285356489,0.6201201331329601,0.735006195479641,0.6622989332028313,0.5645335473848723
