,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,188.0,188,188,188,188,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
unique,,1,2,1,1,,,,,,,,,,,,,
top,,Clonality,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,188,94,188,188,,,,,,,,,,,,,
mean,99.73404255319149,,,,,0.6532813819235113,0.23619178305491317,0.24856814897667848,0.24637960794217728,0.2525715340663127,0.24549924410132318,0.2333084582594397,0.22864192637584943,0.23476282605192358,0.2479947922536838,0.27901584129317836,0.24351073018914432,0.2386810588844082
std,58.41254270332441,,,,,0.02821207218821884,0.08273494002965008,0.08232157142384613,0.07148204405487557,0.08067127722871946,0.10167581548218724,0.07398080572279578,0.07423785046662823,0.08015940080690837,0.08166209621562555,0.11748521168059507,0.08201938534686005,0.08480118642411431
min,0.0,,,,,0.6010276335412,0.0963291405437516,0.0872590372583407,0.0893366568725045,0.0870037790438544,0.0679506002325615,0.0920097392626554,0.0837925588338007,0.090319448061072,0.0981117221428473,0.0378489734773268,0.0852885350477267,0.0505473731270317
25%,48.75,,,,,0.631747997511172,0.1775333860375562,0.1931804014995002,0.2081806341675579,0.20498973350922714,0.18142682532333573,0.18080549162900017,0.17440482700850002,0.18132630754980802,0.19528771635792458,0.1967539298106764,0.19339717225217348,0.18650022021899493
50%,98.5,,,,,0.6532794707105349,0.22621475862005258,0.24199611431606027,0.24215148946245546,0.24098525687632727,0.22960190048007864,0.23672628455880634,0.22468401460642268,0.22836732352174366,0.2331147351119248,0.2649008753659975,0.23652576485020188,0.23176464002128594
75%,150.25,,,,,0.672010819188097,0.26491135289151263,0.28757491512622035,0.27719931329853476,0.289596961054462,0.2975271262584004,0.27178266244569543,0.27368667256275114,0.27284145328022447,0.28975690047341796,0.3528970529127141,0.2839004958080126,0.27707889768557126
max,199.0,,,,,0.728414335939813,0.5517360305912471,0.5404517882512151,0.5948648292461787,0.5549613366785926,0.8161889450850408,0.5206474188461621,0.5298267260886202,0.5963147651388,0.5552640437938183,0.86846440701969,0.5282624148067934,0.6886771584709064
