,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,130.0,130,130,130,130,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
unique,,1,2,2,1,,,,,,,,,,,,,,,
top,,BiSSE,mcar,with_extinct,binary,,,,,,,,,,,,,,,
freq,,130,65,70,130,,,,,,,,,,,,,,,
mean,191.91538461538462,,,,,0.18618100754139724,0.11582175920782023,0.1364500585719768,0.16027236624128072,0.13907975129999298,0.16022079692551483,0.1619165373120638,0.15576623267446643,0.16282673124171132,0.15016566440075346,0.14977700660890716,0.15447564400427324,0.1869148531055553,0.14733389974200112,0.14359220375579418
std,113.39811426835266,,,,,0.6272413308884228,0.0873806414450973,0.09753182142936019,0.09313237428956207,0.10374329007598637,0.0980587563856315,0.10696513439643236,0.09661288246928507,0.09939814352092921,0.11477348075015792,0.13127440430130385,0.1071441873931746,0.14404310457663178,0.11217665502538814,0.1155088591364539
min,8.0,,,,,-4.45628887117237,1.5127694811637044e-05,0.0,0.0011884785344936,8.471713073760523e-07,4.963047366251133e-12,1.0764189677803249e-07,4.329607527014142e-07,9.334252499173056e-10,4.932597915724554e-06,1.6726652171328997e-05,3.763883850250038e-05,7.74634474049536e-06,3.763883850250038e-05,3.763883850250038e-05
25%,82.25,,,,,0.17517064503616,0.05455352184267945,0.06530736022972661,0.08964977554050825,0.0644539581445869,0.0783343419927191,0.07556078331252775,0.09130836528744095,0.0898430761283896,0.06279264680522517,0.0544382357978204,0.06724314366842475,0.07377711696916003,0.06707511949651142,0.05452449595908442
50%,196.5,,,,,0.310230716831068,0.10229479955676124,0.1238583628417796,0.16718899225694955,0.12006353224353365,0.16426244317236643,0.16263535050334743,0.15317341143791485,0.16355772469247065,0.12631070555040236,0.12279213587369064,0.1463670538208438,0.16915322407193029,0.13258883430011775,0.1281326644941423
75%,286.75,,,,,0.424095582621887,0.17327892451697166,0.21359857708185273,0.22370615430058338,0.22376859930177945,0.23554689681579366,0.22738207409596406,0.21553501647412612,0.23027398387943068,0.21392695638800802,0.21974860837028265,0.22928370105852885,0.2956954671717109,0.21134088803303194,0.20785474974362883
max,381.0,,,,,0.494851368062801,0.4031456414102132,0.5,0.3491389932341981,0.4791248196450645,0.4638679708922894,0.4909453562126528,0.4993335040968181,0.4951980274061329,0.4914980596419107,0.7380847627891488,0.4900257043112176,0.7934080848207681,0.5372666437995653,0.6016513351144149
