,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,314.0,314,314,314,314,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ARD,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,314,157,160,314,,,,,,,,,,,,,
mean,190.86942675159236,,,,,0.16589382585390983,0.11097704533448911,0.15381165804161492,0.16162068274980584,0.16675635655498283,0.1675654897698239,0.17126514999314643,0.171094832833143,0.13709852100217057,0.15942356221868015,0.1870898337953904,0.1523743510290666,0.14746281566535957
std,115.9188275883029,,,,,0.28597672734159585,0.08226999771493587,0.09089157306334496,0.09341541803801026,0.10042142453205374,0.11179251136538429,0.10057942092211927,0.10463853875536026,0.10415612546907531,0.10532995760330068,0.1306521248679092,0.11130793474349669,0.10417494725682337
min,0.0,,,,,-2.19252390637731,5.288850474149575e-05,0.0,1.7195636597124288e-06,1.7804620338711382e-06,2.734018105864347e-07,5.329076557229863e-16,1.667672262285034e-09,4.010912186019234e-06,9.414964075359888e-06,1.108765076309994e-05,1.4798363278975794e-05,5.0839037124999695e-05
25%,90.25,,,,,0.0516349044958819,0.05494746271647308,0.08988329895368567,0.10111389221035696,0.10248982118585649,0.09823815806451235,0.11096813437451675,0.10761799356726537,0.06576360976340326,0.09038483607935105,0.09699093631627105,0.07501121270816245,0.07995890470253587
50%,190.5,,,,,0.207387698583688,0.09683134931233844,0.1513531312931821,0.16258646187507414,0.16390254097449064,0.15918235031919498,0.17066335023506507,0.16363063633135524,0.12547727735667985,0.15091463587977622,0.17584379357711424,0.1428652183660446,0.1343318805105278
75%,288.75,,,,,0.342483046087632,0.1551108980347642,0.2136644547828389,0.21910145709307874,0.22344525506323387,0.22070375207624573,0.23233016114134605,0.2291545140662759,0.1904286613489961,0.2108975399130493,0.24988651097815517,0.20602935266108016,0.19687553168269478
max,397.0,,,,,0.482721543661059,0.4005364665925096,0.6223456790123457,0.4937452399075711,0.6649985347123388,0.7261739178262274,0.7980373816621219,0.933671781748092,0.542354507836132,0.7872545988707584,0.7534333492156753,0.8843692413460056,0.7396554158669479
