,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,128.0,128,128,128,128,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,HiSSE,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,128,64,74,128,,,,,,,,,,,,,
mean,214.90625,,,,,0.30982957284429424,0.13513849241682357,0.15940064177647723,0.16239318348252973,0.16660742481098745,0.17226601613015613,0.16986786440001256,0.17178688530103725,0.16244465044722994,0.16683751660847884,0.20180228156852006,0.1614436240020594,0.1552567600287476
std,118.71340712613745,,,,,0.16584540528952357,0.08154183433982773,0.10140051913593663,0.09510231187729931,0.1042262111960704,0.11747204807741102,0.09790489033420828,0.1050648375656934,0.11479779386446788,0.10366528987167557,0.13367616930826956,0.10739962208523568,0.09604095756951603
min,8.0,,,,,-0.563817312931068,0.0002518789509194,0.0005716637702368,0.00079611701377,1.2175550548619571e-05,1.1526509999126846e-10,0.0001381572853543,0.0004490894979537,1.718689855672302e-05,0.000629570064257,0.0001912519447957,2.1213263193515425e-05,0.0002608250859121
25%,124.25,,,,,0.2698107989108177,0.07681552574130765,0.08984555149672105,0.08752765848647959,0.09225784642883425,0.08975267570459687,0.0969003998778312,0.08706026057059388,0.08136261360541247,0.0890207502626589,0.1118949214175412,0.0910043932562095,0.08353413783159053
50%,220.5,,,,,0.3428238845075375,0.13287392125380235,0.16173862779167764,0.17110670513244106,0.17475306826281362,0.17836239110468172,0.17710569790634464,0.17804958852220526,0.14859113860650608,0.170577935887412,0.1894468516622858,0.15883648247768925,0.1534499890366472
75%,319.75,,,,,0.41771086539298824,0.20366751454384682,0.21358173725308433,0.23313076334018693,0.23018238687564838,0.23502245201842104,0.23539445380033666,0.24163512469230253,0.23712566452698247,0.2449736568068504,0.29380933919457664,0.218412690149572,0.21262720888977876
max,397.0,,,,,0.495937494742547,0.4173171522200357,0.6017014723435585,0.5022589762967069,0.6310793891896842,0.8031822672295884,0.524545368518978,0.5657854804478228,0.6673288378080401,0.5223037052707601,0.7232209286211267,0.610027353283953,0.57501765901041
