,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,
top,OU,mcar,ultrametric,continuous,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,
mean,,,,,0.6708473694244307,0.7047173203929361,0.7234878912651729,0.8274932455754818,0.7820437571701164,0.8285100644669781,0.8238580969066672,0.7413095206254039,0.734738418944159,0.7669086884378318,0.7511387443952665
std,,,,,0.38406349061507183,0.19446601271627817,0.19057803291145076,0.4362433423341728,0.23102751880666397,0.3506633978253738,0.33281066672352655,0.21628077242397684,0.19610594634872108,0.17980456577538148,0.1984482292808204
min,,,,,7.33137435857406e-05,0.2589034536400766,0.3088503805785697,0.24943615507205677,0.2615744929795908,0.315106026996387,0.2740198425586193,0.259782936638308,0.30263334463001235,0.3278803678786921,0.28846071854824973
25%,,,,,0.3353590261548207,0.5707654806446254,0.5896755616329393,0.6694708402867329,0.6196858646032517,0.6794068675032495,0.6686937302781446,0.614243766200458,0.5966438602983315,0.6453023522339852,0.6144614625114597
50%,,,,,0.902781552337617,0.6864544158905154,0.7136911112588105,0.7759410538285191,0.7514239229437458,0.7891521112194111,0.7929995860545525,0.7121946921746731,0.7253247266631602,0.7520712651076102,0.7305292978669993
75%,,,,,0.9846832851350334,0.8194685047600595,0.8357746220376295,0.8860202164298014,0.9035023945304017,0.9086145522642843,0.9176461970101069,0.8397622936642934,0.8418222221745101,0.8740513221574784,0.8472775036440006
max,,,,,1.00013310555245,1.6364799746993726,1.7383292168231494,7.7232495265106165,1.8389626225631528,5.189173120978568,5.594487943781966,2.5202028722977032,1.6357151157691856,1.6485079763507706,1.7785423451507705
