"","t18","t19","t24","t25","t12","t13","t4","t38","t39","t59","t60","t7","t16","t94","t95","t88","t89","t68","t31","t32","t46","t47","t6","t30","t53","t71","t74","t75","t45","t17","t90","t91","t48","t49","t29","t15","t26","t78","t79","t82","t83","t11","t1","t2","t9","t21","t98","t99","t27","t57","t58","t28","t40","t41","t92","t93","t35","t36","t42","t100","t101","t86","t87","t51","t52","t37","t54","t55","t14","t5","t84","t85","t69","t70","t63","t22","t23","t64","t65","t43","t44","t3","t8","t56","t76","t77","t72","t73","t10","t50","t80","t81","t96","t97","t33","t61","t62","t20","t34","t66","t67"
"t18",0,2.020050408,3.3346259495,3.3346259495,4.2304926266,4.2304926266,4.4804350582,5.6241922081,5.6241922081,5.6241922081,5.6241922081,5.62419220774,5.62419220814,5.62419220812,5.62419220812,5.62419220807,5.62419220807,5.62419220802,5.62419220804,5.62419220804,5.62419220814,5.62419220814,5.6241922083,5.6241922084,5.62419220844,5.62419220844,5.62419220843,5.62419220843,5.6241922085,6.2105236227,6.21052362288,6.21052362288,6.2105236225,6.2105236225,6.2105236224,6.2105236227,6.2105236229,6.2105236229,6.2105236229,6.21052362344,6.21052362344,6.2105236226,7.1601017961,7.1601017961,10.7093253102,10.7093253107,10.7093253107,10.7093253107,10.70932531062,10.70932531062,10.70932531062,10.70932531062,10.7093253106,10.7093253106,10.70932531057,10.70932531057,10.70932531062,10.70932531062,10.7093253106,10.70932531053,10.70932531053,10.70932531054,10.70932531054,10.7093253101,10.7093253101,10.7093253101,10.70932530992,10.70932530992,10.70932530992,10.70932530972,10.70932530987,10.70932530987,10.70932530986,10.70932530986,10.70932530987,10.70932530987,10.70932530987,10.70932531007,10.70932531007,10.70932530942,10.70932530942,10.70932530982,10.70932531032,10.70932531032,10.70932531032,10.70932531032,10.70932530981,10.70932530981,10.70932530983,10.70932531003,10.70932531003,10.70932531003,10.70932531004,10.70932531004,10.70932531051,10.70932531041,10.70932531041,10.65917758154,10.70932531004,10.70932531004,10.70932531004
"t19",2.020050408,0,3.3346259495,3.3346259495,4.2304926266,4.2304926266,4.4804350582,5.6241922081,5.6241922081,5.6241922081,5.6241922081,5.62419220774,5.62419220814,5.62419220812,5.62419220812,5.62419220807,5.62419220807,5.62419220802,5.62419220804,5.62419220804,5.62419220814,5.62419220814,5.6241922083,5.6241922084,5.62419220844,5.62419220844,5.62419220843,5.62419220843,5.6241922085,6.2105236227,6.21052362288,6.21052362288,6.2105236225,6.2105236225,6.2105236224,6.2105236227,6.2105236229,6.2105236229,6.2105236229,6.21052362344,6.21052362344,6.2105236226,7.1601017961,7.1601017961,10.7093253102,10.7093253107,10.7093253107,10.7093253107,10.70932531062,10.70932531062,10.70932531062,10.70932531062,10.7093253106,10.7093253106,10.70932531057,10.70932531057,10.70932531062,10.70932531062,10.7093253106,10.70932531053,10.70932531053,10.70932531054,10.70932531054,10.7093253101,10.7093253101,10.7093253101,10.70932530992,10.70932530992,10.70932530992,10.70932530972,10.70932530987,10.70932530987,10.70932530986,10.70932530986,10.70932530987,10.70932530987,10.70932530987,10.70932531007,10.70932531007,10.70932530942,10.70932530942,10.70932530982,10.70932531032,10.70932531032,10.70932531032,10.70932531032,10.70932530981,10.70932530981,10.70932530983,10.70932531003,10.70932531003,10.70932531003,10.70932531004,10.70932531004,10.70932531051,10.70932531041,10.70932531041,10.65917758154,10.70932531004,10.70932531004,10.70932531004
"t24",3.3346259495,3.3346259495,0,1.6467797116,4.2304926265,4.2304926265,4.4804350581,5.624192208,5.624192208,5.624192208,5.624192208,5.62419220764,5.62419220804,5.62419220802,5.62419220802,5.62419220797,5.62419220797,5.62419220792,5.62419220794,5.62419220794,5.62419220804,5.62419220804,5.6241922082,5.6241922083,5.62419220834,5.62419220834,5.62419220833,5.62419220833,5.6241922084,6.2105236226,6.21052362278,6.21052362278,6.2105236224,6.2105236224,6.2105236223,6.2105236226,6.2105236228,6.2105236228,6.2105236228,6.21052362334,6.21052362334,6.2105236225,7.160101796,7.160101796,10.7093253101,10.7093253106,10.7093253106,10.7093253106,10.70932531052,10.70932531052,10.70932531052,10.70932531052,10.7093253105,10.7093253105,10.70932531047,10.70932531047,10.70932531052,10.70932531052,10.7093253105,10.70932531043,10.70932531043,10.70932531044,10.70932531044,10.70932531,10.70932531,10.70932531,10.70932530982,10.70932530982,10.70932530982,10.70932530962,10.70932530977,10.70932530977,10.70932530976,10.70932530976,10.70932530977,10.70932530977,10.70932530977,10.70932530997,10.70932530997,10.70932530932,10.70932530932,10.70932530972,10.70932531022,10.70932531022,10.70932531022,10.70932531022,10.70932530971,10.70932530971,10.70932530973,10.70932530993,10.70932530993,10.70932530993,10.70932530994,10.70932530994,10.70932531041,10.70932531031,10.70932531031,10.65917758144,10.70932530994,10.70932530994,10.70932530994
"t25",3.3346259495,3.3346259495,1.6467797116,0,4.2304926265,4.2304926265,4.4804350581,5.624192208,5.624192208,5.624192208,5.624192208,5.62419220764,5.62419220804,5.62419220802,5.62419220802,5.62419220797,5.62419220797,5.62419220792,5.62419220794,5.62419220794,5.62419220804,5.62419220804,5.6241922082,5.6241922083,5.62419220834,5.62419220834,5.62419220833,5.62419220833,5.6241922084,6.2105236226,6.21052362278,6.21052362278,6.2105236224,6.2105236224,6.2105236223,6.2105236226,6.2105236228,6.2105236228,6.2105236228,6.21052362334,6.21052362334,6.2105236225,7.160101796,7.160101796,10.7093253101,10.7093253106,10.7093253106,10.7093253106,10.70932531052,10.70932531052,10.70932531052,10.70932531052,10.7093253105,10.7093253105,10.70932531047,10.70932531047,10.70932531052,10.70932531052,10.7093253105,10.70932531043,10.70932531043,10.70932531044,10.70932531044,10.70932531,10.70932531,10.70932531,10.70932530982,10.70932530982,10.70932530982,10.70932530962,10.70932530977,10.70932530977,10.70932530976,10.70932530976,10.70932530977,10.70932530977,10.70932530977,10.70932530997,10.70932530997,10.70932530932,10.70932530932,10.70932530972,10.70932531022,10.70932531022,10.70932531022,10.70932531022,10.70932530971,10.70932530971,10.70932530973,10.70932530993,10.70932530993,10.70932530993,10.70932530994,10.70932530994,10.70932531041,10.70932531031,10.70932531031,10.65917758144,10.70932530994,10.70932530994,10.70932530994
"t12",4.2304926266,4.2304926266,4.2304926265,4.2304926265,0,2.338024826,4.480435058,5.6241922079,5.6241922079,5.6241922079,5.6241922079,5.62419220754,5.62419220794,5.62419220792,5.62419220792,5.62419220787,5.62419220787,5.62419220782,5.62419220784,5.62419220784,5.62419220794,5.62419220794,5.6241922081,5.6241922082,5.62419220824,5.62419220824,5.62419220823,5.62419220823,5.6241922083,6.2105236225,6.21052362268,6.21052362268,6.2105236223,6.2105236223,6.2105236222,6.2105236225,6.2105236227,6.2105236227,6.2105236227,6.21052362324,6.21052362324,6.2105236224,7.1601017959,7.1601017959,10.70932531,10.7093253105,10.7093253105,10.7093253105,10.70932531042,10.70932531042,10.70932531042,10.70932531042,10.7093253104,10.7093253104,10.70932531037,10.70932531037,10.70932531042,10.70932531042,10.7093253104,10.70932531033,10.70932531033,10.70932531034,10.70932531034,10.7093253099,10.7093253099,10.7093253099,10.70932530972,10.70932530972,10.70932530972,10.70932530952,10.70932530967,10.70932530967,10.70932530966,10.70932530966,10.70932530967,10.70932530967,10.70932530967,10.70932530987,10.70932530987,10.70932530922,10.70932530922,10.70932530962,10.70932531012,10.70932531012,10.70932531012,10.70932531012,10.70932530961,10.70932530961,10.70932530963,10.70932530983,10.70932530983,10.70932530983,10.70932530984,10.70932530984,10.70932531031,10.70932531021,10.70932531021,10.65917758134,10.70932530984,10.70932530984,10.70932530984
"t13",4.2304926266,4.2304926266,4.2304926265,4.2304926265,2.338024826,0,4.480435058,5.6241922079,5.6241922079,5.6241922079,5.6241922079,5.62419220754,5.62419220794,5.62419220792,5.62419220792,5.62419220787,5.62419220787,5.62419220782,5.62419220784,5.62419220784,5.62419220794,5.62419220794,5.6241922081,5.6241922082,5.62419220824,5.62419220824,5.62419220823,5.62419220823,5.6241922083,6.2105236225,6.21052362268,6.21052362268,6.2105236223,6.2105236223,6.2105236222,6.2105236225,6.2105236227,6.2105236227,6.2105236227,6.21052362324,6.21052362324,6.2105236224,7.1601017959,7.1601017959,10.70932531,10.7093253105,10.7093253105,10.7093253105,10.70932531042,10.70932531042,10.70932531042,10.70932531042,10.7093253104,10.7093253104,10.70932531037,10.70932531037,10.70932531042,10.70932531042,10.7093253104,10.70932531033,10.70932531033,10.70932531034,10.70932531034,10.7093253099,10.7093253099,10.7093253099,10.70932530972,10.70932530972,10.70932530972,10.70932530952,10.70932530967,10.70932530967,10.70932530966,10.70932530966,10.70932530967,10.70932530967,10.70932530967,10.70932530987,10.70932530987,10.70932530922,10.70932530922,10.70932530962,10.70932531012,10.70932531012,10.70932531012,10.70932531012,10.70932530961,10.70932530961,10.70932530963,10.70932530983,10.70932530983,10.70932530983,10.70932530984,10.70932530984,10.70932531031,10.70932531021,10.70932531021,10.65917758134,10.70932530984,10.70932530984,10.70932530984
"t4",4.4804350582,4.4804350582,4.4804350581,4.4804350581,4.480435058,4.480435058,0,5.6241922079,5.6241922079,5.6241922079,5.6241922079,5.62419220754,5.62419220794,5.62419220792,5.62419220792,5.62419220787,5.62419220787,5.62419220782,5.62419220784,5.62419220784,5.62419220794,5.62419220794,5.6241922081,5.6241922082,5.62419220824,5.62419220824,5.62419220823,5.62419220823,5.6241922083,6.2105236225,6.21052362268,6.21052362268,6.2105236223,6.2105236223,6.2105236222,6.2105236225,6.2105236227,6.2105236227,6.2105236227,6.21052362324,6.21052362324,6.2105236224,7.1601017959,7.1601017959,10.70932531,10.7093253105,10.7093253105,10.7093253105,10.70932531042,10.70932531042,10.70932531042,10.70932531042,10.7093253104,10.7093253104,10.70932531037,10.70932531037,10.70932531042,10.70932531042,10.7093253104,10.70932531033,10.70932531033,10.70932531034,10.70932531034,10.7093253099,10.7093253099,10.7093253099,10.70932530972,10.70932530972,10.70932530972,10.70932530952,10.70932530967,10.70932530967,10.70932530966,10.70932530966,10.70932530967,10.70932530967,10.70932530967,10.70932530987,10.70932530987,10.70932530922,10.70932530922,10.70932530962,10.70932531012,10.70932531012,10.70932531012,10.70932531012,10.70932530961,10.70932530961,10.70932530963,10.70932530983,10.70932530983,10.70932530983,10.70932530984,10.70932530984,10.70932531031,10.70932531021,10.70932531021,10.65917758134,10.70932530984,10.70932530984,10.70932530984
"t38",5.6241922081,5.6241922081,5.624192208,5.624192208,5.6241922079,5.6241922079,5.6241922079,0,1.1398045188,2.9225412948,2.9225412948,4.70237307624,4.70237307664,4.70237307662,4.70237307662,4.70237307657,4.70237307657,4.70237307652,4.70237307654,4.70237307654,4.70237307664,4.70237307664,4.7023730768,4.7023730769,4.70237307694,4.70237307694,4.70237307693,4.70237307693,4.702373077,6.2105236226,6.21052362278,6.21052362278,6.2105236224,6.2105236224,6.2105236223,6.2105236226,6.2105236228,6.2105236228,6.2105236228,6.21052362334,6.21052362334,6.2105236225,7.160101796,7.160101796,10.7093253101,10.7093253106,10.7093253106,10.7093253106,10.70932531052,10.70932531052,10.70932531052,10.70932531052,10.7093253105,10.7093253105,10.70932531047,10.70932531047,10.70932531052,10.70932531052,10.7093253105,10.70932531043,10.70932531043,10.70932531044,10.70932531044,10.70932531,10.70932531,10.70932531,10.70932530982,10.70932530982,10.70932530982,10.70932530962,10.70932530977,10.70932530977,10.70932530976,10.70932530976,10.70932530977,10.70932530977,10.70932530977,10.70932530997,10.70932530997,10.70932530932,10.70932530932,10.70932530972,10.70932531022,10.70932531022,10.70932531022,10.70932531022,10.70932530971,10.70932530971,10.70932530973,10.70932530993,10.70932530993,10.70932530993,10.70932530994,10.70932530994,10.70932531041,10.70932531031,10.70932531031,10.65917758144,10.70932530994,10.70932530994,10.70932530994
"t39",5.6241922081,5.6241922081,5.624192208,5.624192208,5.6241922079,5.6241922079,5.6241922079,1.1398045188,0,2.9225412948,2.9225412948,4.70237307624,4.70237307664,4.70237307662,4.70237307662,4.70237307657,4.70237307657,4.70237307652,4.70237307654,4.70237307654,4.70237307664,4.70237307664,4.7023730768,4.7023730769,4.70237307694,4.70237307694,4.70237307693,4.70237307693,4.702373077,6.2105236226,6.21052362278,6.21052362278,6.2105236224,6.2105236224,6.2105236223,6.2105236226,6.2105236228,6.2105236228,6.2105236228,6.21052362334,6.21052362334,6.2105236225,7.160101796,7.160101796,10.7093253101,10.7093253106,10.7093253106,10.7093253106,10.70932531052,10.70932531052,10.70932531052,10.70932531052,10.7093253105,10.7093253105,10.70932531047,10.70932531047,10.70932531052,10.70932531052,10.7093253105,10.70932531043,10.70932531043,10.70932531044,10.70932531044,10.70932531,10.70932531,10.70932531,10.70932530982,10.70932530982,10.70932530982,10.70932530962,10.70932530977,10.70932530977,10.70932530976,10.70932530976,10.70932530977,10.70932530977,10.70932530977,10.70932530997,10.70932530997,10.70932530932,10.70932530932,10.70932530972,10.70932531022,10.70932531022,10.70932531022,10.70932531022,10.70932530971,10.70932530971,10.70932530973,10.70932530993,10.70932530993,10.70932530993,10.70932530994,10.70932530994,10.70932531041,10.70932531031,10.70932531031,10.65917758144,10.70932530994,10.70932530994,10.70932530994
"t59",5.6241922081,5.6241922081,5.624192208,5.624192208,5.6241922079,5.6241922079,5.6241922079,2.9225412948,2.9225412948,0,0.5816799248,4.70237307624,4.70237307664,4.70237307662,4.70237307662,4.70237307657,4.70237307657,4.70237307652,4.70237307654,4.70237307654,4.70237307664,4.70237307664,4.7023730768,4.7023730769,4.70237307694,4.70237307694,4.70237307693,4.70237307693,4.702373077,6.2105236226,6.21052362278,6.21052362278,6.2105236224,6.2105236224,6.2105236223,6.2105236226,6.2105236228,6.2105236228,6.2105236228,6.21052362334,6.21052362334,6.2105236225,7.160101796,7.160101796,10.7093253101,10.7093253106,10.7093253106,10.7093253106,10.70932531052,10.70932531052,10.70932531052,10.70932531052,10.7093253105,10.7093253105,10.70932531047,10.70932531047,10.70932531052,10.70932531052,10.7093253105,10.70932531043,10.70932531043,10.70932531044,10.70932531044,10.70932531,10.70932531,10.70932531,10.70932530982,10.70932530982,10.70932530982,10.70932530962,10.70932530977,10.70932530977,10.70932530976,10.70932530976,10.70932530977,10.70932530977,10.70932530977,10.70932530997,10.70932530997,10.70932530932,10.70932530932,10.70932530972,10.70932531022,10.70932531022,10.70932531022,10.70932531022,10.70932530971,10.70932530971,10.70932530973,10.70932530993,10.70932530993,10.70932530993,10.70932530994,10.70932530994,10.70932531041,10.70932531031,10.70932531031,10.65917758144,10.70932530994,10.70932530994,10.70932530994
