"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105"
"t4",-0.0704764983927677,0.0565222473233132,0.0438653455839404,-0.000493482183807968,-0.209487449840186,0.00645617854837808,0.00181598972642574,-0.00971915990753139,-0.000930407247081473,3.10916251497613e-05,-0.00169479845930169,0.0275199037873795,-0.00311019182896437,0.00625361496525883,-0.00437023444303171,0.0822485623539591,-0.000120715023457077,-0.0387281674273041,-0.0147707084247893,-0.00875209992855679,-0.00624636025982811,-0.000268380861202791,0.0119759543301791,-0.020706824280055,0.957412224656658,0.0923925272385994,-0.0324027957708593,-2.06465472527183e-17,0.000135571559594559,-0.00125218759768586,-0.00227187807381802,0.000831020084684312,0.000113605881167182,-0.000273938764747161,-0.00653111953362367,-0.00103832741365136,-0.000172543340484042,-2.8511672042728e-16,0.00103889894720771,-1.37556610298049e-05,0.000112034531845656,-0.000271316005278644,6.77994431125223e-17,-8.64862520838767e-05,0.000125798131097973,-0.000250427213601889,0.00166565446629065,0.00126599475782214,2.44570979674087e-17,0.00079364823248839,-0.000723947189415841,6.62501617028468e-05,1.27968807738431e-16,-3.91723708236764e-05,9.0674965846948e-05,0.000425845791203154,7.08128092363307e-16,0.000641808387614068,-3.17542846909854e-05,-0.00891671997652265,-1.60644876986914e-05,-0.00175934335883522,0.000298643686201387,-2.04858825754999e-16,-7.07798552981798e-06,2.08314718299217e-16,3.7428231911605e-16,-9.27748457199091e-05,-2.42349774318882e-05,1.27773936612574e-16,0.000149407435623448,-9.69561105323762e-17,0.00012551463357964,-1.55706047443994e-16,-7.0498163912366e-16,-7.3364214485423e-17,8.08123344628815e-06,-4.56617191219092e-06,1.44045312468638e-06,-4.84502949261781e-16,1.7470616946419e-16,5.66063840817308e-16,-2.41524678955365e-16,-2.24055367123083e-16,1.75449788542537e-06,-2.58120099706793e-16,9.58100552969822e-17,-2.07977498456392e-05,-3.14897345092175e-16,7.17792312273e-16,5.24850243760865e-17,5.64771951481972e-17,2.30551979044015e-16,-3.9767774065809e-16,-3.93231338153624e-06,3.38274755951471e-16,1.24193642740156e-15,4.431295177552e-16,4.0781333546124e-16,5.08298051003549e-16,1.27817189310551e-15,5.39266494244443e-16,-6.97885479068922e-16,1.16007168990463e-14,-0.0975900072948476
"t34",-0.0745832017650059,0.0640245589421699,0.0532015905613755,-0.00062982206281709,-0.308474283079346,0.0110329397101136,0.00336199212030877,-0.0207174744454132,-0.00462885354665087,-0.0011742250443675,0.00170503825415192,-0.0140954987277795,0.000481188869703845,0.0022706049095312,-0.0145044101827723,0.427314332619012,0.000195292146663167,0.0207011959379732,0.00671529759614168,0.00254066718520884,0.00143442451499052,6.15744339243224e-05,-0.00270198367241004,0.0030718057548886,-0.116260791367018,-0.0077922941675632,0.0023648872709304,8.30095240387485e-17,1.75504081045765e-06,-2.25753415616482e-05,-8.80564415542299e-05,3.84359324094659e-05,7.54497895489776e-06,-2.12283078079387e-05,-0.000544128038019505,-9.40052869281707e-05,-1.56611737989848e-05,2.44644512448037e-16,0.000121573946533774,-1.64241136335826e-06,1.35029752271492e-05,-3.3661903515185e-05,-2.21851584544579e-15,-1.09731408372823e-05,1.58894297589939e-05,-2.63679823639952e-05,0.000164595866526276,0.000318610353065356,3.35777013399618e-15,4.10581022436185e-05,3.8442130088969e-06,-6.20367125634744e-06,-1.19417502947112e-14,6.06985880334439e-06,-2.41423865098795e-05,-0.000264286822386159,-5.08410269058397e-14,-0.00377137043814331,0.00103451358547491,0.827360907178774,-0.00884319322359977,-0.0229174124915488,0.000363725929986444,1.62118646023957e-14,-4.98537002416641e-06,2.56204344381371e-15,-6.24267535515604e-15,-4.80941093811533e-05,-1.2320831607107e-05,-5.53234756815947e-15,7.29271940028226e-05,-1.59336521074289e-15,6.00047297599845e-05,-3.82663993286724e-15,-1.15269751648253e-15,4.62794138578759e-15,3.62442504522298e-06,-2.02499639148472e-06,6.36921529629017e-07,-6.61608266489358e-16,-3.24440409909411e-15,1.31616269797965e-15,-1.33757537431663e-15,2.82230254283152e-14,7.43643670355092e-07,1.19521288342172e-15,-4.29288265210157e-15,-8.69019877017842e-06,4.81518115321296e-17,3.2858348431832e-15,-2.63114093668027e-15,-8.7263023305798e-15,2.52595606783433e-15,2.73565278788638e-16,-1.599155483615e-06,-7.64903486861496e-16,4.59253551836051e-16,1.48671138847679e-15,6.16057282476982e-16,-5.53122284884502e-16,-1.02617230312454e-15,2.04291040628263e-15,-1.70453865889897e-15,1.21357315954019e-14,-0.0975900072948667
"t67",-0.07476857829105,0.0643547628151303,0.05360297699649,-0.000635588360710809,-0.312490953673852,0.0112119106458358,0.00342138764912293,-0.0211283929452454,-0.00475313010683363,-0.00121117144171655,0.00177547632678814,-0.0147186607455805,0.000503690362817734,0.00238469051870766,-0.015323572901941,0.451792900030354,0.000208176639272279,0.0223954641441249,0.00728944098787556,0.00278731159773952,0.00158317633001198,6.7961423724696e-05,-0.00298355560050603,0.00342899473964201,-0.130428781821135,-0.00881548633105833,0.0026834795184281,-4.24679382066978e-16,2.06106294067266e-06,-2.65926329500531e-05,-0.000105239499973515,4.62243191199178e-05,9.2636847182545e-06,-2.64527211687695e-05,-0.000684304304316806,-0.000119798411220815,-1.9967548947925e-05,-4.70033650790011e-17,0.000168977457994482,-2.31809820343165e-06,1.92205336211142e-05,-4.9669532808111e-05,7.47033050620101e-16,-1.81849207909109e-05,2.71349786706782e-05,-6.49083954806457e-05,0.000443955340811471,0.000994776964546148,-7.31312537149992e-16,0.000242419359436473,-0.000247497930380872,2.59220892726523e-05,5.4470934605874e-15,-1.65896887781301e-05,4.35286459690573e-05,0.000278407748780778,8.61207441483244e-15,0.00202703680967077,-0.000503337778217051,-0.396514338401282,0.00419731228531513,0.0102470800679825,-6.13397955461573e-05,-1.03469917855202e-14,-3.33549413301801e-07,2.24621234372443e-15,5.73369013195122e-15,-1.37325107289288e-05,-3.73472051288136e-06,4.73997063843549e-15,2.4938622474453e-05,-6.2467444457692e-15,2.17847697498416e-05,-3.09431977380031e-15,-2.20911082311878e-14,-3.88952906471645e-14,1.57556803546856e-06,-9.08658892820767e-07,2.88201240695381e-07,-5.33403101555994e-16,-4.7807883242767e-15,3.11151143023715e-14,1.72886504199797e-13,0.707106781186532,3.80292053444214e-07,7.34292988701253e-15,-4.03449447041636e-15,-4.64165280815479e-06,-3.64715643289604e-15,-1.03073920775616e-14,2.5077443318977e-15,4.89762328415065e-14,-5.40472021384193e-15,-9.17092652312443e-16,-9.34556576979733e-07,-4.8694015243923e-15,1.77608970691677e-15,1.4215166812339e-14,-7.27409199014665e-16,-3.75268624647275e-15,-7.22710232477879e-15,-4.41817181650354e-15,9.89703653575514e-16,1.2192054772496e-14,-0.0975900072948556
"t68",-0.0747685782910507,0.0643547628151306,0.0536029769964903,-0.000635588360710881,-0.312490953673851,0.011211910645836,0.0034213876491228,-0.0211283929452453,-0.00475313010683379,-0.0012111714417168,0.00177547632678797,-0.0147186607455789,0.00050369036281857,0.00238469051870836,-0.0153235729019411,0.451792900030354,0.000208176639272714,0.0223954641441221,0.00728944098787418,0.0027873115977391,0.00158317633001042,6.79614237267478e-05,-0.00298355560050482,0.00342899473964253,-0.130428781821135,-0.00881548633105599,0.00268347951842644,5.44221252170099e-17,2.06106294112041e-06,-2.65926329477431e-05,-0.000105239499972273,4.62243191176469e-05,9.2636847183226e-06,-2.645272116976e-05,-0.000684304304314061,-0.000119798411219538,-1.9967548949245e-05,7.76620434304137e-17,0.000168977457999019,-2.31809820453641e-06,1.92205336161908e-05,-4.9669532806044e-05,1.00454859285561e-15,-1.81849207886187e-05,2.71349786720446e-05,-6.49083954784687e-05,0.000443955340802574,0.000994776964549668,-2.55743382759713e-15,0.000242419359432894,-0.000247497930379398,2.59220892760522e-05,5.49662529152952e-15,-1.65896887792184e-05,4.35286459697478e-05,0.000278407748785208,4.05356289965487e-14,0.00202703680969364,-0.000503337778216221,-0.396514338401232,0.00419731228531589,0.0102470800680082,-6.13397955529662e-05,-5.49591953723296e-15,-3.33549398094245e-07,-4.11818976104381e-15,2.33451361396818e-16,-1.3732510729602e-05,-3.73472051699218e-06,7.02728050634077e-16,2.49386224994066e-05,8.43684012838623e-15,2.1784769764945e-05,6.12407137622235e-15,2.19397974601326e-14,3.44504977035094e-14,1.57556803137763e-06,-9.08658771893012e-07,2.88201194195888e-07,-5.30210959204424e-16,8.30833615692172e-15,-3.1140315904346e-14,-1.72161602280312e-13,-0.707106781186562,3.80291891377713e-07,-9.47877781423777e-15,8.63984089451745e-15,-4.64165280254035e-06,2.76023979959029e-15,9.1301733386001e-15,-4.51008997469731e-16,-4.05958072144542e-14,3.26198873999024e-15,-6.41671148813769e-17,-9.34556599815244e-07,5.88442733370607e-15,9.18132648250051e-16,-1.64232947405186e-14,1.14568954335526e-15,6.39348430672502e-15,1.29658960749744e-14,3.72387124918012e-15,-1.3350621164518e-15,1.08783160274709e-14,-0.0975900072948495
"t92",-0.0758697352356787,0.0664484568818314,0.0563096405261316,-0.000676200649007587,-0.344123779288006,0.0127722240607832,0.00396529537716416,-0.0251968285217568,-0.00641301243700864,-0.00184818811562809,0.00485890023166504,-0.0637585623190711,0.00633681043495655,-0.0116960810810881,0.0127462706896979,-0.315900155599604,-4.64939542048629e-06,0.00712488301380393,0.00259195146623643,0.00121803066139348,0.000741048585092873,3.18186219166272e-05,-0.00140272181694605,0.00174909154474812,-0.0683434040929802,-0.00478736376529837,0.00147288244775235,7.38387533244424e-16,1.22005980944187e-06,-1.58076147068828e-05,-6.36097618726884e-05,2.81037836193797e-05,5.71934271033619e-06,-1.64652632508562e-05,-0.000427726618312934,-7.52639002677728e-05,-1.25467366486603e-05,-4.73670201361899e-16,0.0001081119478467,-1.48570579658355e-06,1.23294241972514e-05,-3.19618885746756e-05,2.39817951697717e-16,-1.18072352226428e-05,1.76707333925786e-05,-4.9472009945245e-05,0.000400158768080564,0.498854339026046,-1.37890488044812e-14,9.4660312363117e-05,-0.000103284849381322,1.01366512869929e-05,2.31117509046539e-16,-6.13320632446351e-06,1.45562796242575e-05,7.08527904287764e-05,-4.88304913847797e-15,0.000120461599771659,-8.55076611587388e-06,-0.00402836677620433,2.40461653567871e-05,-0.000231692020492076,5.14737498504535e-05,-1.10004376585007e-16,-1.27346361463601e-06,7.88585161998253e-15,2.7841300760108e-15,-1.75345010929679e-05,-4.60262010434454e-06,1.10910701813568e-15,2.86982253082405e-05,1.93688390406633e-15,2.42677805090334e-05,3.08966732068491e-15,5.94089928409109e-15,2.90687399604802e-15,1.60200947476155e-06,-9.1013550327841e-07,2.8754452150499e-07,-1.66757979130329e-15,2.45334419269515e-15,-4.22483351858062e-15,3.16664434124506e-16,-1.49652426006992e-14,3.59352523970908e-07,-6.01049205766785e-16,2.92744803956268e-15,-4.30781326910463e-06,-6.32438539946781e-15,-1.44919858852111e-14,4.59415983546871e-15,2.2119505492718e-14,-7.18932923081835e-15,-1.44634422284804e-14,-8.3767044605633e-07,1.20668845863911e-14,5.33353245200136e-15,0.707106781186552,-3.23952684521449e-14,-1.52342244021846e-15,-3.36145641565254e-14,2.46482373632846e-14,-1.31555094759018e-15,1.03720461688178e-14,-0.0975900072948554
"t93",-0.0758697352356787,0.0664484568818315,0.0563096405261305,-0.000676200649007678,-0.344123779288006,0.0127722240607833,0.00396529537716432,-0.0251968285217566,-0.00641301243700893,-0.00184818811562756,0.00485890023166469,-0.0637585623190707,0.00633681043495666,-0.0116960810810874,0.0127462706896982,-0.315900155599606,-4.64939541997867e-06,0.00712488301380251,0.00259195146623415,0.00121803066139293,0.00074104858509488,3.18186219162102e-05,-0.00140272181694619,0.00174909154474887,-0.0683434040929801,-0.00478736376529707,0.00147288244775303,-8.76448530665468e-17,1.22005980941671e-06,-1.5807614704251e-05,-6.3609761872335e-05,2.81037836196216e-05,5.71934271087209e-06,-1.64652632505269e-05,-0.000427726618309634,-7.52639002662113e-05,-1.25467366490073e-05,-4.51402758515263e-16,0.000108111947845913,-1.48570579752091e-06,1.23294241968073e-05,-3.19618885734231e-05,4.83009365782547e-16,-1.18072352227355e-05,1.76707333917122e-05,-4.94720099477769e-05,0.00040015876807641,0.498854339026055,-1.23485851970746e-14,9.46603123605942e-05,-0.000103284849379017,1.01366512839471e-05,1.74122551684687e-15,-6.13320632605505e-06,1.45562796259631e-05,7.08527904221835e-05,8.47778972469362e-16,0.0001204615997667,-8.55076611886983e-06,-0.00402836677620064,2.40461653563109e-05,-0.000231692020474625,5.14737498469406e-05,-1.10719162079004e-15,-1.27346361535884e-06,-7.28029352813112e-15,-2.94059374696456e-15,-1.75345010838497e-05,-4.60262009301181e-06,-1.40532236160337e-15,2.86982253175907e-05,-1.89663208137551e-15,2.42677805152375e-05,-3.83917804704173e-15,-4.75275570697691e-15,-7.39393053571569e-15,1.60200947690256e-06,-9.10135492716898e-07,2.87544530931395e-07,2.08892563950833e-15,-8.57240760221608e-16,4.05572126647612e-15,-8.03365849252778e-16,1.56630350911473e-14,3.59352527120249e-07,-3.12942642746355e-16,-2.81305219116705e-15,-4.30781324012061e-06,6.31592733408117e-15,1.51030137372676e-14,-6.16443910325557e-15,-2.24874810668288e-14,7.14662074388594e-15,1.41259667018668e-14,-8.37670429355377e-07,-1.20252122214957e-14,-6.45009535715285e-15,-0.707106781186543,3.26058352915306e-14,-2.39562365166116e-15,3.64558040188434e-14,-2.36150734599113e-14,-7.18655919915759e-17,1.25277733074841e-14,-0.0975900072948628
"t81",-0.0758435503438059,0.0664008185908265,0.0562505287007029,-0.000675338682281035,-0.34349892959216,0.0127432950573956,0.00395550808982881,-0.0251269448351198,-0.00638886755798636,-0.00184001797384024,0.00483058509259351,-0.0633604723133822,0.00629491732468679,-0.0116128805992339,0.0126440917635484,-0.313330701791795,-4.60568476652563e-06,0.00704124031938665,0.0025601164085497,0.00120096181119032,0.000729924644123247,3.13408623211115e-05,-0.00138155779743645,0.00171949494043886,-0.0671285600167167,-0.00469530301554412,0.00144378144564379,-1.73870181747044e-16,1.18832449039365e-06,-1.53873386139518e-05,-6.17413344446238e-05,2.72437598570216e-05,5.52039718148433e-06,-1.58414294403454e-05,-0.000410675468220138,-7.2044096029958e-05,-1.2008683005824e-05,3.35959680173933e-16,0.000101177376558383,-1.38411759412451e-06,1.14566644793341e-05,-2.93551546813529e-05,-3.88771286804758e-16,-1.03442628478285e-05,1.52460324347262e-05,-2.51504161634293e-05,0.000103618067934819,-0.501141139344278,1.24679131322688e-14,0.00016094649362841,-0.000137619111808399,1.24994918871898e-05,-9.3110805322415e-16,-7.40328281277721e-06,1.72174920412669e-05,8.19086949706134e-05,2.73768638662446e-15,0.000136339601910622,-9.65446789503015e-06,-0.00454673392605637,2.7134347690493e-05,-0.000261096681175893,5.71510946104483e-05,2.37943665355679e-16,-1.39333370485714e-06,1.26984304291843e-15,-1.46528757574886e-15,-1.88845763354106e-05,-4.95018570651716e-06,8.30207429981325e-16,3.07698382546119e-05,1.61299193427001e-15,2.59748882302344e-05,-2.38159495447607e-16,-1.92258083542236e-15,2.5411133511935e-15,1.7043717283846e-06,-9.67109612484348e-07,3.054438147364e-07,-1.77026461026413e-15,2.39262416863992e-15,2.86516957298121e-15,-2.26741597556714e-16,4.25591070034549e-14,3.79710427478326e-07,-2.66031869190472e-15,8.81294133216548e-16,-4.54229375198528e-06,-9.43512212089999e-16,4.06605501346143e-15,4.69495753035516e-14,-0.707106781186547,2.12939451859614e-14,2.75267104373249e-14,-8.79049540568759e-07,2.90277790610587e-15,2.59762960631142e-14,2.05460200841942e-14,2.25553107523835e-15,9.67836324799596e-15,1.497205046929e-14,1.32764955035221e-15,-7.32462927783533e-16,8.27180934190395e-15,-0.0975900072948432
"t82",-0.0758435503438059,0.0664008185908265,0.0562505287007029,-0.000675338682280934,-0.34349892959216,0.0127432950573957,0.00395550808982873,-0.0251269448351203,-0.00638886755798629,-0.00184001797384004,0.00483058509259354,-0.0633604723133823,0.00629491732468695,-0.0116128805992342,0.0126440917635486,-0.313330701791795,-4.60568476655197e-06,0.00704124031938695,0.00256011640855027,0.00120096181119043,0.000729924644123463,3.13408623211972e-05,-0.00138155779743665,0.00171949494043874,-0.0671285600167167,-0.00469530301554427,0.0014437814456434,1.37236972596203e-16,1.18832449023574e-06,-1.53873386139994e-05,-6.17413344448762e-05,2.72437598566611e-05,5.52039718167196e-06,-1.58414294411352e-05,-0.000410675468219754,-7.20440960308627e-05,-1.20086830056246e-05,2.06706015150099e-16,0.000101177376558114,-1.38411759439903e-06,1.14566644795943e-05,-2.93551546813383e-05,1.74637427011924e-16,-1.03442628475908e-05,1.52460324344489e-05,-2.51504161643572e-05,0.000103618067938096,-0.501141139344277,1.37378965068129e-14,0.00016094649363216,-0.000137619111810451,1.24994918875213e-05,-1.01186227198711e-15,-7.40328281192909e-06,1.72174920396906e-05,8.1908694971726e-05,2.16891062227924e-15,0.000136339601908239,-9.6544678966339e-06,-0.00454673392604166,2.71343476897987e-05,-0.000261096681178885,5.71510946132527e-05,8.05185086212008e-16,-1.39333370554742e-06,-1.48554829686563e-15,1.953395326017e-15,-1.8884576337365e-05,-4.9501857042576e-06,-5.01602053610241e-16,3.076983825657e-05,-1.57574331325532e-15,2.59748882328269e-05,5.29655085050474e-17,-1.1634891996078e-15,2.34900409863365e-15,1.70437173078147e-06,-9.67109615884917e-07,3.05443815824221e-07,-5.75005356663804e-16,-3.49999085402827e-15,-1.2986694804495e-15,-1.79152335429744e-16,-4.68416020544858e-14,3.79710446977798e-07,2.44994724668412e-15,-5.41827315506123e-16,-4.54229376524388e-06,-1.58519175323435e-16,-2.35965308556185e-15,-4.49862775960951e-14,0.707106781186548,-2.04613791120919e-14,-2.82476518061567e-14,-8.79049342016398e-07,-2.3964886139678e-15,-2.0619839307408e-14,-2.44180124131246e-14,-1.22829503537815e-15,-3.8253562130411e-15,-1.30430927616836e-14,-3.00019892644421e-16,-9.16613787962188e-16,1.48280650823666e-14,-0.0975900072948433
"t90",-0.0845894707832149,0.0956859007963144,0.163139975616371,0.00791218586093624,0.0845602685710754,0.000623133886672415,0.000399967755675317,-0.00358727555920654,-0.000917369816757456,-0.000159547602984572,-0.000923584874540384,0.023810220192035,-0.00449399880866637,0.178537839549065,0.00116253025807049,-0.00453049979116053,-3.38714144789366e-06,-0.0574672164373806,-0.625088908598813,0.00387084152166172,0.113835221985836,-0.000853200858789816,-0.000790886797321217,0.00127982926825332,-0.0237407148260232,0.00191015925573677,-0.00108609043627409,7.16546320130093e-17,1.61984735270623e-05,-0.000155443221767872,-0.000324586914477612,0.000124306989741131,1.90536753004182e-05,-4.87620899696962e-05,-0.00120071456183565,-0.00539416346370104,-2.65970012739465e-05,-2.36941434191438e-17,0.00022580092706122,-3.03491011191569e-06,2.49058282468138e-05,-6.19931521111107e-05,5.66964287526743e-17,-2.09412660205636e-05,3.0785685112361e-05,-6.93477023836749e-05,0.00930877873866585,4.15390172739987e-05,8.0017125155282e-16,0.000208922659971781,-0.000195518018640746,1.82595335612341e-05,-4.13552950367958e-16,-1.09008984724164e-05,2.55770718895242e-05,0.000123841457038539,4.23235898939143e-15,0.00335494260340314,-9.88393521243328e-06,-0.0006404630600911,-5.04587855172979e-05,-0.0111688124129707,7.80133463447334e-05,-2.65847551978148e-16,-1.9556771763632e-06,2.15831174310974e-15,5.27525479980214e-16,-2.65040894614836e-05,-6.94256699854418e-06,5.77552817032066e-16,4.30697636605718e-05,7.63405432605736e-16,3.63105634413663e-05,-3.82133302374561e-15,1.25124110939431e-15,1.00026016474755e-15,2.36854390264581e-06,-1.34203261780823e-06,4.23683229164975e-07,-1.32402264376509e-15,1.0040121124076e-15,-1.33289814185703e-15,-1.01384872800974e-15,-3.81207707521584e-16,5.22754530215371e-07,3.64447273350327e-15,1.40996698443712e-15,-6.23129804804561e-06,8.76432725537135e-16,5.05952512748588e-15,8.03438842374705e-16,2.35020002285901e-14,1.50902659044336e-14,-4.86295919135305e-15,-1.19457773442979e-06,9.92112379635566e-14,0.707106781186549,-3.04355812717506e-15,-1.09488634265467e-15,-3.44607583500996e-14,-1.93136248593137e-14,-3.60744375248058e-15,-7.07582876995469e-15,1.51079679604386e-14,-0.0975900072948455
"t91",-0.0845894707832149,0.0956859007963144,0.163139975616371,0.00791218586093617,0.0845602685710755,0.000623133886672265,0.000399967755675241,-0.00358727555920653,-0.000917369816757694,-0.000159547602984565,-0.000923584874540151,0.023810220192035,-0.00449399880866693,0.178537839549065,0.00116253025807086,-0.00453049979116053,-3.38714144774106e-06,-0.0574672164373807,-0.625088908598815,0.00387084152166241,0.113835221985836,-0.000853200858789967,-0.000790886797321257,0.00127982926825303,-0.023740714826023,0.00191015925573705,-0.00108609043627217,3.76176019637276e-16,1.61984735263447e-05,-0.000155443221767667,-0.000324586914476479,0.000124306989740456,1.90536752995687e-05,-4.87620899692317e-05,-0.00120071456183588,-0.00539416346370176,-2.65970012740936e-05,1.30307417817693e-16,0.000225800927062023,-3.0349101121926e-06,2.49058282462144e-05,-6.19931521120424e-05,4.68353643411492e-17,-2.0941266020094e-05,3.07856851122908e-05,-6.93477023856499e-05,0.00930877873866528,4.15390172692177e-05,2.96628806649365e-16,0.000208922659969042,-0.000195518018636502,1.82595335608311e-05,1.16064025698308e-16,-1.09008984734262e-05,2.55770718905174e-05,0.00012384145703551,-7.05034253425086e-16,0.00335494260339676,-9.88393521271368e-06,-0.000640463060092203,-5.04587855170781e-05,-0.0111688124129709,7.80133463429687e-05,-3.06620756701266e-16,-1.95567717873262e-06,-1.45722681043483e-15,-6.11926253866126e-16,-2.650408946892e-05,-6.94256700523817e-06,-2.08456451006339e-16,4.30697636517514e-05,-9.27987377506514e-16,3.63105634403803e-05,3.30646054290691e-15,-2.71694694315096e-15,-7.56456082070966e-16,2.36854389749324e-06,-1.34203260890133e-06,4.23683225820643e-07,2.31737088168232e-16,-7.44533135729933e-16,2.12684716188595e-15,3.48191794069438e-16,7.3595421100748e-16,5.22754519505071e-07,-3.77772487889343e-15,-1.28430050070594e-15,-6.23129803678886e-06,-1.26953245918778e-15,-4.13238376338245e-15,-8.51557629760169e-16,-2.28359332617024e-14,-1.51036783446395e-14,4.71238702946308e-15,-1.19457770078383e-06,-9.89343485859961e-14,-0.707106781186546,5.95618726619261e-15,1.70779515032432e-15,3.56830475266533e-14,2.23014838989844e-14,4.31091132883659e-15,5.37185368548025e-15,8.13127617316953e-15,-0.0975900072948616
