,0,1,2,3,4,5,6,7,8,9,10,11
t1,7.399423,8.117508,5.734637,6.3532143,3.3873932,6.071227,6.6418424,6.088378,5.2965703,6.4134655,5.39198,6.326827
t2,7.482516,8.073803,5.6460857,6.440834,3.367251,6.0169516,6.68421,6.025223,5.2064095,6.308631,5.4147243,6.435762
t3,7.422514,8.042781,5.7181864,6.436774,3.2953188,5.9929614,6.7065344,6.0328684,5.261266,6.4446497,5.4742317,6.3488307
t4,7.3640933,8.206999,5.811244,6.304549,3.219383,5.963619,6.6276183,6.107155,5.3055015,6.591652,5.554161,6.406952
t5,6.8052797,8.38096,6.0943007,5.481407,3.2309484,7.070882,7.514497,6.490086,6.8686743,7.7641487,5.3835506,6.014998
t6,6.714422,8.431915,6.160894,5.366839,3.1909952,7.199252,7.643783,6.5634203,7.0375676,7.9097576,5.441358,5.959005
t7,7.4015784,8.116178,5.7562056,6.363799,3.550125,6.1715317,6.581286,6.135703,5.300012,6.304398,5.2154503,6.201143
t8,7.3392487,8.128718,5.7158275,6.2367735,3.5049767,6.153521,6.609571,6.0831065,5.3867,6.2578115,5.3269644,6.257682
t9,7.3649287,8.037425,5.756564,6.1254635,3.7094836,6.299296,6.4767065,6.21449,5.1732383,6.3676467,4.9014115,6.0995407
t10,6.9118247,8.464617,6.6344056,6.8707805,4.6992593,5.940079,6.249755,5.7492385,5.422213,7.504502,4.759964,5.6079535
t11,7.3377776,8.110618,5.8630967,6.3064175,3.8060403,6.226249,6.4847937,6.145889,5.245036,6.4693027,4.987636,6.0849123
t12,7.3553605,8.128223,5.8560123,6.4186583,3.6155493,6.1847873,6.589482,6.1381135,5.2866216,6.351668,5.271899,6.2256746
t13,7.3987637,8.119411,5.725726,6.2954226,3.6723516,6.1904254,6.5264287,6.1268544,5.2785525,6.21286,5.031023,6.1847205
t14,6.5465345,8.533937,6.2714467,5.1361823,3.090543,7.4845896,7.9165926,6.6906123,7.4070363,8.187775,5.5796447,5.8558235
t15,7.032159,8.429496,6.5928006,7.0779366,4.8480854,5.753317,6.156134,5.734429,5.4032,7.3262463,4.604515,5.6377344
t16,7.373122,8.201279,5.900898,6.543559,3.6317968,6.159395,6.4578733,6.191224,5.2080135,6.33933,5.2086186,6.1551056
t17,7.344732,8.111837,5.8916636,6.480223,3.7725582,6.1618643,6.5825176,6.090248,5.163463,6.189934,5.174612,6.34705
t18,-0.86610484,4.4785194,7.735425,1.7878231,3.8300395,-0.21087386,-0.33341616,5.3495994,6.117566,15.056383,0.2056943,2.2835631
t19,7.590345,8.684315,6.0163674,6.7620397,4.0362678,6.307527,6.258278,6.4247813,5.7642317,5.6892486,4.26436,5.7886796
t20,6.984252,8.567944,6.6220794,7.187947,4.8332696,5.7864065,6.100659,5.69818,5.4640694,7.5167465,4.5221276,5.650903
t21,7.555899,8.610319,5.987771,6.6798377,3.993837,6.259408,6.3424835,6.3470535,5.678522,5.8191023,4.4072404,5.8933887
t22,7.432376,8.221258,5.810509,6.3966007,3.6905084,6.1981525,6.4904966,6.191072,5.3344593,6.167557,4.953607,6.1403565
t23,6.2393875,8.474793,6.404351,4.6762295,2.9444492,8.112113,8.381116,6.92865,8.165533,8.693715,5.8479853,5.717088
t24,6.4528365,8.622954,6.359706,4.9749045,3.0452902,7.681998,8.083461,6.7310925,7.639226,8.351777,5.6909275,5.7573514
t25,6.557648,8.623363,6.362222,5.0420117,3.1382122,7.586067,7.9135804,6.6528754,7.453802,8.162038,5.6745353,5.7681375
