"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126"
"t1",-0.0456359372006462,-0.00628058539214071,0.0159929004236971,0.011826994291258,0.000752354843624604,0.0567518224036613,-0.0604266918449352,0.00280719037034399,-0.00416355481732254,-0.00391248941958427,0.0057812702028964,0.00112480381910881,-0.0659353735981768,-0.0351966030018392,-0.000108247126014693,-0.00819792116248981,0.0149566664460576,0.0877280531840674,0.00286617249722765,-0.143288709394536,0.162799298796892,0.00273920252851958,-0.00745697991525159,0.0360821978455746,-0.000839779262082457,0.34075480839916,0.366425655379132,-0.00697356131378612,0.152883510926858,0.157381271952112,-0.096467369984611,-0.000491806739909051,0.103111842571786,-0.00254740147817997,0.047420451752791,0.00939536556216619,0.0397350360821798,-0.096771843665509,-0.00686710101646493,0.018102778583495,0.000192645960903703,-0.0147313665690656,-0.00669007739673057,-0.0179841757130745,-0.000766288788751738,0.0195519657542499,0.00188304741052375,0.0010616686908725,-2.59544309633263e-15,-0.00511565999373358,-0.0341516400696262,0.0127165259881387,-0.00108203792876833,6.80243016774114e-05,-0.00401638118342637,-0.00446812653717861,-0.0109698730346839,-0.0368451018042646,0.300025284149875,-0.0245308917824681,0.586912169350638,-0.000457480502817075,3.21612360699071e-14,0.207294666827728,0.000355264472195871,2.74396227604857e-08,0.000921179463477824,0.234887680786812,1.02431774257679e-05,-0.00023783992145401,0.035521974624745,-0.0245591221166187,3.22022320669383e-06,0.00418020624502194,-2.95695842089901e-15,0.222555070338553,0.000516343912176273,0.00468293233391624,2.31661034867136e-05,0.00015528799572275,0.000136593566680124,1.80776653166159e-05,-3.46026239890025e-06,-6.33636147263239e-07,-1.4535119866328e-05,-3.73302754160615e-16,-1.0735547782721e-15,1.25263620395002e-05,-3.98224105976452e-16,4.44756259864441e-05,1.49137786618788e-05,1.28232671641405e-05,-3.26793866452293e-16,3.99416336918336e-06,-2.76934315931918e-06,-3.87501408137425e-17,1.24672503324843e-16,7.33226293771696e-17,-1.62640776617107e-15,-1.39092441769657e-16,6.61800655378496e-16,-0.000115956593822114,-2.17171758135691e-16,1.20140450231445e-15,1.1996186941727e-16,2.85979832800526e-17,-4.94819080143708e-16,1.16488775935612e-05,-2.60455807804741e-05,8.96095172115619e-16,-3.85000061228965e-06,-6.91743568617911e-06,6.65771247905201e-17,-7.06115663971558e-17,-1.14321021074023e-16,3.60102618141554e-05,-8.04034535325928e-07,1.36364354420605e-15,2.69869632922923e-06,-1.47224743721965e-16,9.9916051684565e-16,1.35816676484772e-15,1.82421091385039e-15,1.6205675647738e-14,-2.60899321313967e-14,5.80299670389908e-13
"t2",-0.0382133866103677,-0.00768264567741582,0.0166670727014862,0.0117902062395504,0.000729457749297486,0.0504893991672806,-0.0530624327265141,0.00434463512789145,-0.00470404500821636,-0.00407055131339486,0.00589035487568935,0.00114544542765091,-0.0577608636499546,-0.0341507675373337,-0.000103392016869723,-0.00771198889062236,0.0138445599823988,0.0774709574973187,0.00244812463566323,-0.121590260093896,0.137728682895209,0.00559394088418106,-0.00708313852377265,0.0307343015601919,-0.00070836209026075,0.270617337129052,0.290177394619629,-0.00527061676206843,0.113345009374845,0.107839591815249,-0.0659019443961215,-0.0003295428312479,0.0742717415624606,-0.00169193883374837,0.028860119466037,0.00515225365378626,0.0190653080748859,-0.0638488051404325,-0.00372733973653034,0.0118347100683571,0.000124620960047529,-0.0064628449321697,-0.00289286470162897,-0.0063457012988868,-0.000269432259115614,0.00638012137760425,0.000586424271557058,0.000283919660506206,7.90199257867734e-16,-0.000866014231168022,-0.00507208055212784,0.00166255080573512,-0.000530706368647906,-5.65101835589182e-07,0.000182240611135535,0.000411856820413141,0.0014570467647727,0.00686539292454348,-0.0615637560996129,0.00598011791217339,-0.150779821513709,0.000213632612575206,2.40749034792024e-16,-0.0412802330820931,0.000235624263663789,8.31870860196273e-07,-0.000923808368040116,-0.0890306688856496,1.45570159112078e-05,0.000594856908916261,-0.0314960806755286,0.0261790278779573,-8.72589631987098e-06,-0.00515086531162967,1.20894747594059e-14,-0.838600879475744,-0.00204022712214948,-0.023070070465703,0.000412288699196406,-0.00239662919034987,-0.00238109692040336,-0.000424749829165687,9.7820486110463e-05,0.00505479196768566,-0.000482758080534625,2.03881130733994e-15,1.30868566860157e-15,0.000300994632182082,6.44692527937197e-16,0.000400052009097286,0.000130444913157587,0.000107414418878542,3.68455936864933e-17,2.88617838048392e-05,-5.77404550958912e-06,4.73332660323855e-17,-1.25320116014697e-15,-8.57600569367698e-16,-1.19893996905218e-15,5.59135103323432e-16,-9.00047911973696e-16,-0.000583400796807076,2.87213661626454e-16,-2.68771762722943e-15,1.36113004751916e-15,-9.21084892392701e-16,-8.2628341897119e-16,4.15049166300819e-05,-9.15511395982741e-05,-2.1509760599633e-15,-1.31940366657267e-05,-2.2465873963155e-05,-7.50746877855463e-16,-6.75617599850785e-17,3.50089670239161e-16,0.000105968417524465,-2.32489469143075e-06,-1.22437392564993e-15,7.33625157065431e-06,1.28734074450235e-15,2.44556840341624e-15,4.44761814480354e-16,4.12926824164324e-15,1.54525095805912e-14,-2.63505239113883e-14,5.80502106708851e-13
"t3",-0.0226269842980014,-0.0108433487956478,0.0185573851584776,0.012100316542454,0.000707113289620953,0.0392685542850305,-0.0396279995128611,0.00785756110790342,-0.00616037129750783,-0.00475893715593066,0.00669597152433065,0.00130122554529771,-0.0489745928539464,-0.037201667040149,-0.000109659504671369,-0.00797648828046427,0.0139413971809788,0.0715591857778993,0.00210166013074415,-0.102745657725145,0.115516224868956,0.0127116015550431,-0.00862381730484402,0.0328864372841707,-0.000749741593959691,0.265906873962586,0.289232389434937,-0.00495053330151247,0.104004774812196,0.0885612716333214,-0.0538227034828994,-0.000258127329248864,0.0731803190995948,-0.00137420315543415,0.0199632529886741,0.00264102624218559,0.00261321291564606,-0.0671738849132517,-0.00225536795413554,0.0143992442944597,0.000155444112983157,-0.00172172411356504,-0.000700709957246862,0.000818852599286486,3.66702790117663e-05,-0.00185799454095137,-0.000231100093906813,-0.000216836093668208,1.20748340468321e-15,0.00196723391862896,0.0144267861374922,-0.00578312255822373,-0.00101441337632706,-4.79046091521605e-05,0.0030901470434163,0.00380023703714442,0.0100891094718481,0.0371566206008773,-0.311711575413862,0.0269768587897265,-0.657222386113411,0.000613311646731706,2.85339063900512e-14,0.168256437134181,0.00180761955992179,4.09958757304712e-06,-0.00259456133263743,0.208331380046798,0.000116085713139475,0.00246249337991594,0.0371698751767209,-0.0269360912939963,-3.95210110215786e-05,0.00477540743959521,-6.95217093379943e-15,0.400869630717396,-0.000242372113952553,-0.0254803058060972,-8.32620643861222e-05,-0.00388686021563555,-0.0038793937258576,-0.00069729912638474,0.000161078284044099,0.00840782891480221,-0.000805986916023534,-1.44062132602965e-15,-1.17906658825053e-15,0.000502781093563903,3.93121153260157e-16,0.000665195662588208,0.000216801688585401,0.00017838825964747,-1.150424577687e-16,4.7776544944502e-05,-1.00971368683447e-06,-5.3247732756528e-16,1.17794078786373e-15,1.51788737149991e-15,2.92798836526852e-15,-3.11535387780241e-16,3.88548119931919e-16,-0.000952665099332078,3.1346399800583e-16,1.0369134117891e-16,-5.78258664377705e-16,5.87727505857938e-16,-2.30200445985483e-15,6.61376964645345e-05,-0.000145699821253155,-6.50930128436755e-16,-2.09460898715929e-05,-3.54677044136462e-05,-8.46098456747039e-16,2.41552185995811e-16,-6.78150036700873e-16,0.000165381189739643,-3.62026149378805e-06,1.62702206082521e-15,1.13284797041649e-05,1.16969923492551e-15,1.73650733085094e-16,1.71780901759525e-15,4.00636680921599e-16,1.21790121168401e-14,-2.53554058162451e-14,5.7979488275664e-13
"t18",0.0158052735052824,-0.176583699254879,-0.0471267373003687,-0.0126859759341616,-0.000493881037283849,-0.00834525863181598,0.00617375590061136,-0.00370886980181615,0.00117713183514071,-0.000449932496980393,0.093866527126327,-0.0146452393877873,-0.00077021030993727,-0.00213013161423223,-6.93797731328564e-06,-0.000561728771204499,0.00107533099554122,0.00577741638943393,0.000141488502819704,-0.0064886434866195,0.00705267996160962,0.00521355900566869,-0.0623800030264828,0.0125567728842838,-0.000297921403055828,0.136378594940199,0.199285907043204,-0.00848236382850307,-0.920002231675787,0.00543429093396338,-0.00416599916434483,-4.7201816784955e-05,-0.0197229301419752,-0.00013113705438632,0.00636615104025104,0.138256299682738,0.00649454240126391,0.0041096311144608,-0.000681248998194272,-0.00129910950500874,-1.42443885245737e-05,-0.00296256603198462,-0.0598826550511537,-0.00216559107020411,-9.23335917496504e-05,0.00237640794379231,0.000229511579939253,0.000130535789274747,-1.02529870240571e-15,-0.000802208511199396,-0.00772044070972886,0.108927348729128,3.05228431130775e-06,3.4182399264329e-06,-0.000191834978748452,-0.000190389454360994,-0.000406801148079509,-0.00106402593143811,0.00774618925895299,-0.00518236563620513,0.00955929508037782,1.18029140710741e-05,1.04178465598954e-15,-0.00146283520575326,3.65007758393485e-05,1.06882664764092e-07,-0.000101282760562666,-0.00141756771600503,0.000214713907330839,0.006055485593278,-0.000132626303559698,7.78596841376191e-05,-0.000106029686857008,-1.12165674954031e-05,-3.26409052928511e-16,0.000521340297095127,-8.41678571504095e-05,-0.00279466522329775,-4.49384082909056e-07,-0.000863227662634035,-0.0287620727771984,-8.51339981919928e-05,2.42424910241889e-05,0.0625433717625787,2.4896176236669e-06,9.08121156430658e-16,-3.81253736753617e-15,0.00378857800013554,-6.58127744685048e-17,5.3156472988646e-05,1.75754150533274e-05,1.47763462433411e-05,2.41576963109804e-16,4.23943777496645e-06,-9.7620153491502e-09,-1.28763184199135e-16,-1.25094095896099e-16,2.56222452069835e-16,4.16815031288197e-17,2.26579007587029e-16,2.21339827208606e-16,-9.82556196466306e-05,-2.60547033307258e-15,2.93207611465204e-16,2.78331125867968e-16,-3.37980123083153e-17,-1.52556324900619e-15,7.85291824689519e-06,-1.74006391027299e-05,2.19879993634623e-16,-2.52914092597308e-06,-4.38524190184671e-06,-1.67147181589821e-16,-1.20495287791243e-16,-7.05893604353611e-17,2.13968693078855e-05,-4.72324127793068e-07,9.25870560857806e-16,1.52343345299249e-06,6.43450381728585e-16,1.03265625491702e-15,1.52084583626093e-15,1.84718245404733e-15,1.51325676436884e-14,-2.5872169723927e-14,5.80846175923483e-13
"t31",0.0166079863687469,-0.19109944340017,-0.0533533086851336,-0.0149305423706771,-0.000594969118480669,-0.0105074190923983,0.00780465617850119,-0.00514275918074173,0.0018208524850641,-0.000949658419506666,0.250470609231536,-0.0393701623619812,0.00506130540962691,0.00622599050968748,1.6256917932473e-05,0.00102611548797846,-0.00152266247689822,-0.0047396312909769,-9.12558536487411e-05,0.00403118265100978,-0.00431028325914239,-0.00127723122979462,0.00553047986706148,-0.000108926475387338,1.06965000360095e-06,0.00227590411546091,0.00409277283546103,-0.000218047988609022,-0.0243035403965708,0.000119875325866982,-9.07407665858088e-05,-9.55920766541639e-07,-0.000347596233074722,-1.86332068575106e-06,-1.6509068175222e-05,-0.00320687865384426,-0.000194811400653969,-0.000143763266448564,3.31492715213026e-05,0.000112030981992677,1.47545622736827e-06,0.000361505701229996,0.00765759320424628,0.000479424096308863,2.06093463259291e-05,-0.000626729356750784,-6.68364128595386e-05,-5.16471036656075e-05,6.4287399407731e-15,0.000833089550528066,0.0115711329610659,-0.262206062916752,6.66632086291819e-05,1.7611693428058e-06,-6.53683285303924e-05,-3.91029534786429e-05,-5.03033841196133e-05,-4.42665489594192e-05,0.000131276832655821,0.000150055154226972,-0.000415805065953872,-2.9850359563876e-06,-1.53332782546492e-14,0.000620794497918707,-1.60026400121469e-05,-4.76130634376135e-08,4.76972478195351e-05,0.000773403914733432,-0.000128599851913248,-0.00443506835501958,0.000107269218192409,-6.88364870897082e-05,9.59397830173144e-05,1.06323326978461e-05,9.97923356950015e-15,-0.000797516177411273,0.000135224357448389,0.00558825141325863,1.35645794826559e-06,0.00598909767756233,0.331320575844209,0.000278199635861997,-0.000120809209465644,-0.839511333403313,-0.00117950809679186,-1.43341730622698e-14,4.56836920628115e-14,-0.0583473739804097,2.71996236805763e-15,0.000305163547910264,9.71115647312212e-05,7.70236326304771e-05,-4.1481391419694e-15,1.82262230346966e-05,-4.13813699338183e-08,1.41912683267622e-15,-6.34733085387145e-16,-4.82493363868973e-16,6.38160454145131e-15,-4.28199997760825e-15,-4.1619221664567e-16,-0.000271943135341394,3.82157682735267e-14,-2.24946565509592e-15,7.40146657669944e-16,-1.2948998565714e-15,1.16690486713733e-14,1.46834535821616e-05,-3.20514843095509e-05,1.54046473439064e-16,-4.53001271565236e-06,-7.40447996704718e-06,-1.61718597877948e-15,-1.16351106782718e-15,-1.14873288252437e-15,3.2457299698018e-05,-7.0305236384481e-07,7.88066011520886e-16,2.12249810052114e-06,1.66537807962517e-15,3.15881272122041e-15,-4.32509508043537e-16,1.15183941872484e-15,1.54271310764896e-14,-2.27203898585445e-14,5.80435113445544e-13
"t35",0.0169055295546165,-0.196377584866136,-0.0555579753066886,-0.0157091137033387,-0.000629634370376078,-0.0112341236981655,0.00835185381744183,-0.00560682350784199,0.00202202116763969,-0.00109525661136925,0.294532551889362,-0.0463202595343526,0.00648087935573472,0.00817889390174614,2.15875892304023e-05,0.00138286616659894,-0.0020903889924477,-0.00686736135728361,-0.000136406496857036,0.00605776496212663,-0.00649252977967743,-0.00229509674540939,0.0137696463910449,-0.00116247854419511,2.47875186280691e-05,-0.00556871967872141,-0.00612304064473741,0.000101292929530512,0.00529891001192374,3.81040750698472e-05,-2.98423027657968e-05,-3.65353895423941e-07,-0.000157988108753544,-9.82717275302181e-07,-1.24004885409514e-05,-0.00295006276750573,-0.000188019402566884,-0.000143216369651081,3.56178337207797e-05,0.00014074954903,1.96231594127508e-06,0.000507325596873799,0.0109178724450366,0.000833701680850816,3.59502656768155e-05,-0.00116480314148422,-0.000128986789897155,-0.000111662583219441,1.17443369509745e-14,0.00237141325848471,0.0351148146329992,-0.842350857194443,0.000238743072702243,9.85559791859084e-06,-0.000448481265752541,-0.000371540784433146,-0.000709576988439898,-0.0016644844041127,0.0117490159705979,-0.0074464202454367,0.0135167480305241,1.42133530337678e-05,1.74774234079434e-15,-0.0016841166067296,4.19662228326627e-05,1.22817233053649e-07,-0.000116207828746599,-0.00162619699975524,0.000247061591180915,0.00707766279402797,-0.000156977115451336,9.34673852251049e-05,-0.000127811106789334,-1.36409756125863e-05,-5.75414235099759e-15,0.000726056127848233,-0.00011940540685507,-0.00435093880623112,-8.73456300404305e-07,-0.0032968499686351,-0.186082381723693,-0.000108809687308673,5.20786932195933e-05,0.337592080101144,0.000422120463314015,6.04898284340466e-15,-1.48361658837178e-14,0.0171848751395981,-1.14963358982521e-15,-7.14766074265523e-05,-2.228643424251e-05,-1.70939404188171e-05,1.17784064216772e-15,-3.52859087598999e-06,7.91660710896839e-09,-4.67368073449246e-16,4.17449815505556e-16,-6.18018120727266e-17,-1.76230308238583e-15,1.19214298931562e-15,2.53132106946229e-16,2.85439263309156e-05,-1.57923334351547e-14,1.52738413786866e-15,-1.38262976340468e-16,1.22143345095032e-15,-8.14277514498016e-15,1.80521573395267e-07,-5.67441776904997e-07,-8.18192571534687e-16,-1.26883794048013e-07,-3.75124553198752e-07,7.00096578750878e-17,8.24944849474091e-16,5.709475006158e-16,3.09227257847002e-06,-7.28693969310913e-08,6.05761717423435e-16,2.84879708419619e-07,4.26552516006287e-16,4.82727595397085e-16,4.49293601893524e-16,1.89768745997502e-15,1.40353538188074e-14,-2.72780644010902e-14,5.80496175354723e-13
"t58",0.0171874447746821,-0.201431750783442,-0.057700253852538,-0.01647427483068,-0.000663918217068673,-0.0119608364804831,0.00889958103998792,-0.00608065943648545,0.00223142638954677,-0.00125278145398283,0.34312860945357,-0.053989473411644,0.00817604718087941,0.0105635103442108,2.81566112918294e-05,0.0018279592098147,-0.00280950306367008,-0.00967781319023911,-0.000197417005392374,0.00880656780473476,-0.00945742736677865,-0.0038369961152822,0.0280574168111628,-0.00337725088726605,7.58377188275429e-05,-0.0251460607330872,-0.0329913657453513,0.00106588488611202,0.101060099365392,-0.000320936023558934,0.000240407095357386,2.4056315956444e-06,0.00081429049837849,4.05363524296042e-06,2.8467684774752e-05,0.00466873810950915,0.000271734370877339,0.000194879958925028,-4.19513768731065e-05,-0.000123305515485216,-1.54733650722235e-06,-0.000362915459834989,-0.00759219206281361,-0.000413947995645955,-1.77614030749878e-05,0.00052090448281513,5.44677465724355e-05,3.99899052772596e-05,-5.0630086059207e-15,-0.00059802403380781,-0.00823481106470627,0.185661184332128,-4.70534079654482e-05,-1.32741028016371e-06,5.26271686413707e-05,3.63551003341767e-05,5.87297308126332e-05,0.000108373963361012,-0.000697921686403649,0.000360877679536777,-0.000607549660206748,2.73995916182814e-08,8.21024360672197e-16,-4.62469263683648e-05,1.21575656254164e-06,3.64728374998031e-09,-3.73651167517366e-06,-6.16791605678856e-05,1.00962269225726e-05,0.000315136424991176,-7.00279764422713e-06,4.06464625895186e-06,-5.49424280736817e-06,-5.68867018513339e-07,1.41613156358773e-15,-6.94737321711367e-07,1.12973340315802e-06,0.000269228916648059,2.34945567286254e-07,0.00689237146369606,0.701206671275907,-0.00104700325798354,0.000200506505211044,0.4050145528334,0.000438654324587801,1.32162598622823e-14,1.82759629410548e-13,-0.350914795395362,3.51710315328374e-15,-3.57721529064093e-05,-1.11009078816351e-05,-8.45171311288857e-06,-5.07103301042053e-15,-1.7015272600965e-06,3.81055997619665e-09,2.38672345354941e-15,-3.94408456081528e-16,4.09811533282492e-16,-7.06486303260573e-15,-9.76790056876082e-16,-6.42389449891612e-16,1.31220581985062e-05,-1.35944455475748e-14,-2.10593710974317e-17,-2.6915500135601e-15,1.51666481619918e-15,4.93190062369544e-15,8.23758734571616e-08,-2.5914387986794e-07,1.49975299241266e-16,-5.80486098742453e-08,-1.72461780642669e-07,5.91408972083482e-16,1.67698653970676e-15,2.41974470352778e-16,1.44092702839916e-06,-3.40589670367559e-08,9.43638186094766e-16,1.34811128687703e-07,3.61050472410854e-15,1.3723086514169e-15,3.23919282666508e-15,2.6718624925649e-15,1.43644688139081e-14,-2.68631625276049e-14,5.83054245670484e-13
"t67",0.0172053445090635,-0.20175181911646,-0.0578354317523345,-0.0165224229247127,-0.000666072226342995,-0.0120063721598181,0.00893389356213115,-0.00611020084201694,0.00224442152815683,-0.0012624678818714,0.346103406391638,-0.0544588864016104,0.00827793614481491,0.0107061210043192,2.85486631937279e-05,0.00185445022316662,-0.00285216012310375,-0.00984300645332506,-0.000200985570625237,0.00896721827568307,-0.00963064530512473,-0.00392506173205554,0.0288521795870555,-0.00349629003155125,7.8570751342708e-05,-0.0261698749903089,-0.0343855747074359,0.00111498375333558,0.105891458858556,-0.000338437067391034,0.000253566184771833,2.53982959056419e-06,0.000860996147036225,4.29334660487131e-06,3.03448083882598e-05,0.00500684986835352,0.000291930752013899,0.000209625499963991,-4.52714934790966e-05,-0.000134099655282025,-1.6880978175354e-06,-0.000397161096802977,-0.00831640021916246,-0.00045908171275749,-1.97019035017087e-05,0.000580189979100382,6.08155636404816e-05,4.49808284265571e-05,-3.0771789863026e-15,-0.000684339994098046,-0.00945912296040662,0.213965264341133,-5.45539247938386e-05,-1.57181793470101e-06,6.27994440073865e-05,4.38214042516207e-05,7.14374598066973e-05,0.000133483596393001,-0.000863572389459303,0.000450875431609066,-0.000761648272835072,3.6776395063958e-08,-4.99980265380451e-16,-6.74879251881106e-05,1.78838998613492e-06,5.38714785349895e-09,-5.60310969777939e-06,-9.70455739290974e-05,1.65003835798152e-05,0.000575304071196062,-1.37878418709185e-05,8.71811602471632e-06,-1.20929629296204e-05,-1.32600183735352e-06,2.06279828220854e-15,8.29416955282197e-05,-1.37049320489112e-05,-0.000494589103814077,-7.86779465518327e-08,0.000536395725687578,0.0725120339314523,-0.000151025540439107,3.18642008419803e-05,0.0640627501715212,-0.000115333049292205,-1.67587585702665e-14,-4.87019755184164e-13,0.868762655366601,4.59859634949671e-15,-2.84687947640739e-05,-8.79356095533638e-06,-6.65587549073426e-06,3.61107155383778e-15,-1.32666404178912e-06,2.97041983440041e-09,-4.48680999249999e-15,3.12242529659334e-15,4.02034856120518e-15,-2.18494165008764e-14,2.37357766605111e-15,-4.0307092971014e-16,1.04235451186565e-05,-4.24535976903389e-15,1.18016184909561e-15,9.75957429797228e-15,-1.76761938843183e-16,-5.8483630357862e-16,6.85733651949749e-08,-2.16180920438674e-07,-3.89074894122794e-16,-4.86190423581332e-08,-1.45695795471964e-07,5.74448140860076e-16,-2.27087986901013e-15,5.27347036915342e-16,1.23709717521368e-06,-2.9326063927743e-08,1.63586094663987e-15,1.17273400671188e-07,-1.79469705372778e-15,5.71733111879959e-16,6.31380436775121e-16,1.5318936223856e-15,1.35157600177763e-14,-2.57412204608392e-14,5.80353876058605e-13
"t78",0.0172299184381284,-0.202191110458866,-0.0580208931893891,-0.016588462280817,-0.000669026172288205,-0.0120688012258745,0.00898093464882469,-0.00615068107486099,0.00226222025195898,-0.00127572263183158,0.350172241207711,-0.0551009272602549,0.00841704668272615,0.0109007349334898,2.90835719967887e-05,0.00189058455606095,-0.00291032667330725,-0.0100680660499932,-0.00020584515252667,0.0091859714870473,-0.00986650339233346,-0.00404472408467063,0.02992954438076,-0.00365718120572624,8.22634455047973e-05,-0.0275505112797574,-0.0362645120400971,0.00118105161905962,0.112388072476415,-0.00036190861401459,0.000271213120465755,2.71972290108621e-06,0.000923567876691408,4.61427296512326e-06,3.28515678363961e-05,0.0054573184363544,0.000318820379326431,0.000229248571233254,-4.96844879061774e-05,-0.000148405978609458,-1.87444760878557e-06,-0.00044244757718732,-0.00927377541219081,-0.000518490700039628,-2.22559881702017e-05,0.000658113444361347,6.9152161232967e-05,5.15195374250056e-05,-3.67792806851461e-15,-0.000796809994174179,-0.0110525578513192,0.250766273826829,-6.42886049247793e-05,-1.88711349104861e-06,7.58942989479645e-05,5.34069305580645e-05,8.77135075661908e-05,0.000165542303764263,-0.00107482751348938,0.000565380893504443,-0.000957551505000037,4.85213196734373e-08,5.10208241830764e-15,-9.36936027740737e-05,2.49394592261303e-06,7.52946238324788e-09,-7.89601080057594e-06,-0.000140182641070201,2.42717502575123e-05,0.000886956849269816,-2.18553460771265e-05,1.42107141665294e-05,-1.98658841921613e-05,-2.21413522449153e-06,-2.58361457984458e-15,0.000175740983738362,-3.00473122241656e-05,-0.00130642784395889,-3.84721763323383e-07,-0.00464940928724254,-0.422788852285539,0.000494998833890111,-8.31420176234239e-05,-0.0645213979994625,4.92588807260833e-05,5.00822350230387e-15,1.52007404677759e-13,-0.243303285583756,-5.08059225616332e-15,-6.79946909816894e-06,-2.23131847072908e-06,-1.84129963211711e-06,1.69735457824955e-15,-4.68983051940249e-07,1.06686597065926e-09,-4.77279276461319e-15,2.58182447051486e-15,1.98106192576248e-14,-0.707106781186538,1.73859224351574e-14,1.22985834882951e-14,5.51693211498419e-06,-2.43466428377898e-14,1.87723231528166e-15,2.39252320908911e-15,-4.48528857970403e-15,-6.95584952652903e-15,4.62930493327441e-08,-1.47074303590565e-07,-2.42167980539689e-15,-3.3548914600037e-08,-1.03468825798646e-07,-1.32087875669487e-15,4.4377925967041e-16,-2.47998410712136e-15,9.2234164495243e-07,-2.20431971746142e-08,1.47369470657175e-15,9.06026568117172e-08,1.62096852858229e-15,2.13918259272625e-15,1.35163856381093e-15,6.59438028321169e-15,1.89624034670528e-14,-2.62294714552053e-14,5.7919423011664e-13
"t79",0.0172299184381284,-0.202191110458866,-0.0580208931893892,-0.0165884622808165,-0.000669026172288241,-0.0120688012258745,0.00898093464882487,-0.00615068107486126,0.00226222025195862,-0.00127572263183182,0.350172241207712,-0.0551009272602554,0.00841704668272591,0.0109007349334898,2.90835719967679e-05,0.00189058455606155,-0.00291032667330727,-0.0100680660499931,-0.000205845152526508,0.00918597148704718,-0.00986650339233335,-0.00404472408467055,0.0299295443807602,-0.00365718120572687,8.22634455048974e-05,-0.0275505112797581,-0.0362645120400988,0.00118105161905985,0.112388072476417,-0.000361908614013863,0.000271213120465336,2.7197229013085e-06,0.000923567876693202,4.61427296539179e-06,3.2851567836711e-05,0.00545731843635524,0.000318820379326151,0.00022924857123483,-4.96844879060157e-05,-0.000148405978609091,-1.87444760823103e-06,-0.000442447577187502,-0.00927377541218821,-0.000518490700035989,-2.22559881684317e-05,0.00065811344436125,6.91521612326066e-05,5.15195374242611e-05,-3.13976955653459e-15,-0.000796809994174053,-0.0110525578513198,0.250766273826832,-6.42886049226426e-05,-1.88711348903127e-06,7.58942989475103e-05,5.3406930555653e-05,8.77135075676624e-05,0.000165542303764089,-0.00107482751348799,0.000565380893500565,-0.000957551504995759,4.85213192457153e-08,4.45966332707778e-15,-9.36936027767083e-05,2.49394592140059e-06,7.52946535937026e-09,-7.89601080096295e-06,-0.000140182641074458,2.427175026e-05,0.000886956849262333,-2.18553460752767e-05,1.42107141665064e-05,-1.98658841884358e-05,-2.2141352286471e-06,-3.38175310156803e-15,0.000175740983737242,-3.00473122169048e-05,-0.00130642784395762,-3.84721758721562e-07,-0.00464940928724016,-0.422788852285522,0.000494998833888032,-8.31420176251387e-05,-0.064521397999446,4.92588807285815e-05,3.91736886389161e-15,1.28213029647851e-13,-0.243303285583726,-3.60841629292509e-15,-6.7994691163951e-06,-2.23131845872958e-06,-1.84129963568517e-06,6.69763192278734e-16,-4.6898305189765e-07,1.06689326083788e-09,6.19077510273265e-15,-5.06851484390284e-15,-2.34289205198157e-14,0.707106781186557,-1.68725497139468e-14,-1.10791823695816e-14,5.51693205364601e-06,2.72800369318876e-14,-2.65683153874312e-15,-7.86480811422243e-15,2.2685517453817e-15,-3.07449856040954e-16,4.62930526638731e-08,-1.47074301460422e-07,1.93627297078004e-15,-3.35489082963775e-08,-1.03468830384818e-07,6.27934494419868e-17,5.26804157851919e-16,1.82933606683576e-15,9.22341646968806e-07,-2.20431970477322e-08,-6.86444299567138e-16,9.06026581679025e-08,-2.4099789083225e-15,-2.62404684371555e-17,1.07612822782407e-15,-1.78948326229483e-15,1.36266689315644e-14,-2.61094690050523e-14,5.78453742262738e-13
