,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
t1,8.307876,10.450501,-0.48090172,6.7796383,7.1095443,4.608487,7.8960395,5.946705,5.6031485,6.3228936,5.5728617,3.7759273,1.8696861,6.770515,5.0439863,3.838361,4.739937,3.9019728,5.9563813,5.988968,4.9037957,7.283077,5.221155,7.622629,4.0619807,4.213886,5.8664355,2.6754835,5.102182,5.265917,3.7871444,7.210178,6.108248,6.2758236,5.540783,4.1971135,6.164838,5.1902556,5.529939,6.046763,4.7282243
t2,8.404303,10.379727,0.090071425,6.5480304,6.4395256,4.829725,7.574031,6.2558017,5.541266,6.3622923,5.3642173,3.7235842,2.0194325,6.8812513,4.9162855,3.899141,4.784477,4.128161,5.8588285,6.041033,4.9349875,7.4373145,5.2330546,7.5316877,4.042961,4.2210646,5.8566985,2.6470373,5.0632424,5.403058,3.8771245,7.180888,6.150939,6.033016,5.487047,4.269549,6.1630216,5.2721767,5.4207945,5.7871556,4.672349
t3,8.393797,10.385021,0.07835532,6.564657,6.447095,4.8260856,7.587294,6.2406354,5.547878,6.360565,5.3638844,3.7311728,2.0156648,6.872931,4.927254,3.8917663,4.7792645,4.1266336,5.8630996,6.0364614,4.932546,7.422288,5.232979,7.5407248,4.0438414,4.2236185,5.8545504,2.653288,5.0629444,5.39122,3.87048,7.1846566,6.1484566,6.0351195,5.490518,4.261698,6.164727,5.263957,5.4181867,5.787325,4.677293
t4,8.384539,10.391921,0.060096934,6.5823865,6.4593596,4.8047013,7.6070914,6.2214437,5.5532913,6.3566995,5.38502,3.7305176,1.9979837,6.861595,4.9344907,3.8864765,4.7762294,4.105492,5.877256,6.0341077,4.934387,7.4106674,5.2296424,7.551803,4.0437946,4.223105,5.8569765,2.65247,5.072151,5.378976,3.8601344,7.1897535,6.1397696,6.056269,5.5010095,4.2563324,6.165424,5.258711,5.435467,5.8082285,4.6848135
t5,8.367153,10.401011,-0.07912501,6.62152,6.668134,4.7678237,7.6811,6.1494546,5.5658507,6.3475842,5.452555,3.7282753,1.9569833,6.8406944,4.946256,3.88029,4.7713895,4.037107,5.8998966,6.0278993,4.935158,7.390389,5.2232027,7.5679784,4.040568,4.226013,5.8589325,2.648323,5.092364,5.360101,3.843899,7.1975083,6.126463,6.1303725,5.521932,4.244884,6.1678414,5.246256,5.469761,5.8939123,4.6956735
t6,8.3541765,10.411534,-0.14570159,6.6446404,6.7625823,4.7411103,7.71858,6.1137114,5.5741816,6.338119,5.486019,3.7305822,1.9318788,6.823667,4.9595323,3.8721964,4.764313,4.002085,5.9159555,6.0197086,4.9371753,7.3725395,5.217255,7.5805135,4.0379205,4.2269564,5.855385,2.6478698,5.103096,5.346444,3.8315837,7.2009406,6.117943,6.1677394,5.5325613,4.2363987,6.171402,5.234189,5.4883003,5.9342074,4.7043295
t7,8.408544,10.372084,0.15590343,6.5353103,6.3383684,4.8641987,7.5351114,6.2900925,5.5343795,6.368767,5.3089485,3.7320194,2.0491831,6.891064,4.915561,3.9033992,4.7841363,4.1806927,5.838508,6.038063,4.9259067,7.4405746,5.2417374,7.521498,4.0407515,4.227873,5.852087,2.6573577,5.046517,5.4123034,3.887998,7.174455,6.165543,5.9794807,5.4711995,4.271653,6.1607294,5.2758093,5.384457,5.722443,4.6633286
t8,8.335875,10.419662,-0.35926768,6.7361226,7.0376177,4.675875,7.8384132,5.988803,5.5917983,6.337738,5.581477,3.7356071,1.8689961,6.7990513,4.9861755,3.8554494,4.767292,3.9072838,5.9382358,6.0185323,4.925771,7.3388777,5.2169285,7.5974665,4.051196,4.214831,5.871379,2.6472778,5.127253,5.3030596,3.8167052,7.2228913,6.106372,6.2746873,5.5613956,4.2230062,6.157745,5.2211447,5.5434093,6.0503182,4.7121835
t9,8.298697,10.454835,-0.42957345,6.7486906,7.0504155,4.6183558,7.8642893,5.982024,5.6110578,6.3009553,5.5730824,3.7670398,1.8641812,6.7529817,5.0378027,3.8426523,4.731182,3.8986988,5.9682164,5.983132,4.9198995,7.2834253,5.2088847,7.631349,4.051303,4.2297235,5.8442287,2.6655052,5.109723,5.2761693,3.7781258,7.204562,6.0954328,6.2781744,5.551128,4.191487,6.1839824,5.1823077,5.534209,6.0438056,4.738122
t10,8.322808,10.439079,-0.2794304,6.698109,6.9216976,4.6755033,7.805493,6.031106,5.5953984,6.3138647,5.5674396,3.7346191,1.8664677,6.783119,4.992018,3.8495305,4.746,3.9174795,5.95662,5.998683,4.9464765,7.329933,5.199302,7.6114335,4.029165,4.2267137,5.8441687,2.6448057,5.132862,5.3143725,3.801683,7.2102165,6.095816,6.2577214,5.559852,4.216105,6.181492,5.2021565,5.5371222,6.028024,4.7255077
