,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
t1,-0.017055642,2.9012213,14.345015,0.85656947,0.7499947,-0.063380435,0.31771678,-0.1414382,-0.061919283,-1.040786,0.055701867,8.479648,0.20350613,-0.15952975,-0.16570754,0.3122424,-0.28035817,-0.011948146,4.8505735,1.853566,-0.8817768,0.4115646,-0.6444262,-0.34510085,1.8328085,3.4104915,-0.07771794,8.7037525,-0.69359887,4.061116,0.41357222,1.6406997,1.9513036,-0.1875978,9.726318,6.929753,3.6653216,-0.22669138,0.24950106,0.76918405,-0.5790397
t2,-0.003379592,3.7044985,16.18469,1.0339147,0.02701505,-0.05512803,0.39954716,-0.2658138,-0.17566805,-1.4765403,2.990371,10.757856,0.36308303,-0.10557648,-0.26998174,5.2796564,-0.3591681,-0.016711993,4.887189,3.6758502,-1.0547053,0.55925965,-0.8156765,-0.7897009,0.26265272,3.4786282,-0.18584155,20.56726,-1.4853578,3.78339,0.63163114,1.7869616,3.2786498,-0.24035823,10.31788,5.6426873,6.1459985,-0.3545108,-0.23454581,1.0164561,-0.787967
t3,-0.0017553829,3.8460238,16.40068,1.0364852,0.029162526,-0.056490686,0.406757,-0.2737892,-0.18586816,-1.5110999,3.1715667,10.879048,0.37897596,-0.100789614,-0.27524576,5.7404766,-0.3635559,-0.016964385,4.8394723,3.7622395,-1.0613625,0.57077754,-0.83407176,-0.81721973,0.1365302,3.4693823,-0.19892997,21.674242,-1.5462341,3.7414112,0.7297442,1.8712448,3.4570484,-0.242314,10.282885,5.5918956,6.285842,-0.36658478,-0.256051,0.95761997,-0.8107678
t4,-0.0022540253,3.8059409,16.346449,1.0359458,0.028565103,-0.05610734,0.4050543,-0.27157265,-0.18317863,-1.502293,3.1227596,10.843428,0.3748977,-0.10192075,-0.27374464,5.6082764,-0.36216056,-0.016886652,4.855093,3.7376137,-1.0593728,0.56778795,-0.8290357,-0.80952144,0.16634381,3.4755902,-0.19536583,21.374601,-1.5303624,3.752743,0.69871116,1.8568785,3.4068956,-0.24187791,10.291872,5.605502,6.2514825,-0.3626777,-0.25114265,0.973567,-0.80451083
t5,-0.007245226,3.2073765,15.689139,1.0176429,0.019889565,-0.052674547,0.37709942,-0.23161593,-0.1417878,-1.3681393,2.2978983,10.361293,0.31905204,-0.12497571,-0.24862006,3.8054738,-0.338651,-0.01588189,5.172533,3.2611363,-1.026985,0.5198749,-0.7669946,-0.67897254,0.57908696,3.4644299,-0.1474026,16.989992,-1.2795472,3.9132946,0.3093604,1.6356738,2.8072562,-0.23441824,10.253415,5.9311843,5.6921983,-0.30275983,-0.1702794,1.1719319,-0.7220351
t6,-0.008127254,2.895416,15.521288,1.007327,0.017127637,-0.052092735,0.36126146,-0.19857244,-0.11511683,-1.2815927,1.6287699,10.238388,0.27709323,-0.14929691,-0.23328471,2.8781364,-0.33192483,-0.015732497,5.3364577,2.8542156,-1.0188899,0.4963145,-0.75373757,-0.6080623,0.87068707,3.4120638,-0.12186928,14.422887,-1.1270064,3.9317524,-0.003738903,1.4044615,2.6384013,-0.22261536,10.462049,6.2260027,5.348166,-0.27208447,-0.13069136,1.3573579,-0.6976514
t7,0.0656973,3.9746733,15.2740755,0.9500264,0.028270207,-0.06018463,0.39669028,-0.26647714,-0.19459982,-1.4787261,3.204088,10.420945,0.40558797,-0.078785315,-0.26647195,6.086285,-0.33798406,-0.01599702,4.780613,3.6107147,-1.0131532,0.55928516,-0.81450194,-0.80948806,0.000175128,2.9677808,-0.21103142,22.576351,-1.5639704,3.621104,1.2505955,2.5416064,3.4789376,-0.2735488,8.922163,5.3190875,6.177226,-0.3611531,-0.26583624,0.49778005,-0.8017608
t8,-0.013582636,2.9933336,16.296198,0.9808943,0.4809762,-0.056059502,0.34269643,-0.17176428,-0.08109455,-1.1789942,0.6964768,9.542149,0.20344268,-0.17241295,-0.18805605,1.0017365,-0.32229105,-0.015654055,4.865929,2.3364859,-0.9281758,0.44310474,-0.7202094,-0.42753246,1.5265875,3.9413002,-0.08702028,10.074835,-0.80506593,4.283904,0.05788573,0.7397634,2.419636,-0.1664084,11.316018,7.0896482,3.9671023,-0.24220029,-0.024699489,1.2846875,-0.5992088
t9,-0.012968173,2.7078488,14.732843,0.933446,0.2799529,-0.060267765,0.32657573,-0.14760561,-0.06955733,-1.0835998,0.40032715,9.091858,0.21397555,-0.1585692,-0.18030846,0.88986504,-0.2895179,-0.0133819375,5.109693,1.9815314,-0.91014796,0.44831055,-0.70804566,-0.40530607,1.6464443,3.35505,-0.08251089,9.736527,-0.7893447,4.0729604,0.024578493,1.4311582,2.282179,-0.18928963,10.209871,6.952224,3.972028,-0.25147828,0.0028790203,1.0701584,-0.6011623
t10,-0.010258366,2.7159815,15.199221,0.9793383,0.006497021,-0.05546066,0.3453514,-0.16944696,-0.08799184,-1.1722112,0.98811287,9.791901,0.2461934,-0.15895543,-0.21029839,1.8606097,-0.30874547,-0.014426331,5.3330083,2.4117703,-0.9701433,0.47859088,-0.7455972,-0.49303365,1.3092167,3.3635685,-0.09651406,11.763396,-0.9527828,4.0815673,-0.015472959,1.4268572,2.4554048,-0.20635232,10.447756,6.726764,4.634489,-0.24877621,-0.06728799,1.3103406,-0.66018707
