,0,1,2,3,4,5,6,7,8,9,10,11
t1,1.6086067,10.382358,3.862766,5.632594,5.7346835,5.165525,9.181833,1.1564227,3.8906422,3.6811893,4.0966907,4.3789
t2,0.71847636,10.24605,3.5076997,5.7039466,6.3553386,5.8851147,8.733715,1.5858124,3.9922326,3.84053,3.7874267,4.3338227
t3,0.70650995,10.31352,3.493416,5.7665896,6.402213,5.80746,8.780729,1.5680002,3.9318,3.9008641,3.734216,4.258857
t4,0.6486626,10.311322,3.4915452,5.772106,6.4336176,5.8220696,8.726424,1.5677892,3.985869,3.9156487,3.7039332,4.275393
t5,1.693211,10.275565,3.8132,5.6125903,5.718264,5.258032,9.348811,1.3258793,3.7929075,3.6023421,4.2619786,4.3292246
t6,0.8553236,10.252083,3.582893,5.681181,6.2580805,5.8029337,8.848778,1.6185395,3.879556,3.788953,3.8511055,4.223037
t7,0.002863623,10.380964,3.130308,5.930589,6.8422303,6.045709,8.14966,1.3203868,4.4870434,4.1292605,3.4423966,4.7080765
t8,-0.048451923,10.286286,3.2194684,5.773723,6.7900243,5.997013,7.9873314,1.3707844,4.60433,4.098274,3.4053526,4.607996
t9,-0.15554067,10.235019,3.2530324,5.7158155,6.8901205,6.101496,7.8655815,1.3837988,4.7802844,4.0648355,3.3500307,4.6562347
t10,0.037441492,10.211502,3.2315395,5.815138,6.822974,6.069502,8.133242,1.4622344,4.5926175,4.069603,3.450168,4.610322
t11,-0.34514385,10.353577,3.5436895,5.1630282,6.763463,5.8922763,6.7596025,0.9363852,5.024486,4.1387105,3.045906,4.7956996
t12,-0.33179975,10.345907,3.6097736,5.190157,6.8179092,5.9025116,6.8600736,1.1029156,5.0833077,3.9595861,3.0134249,4.622927
t13,1.1300288,10.14511,3.7039485,5.5279756,6.0268507,5.748829,8.9776745,1.6870762,3.8104208,3.60585,4.0642085,4.1637735
t14,1.4037318,11.289268,4.7927065,5.3694086,5.7502666,5.5352783,10.89683,2.2025695,0.31334043,4.829624,3.70745,1.4071976
t15,-0.021736126,10.216757,3.2271078,5.7989116,6.898272,6.1106358,8.042629,1.4426067,4.6578617,4.061026,3.4060044,4.6529403
t16,-0.390379,10.208278,3.628747,4.864889,6.9965296,5.850925,6.500072,1.2375844,5.2658763,3.884775,2.8888972,4.440629
t17,-0.51273996,10.25014,3.8055227,4.889805,7.085416,5.7840114,6.635245,1.196346,5.071653,3.9408908,2.929934,4.4483013
t18,-0.38707486,10.5096245,3.752847,5.174053,6.6604114,5.8200355,6.847076,0.96249074,4.920676,4.0164065,2.9019122,4.6902776
t19,-3.9807088,7.0012717,0.51874435,11.703139,7.9693675,5.8346086,6.358506,3.263706,7.723625,8.037328,6.097961,2.1396728
t20,1.6027037,11.542704,4.7893653,5.404146,5.8061857,5.694511,11.039267,2.186648,0.19428165,4.8971243,3.6212296,1.3852552
t21,2.2489085,10.26066,3.6243715,5.950791,5.705528,4.9553924,9.8523245,1.0512102,3.7980409,3.5781758,4.5444546,4.715819
t22,-0.19594193,10.329314,3.13756,5.906918,6.938447,6.1387696,7.933676,1.3364316,4.6805067,4.1326003,3.3798065,4.7617006
t23,10.812559,0.9570303,5.7761865,7.673454,6.4514613,7.019173,5.43388,2.035788,6.0304317,1.1655294,3.8973663,7.4381332
t24,10.931816,0.93205017,5.770096,7.512294,6.5797167,6.933318,5.281076,2.1825793,6.0420184,1.1647598,3.8025749,7.447759
t25,1.4142638,10.118689,3.805325,5.432578,5.7623982,5.5661964,9.155336,1.6674438,3.802141,3.5202084,4.2809176,4.2116413
t26,11.117167,0.90224725,5.870841,7.4436445,6.389424,6.841042,5.25908,2.1872268,6.2642026,0.99783564,3.8628457,7.5556464
t27,-0.44078407,10.329922,3.7146847,4.865407,7.0872793,5.755387,6.5893497,1.1317674,5.1034307,3.995363,2.9262729,4.4536343
t28,1.461336,11.306146,4.910822,5.405486,5.9267797,5.6937795,11.207837,2.1073313,0.2122791,4.7814255,3.7519622,1.4217129
t29,-0.3794892,10.51663,3.8292377,5.157821,6.781298,5.7341638,6.927105,1.0854584,4.944187,3.9230587,2.9029274,4.548342
t30,-0.27601677,10.545009,3.792851,5.16286,6.7567453,5.6944885,6.942242,1.0552377,5.0685797,3.9665036,2.9459124,4.5986094
t31,10.179697,1.0532442,5.127935,8.208711,6.832864,7.145977,5.9715276,1.769513,5.467118,2.0473034,2.599055,7.034692
t32,10.172375,1.0309261,5.1480255,8.357647,6.798281,7.093178,6.178594,1.8413441,5.48682,2.2708225,2.5253713,6.873275
t33,11.017573,0.8288825,6.041001,7.6097016,6.3070507,7.1151843,5.4511213,1.9867737,6.2936597,1.0551794,3.7291207,7.4623823
t34,10.940758,0.81699604,5.88121,7.500031,6.3095784,7.1043715,5.371272,2.075641,6.117632,1.033764,3.9152327,7.5407414
t35,-0.33367094,10.099923,3.5898561,4.9214644,7.1202426,5.896569,6.77406,1.3762007,5.154554,3.8533783,2.9999466,4.343118
t36,-0.28890288,10.265077,3.6681993,4.9409003,6.9672675,5.860953,6.7502694,1.2548627,5.1634793,3.8630779,3.0035248,4.4293222
