"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103"
"t73",-0.0852673226146268,-0.0470473577941705,0.065709898469624,8.66577521120629e-05,0.0835693673069474,-0.325955540344708,0.0102472959512763,-0.000298184387037795,0.0752986466847183,-0.0184331777773927,0.0213193488548612,-0.0208461477068589,0.00159918843420616,-0.00165289352881479,0.0921229679276675,-0.23411713341114,0.0112583188172198,-0.0078268907317035,0.00026846544372469,-4.72336220430073e-17,7.58667508785368e-05,-0.00163396351926658,0.00574635587796931,2.40441880127192e-05,-4.14146844386795e-06,0.105723382917826,-0.0292984450640109,0.17479746256243,-0.000421947204868528,9.31291228048444e-06,-0.425329245303036,0.262859340883958,1.81942677070224e-18,6.95429468930014e-05,-0.00015742998471133,0.00158638075556254,-0.000129844930183552,0.00798712417091926,-4.35544363409291e-06,0.000112975204403023,-0.000250025586459481,4.2718809103078e-05,0.0001994811633689,-8.18379173325327e-06,-0.00385622563500629,3.70186566365658e-05,0.00217098445233499,-1.06250745158304e-05,0.00679837292900122,5.19342904244614e-06,1.13048660805785e-06,-0.00989076683541135,-6.5547070307229e-05,-8.05083292429708e-06,-3.53762463004288e-07,0.00114797455918559,0.000135243399186031,-6.08149369181528e-06,-1.19513976572445e-05,-4.16146050815452e-18,4.91055971613212e-06,7.90186941563143e-06,3.7919399667649e-05,-1.61460052100548e-05,-6.49773392883064e-09,-1.12511783158504e-06,-1.07829887343228e-06,7.37897163572575e-06,-2.09972259771168e-05,8.10983225019157e-17,-0.175538910561289,2.80970992999618e-16,-7.93635990259389e-17,5.24753851482984e-17,-1.38127356774653e-16,-0.138444587765407,-4.42354486374086e-17,6.46184494801361e-17,3.31765864780564e-16,2.29200339263436e-16,1.80465451610212e-16,8.79152436614183e-17,3.15502832193282e-17,-8.08814820674186e-17,1.29020058525775e-17,1.34115808736457e-16,-1.19804340059648e-17,-7.61109925084824e-17,-5.20417042793042e-18,-1.55257751099924e-16,5.01551924991794e-16,1.43982048506075e-16,-8.29956763037654e-17,1.06902334207071e-16,2.66036108073631e-16,-1.71520783687207e-16,-1.2376167798922e-16,2.80049421153006e-16,0.655822672297121,-5.33427468862868e-17,-1.75667856996964e-16,0.141123383953497,3.20164901534969e-16
"t74",-0.0852673226146269,-0.0470473577941707,0.0657098984696241,8.66577521123139e-05,0.0835693673069472,-0.325955540344707,0.0102472959512764,-0.000298184387038046,0.0752986466847187,-0.0184331777773926,0.0213193488548616,-0.0208461477068586,0.00159918843420638,-0.00165289352881519,0.0921229679276684,-0.234117133411141,0.0112583188172198,-0.00782689073170404,0.000268465443725645,-5.71753887102758e-17,7.58667508789807e-05,-0.00163396351926618,0.00574635587796997,2.40441880121684e-05,-4.14146844237984e-06,0.105723382917829,-0.0292984450640118,0.174797462562433,-0.000421947204868549,9.31291228018973e-06,-0.425329245303038,0.262859340883959,-4.34781751775456e-17,6.95429468942757e-05,-0.000157429984712432,0.00158638075556657,-0.000129844930183119,0.00798712417092325,-4.35544363282519e-06,0.000112975204402505,-0.000250025586456934,4.27188091030108e-05,0.000199481163368589,-8.18379173307911e-06,-0.00385622563500434,3.70186566367129e-05,0.00217098445233026,-1.06250745138167e-05,0.00679837292900611,5.19342904686074e-06,1.13048661151404e-06,-0.00989076683539976,-6.55470703039142e-05,-8.05083292549116e-06,-3.53762461147641e-07,0.00114797455920541,0.000135243399186865,-6.08149369274858e-06,-1.19513976578196e-05,-2.79806179956218e-16,4.91055971659153e-06,7.90186941428012e-06,3.79193996664777e-05,-1.61460052099e-05,-6.49772620545917e-09,-1.12511783989889e-06,-1.07829887455864e-06,7.37897163782941e-06,-2.09972259846027e-05,3.15092519443468e-16,0.175538910561294,-7.06790156455374e-16,8.98104700781276e-16,-4.60349877209317e-16,5.88436438975331e-16,0.138444587765404,1.38267028432394e-15,-9.84411442460064e-16,-1.33087099009201e-15,-1.14740889268639e-15,-7.20438609262311e-16,-6.61109592888658e-16,1.34593447916669e-15,3.4686399061924e-16,-1.08958600679469e-16,8.42578530769214e-16,-6.92578247365099e-16,2.70467378013287e-16,-9.28869389025972e-16,9.08739901810094e-16,-2.07626845951991e-15,6.12449896082303e-16,7.24427221501939e-16,2.70816476333418e-17,-5.55995160640106e-17,1.77300541832026e-16,2.21375960811704e-16,-2.16309078008471e-15,-0.655822672297116,1.18395891251941e-15,1.7976937037596e-15,-0.141123383953508,-2.0706446081241e-15
"t97",-0.0852673226146268,-0.0470473577941707,0.0657098984696236,8.66577521124331e-05,0.0835693673069474,-0.325955540344708,0.0102472959512765,-0.00029818438703777,0.0752986466847191,-0.0184331777773924,0.0213193488548615,-0.0208461477068589,0.00159918843420618,-0.00165289352881472,0.0921229679276683,-0.234117133411141,0.0112583188172204,-0.0078268907317034,0.000268465443725537,1.38199334266046e-16,7.58667508785544e-05,-0.00163396351926669,0.00574635587797046,2.40441880122939e-05,-4.14146844366081e-06,0.105723382917825,-0.0292984450640097,0.174797462562429,-0.000421947204868654,9.31291227873088e-06,0.425329245303028,-0.262859340883953,4.31994872962983e-17,6.95429468839769e-05,-0.000157429984711533,0.00158638075556288,-0.000129844930181959,0.00798712417091466,-4.35544363233367e-06,0.000112975204401649,-0.000250025586457486,4.27188091037641e-05,0.000199481163367832,-8.18379173186983e-06,-0.00385622563500123,3.70186566354847e-05,0.00217098445233146,-1.06250745151725e-05,0.00679837292899733,5.19342904588521e-06,1.13048661043647e-06,-0.00989076683541238,-6.55470703057912e-05,-8.05083292507271e-06,-3.53762462064815e-07,0.00114797455920058,0.000135243399185673,-6.0814936962713e-06,-1.19513976604088e-05,1.30739349046802e-15,4.91055971629253e-06,7.90186941587853e-06,3.79193996674877e-05,-1.61460052085405e-05,-6.49772907680635e-09,-1.12511783682996e-06,-1.07829887462133e-06,7.37897163619757e-06,-2.09972259807935e-05,0.0116215007785604,-0.0530395220045758,0.00915786647411457,-0.021298952977646,-0.0118873015762161,-0.0253383468794864,0.0468154406421469,-0.0720298014452087,0.0465697957402184,0.0271502383208324,0.030511375050286,0.0177684428110688,0.0275432920608037,-0.061326056538602,-0.000177348781293639,-0.00621684458099764,0.00820071958042525,0.0318578265577179,-0.0103056136225559,0.033703519046391,-0.0317020426890521,0.031371603743602,-0.0113799084516106,-0.0226220752255066,0.0137003353693291,-0.019179948378651,-0.00776635717664563,0.0248646769071184,0.0737394658362771,-0.143902518859359,-0.0738409767965382,-0.0850862291216646,0.648690361408676,0.117535068204261
"t98",-0.085267322614627,-0.0470473577941709,0.0657098984696243,8.66577521123678e-05,0.0835693673069476,-0.32595554034471,0.0102472959512767,-0.000298184387037871,0.0752986466847193,-0.0184331777773927,0.0213193488548617,-0.0208461477068586,0.00159918843420591,-0.00165289352881476,0.0921229679276685,-0.234117133411141,0.0112583188172208,-0.00782689073170278,0.000268465443725405,1.04561108728414e-16,7.58667508786648e-05,-0.0016339635192668,0.00574635587797058,2.40441880119551e-05,-4.14146844274552e-06,0.105723382917826,-0.0292984450640104,0.17479746256243,-0.000421947204868691,9.31291227906229e-06,0.425329245303045,-0.262859340883963,7.06930812996404e-17,6.95429468843555e-05,-0.000157429984710788,0.00158638075556428,-0.000129844930181824,0.00798712417092297,-4.35544363191033e-06,0.000112975204400803,-0.000250025586457679,4.27188091019452e-05,0.000199481163367505,-8.18379173275879e-06,-0.0038562256350048,3.70186566374963e-05,0.00217098445233246,-1.0625074514316e-05,0.0067983729290042,5.19342904474478e-06,1.13048661016577e-06,-0.00989076683540072,-6.55470703045597e-05,-8.05083292368097e-06,-3.53762460765549e-07,0.0011479745591929,0.000135243399185471,-6.08149369003588e-06,-1.19513976586461e-05,-6.94353749622187e-16,4.91055971640356e-06,7.90186941406907e-06,3.79193996673676e-05,-1.61460052117301e-05,-6.49773100438458e-09,-1.12511783365238e-06,-1.07829887434309e-06,7.37897163721921e-06,-2.09972259811562e-05,-0.0116215007785595,0.0530395220045784,-0.00915786647411415,0.021298952977646,0.0118873015762156,0.0253383468794856,-0.0468154406421474,0.072029801445207,-0.0465697957402176,-0.027150238320832,-0.0305113750502855,-0.0177684428110682,-0.0275432920608031,0.0613260565386012,0.00017734878129408,0.00621684458099717,-0.00820071958042401,-0.0318578265577173,0.0103056136225554,-0.0337035190463904,0.0317020426890512,-0.0313716037436019,0.011379908451611,0.022622075225506,-0.0137003353693283,0.0191799483786506,0.00776635717664531,-0.0248646769071177,-0.0737394658362761,0.143902518859355,0.0738409767965366,0.0850862291216627,-0.648690361408663,-0.117535068204258
"t34",-0.0830210621490767,-0.0443612505645515,0.0613428465209043,7.92232923789707e-05,0.0724024389856033,-0.27000837319249,0.00833019158058807,-0.000216373985856813,0.050011271333894,-0.0118939303864231,0.0131000053113404,-0.0126846560516375,0.000733679021933076,-0.000564117469281705,0.0158957694108216,-0.0215369764631983,0.000356255374863648,0.00259440317595228,-0.000139758902618468,-1.33942032991736e-16,-4.5396648563345e-05,0.00146484787754708,-0.00540215270060619,-3.00746999204533e-05,6.87432873868651e-06,-0.316955693975844,0.0881318692460621,-0.531503251818965,0.00172353798630022,-4.77406772057917e-05,-2.08166817117217e-15,6.93889390390723e-17,-1.47316273516021e-16,0.00157777841239964,-0.00158641312663346,0.011783164654761,-0.000928483365308036,0.050275416400398,-2.35377956143992e-05,0.000565772097596223,-0.00123221692290502,0.000199370340313398,0.000912848452433754,-3.7426776019435e-05,-0.0168273145716545,0.000157997300397285,0.00923734501471914,-4.32909532942691e-05,0.0263948036278386,1.97939228292758e-05,4.24162245514024e-06,-0.036461272779873,-0.000240531864635975,-2.95193105830455e-05,-1.29676656476543e-06,0.00420391815408175,0.000492314450042927,-2.20079631880426e-05,-4.28347975278852e-05,1.58542910575342e-16,1.69781379557087e-05,2.7292677545788e-05,0.000129317376680178,-5.50486907308212e-05,-2.20928637340999e-08,-3.81813206807045e-06,-3.65854818664309e-06,2.46899994157476e-05,-7.02158111100342e-05,0.119511271979453,0.541683941365207,0.00858830243920551,0.0819981925877551,-0.0560068714752933,-0.0231521022564779,-0.295585482075415,-0.0365596550816917,-0.0197147075769066,-0.0944113873473192,-0.0213767327214061,0.00572672717894917,0.0101945677140078,0.0353259903639695,0.0221969593062116,-0.049572757070562,0.115381175757589,0.0200799111834746,0.00413143910050091,-0.0147543898107925,-0.0245383474659386,-0.114688210260372,0.0605194283432652,0.00296269017515636,0.0727214152666892,-0.02624179747621,-0.0652956998346392,0.0634816469584779,-0.0903712712319775,0.0684670201857854,-0.0357672936481078,-0.00554199572185155,0.0656317494555922,0.122080181383832
"t68",-0.0830210621490764,-0.0443612505645515,0.0613428465209039,7.92232923788159e-05,0.0724024389856032,-0.27000837319249,0.00833019158058808,-0.000216373985856896,0.0500112713338937,-0.0118939303864234,0.0131000053113402,-0.0126846560516369,0.000733679021933092,-0.000564117469281211,0.0158957694108222,-0.0215369764632008,0.000356255374863883,0.00259440317595211,-0.000139758902618976,-7.63019506955967e-17,-4.53966485637806e-05,0.00146484787754693,-0.00540215270060608,-3.00746999201669e-05,6.87432873857417e-06,-0.316955693975836,0.0881318692460613,-0.531503251818957,0.00172353798630025,-4.774067720393e-05,-2.44249065417534e-15,5.55111512312578e-16,1.01027296052578e-16,0.0015777784124,-0.00158641312663283,0.0117831646547612,-0.000928483365307742,0.0502754164003998,-2.35377956160253e-05,0.000565772097597361,-0.00123221692290546,0.000199370340312286,0.000912848452433686,-3.7426776019e-05,-0.0168273145716548,0.000157997300397439,0.00923734501472034,-4.32909532962504e-05,0.0263948036278456,1.97939228285069e-05,4.2416224521518e-06,-0.0364612727798699,-0.000240531864634922,-2.95193105826968e-05,-1.29676656378948e-06,0.00420391815409306,0.000492314450044799,-2.20079631818257e-05,-4.28347975288268e-05,-2.04917658797717e-16,1.69781379563418e-05,2.72926775476645e-05,0.000129317376668897,-5.50486907328381e-05,-2.20928561448121e-08,-3.81813206602944e-06,-3.65854818729408e-06,2.46899994149945e-05,-7.02158111052226e-05,-0.119511271979454,-0.541683941365213,-0.0085883024392058,-0.081998192587756,0.0560068714752939,0.0231521022564781,0.29558548207542,0.0365596550816923,0.0197147075769068,0.0944113873473209,0.0213767327214063,-0.00572672717894971,-0.0101945677140081,-0.0353259903639697,-0.0221969593062117,0.0495727570705628,-0.11538117575759,-0.0200799111834751,-0.00413143910050113,0.0147543898107925,0.0245383474659391,0.114688210260374,-0.0605194283432658,-0.00296269017515646,-0.0727214152666902,0.0262417974762103,0.0652956998346405,-0.0634816469584788,0.0903712712319786,-0.06846702018579,0.0357672936481084,0.00554199572185177,-0.0656317494555948,-0.122080181383834
"t20",-0.0802235245285723,-0.0410278113649855,0.0559283861806325,7.00211455169552e-05,0.0586180018145747,-0.200994044844178,0.00596505079921856,-0.000114926854503165,0.0183886314863417,-0.00368810189437239,0.00271843792343275,-0.0023617382971564,-0.000417415742818319,0.000977443665038821,-0.107574388557662,0.354257604498021,-0.0204749912170964,0.0504116363402,-0.0105651366223616,-3.04529686020371e-16,0.00340481099565434,-0.00850413614049592,0.0265485852122439,6.07152100025857e-05,-6.1014544595281e-06,0.02654148901672,-0.00720293291931287,0.0400754474855798,7.61471131556339e-05,-4.18000208484511e-06,-2.22044604925031e-16,-4.44089209850063e-16,-1.3540470169517e-16,-0.000181663914366701,0.000589508187674868,-0.00775057601438635,0.00066220403331428,-0.0481714877258885,3.44049039858174e-05,-0.00106875274343778,0.00247063269697068,-0.000499345621651096,-0.00250049422315227,0.000102819300662005,0.0588252123441804,-0.0006297015295555,-0.037534675207327,0.000239743467278,-0.23565203937307,-0.000227844409399192,-6.42088310779379e-05,0.844817263444439,0.006444454705246,0.000813519126743087,3.60734396841436e-05,-0.121169059664756,-0.0181456793137506,0.00111490310914884,0.0055272628468166,-5.88037579889005e-15,0.000477250192282403,0.000742200486298277,0.002507630449214,-0.00106125797357628,-4.01464317143345e-07,-6.66994710744144e-05,-6.36671282712604e-05,0.000336991596490854,-0.000949902564524319,6.42667695703065e-16,4.57966997657877e-16,7.38868913548721e-16,-1.17525818713282e-15,8.09748690525878e-17,1.29649225424115e-16,2.02615701994091e-15,-1.09586773766831e-15,3.28998962602956e-16,4.16788445813097e-15,4.70164743261462e-16,-1.39811293462018e-15,-3.02435455297274e-16,-4.78588580354207e-16,1.33671517210659e-15,8.41302124043528e-16,9.49474100643723e-16,-1.07698819775949e-15,-1.84183892412513e-15,6.56127658144602e-16,2.13154722474744e-16,3.13441072263388e-16,8.61059244879358e-16,-1.3270504992112e-15,-2.38750868720398e-15,1.58455707314375e-16,1.06307747758886e-15,-1.27398191095264e-15,4.14163748112138e-16,3.71924713249427e-15,-5.73532902346271e-16,-4.53755241608143e-16,6.86950496486816e-15,-4.44987582203752e-16
"t22",-0.0812802185001313,-0.0421990259229329,0.0577868745784789,7.30247393913863e-05,0.0625344071057596,-0.218243402550457,0.00652303336422578,-0.000130692623071281,0.0214763378864974,-0.00434228672841597,0.00324246366517844,-0.0028240613046272,-0.000530372179505349,0.00129936919849944,-0.152080630900791,0.515091918644401,-0.0303885341205469,0.0839725033993926,-0.0185977272080776,-6.14637387732007e-16,0.00612589072433552,-0.0165681821493209,0.0523020484742776,0.000129044397172,-1.42160140378848e-05,0.0795975479856729,-0.0216378743440422,0.121041488906542,0.000269740650142986,-1.69839519052681e-05,3.7470027081099e-16,-5.13478148889135e-16,1.72272076335876e-16,0.00178828394310013,-0.00208595819110092,0.0171586232543986,-0.00137430825930534,0.0793518802904871,-4.13585582104034e-05,0.00107299120995192,-0.00238213870311519,0.000416214267266032,0.00197053139946394,-8.0881805865216e-05,-0.0401092294202908,0.000399245006343058,0.0235513331061602,-0.000128791879454413,0.103983554822933,9.24296189849859e-05,2.41435625474465e-05,-0.289939145936684,-0.00215761992536792,-0.000271152320320828,-1.20059994239607e-05,0.0401088226781093,0.00580852776803136,-0.000344974286954709,-0.00161418928995232,2.25197895336813e-15,-0.000109165040222045,-0.000168461691805669,-0.000514468425629156,0.000217255958076312,8.03107000766561e-08,1.31244456683895e-05,1.25070512419117e-05,-5.82986400924146e-05,0.000163407838411163,-0.0313514101754499,0.227823872874797,0.0805262640215318,-0.0247100704917169,-0.0167140499675136,0.0252630589497466,0.19461224631774,-0.0266061496153118,-0.0176219940442196,0.396343245651071,0.0576902538217615,-0.132313403614504,-0.0323702510265667,0.0257298449055703,0.0922785733655458,0.0699139787303665,0.0700063100546103,-0.152564505563611,-0.175622225983753,0.0394742745161812,0.0472159991710712,-0.0625082798147192,0.0539256247493946,-0.0784080102325893,-0.254366514042279,-0.0149563908938978,0.127265011315137,-0.101915358968731,-0.0652948452030845,0.0872093531482271,0.0295610866045354,0.0515589340848924,0.069025383008743,-0.140452527214089
"t23",-0.0812802185001312,-0.0421990259229329,0.0577868745784788,7.30247393912753e-05,0.0625344071057595,-0.218243402550456,0.00652303336422583,-0.000130692623071196,0.0214763378864976,-0.00434228672841579,0.00324246366517828,-0.00282406130462724,-0.000530372179505314,0.00129936919849924,-0.152080630900791,0.5150919186444,-0.0303885341205471,0.0839725033993926,-0.0185977272080773,-4.75943874460756e-16,0.00612589072433523,-0.0165681821493211,0.0523020484742778,0.000129044397172028,-1.42160140378703e-05,0.079597547985672,-0.021637874344041,0.121041488906541,0.000269740650143065,-1.69839519053188e-05,3.33066907387547e-16,-1.11022302462516e-15,-5.03008735999496e-17,0.00178828394310003,-0.00208595819110091,0.017158623254399,-0.00137430825930582,0.0793518802904899,-4.13585582103903e-05,0.00107299120995313,-0.00238213870311446,0.000416214267264251,0.00197053139946377,-8.08818058654017e-05,-0.0401092294202929,0.000399245006345837,0.023551333106166,-0.000128791879454826,0.103983554822928,9.24296189861157e-05,2.41435625493047e-05,-0.289939145936674,-0.00215761992536766,-0.000271152320321839,-1.20059994219398e-05,0.0401088226781049,0.00580852776803174,-0.000344974286954632,-0.00161418928994287,1.6868304912358e-15,-0.000109165040218879,-0.000168461691804476,-0.000514468425628236,0.000217255958076706,8.03106958018533e-08,1.31244456677445e-05,1.25070512364532e-05,-5.82986400950998e-05,0.000163407838414884,0.0313514101754496,-0.227823872874797,-0.0805262640215324,0.0247100704917178,0.0167140499675134,-0.0252630589497469,-0.194612246317742,0.0266061496153126,0.0176219940442195,-0.396343245651074,-0.057690253821762,0.132313403614506,0.032370251026567,-0.0257298449055698,-0.0922785733655466,-0.0699139787303674,-0.0700063100546105,0.152564505563612,0.175622225983754,-0.0394742745161819,-0.0472159991710715,0.0625082798147188,-0.0539256247493949,0.0784080102325904,0.254366514042281,0.0149563908938978,-0.127265011315138,0.101915358968732,0.0652948452030843,-0.0872093531482309,-0.0295610866045352,-0.0515589340848925,-0.0690253830087461,0.14045252721409
"t5",-0.0837922060366164,-0.0518586502774764,0.0816554527048619,0.000263639568732432,-0.000366304874558694,-0.0277773233174417,0.000803128929233787,2.00215443188871e-05,-0.05843783103829,-0.00209415957132665,-0.00228107906665545,0.0025969605242277,-0.00054569806284784,0.000680942683611816,-0.0614629749789052,0.0383644797075566,-0.00083893688490428,-0.0215782269139784,0.00696056531874857,-8.58784748495514e-18,-0.00255806297931892,0.00929574696492062,-0.0302999085204143,-8.9207561035862e-05,1.1249301208724e-05,-0.0319878398887114,0.0113963362462361,-0.0154609731040212,-0.000842459578492574,4.03600357583922e-05,-2.65065747129256e-15,4.21884749357559e-15,2.63624660968515e-17,-0.00643879444025043,0.00990916232338924,-0.107410497523771,0.00908063093320643,-0.678183943594401,0.000873730854443904,0.027412356724399,-0.0309542186219665,0.000413163663862589,-0.00188416752891246,8.18805905239991e-05,0.225385251510266,-0.0044123804905689,-0.301752066373943,-0.000123562676718723,-0.522872239213418,-0.000672960152445378,-0.00031693313442823,-0.255475002698452,0.00270891190132716,0.000323649265422554,1.28539693848582e-05,0.0823895395843351,-0.0265528086466153,0.0018629318226848,-0.0115337809386114,3.07395277281374e-15,0.00111976988988475,0.00174653299182384,0.0060859745430275,-0.00257704660817138,-9.80228138875447e-07,-0.000163450337897775,-0.000156074662765148,0.000844469479258084,-0.00238221788518758,-7.07241241478923e-16,-1.73819292292876e-15,-5.623219001307e-16,1.51004365772843e-16,9.92977393308712e-16,3.52160143529421e-16,1.42941214420489e-15,1.43075761362736e-15,-3.80201897315623e-16,-1.80857964372449e-15,-2.20045900499648e-16,6.17619817432417e-16,-1.55170778596641e-16,4.86459876536033e-16,-5.48441757969186e-16,-1.27115242298981e-16,-1.75895702440236e-15,4.45475563096723e-16,6.86741283660631e-16,-3.74007693491816e-16,1.9501821833476e-16,1.71867848870767e-16,-3.21956921465774e-16,6.32820802200434e-16,9.87205620984382e-16,4.71216915957677e-16,-5.06537684404633e-17,-2.12756155832419e-16,-4.83094100492093e-16,-2.52575738102223e-15,1.2373122917586e-15,1.33444833112141e-15,-1.10189635194047e-14,-1.48033260765855e-15
