"","t1","t11","t12","t3","t22","t75","t76","t51","t69","t70","t64","t90","t91","t63","t13","t7","t88","t89","t79","t80","t40","t20","t21","t105","t106","t66","t29","t26","t61","t62","t48","t45","t49","t50","t96","t97","t92","t93","t39","t54","t55","t85","t86","t33","t34","t46","t47","t41","t42","t71","t72","t103","t104","t52","t53","t32","t59","t60","t43","t44","t10","t8","t9","t14","t77","t78","t73","t74","t56","t57","t99","t100","t84","t25","t83","t98","t101","t102","t67","t68","t4","t19","t30","t31","t37","t38","t35","t36","t27","t28","t17","t18","t87","t94","t95","t65","t58","t23","t24","t81","t82","t15","t16","t5","t6","t2"
"t1",0,6.8265663076,6.8265663076,6.8265663074,6.82656630698,6.82656630698,6.82656630698,6.82656630698,6.82656630702,6.82656630702,6.82656630697,6.82656630701,6.82656630701,6.82656630697,6.8265663066,6.82656630667,6.82656630698,6.82656630698,6.8265663069629,6.8265663069629,6.82656630699,6.82656630689,6.82656630689,6.82656630695,6.82656630695,6.82656630697,6.82656630697,6.82656630699,6.8265663069,6.8265663069,6.826566307,6.82656630699,6.82656630699,6.82656630699,6.82656630661,6.82656630661,6.826566307,6.826566307,6.82656630695,6.82656630695,6.82656630695,6.82656630695,6.82656630695,6.82656630686,6.82656630686,6.82656630692,6.82656630692,6.82656630692,6.82656630692,6.826566307,6.826566307,6.82656630663,6.82656630663,6.8265663069,6.8265663069,6.8265663074,6.8265663074,6.8265663074,6.826566307,6.826566307,6.3346613196,5.378668334261,6.826566307061,6.826566306861,6.826566307061,6.826566307061,6.826566307061,6.826566307061,6.826566307061,6.826566307061,6.826566307041,6.826566307041,6.826566307061,6.399065936261,6.826566306861,6.826566306821,6.826566306817,6.826566306817,6.826566306861,6.826566306861,6.39533993203,6.826566307189,6.826566307189,6.826566307189,6.826566306989,6.826566306989,6.82656630723,6.82656630723,6.82656630713,6.82656630713,6.82656630703,6.82656630703,6.82656630667,6.82656630667,6.82656630667,6.82656630673,6.82656630673,6.82656630673,6.82656630673,6.82656630673,6.82656630673,6.826566306343,6.826566306343,6.82656630743,6.82656630743,2.4567663434
"t11",6.8265663076,0,2.61859829,6.8248801598,6.82488015938,6.82488015938,6.82488015938,6.82488015938,6.82488015942,6.82488015942,6.82488015937,6.82488015941,6.82488015941,6.82488015937,6.824880159,6.82488015907,6.82488015938,6.82488015938,6.8248801593629,6.8248801593629,6.82488015939,6.82488015929,6.82488015929,6.82488015935,6.82488015935,6.82488015937,6.82488015937,6.82488015939,6.8248801593,6.8248801593,6.8248801594,6.82488015939,6.82488015939,6.82488015939,6.82488015901,6.82488015901,6.8248801594,6.8248801594,6.82488015935,6.82488015935,6.82488015935,6.82488015935,6.82488015935,6.82488015926,6.82488015926,6.82488015932,6.82488015932,6.82488015932,6.82488015932,6.8248801594,6.8248801594,6.82488015903,6.82488015903,6.8248801593,6.8248801593,6.8248801598,6.8248801598,6.8248801598,6.8248801594,6.8248801594,6.332975172,5.376982186661,6.824880159461,6.824880159261,6.824880159461,6.824880159461,6.824880159461,6.824880159461,6.824880159461,6.824880159461,6.824880159441,6.824880159441,6.824880159461,6.397379788661,6.824880159261,6.824880159221,6.824880159217,6.824880159217,6.824880159261,6.824880159261,6.39365378443,6.824880159589,6.824880159589,6.824880159589,6.824880159389,6.824880159389,6.82488015963,6.82488015963,6.82488015953,6.82488015953,6.82488015943,6.82488015943,6.82488015907,6.82488015907,6.82488015907,6.82488015913,6.82488015913,6.82488015913,6.82488015913,6.82488015913,6.82488015913,6.824880158743,6.824880158743,6.82488015983,6.82488015983,5.8234668478
"t12",6.8265663076,2.61859829,0,6.8248801598,6.82488015938,6.82488015938,6.82488015938,6.82488015938,6.82488015942,6.82488015942,6.82488015937,6.82488015941,6.82488015941,6.82488015937,6.824880159,6.82488015907,6.82488015938,6.82488015938,6.8248801593629,6.8248801593629,6.82488015939,6.82488015929,6.82488015929,6.82488015935,6.82488015935,6.82488015937,6.82488015937,6.82488015939,6.8248801593,6.8248801593,6.8248801594,6.82488015939,6.82488015939,6.82488015939,6.82488015901,6.82488015901,6.8248801594,6.8248801594,6.82488015935,6.82488015935,6.82488015935,6.82488015935,6.82488015935,6.82488015926,6.82488015926,6.82488015932,6.82488015932,6.82488015932,6.82488015932,6.8248801594,6.8248801594,6.82488015903,6.82488015903,6.8248801593,6.8248801593,6.8248801598,6.8248801598,6.8248801598,6.8248801594,6.8248801594,6.332975172,5.376982186661,6.824880159461,6.824880159261,6.824880159461,6.824880159461,6.824880159461,6.824880159461,6.824880159461,6.824880159461,6.824880159441,6.824880159441,6.824880159461,6.397379788661,6.824880159261,6.824880159221,6.824880159217,6.824880159217,6.824880159261,6.824880159261,6.39365378443,6.824880159589,6.824880159589,6.824880159589,6.824880159389,6.824880159389,6.82488015963,6.82488015963,6.82488015953,6.82488015953,6.82488015943,6.82488015943,6.82488015907,6.82488015907,6.82488015907,6.82488015913,6.82488015913,6.82488015913,6.82488015913,6.82488015913,6.82488015913,6.824880158743,6.824880158743,6.82488015983,6.82488015983,5.8234668478
"t3",6.8265663074,6.8248801598,6.8248801598,0,5.50955378158,5.50955378158,5.50955378158,5.50955378158,5.50955378162,5.50955378162,5.50955378157,5.50955378161,5.50955378161,5.50955378157,5.5095537812,5.50955378127,5.50955378158,5.50955378158,5.5095537815629,5.5095537815629,5.50955378159,5.50955378149,5.50955378149,5.50955378155,5.50955378155,5.50955378157,5.50955378157,5.50955378159,5.5095537815,5.5095537815,5.5095537816,5.50955378159,5.50955378159,5.50955378159,5.50955378121,5.50955378121,5.5095537816,5.5095537816,5.50955378155,5.50955378155,5.50955378155,5.50955378155,5.50955378155,5.50955378146,5.50955378146,5.50955378152,5.50955378152,5.50955378152,5.50955378152,5.5095537816,5.5095537816,5.50955378123,5.50955378123,5.5095537815,5.5095537815,5.509553782,5.509553782,5.509553782,5.5095537816,5.5095537816,5.0176487942,4.565369958261,6.013267931061,6.013267930861,6.013267931061,6.013267931061,6.013267931061,6.013267931061,6.013267931061,6.013267931061,6.013267931041,6.013267931041,6.013267931061,5.585767560261,6.013267930861,6.013267930821,6.013267930817,6.013267930817,6.013267930861,6.013267930861,5.58204155603,6.013267931189,6.013267931189,6.013267931189,6.013267930989,6.013267930989,6.01326793123,6.01326793123,6.01326793113,6.01326793113,6.01326793103,6.01326793103,6.01326793067,6.01326793067,6.01326793067,6.01326793073,6.01326793073,6.01326793073,6.01326793073,6.01326793073,6.01326793073,6.013267930343,6.013267930343,6.01326793143,6.01326793143,5.8234668476
"t22",6.82656630698,6.82488015938,6.82488015938,5.50955378158,0,1.8697574364,1.8697574364,2.3970058346,2.39700583464,2.39700583464,2.39700583459,2.39700583463,2.39700583463,2.39700583459,2.58859331838,3.70356429125,3.70356429156,3.70356429156,3.7035642915429,3.7035642915429,3.70356429157,3.70356429147,3.70356429147,3.70356429153,3.70356429153,3.70356429155,3.70356429155,3.70356429157,3.70356429148,3.70356429148,3.70356429158,3.70356429157,3.70356429157,3.70356429157,3.70356429119,3.70356429119,3.70356429158,3.70356429158,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429144,3.70356429144,3.7035642915,3.7035642915,3.7035642915,3.7035642915,4.49115703878,4.49115703878,4.49115703841,4.49115703841,4.49115703868,4.49115703868,4.49115703918,4.49115703918,4.49115703918,4.49115703878,4.49115703878,3.99925205138,4.565369957841,6.013267930641,6.013267930441,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930621,6.013267930621,6.013267930641,5.585767559841,6.013267930441,6.013267930401,6.013267930397,6.013267930397,6.013267930441,6.013267930441,5.58204155561,6.013267930769,6.013267930769,6.013267930769,6.013267930569,6.013267930569,6.01326793081,6.01326793081,6.01326793071,6.01326793071,6.01326793061,6.01326793061,6.01326793025,6.01326793025,6.01326793025,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.013267929923,6.013267929923,6.01326793101,6.01326793101,5.82346684718
"t75",6.82656630698,6.82488015938,6.82488015938,5.50955378158,1.8697574364,0,0.33003068,2.3970058346,2.39700583464,2.39700583464,2.39700583459,2.39700583463,2.39700583463,2.39700583459,2.58859331838,3.70356429125,3.70356429156,3.70356429156,3.7035642915429,3.7035642915429,3.70356429157,3.70356429147,3.70356429147,3.70356429153,3.70356429153,3.70356429155,3.70356429155,3.70356429157,3.70356429148,3.70356429148,3.70356429158,3.70356429157,3.70356429157,3.70356429157,3.70356429119,3.70356429119,3.70356429158,3.70356429158,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429144,3.70356429144,3.7035642915,3.7035642915,3.7035642915,3.7035642915,4.49115703878,4.49115703878,4.49115703841,4.49115703841,4.49115703868,4.49115703868,4.49115703918,4.49115703918,4.49115703918,4.49115703878,4.49115703878,3.99925205138,4.565369957841,6.013267930641,6.013267930441,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930621,6.013267930621,6.013267930641,5.585767559841,6.013267930441,6.013267930401,6.013267930397,6.013267930397,6.013267930441,6.013267930441,5.58204155561,6.013267930769,6.013267930769,6.013267930769,6.013267930569,6.013267930569,6.01326793081,6.01326793081,6.01326793071,6.01326793071,6.01326793061,6.01326793061,6.01326793025,6.01326793025,6.01326793025,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.013267929923,6.013267929923,6.01326793101,6.01326793101,5.82346684718
"t76",6.82656630698,6.82488015938,6.82488015938,5.50955378158,1.8697574364,0.33003068,0,2.3970058346,2.39700583464,2.39700583464,2.39700583459,2.39700583463,2.39700583463,2.39700583459,2.58859331838,3.70356429125,3.70356429156,3.70356429156,3.7035642915429,3.7035642915429,3.70356429157,3.70356429147,3.70356429147,3.70356429153,3.70356429153,3.70356429155,3.70356429155,3.70356429157,3.70356429148,3.70356429148,3.70356429158,3.70356429157,3.70356429157,3.70356429157,3.70356429119,3.70356429119,3.70356429158,3.70356429158,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429144,3.70356429144,3.7035642915,3.7035642915,3.7035642915,3.7035642915,4.49115703878,4.49115703878,4.49115703841,4.49115703841,4.49115703868,4.49115703868,4.49115703918,4.49115703918,4.49115703918,4.49115703878,4.49115703878,3.99925205138,4.565369957841,6.013267930641,6.013267930441,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930621,6.013267930621,6.013267930641,5.585767559841,6.013267930441,6.013267930401,6.013267930397,6.013267930397,6.013267930441,6.013267930441,5.58204155561,6.013267930769,6.013267930769,6.013267930769,6.013267930569,6.013267930569,6.01326793081,6.01326793081,6.01326793071,6.01326793071,6.01326793061,6.01326793061,6.01326793025,6.01326793025,6.01326793025,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.013267929923,6.013267929923,6.01326793101,6.01326793101,5.82346684718
"t51",6.82656630698,6.82488015938,6.82488015938,5.50955378158,2.3970058346,2.3970058346,2.3970058346,0,0.79360143144,0.79360143144,0.79360143139,0.79360143143,0.79360143143,0.79360143139,2.58859331838,3.70356429125,3.70356429156,3.70356429156,3.7035642915429,3.7035642915429,3.70356429157,3.70356429147,3.70356429147,3.70356429153,3.70356429153,3.70356429155,3.70356429155,3.70356429157,3.70356429148,3.70356429148,3.70356429158,3.70356429157,3.70356429157,3.70356429157,3.70356429119,3.70356429119,3.70356429158,3.70356429158,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429153,3.70356429144,3.70356429144,3.7035642915,3.7035642915,3.7035642915,3.7035642915,4.49115703878,4.49115703878,4.49115703841,4.49115703841,4.49115703868,4.49115703868,4.49115703918,4.49115703918,4.49115703918,4.49115703878,4.49115703878,3.99925205138,4.565369957841,6.013267930641,6.013267930441,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930641,6.013267930621,6.013267930621,6.013267930641,5.585767559841,6.013267930441,6.013267930401,6.013267930397,6.013267930397,6.013267930441,6.013267930441,5.58204155561,6.013267930769,6.013267930769,6.013267930769,6.013267930569,6.013267930569,6.01326793081,6.01326793081,6.01326793071,6.01326793071,6.01326793061,6.01326793061,6.01326793025,6.01326793025,6.01326793025,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.01326793031,6.013267929923,6.013267929923,6.01326793101,6.01326793101,5.82346684718
"t69",6.82656630702,6.82488015942,6.82488015942,5.50955378162,2.39700583464,2.39700583464,2.39700583464,0.79360143144,0,0.3590048612,0.62806920135,0.62806920139,0.62806920139,0.62806920135,2.58859331842,3.70356429129,3.7035642916,3.7035642916,3.7035642915829,3.7035642915829,3.70356429161,3.70356429151,3.70356429151,3.70356429157,3.70356429157,3.70356429159,3.70356429159,3.70356429161,3.70356429152,3.70356429152,3.70356429162,3.70356429161,3.70356429161,3.70356429161,3.70356429123,3.70356429123,3.70356429162,3.70356429162,3.70356429157,3.70356429157,3.70356429157,3.70356429157,3.70356429157,3.70356429148,3.70356429148,3.70356429154,3.70356429154,3.70356429154,3.70356429154,4.49115703882,4.49115703882,4.49115703845,4.49115703845,4.49115703872,4.49115703872,4.49115703922,4.49115703922,4.49115703922,4.49115703882,4.49115703882,3.99925205142,4.565369957881,6.013267930681,6.013267930481,6.013267930681,6.013267930681,6.013267930681,6.013267930681,6.013267930681,6.013267930681,6.013267930661,6.013267930661,6.013267930681,5.585767559881,6.013267930481,6.013267930441,6.013267930437,6.013267930437,6.013267930481,6.013267930481,5.58204155565,6.013267930809,6.013267930809,6.013267930809,6.013267930609,6.013267930609,6.01326793085,6.01326793085,6.01326793075,6.01326793075,6.01326793065,6.01326793065,6.01326793029,6.01326793029,6.01326793029,6.01326793035,6.01326793035,6.01326793035,6.01326793035,6.01326793035,6.01326793035,6.013267929963,6.013267929963,6.01326793105,6.01326793105,5.82346684722
"t70",6.82656630702,6.82488015942,6.82488015942,5.50955378162,2.39700583464,2.39700583464,2.39700583464,0.79360143144,0.3590048612,0,0.62806920135,0.62806920139,0.62806920139,0.62806920135,2.58859331842,3.70356429129,3.7035642916,3.7035642916,3.7035642915829,3.7035642915829,3.70356429161,3.70356429151,3.70356429151,3.70356429157,3.70356429157,3.70356429159,3.70356429159,3.70356429161,3.70356429152,3.70356429152,3.70356429162,3.70356429161,3.70356429161,3.70356429161,3.70356429123,3.70356429123,3.70356429162,3.70356429162,3.70356429157,3.70356429157,3.70356429157,3.70356429157,3.70356429157,3.70356429148,3.70356429148,3.70356429154,3.70356429154,3.70356429154,3.70356429154,4.49115703882,4.49115703882,4.49115703845,4.49115703845,4.49115703872,4.49115703872,4.49115703922,4.49115703922,4.49115703922,4.49115703882,4.49115703882,3.99925205142,4.565369957881,6.013267930681,6.013267930481,6.013267930681,6.013267930681,6.013267930681,6.013267930681,6.013267930681,6.013267930681,6.013267930661,6.013267930661,6.013267930681,5.585767559881,6.013267930481,6.013267930441,6.013267930437,6.013267930437,6.013267930481,6.013267930481,5.58204155565,6.013267930809,6.013267930809,6.013267930809,6.013267930609,6.013267930609,6.01326793085,6.01326793085,6.01326793075,6.01326793075,6.01326793065,6.01326793065,6.01326793029,6.01326793029,6.01326793029,6.01326793035,6.01326793035,6.01326793035,6.01326793035,6.01326793035,6.01326793035,6.013267929963,6.013267929963,6.01326793105,6.01326793105,5.82346684722
