,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
t1,-0.58117396,-0.15494236,0.28485414,2.9691823,1.1358637,4.4203362,1.918733,-0.086099066,4.710323,0.2521286,4.8642793,2.9069204,-0.24536438,3.468001,-0.119197495,1.6511921,2.2264607,-0.1810663,-0.032834765,-0.26507914,-0.024467727,0.6303502,5.2907495,2.655719,1.9184816,7.370064,10.143182,1.1425766,0.050108716,0.20847486,-0.12551141,-0.004823053,6.4570994,1.8062994,-0.0018841443,-0.10839123,-0.1083425,0.9050995,0.13024874,-0.117403574
t2,-0.64526826,-0.36004192,-0.00707582,4.4408035,1.5482526,4.7197385,4.0221796,-0.06744506,5.900366,0.29169765,7.4801455,4.0037527,0.39459005,4.865086,-0.16012484,3.8604062,0.752216,-0.21773072,-0.010358498,-0.19152038,-0.026118476,2.228307,6.9577174,2.3450828,1.5056438,6.822097,10.62094,-0.05819581,0.059408233,-0.011109536,-0.12592423,-0.029108826,7.340318,1.4860762,0.0055538686,-0.13812068,-0.15231615,1.7446175,0.12901409,-0.17595318
t3,-0.71621215,-0.4546636,-0.020702297,5.180297,1.5890296,4.8395247,5.5544105,-0.04827458,6.670486,0.30511484,8.890287,4.2776814,2.2823899,5.5021377,-0.17951263,4.9425554,-0.040217627,-0.23522608,0.15599768,-0.15735549,-0.0250232,3.0860326,7.597996,2.22029,1.1362547,6.1100807,10.505466,-0.125387,0.070421025,-0.028330704,-0.12931758,-0.0047615375,7.970048,1.4041114,-0.016092451,-0.15529567,-0.13112842,1.8656943,0.11954993,-0.20375331
t5,-0.42472583,1.8534284,1.5947052,1.9785134,-0.0020289868,5.4157243,-0.03728989,-0.06796307,2.3417244,0.22375733,1.9139274,0.67976105,-0.6152966,2.0550213,-0.030098243,-0.1045524,4.3707967,-0.1631469,-0.048512556,-0.3656529,-0.008298076,-0.01721392,3.1519613,4.0681243,2.1504643,7.6081166,7.963106,3.6955814,0.018832618,0.54000825,-0.122944154,-0.054343294,5.5944104,2.8636446,1.0522016,-0.077165,-0.06435112,-0.004232821,0.111344345,-0.01635811
t6,-0.25204808,4.1518126,2.465273,1.2803645,-0.0012434851,7.1757708,-0.034408577,-0.01070811,-0.016161788,0.22590625,0.5804751,-0.025585039,-0.85594404,0.6510192,-0.0013212615,-0.23913667,5.8835535,-0.1723977,-0.044305004,-0.39546582,-0.018460985,-0.022443978,0.8331065,6.1404247,2.000378,8.532907,6.462395,5.4524884,0.82046294,0.019276561,-0.14560589,-0.11337595,5.415577,4.187678,2.371557,-0.017008228,-0.06857942,1.0012101,0.11282417,0.6680311
t7,-0.44375575,0.8987663,1.0972626,2.0791833,0.14360094,5.254828,0.096596465,-0.07992419,3.3673153,0.2519181,2.9743662,1.2862686,-0.528144,2.3776124,-0.0550928,-0.06550554,3.6471543,-0.15561157,-0.05174255,-0.30142528,-0.0120284585,-0.008482641,3.8202531,3.9823625,2.0188556,7.7922506,9.294748,2.846102,0.023155233,0.53939444,-0.13697408,-0.038561754,6.0000253,2.5931418,0.47131577,-0.10627216,-0.0664543,0.1328933,0.12806189,-0.036792707
t8,-0.4977609,-0.11061063,0.49468458,2.526572,0.74794126,4.798261,1.0049765,-0.08678373,4.4327917,0.2720481,4.411251,2.26646,-0.3624452,2.9654627,-0.09055678,0.5269638,2.617692,-0.16454934,-0.047460366,-0.24354193,-0.018811474,0.39940497,4.7814417,3.481912,1.8899239,7.792171,10.582528,1.6387267,0.03794323,0.3430162,-0.13744393,-0.009394564,6.433567,2.1314642,-0.0054710624,-0.117124066,-0.08680243,0.71824944,0.1359569,-0.077059485
t9,-0.7877118,-0.6664903,-0.029677019,6.048929,2.1139417,5.3789864,6.707926,-0.026391491,7.856049,0.36013752,10.75918,3.9826872,4.111315,6.4380884,-0.18870491,5.962355,-0.14237423,-0.24703492,-0.0061665126,-0.12818602,-0.022107031,4.5671015,8.930508,2.6943502,0.36688885,5.997073,11.337861,-0.2125058,0.07370507,-0.044050634,-0.12766188,0.228744,9.10442,1.3218565,-0.043218233,-0.16440511,-0.091559224,2.2458193,0.10680361,-0.2213121
t10,-0.5905474,-0.35006258,-0.0031552878,3.557156,1.5891753,4.695303,2.655438,-0.07816615,5.5480475,0.301804,6.6289,3.6774657,-0.12266314,4.2129593,-0.1372529,2.5305977,1.2387902,-0.19011419,-0.030790936,-0.18761066,-0.022966232,1.6009758,6.3793516,2.8425639,1.5550535,7.8788,11.835822,-0.0131134745,0.051058874,-0.0013253846,-0.13828075,-0.00475269,7.186187,1.6199181,-0.01845216,-0.121238194,-0.12389748,1.8186389,0.14199327,-0.13105586
t11,-0.5922538,-0.34802526,-0.00304676,3.5275934,1.5899458,4.7270403,2.6353245,-0.078278966,5.593953,0.30266875,6.640518,3.688191,-0.12381116,4.2075105,-0.13773112,2.5429318,1.2306371,-0.18949129,-0.032727107,-0.18730427,-0.022522876,1.5907639,6.3760457,2.8347926,1.5319847,7.903518,11.860642,-0.013678021,0.05154854,-0.0014041389,-0.13862957,-0.0059184325,7.2140546,1.6453336,-0.019350376,-0.11955929,-0.12256874,1.8062525,0.1405512,-0.13012518
