"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95"
"t1",-0.0504074034411848,0.0138164167658221,0.0544073052584303,-0.00153521541148598,0.117395335585874,-0.0546666488503237,0.0345391324078982,-0.401995031933443,0.0012329148706645,-0.0085964633420612,0.549006422814828,-0.260248637627472,-0.0109556991061106,0.0011085189847612,-0.198284375160762,0.000305224133225227,-0.00209021691729168,0.00639551187386133,-0.0120161043779779,0.0793513606029611,-0.00163551458065866,0.0052965148886425,-0.00293613298870738,0.00178979986145394,-3.71662208318245e-05,0.000853153545866832,-0.0135735161988829,1.92928957081364e-05,0.000921695936809268,-0.00373529740079738,1.8943325426431e-16,0.0030857524436167,-0.000189041803166878,0.0027922505488931,-0.00133508110725902,-4.21092536271534e-05,0.00316419947715512,-5.07024192520884e-15,-0.00426507722874885,0.0248831637712309,-0.623105266282077,-0.00423118066660698,0.00133422996190852,5.99336215772668e-17,4.27723896804541e-17,2.04398729231495e-16,2.41072858302392e-16,0.000103319765003668,-4.71587447499326e-06,-0.000243810968153303,2.08687950997063e-05,6.40673014868133e-07,1.28573618887863e-05,3.90114287265693e-18,-1.64925377164011e-05,-4.20103186887396e-07,-1.57163312607032e-16,-1.54841111917404e-17,-4.78188594504576e-17,-1.4539961051341e-05,9.58631400274895e-06,8.67339677260421e-18,2.61073821820309e-17,-0.00015232371901532,-2.31220661289431e-07,-7.48693708718506e-17,-5.57384488196122e-17,9.89035666011799e-17,-8.38960183152845e-17,-1.55224685069179e-17,1.35379634886301e-05,3.89981565339971e-17,-3.3807577509663e-05,-1.08030034682124e-06,-3.49160713820449e-15,-2.52910342646432e-17,5.52813369606274e-05,-7.31634893665843e-17,-6.20551917730701e-06,-8.92387516515365e-18,-4.56835877162908e-18,-2.52904009405167e-16,-3.5465911297344e-17,4.93099408778665e-17,9.34578460214784e-18,1.81914495536824e-05,-4.33683796291537e-17,-1.82282615035167e-16,1.32953456574278e-16,8.56872724180079e-17,2.08009291969117e-16,-1.46387637750444e-06,-3.47356970329468e-17,-9.33999495858773e-18,-5.87347032419384e-17
"t11",-0.0510191591537114,0.0141569005661191,0.058359702542465,-0.00169625778823598,0.13578087428554,-0.0646260976196403,0.0425865003421088,-0.499328002116384,0.00167766749907268,-0.0203402661618473,-0.444764338673974,0.0783197716539977,-0.000879385291799176,0.000195794789109922,-0.0545783116386303,0.000101584840183818,-0.000953230260772317,0.00311081414706191,-0.00624476949790693,0.0421293946338681,-0.000875715162783627,0.00287174694973453,-0.00160554628930271,0.00097374749966355,-2.00904970344203e-05,0.000452759135899783,-0.00694836865556463,9.78077135782755e-06,0.000466742175564871,-0.00183922501791819,2.62084330563291e-16,0.00146955042829626,-8.74431919140296e-05,0.00101887198245864,-0.000404962001660409,-1.23691496467051e-05,0.000762625980414574,-0.707106781186548,-0.000689446560721584,0.00354942860663823,-0.0190250526807084,0.000366163957276855,-0.000117627738391646,3.87626650686341e-16,3.99610804259448e-16,5.37698655864361e-16,2.78845530855445e-16,-0.000155626286084778,1.45681304082999e-05,0.0015005965714987,-0.000152248361679504,-6.65709251484994e-06,0.000242758470957331,-1.06403169673751e-16,-0.000190222333540218,-4.63771225253156e-06,1.13496796099857e-16,2.2102262860026e-16,-1.58999992817367e-17,-3.6390365446309e-05,2.34181906619967e-05,-7.19752826478291e-17,1.82291141059197e-16,-0.000317110278030811,-4.7260375879528e-07,1.97242439544987e-17,1.92949533272914e-17,1.37400750936343e-16,-3.05920637515081e-16,2.5447066463552e-16,2.28255147421325e-05,3.60834903990489e-17,-5.37403565408035e-05,-1.71654050273377e-06,-5.32681822580441e-15,1.78319450151093e-16,8.30765762589599e-05,3.25097436101707e-16,-9.26288295798536e-06,1.05418559530431e-16,8.05055663431676e-17,-5.04791295442587e-17,-1.50038633635945e-16,-1.15971228259415e-16,-1.39986331702064e-16,2.64197935619171e-05,-1.38764206161455e-16,7.51225099833667e-17,-9.37760572175129e-17,8.29580685178345e-17,2.63286265347569e-16,-2.00767321605864e-06,-2.86554519524067e-16,-2.99252003062675e-16,-3.5434967853439e-17
"t12",-0.0510191591537112,0.0141569005661194,0.0583597025424649,-0.00169625778823589,0.135780874285541,-0.0646260976196404,0.0425865003421091,-0.499328002116385,0.00167766749907288,-0.0203402661618474,-0.444764338673976,0.0783197716539978,-0.000879385291799456,0.000195794789110005,-0.0545783116386299,0.000101584840183776,-0.000953230260772344,0.00311081414706185,-0.006244769497907,0.0421293946338676,-0.000875715162783794,0.00287174694973468,-0.00160554628930288,0.000973747499663598,-2.00904970346433e-05,0.000452759135899716,-0.00694836865556479,9.78077135757384e-06,0.000466742175564705,-0.00183922501791907,-1.41117129289626e-16,0.00146955042829695,-8.74431919135586e-05,0.00101887198245869,-0.00040496200166491,-1.23691496490215e-05,0.000762625980432906,0.707106781186547,-0.000689446560727166,0.00354942860664098,-0.0190250526807206,0.000366163957275206,-0.000117627738394816,-4.47761978407124e-16,-3.25060327066228e-16,-6.51011083222737e-16,-3.9860000567299e-16,-0.000155626286084469,1.45681304092202e-05,0.00150059657149961,-0.000152248361679562,-6.65709251667896e-06,0.000242758470957489,1.0649785564938e-16,-0.000190222333540727,-4.63771225325321e-06,-5.19199005753303e-17,-2.26933024074134e-16,-8.30328195118171e-17,-3.63903654455886e-05,2.34181906620431e-05,5.72469621367161e-17,-1.78039638138896e-16,-0.000317110278031313,-4.72603758262084e-07,-1.04550733604875e-16,2.52526121699672e-17,-1.89745457483418e-17,2.67081622521681e-16,-2.68044782501154e-16,2.28255147424477e-05,5.49617872616043e-17,-5.3740356540946e-05,-1.71654050247713e-06,-5.39369832762017e-15,-2.55421599253707e-16,8.30765762588657e-05,-3.37477599046953e-16,-9.26288295796407e-06,-1.53603328487829e-16,-1.09941319088579e-16,-4.58266063749443e-17,1.0724340073926e-16,1.46686493518555e-17,1.2073537778752e-16,2.64197935616299e-05,3.62726847264656e-17,-1.18940477811118e-16,8.20943795222596e-17,9.05613735793423e-19,-2.24746393678126e-16,-2.00767321592874e-06,2.14436350835443e-16,3.7205980472344e-16,-6.29346479316253e-17
"t3",-0.0161556796735264,0.00781174092851844,0.0492833421578349,-0.00102824085648945,0.0354749588605595,-0.0149937452806565,0.00824573278921709,-0.085502022738929,-5.56301481018647e-05,0.0029368398076146,0.070523658425801,0.0713843930390415,0.00348819774900109,-0.000829758055486444,0.128756995152324,4.01471120994403e-05,0.00374728367692102,-0.0363239069150682,0.0953279776030208,-0.756795974757252,0.0159235506580477,0.603739204674578,-0.0148998176556151,0.0316840567138864,-0.000512631390585101,0.00820908868593909,-0.031185400039801,0.000150841031697693,0.00704142843328469,-0.00741280630379865,5.4936855636626e-16,0.0164004943786602,-0.000311715596563875,0.00819998913916888,-0.0011481779835166,-3.47969649923011e-05,0.00206428156528862,-5.20647078559332e-16,-0.00418371824115646,0.0207608409307817,-0.014259872856103,0.00120804291674251,-0.00106900278213941,5.17558193942321e-17,-4.56038048161841e-17,1.32288267301338e-16,-1.34080152406376e-16,-0.000944504810087873,8.49820131276129e-05,0.00354279244931412,-0.000902498816482377,-1.55849177390733e-05,0.00135177904094952,-3.27823751006118e-17,-0.00105199444083381,-2.56276618006292e-05,2.22536118673512e-17,-1.0858284176621e-17,-5.61540237810737e-17,-0.000186018325827282,0.000119327304642806,3.24728982028963e-17,3.32731823915103e-17,-0.000672919202476511,-2.34402202585027e-06,1.33379662099447e-16,9.41688502036796e-17,1.01924368489707e-16,-4.40911280698369e-17,-2.03892890473074e-17,0.000108073618451706,-3.27784346400644e-17,-0.000108614104843558,-7.98062700030834e-06,-2.46509938203452e-14,-7.72775395692147e-17,0.000165368781233201,-2.7994965846794e-16,-4.20312013912139e-05,-3.93342662633847e-17,4.14504474218555e-17,-1.71346409998657e-16,8.39275292966929e-17,7.53285813562807e-17,1.886940050291e-17,5.20341513046839e-05,8.74666034566996e-18,1.33790518424455e-16,2.82489201065496e-16,1.10125768505497e-16,-5.99176276225207e-18,-3.8728715471397e-06,2.52127791719903e-17,-7.15089920106577e-17,4.08198806660014e-17
"t22",0.0974989749095072,-0.00768073458964591,-0.0553122595077007,-0.177079113413765,-0.000729109741836154,0.000401119814665847,-0.0050341096669903,0.00194522296259241,0.000610496980209195,-1.17327817851093e-05,0.00277024554195232,0.00910715033797435,-9.76644822915725e-05,-0.0184733882894886,0.000411119672004037,4.78533129135591e-05,0.000185187124521057,-0.077829494117624,0.35372026401233,0.050107670287723,0.0156658463373332,-0.00877193880330064,-0.000194293377633438,0.0303979545936806,-0.000483260770324103,0.000892326661847687,-0.0005708157745332,3.93925314681341e-05,0.00553249605295283,-0.000132074326823552,-3.15385228268657e-16,0.00819762878795593,-4.98580035276084e-07,-0.0745808019362009,-5.10309579292349e-05,-1.36341929413785e-06,3.81688042194318e-05,2.27438266231281e-15,0.00124165160453555,-0.00266558582994096,0.00141617439246389,-0.0166245001134445,0.896726538462917,2.67253681489268e-18,-1.2540948948975e-15,1.64566163376803e-15,-7.50751108067899e-16,-0.00386138099790371,0.000306739941861431,0.000351713801029372,-0.00311629965139705,-1.40054689924848e-06,0.000703600992935085,-4.59675049036485e-18,-0.00329020476510916,-7.99455318473119e-05,4.93774990220479e-16,1.3570009439554e-16,-3.93119820025572e-17,-0.00927875167015757,0.000307813293909493,1.29380707879231e-16,-8.30999567829252e-17,-5.56546372327319e-05,-6.04701118402125e-06,-5.5591675114808e-17,-2.18999006615975e-16,-2.27236142357016e-17,-1.26066808847016e-16,-2.89147071290586e-16,0.00417379035565784,2.8956155050556e-16,-8.98708224323524e-06,-0.000291898681388564,-5.84256437472645e-14,1.80888760013835e-17,1.37264956900486e-05,-1.1744692253379e-16,-9.90503853218055e-05,-2.45505004606193e-16,1.59439131451174e-16,3.72045497710642e-16,-2.74875592196695e-16,3.97232222220931e-18,-6.73216887301354e-17,4.33335729951835e-06,-4.37645333718747e-17,-3.80224926235949e-17,1.69882199605075e-16,1.17646557266835e-16,-3.9964551822907e-17,-3.25226723684294e-07,-6.69935748928418e-17,3.19123907044111e-17,-6.94345487541784e-17
"t75",0.099308909381082,-0.00793193961135347,-0.0590380818958507,-0.191662261131485,-0.000801857291318361,0.00044382696237831,-0.00562460785451911,0.00217665255444049,0.000693362582283534,-1.38099907226179e-05,0.00340395471940458,0.011313616094993,-0.000123760830942823,-0.0236369294137168,0.000533800233386672,6.29158537913399e-05,0.000256427146174425,-0.11066625606148,0.529243267170972,0.0773076192459909,0.0245895944471505,-0.0142993928156342,-0.00037138335083891,0.061824213835886,-0.0010415263698682,0.00220731197276972,-0.00182422158864705,0.000135457310934061,0.0191896539148867,-0.000579459418421929,7.39057396905544e-17,0.051093250442165,-4.78781131092076e-06,0.244361002968082,8.71506778657807e-05,2.15934967528879e-06,-4.2589973913567e-05,-5.45997561448682e-16,-0.000925228151432587,0.00182744681641879,-0.000631002759408417,0.00503466929306981,-0.270189689547997,4.81026463875373e-17,4.60702141358789e-16,-2.19867802608242e-16,-7.54979860231983e-17,-0.000267470771734334,4.08175431184932e-05,5.97624392393801e-05,-0.000549107009266144,-2.6136018734038e-07,0.000160546849164272,-8.69783594934414e-18,-0.000784507230565331,-1.91581604591683e-05,-8.11793964814179e-17,8.28121734382933e-17,-1.07768918205641e-16,-0.00328020208517394,0.000110149059698038,-2.00289495319813e-16,5.78776346702836e-16,-2.17544495446109e-05,-2.3900739865541e-06,-1.17392535404917e-17,-5.26695838974902e-16,-3.39608177939064e-16,1.55441035496954e-16,-9.55300097912078e-17,0.00188029070296533,7.38428054709801e-16,-4.23968843203733e-06,-0.000137749752376496,-2.7326385156618e-14,4.27116221470684e-15,6.78803744106769e-06,5.45051813476632e-15,-4.9272070841147e-05,-8.63234888642475e-15,1.70991231529251e-14,0.707106781186548,2.82601512910856e-15,1.23954604596695e-15,-7.77418767827849e-17,2.20901712135398e-06,-1.37394972302092e-16,3.31881520328469e-16,-1.03892699988041e-15,3.88343608879788e-16,4.24669804978574e-16,-1.75017202333017e-07,-3.65406059823448e-16,3.6501082084297e-17,-1.04796390687729e-16
"t76",0.099308909381082,-0.00793193961135356,-0.0590380818958508,-0.191662261131485,-0.000801857291318764,0.000443826962378213,-0.0056246078545192,0.00217665255444083,0.000693362582283508,-1.38099907226116e-05,0.00340395471940469,0.0113136160949927,-0.000123760830942777,-0.0236369294137169,0.000533800233386339,6.29158537914382e-05,0.000256427146174484,-0.11066625606148,0.529243267170972,0.0773076192459908,0.0245895944471506,-0.0142993928156344,-0.000371383350838955,0.061824213835886,-0.00104152636986849,0.00220731197276994,-0.00182422158864726,0.000135457310934146,0.0191896539148866,-0.000579459418421866,-8.71829068691077e-18,0.0510932504421651,-4.78781131093452e-06,0.244361002968082,8.71506778658031e-05,2.15934967545215e-06,-4.25899739134484e-05,-5.65821464674947e-16,-0.000925228151432456,0.00182744681641889,-0.000631002759407862,0.00503466929306983,-0.270189689547997,-1.54854419675526e-16,5.94335168595573e-16,-5.72212046833046e-16,3.46852941105366e-16,-0.000267470771734175,4.08175431185605e-05,5.97624392392242e-05,-0.000549107009266006,-2.61360187381149e-07,0.000160546849163799,1.24651467987361e-16,-0.000784507230564836,-1.91581604593073e-05,-1.09082509709374e-16,-1.64302368183621e-16,1.07312537616945e-16,-0.00328020208517432,0.000110149059698171,7.84818004479193e-17,-5.24209364676149e-16,-2.1754449545161e-05,-2.39007398699305e-06,1.9157050674852e-17,7.8422179091852e-16,4.59824638821718e-16,-7.55674287030351e-17,3.54549676871711e-16,0.00188029070296621,-7.23507386991957e-16,-4.23968843048634e-06,-0.000137749752376561,-2.94710155725024e-14,-4.30151003755052e-15,6.78803744606725e-06,-5.99038866310172e-15,-4.92720708366463e-05,8.74316471418844e-15,-1.72162563076227e-14,-0.707106781186547,-2.80403779330184e-15,-1.10604646008278e-15,1.20454773217846e-16,2.20901711864591e-06,2.39248229363023e-17,-5.91167839880413e-16,1.31673403865654e-15,-3.44176563018532e-16,-4.73164063126145e-16,-1.75017202394829e-07,2.43863348097578e-16,-9.3593195945241e-17,-4.44724331612137e-17
"t69",0.108011458151557,-0.00927319191029186,-0.0857883402290034,-0.313589224526018,-0.00154786898225712,0.000922396724483743,-0.0133852134742592,0.00530059424299439,0.00221775940901259,-0.000259361046598931,-0.0109563252147131,-0.0273452161392575,0.000201901532740335,0.0330109503470596,-0.000606191891434182,-6.11085164559592e-05,-0.000147115853383981,0.0507412739362891,-0.165024700905052,-0.019433214706337,-0.00549318664854863,0.00247252427182495,1.89989618741802e-05,-0.00149738139326334,4.7233827913141e-06,6.31736025590388e-05,-0.000115048956817784,9.39822807075874e-06,0.00134439193794631,-4.88454905016866e-05,-2.02867327078719e-16,0.00492598468870683,-4.9906160729256e-07,0.0313446044669673,1.12765920698e-05,2.78585750813074e-07,-5.31881086600306e-06,-5.52848566639e-16,-0.000104834343607836,0.000200490708520525,-5.20383580266542e-05,0.000212414365025201,-0.0112220166998194,1.91395435124771e-16,9.04361116390804e-17,7.40613671289519e-17,-3.92397557767659e-16,-0.000188422393674287,1.68731961885089e-05,1.95870259476146e-05,-0.000172780230110354,-7.66393294379227e-08,3.23044956947256e-05,3.21298945034601e-16,-0.000136342743521164,-3.26381808815131e-06,-3.72383478446572e-16,4.50689408293161e-17,-5.55333457747499e-16,0.565798345792175,0.000888652728092881,2.51109154694658e-15,1.38848505025082e-16,-2.82951735311635e-05,-2.90414875039276e-06,3.61768430312754e-16,-1.49765154226976e-16,3.09693014170775e-16,4.8467496513622e-16,-1.85876925605383e-16,0.135728492620247,3.48334518784306e-16,-2.55097875912665e-06,-0.00707715733641123,-1.24539558185917e-14,-3.45288054168624e-15,3.84307071882634e-06,-0.707106781186548,-2.7899063641654e-05,5.79197006250744e-15,-4.27656875791793e-15,5.38668832050818e-15,-3.83819753575838e-16,1.16395724250384e-15,-7.99863422812084e-16,1.24583458499469e-06,5.84785126900208e-17,-2.50570328780796e-16,-5.07033618655957e-16,-1.83516934117755e-16,3.8925670098319e-17,-9.70480593014272e-08,-2.52970212045968e-16,-1.06565903691466e-16,-1.51169804551452e-16
"t70",0.108011458151557,-0.00927319191029189,-0.0857883402290034,-0.313589224526017,-0.00154786898225698,0.000922396724483743,-0.0133852134742592,0.00530059424299439,0.00221775940901258,-0.00025936104659896,-0.0109563252147129,-0.0273452161392574,0.00020190153274038,0.0330109503470596,-0.000606191891433738,-6.11085164559963e-05,-0.00014711585338395,0.0507412739362891,-0.165024700905051,-0.0194332147063373,-0.00549318664854872,0.00247252427182492,1.89989618741976e-05,-0.00149738139326351,4.72338279142019e-06,6.31736025590145e-05,-0.000115048956817521,9.39822807068124e-06,0.00134439193794642,-4.88454905016381e-05,1.17552216964052e-17,0.00492598468870701,-4.99061607046013e-07,0.0313446044669673,1.12765920696582e-05,2.78585750605612e-07,-5.31881086571553e-06,-1.51052608009442e-16,-0.000104834343607795,0.00020049070852058,-5.2038358026571e-05,0.00021241436502527,-0.0112220166998194,-1.91412007514399e-16,-4.27385116582466e-17,1.83773395224953e-16,-7.24363187546828e-17,-0.00018842239367421,1.68731961883881e-05,1.95870259474275e-05,-0.000172780230109837,-7.66393294929148e-08,3.23044956945843e-05,-5.42829803356413e-17,-0.000136342743521652,-3.26381808840668e-06,3.1039852197177e-17,-3.54315284918431e-17,-7.50948763092295e-16,0.565798345792175,0.000888652728092772,2.69054675387882e-15,2.65605114585059e-16,-2.8295173531439e-05,-2.90414875000869e-06,2.6270155841648e-16,-2.61188633490434e-16,3.76080424423278e-17,-4.76624134352373e-16,6.81222227900987e-16,0.135728492620247,1.01963314491481e-15,-2.55097875831868e-06,-0.00707715733641179,-2.03223128928618e-14,3.3231727618157e-15,3.84307077373682e-06,0.707106781186548,-2.78990636297521e-05,-5.37449589856425e-15,4.24043718384798e-15,-5.7050510502382e-15,3.64200498190254e-16,-8.28037773652045e-16,1.11552844760955e-15,1.24583458806365e-06,-1.18501254122193e-16,-4.06120001431403e-16,4.46128405993471e-16,-5.79291716493467e-17,9.54406329621973e-17,-9.70480601820413e-08,3.54350868374548e-16,-6.37852222529569e-17,6.10021372498083e-17
"t64",0.108269236096226,-0.0093115360387787,-0.0864902794202947,-0.316673730345082,-0.00156596240448709,0.000933818251108387,-0.013565681026536,0.00537294919406135,0.00225168457089492,-0.000264318554594106,-0.0112133574500461,-0.0280158440180651,0.00020723494464063,0.0339127230952314,-0.00062356624568391,-6.29288206945565e-05,-0.000152154413211552,0.0525888691979516,-0.171684226179158,-0.0202610987704009,-0.00573391468205564,0.00258727244314952,2.00628488309304e-05,-0.0015860786088049,5.01641888237729e-06,6.74664431875201e-05,-0.000123867317030291,1.01377859667806e-05,0.0014504930838153,-5.29669720062687e-05,2.52715970176593e-17,0.00537070405926428,-5.46498921489332e-07,0.0352949877199155,1.29008253407625e-05,3.19473697128324e-07,-6.17796749134356e-06,-1.64571184277639e-16,-0.000124017989715276,0.000238184547806164,-6.33183692539431e-05,0.000264538844780669,-0.0139801398451016,1.18675505282394e-16,2.33491001400785e-16,-9.34621393240655e-17,7.17771925457554e-17,-0.000284631111020709,2.86062772476208e-05,3.72410746915788e-05,-0.000337127176604112,-1.5700388771099e-07,9.1339053021185e-05,9.70278049150213e-17,-0.000444029585188926,-1.08395362929853e-05,1.51000550620141e-16,-1.63438267572137e-16,3.49488279840241e-16,-0.192746156856504,-0.000243483352992362,-7.86410348830646e-16,1.7736034387838e-16,-5.06588738934284e-07,-9.97550230192085e-08,4.00077465470745e-16,-1.2379285948666e-16,1.40462808030302e-17,1.87789631404309e-16,-1.85974325300044e-15,-0.361353057207355,-1.95473665717961e-14,2.95022101963395e-05,0.815987453992911,-2.16057983739337e-14,9.2833043971042e-18,4.15598765059959e-06,1.86448468140177e-16,-2.94087498477398e-05,-3.26168328393125e-16,-2.37114748653773e-16,-2.89396197591083e-16,-4.97783859672384e-16,3.11158829545643e-16,-6.35564791681793e-16,1.22366176393229e-06,1.20365217079423e-17,6.78704338842549e-16,6.09160941901438e-16,4.15738631152549e-17,1.25462818397918e-17,-8.96304249644057e-08,1.2991841286411e-16,-1.49559396008853e-16,-5.39744510571012e-17
