,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,
top,LB,mcar,ultrametric,continuous,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,
mean,,,,,0.7958902239439817,0.5624457512391007,0.6628504791400929,0.777293776781097,0.6330709209266591,0.802860421322796,0.8056995253701987,0.6308198205142187,0.6086961006123418,0.6778150228284834,0.6387129294958366
std,,,,,0.2983712125492594,0.21438542943982114,0.20995453428357352,0.7508224729066751,0.2795857853654514,1.230981957383083,0.926947990899073,0.24491937539766906,0.2256482859122345,0.21421756282525595,0.216186284197439
min,,,,,7.33137435857406e-05,0.1817746396917157,0.14257434094270732,0.27557485548893507,0.15905302556696466,0.2630142738021276,0.2726974071052117,0.1790798315092828,0.19096449508178753,0.2201340707171897,0.2209859258183001
25%,,,,,0.7184665956635699,0.3974109295882517,0.5279236131721015,0.5308635916208333,0.44477284202011586,0.5648491156438207,0.5835163465560071,0.46955698941305496,0.4552438680465102,0.512187998563832,0.4881376444273479
50%,,,,,0.941312120094998,0.5378983381461806,0.6420747936818659,0.6996135442178175,0.5852525047241857,0.7145583821635522,0.7287412099217336,0.5995660991408697,0.581823810549542,0.6670542400223761,0.6150774198500264
75%,,,,,0.9953670651482655,0.6844136269537169,0.7857036660262227,0.8416981669084853,0.7612365148749759,0.858187166715781,0.8833601623619183,0.7533672042724581,0.7245802621763611,0.8051391676796453,0.7714019869499941
max,,,,,1.00170445898406,1.4920934977510167,1.556802732867091,12.839330468268958,2.6784063882984936,24.34905752225572,18.24276378864078,2.4017257631725046,1.5789015224807001,1.3361014835416385,1.6584673657493803
