,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
t1,-0.3075196,5.2409964,-0.30085203,-6.784614e-05,0.0036068452,0.71389097,-0.27231508,-0.008405279,0.031068387,8.403823,-0.30741686,-0.3175378,2.285485,0.008254485,9.771455,0.36556885,5.5249486,-0.056850802,1.022082,-0.07885896,15.05379,-0.14522904,-0.030158639,-0.48141795,4.237507,7.0414467,2.884546,-0.004792952,0.2791292,-0.30665836,-0.33089045
t2,-0.31041032,2.8740692,-0.2050527,1.1807203,1.6640544,-0.0013966575,-0.16479933,-0.006862972,0.024285695,5.368075,-0.3266742,-0.2123011,-0.012854405,0.006765048,8.443636,0.15149662,3.7514548,-0.03003521,-0.005030998,-0.07266599,13.88165,-0.1161839,-0.05039728,-0.37819433,2.1847696,5.7002435,2.8565536,-0.010683759,0.33451343,0.40030745,-0.30596513
t3,-0.2897487,2.3144596,-0.18207698,1.4269592,2.197378,-0.0021585245,-0.14942428,-0.007822044,0.020706356,4.6219354,-0.31829885,-0.16990526,-0.038939968,0.00669482,8.201921,0.12761359,3.2536962,-0.017380916,-0.00973832,-0.070325606,13.092914,-0.098324284,-0.040068213,-0.35771355,1.666138,5.133099,2.1695158,-0.011510196,-0.004012078,0.7627326,-0.26550514
t4,-0.2762668,2.0568461,-0.16943082,1.525027,2.4196258,-0.0024579098,-0.13787735,-0.008256293,0.018392606,4.153557,-0.314441,-0.14612848,-0.052076284,0.006541183,7.978169,0.117725246,3.0097783,-0.010828382,-0.012997095,-0.068015344,12.562768,-0.08911982,-0.03238407,-0.34831038,1.4042335,4.785038,1.8205216,-0.011707052,-0.010809222,0.9734783,-0.24507548
t5,-0.28911257,2.566213,-0.18647647,1.282883,1.9619848,-0.001705511,-0.15801917,-0.0075233188,0.02222683,4.7282486,-0.31505394,-0.18591884,-0.016905239,0.0066181086,8.01179,0.14255302,3.3191075,-0.021828745,-0.0047414526,-0.06821274,12.947181,-0.10098721,-0.042840272,-0.35876697,1.7773627,5.1229634,2.440888,-0.010691585,0.027702855,0.64791983,-0.27558842
t6,-0.22379795,1.5202893,-0.11104916,1.8275937,3.2224371,-0.0010664659,-0.05436244,-0.008920853,0.008305157,2.836034,-0.27684247,-0.09048375,-0.09504734,0.005519941,7.4550323,0.13829604,2.2818682,0.45093125,-0.025211863,-0.057316035,10.653753,-0.060157195,-0.011727724,-0.31619802,1.0014074,3.6196566,0.6619214,-0.012321072,-0.028076494,2.0679843,-0.15025082
t7,-0.24762309,2.0543196,-0.15197852,1.3253849,2.0862746,-0.0011588658,-0.11419968,-0.0075038476,0.016742418,3.8207908,-0.2827839,-0.14383447,-0.03746735,0.0055777407,7.050903,0.12153869,2.8035028,-0.014155099,-0.007542196,-0.06164586,11.218477,-0.08396481,-0.023638947,-0.32817683,1.4492033,4.284387,1.803403,-0.009629901,-0.010182698,0.6874624,-0.23838513
t8,-0.15420832,-0.015369131,0.27634096,3.3715723,6.0907497,0.55103,2.0798907,-0.011632957,1.2231998,-0.009864166,-0.15727998,1.5273411,-0.2863168,0.0045639873,7.500813,0.20627576,0.2097099,3.0905652,-0.05839519,-0.04127673,6.266985,1.440972,0.7853908,-0.2721892,-0.10860768,2.0169382,-0.06405695,-0.01483813,-0.08344709,5.2795353,0.82711756
t9,-0.15018676,-0.010614095,0.24618818,3.3250833,6.016507,0.5895651,1.9808726,-0.0115731815,1.1541967,-0.008874292,-0.16018762,1.4773257,-0.27771977,0.004523106,7.3592715,0.20814496,0.2133149,3.0828314,-0.057023495,-0.040517457,6.152418,1.4391254,0.8303636,-0.26250783,-0.104233,1.9572432,-0.06244013,-0.014592704,-0.08197037,5.185484,0.8045086
t10,-0.14710638,-0.03150252,0.47150445,3.4709172,6.195847,0.7712996,2.3659441,-0.011277957,1.390809,-0.024885591,-0.14735283,1.7964079,-0.29736587,0.00434407,7.1011176,0.2271859,0.043309197,3.3887193,-0.06045483,-0.03829901,5.4507895,1.8935188,0.94404525,-0.25724682,-0.13428885,1.8215525,-0.06955841,-0.013633133,-0.086067714,5.2940793,0.9589205
t11,-0.15320522,-0.08092728,0.84533477,3.8958466,6.883186,1.3124421,3.7129607,-0.011284996,2.3495278,-0.06477447,-0.13851543,2.4001524,-0.3510812,0.0044034645,7.0541987,0.27721155,-0.009145266,4.151321,-0.07503093,-0.034909565,4.186764,3.250056,1.4639574,-0.25776234,-0.13826406,1.7631,-0.08640679,-0.0127757,-0.09515365,5.5656266,1.1458279
t12,-0.1338315,-0.029113969,0.37511158,3.5320694,6.019797,0.99269235,2.457295,-0.010477074,1.5648719,-0.039810307,-0.14260289,1.8154013,-0.28711975,0.0042296844,6.616995,0.2605175,0.07885262,3.5211885,-0.06423313,-0.03465832,4.631049,2.139682,1.2429465,-0.23309621,-0.10965621,1.6489043,-0.06725949,-0.012327614,-0.08132592,4.936015,0.99521726
t13,-0.11999106,-0.02739117,0.7176332,3.1301615,5.7450943,1.3430407,2.9623027,-0.009759626,2.025218,-0.046263218,-0.107227236,1.6718893,-0.23865211,0.0026813368,5.745102,0.18248196,-0.010953873,3.6607773,-0.052217662,-0.02405186,2.424428,2.9550223,1.3476666,-0.20713085,-0.083643444,1.0673679,-0.056357346,-0.008505364,-0.06673437,4.467205,1.1001682
t14,-0.19545665,-0.3234724,2.4009097,5.7143726,9.973091,3.2352965,9.544128,-0.010189246,6.694007,-0.17610756,-0.09317393,4.03842,-0.54459566,0.0043984638,6.675183,0.3239742,-0.058142357,7.300763,-0.10351266,-0.020514771,-0.12980013,8.810592,4.4371367,-0.25557443,-0.22395825,1.1725192,-0.12908807,-0.008563922,-0.14068547,6.5424805,1.3437713
t15,-0.18013321,-0.26462933,2.0426102,5.367837,9.269043,3.0403905,8.533334,-0.009757939,6.0252404,-0.15528281,-0.09958951,3.4858654,-0.4958999,0.004229223,6.396424,0.2960503,-0.044904873,6.736936,-0.09431128,-0.018421266,-0.09237377,7.8004336,4.1975584,-0.23817499,-0.20546776,1.0803344,-0.11479529,-0.007919132,-0.12889132,6.0617986,1.2311245
t16,-0.16700087,-0.36425212,2.6798723,4.9187107,9.111885,3.044864,8.989748,-0.010620876,6.5019155,-0.21564193,-0.044509802,4.784398,-0.52748483,0.003371929,6.1840215,0.3584657,-0.062494066,6.57811,-0.094241254,-0.021664707,-0.1404224,8.975633,3.654442,-0.25554448,-0.20563576,1.1151493,-0.13535534,-0.008309074,-0.14132562,6.63398,1.3740968
t17,-0.16067049,-0.3483839,2.5962129,4.787775,8.850995,3.0035288,8.600698,-0.010434422,6.246479,-0.20781119,-0.04436663,4.636895,-0.50920975,0.0033675996,6.1181703,0.35644057,-0.058245253,6.3947954,-0.09071718,-0.021212164,-0.12660846,8.631099,3.5048895,-0.24768443,-0.20515877,1.0992563,-0.13003848,-0.00824638,-0.13665438,6.458834,1.3477645
t18,-0.18032819,-0.32628566,2.4641416,5.2346654,9.309059,3.0615869,8.863482,-0.010431608,6.40202,-0.18782215,-0.07173449,4.3254714,-0.52346885,0.0038881537,6.4584055,0.32665357,-0.055911243,6.792414,-0.09777667,-0.021365805,-0.11185612,8.627172,3.9065394,-0.25751925,-0.21050206,1.1760375,-0.13093285,-0.008280694,-0.13701811,6.506499,1.3581567
t19,-0.13303909,-0.117507726,1.0473448,3.6603587,6.295068,1.7479239,4.3951406,-0.009558753,3.405135,-0.08548676,-0.07421951,2.4385393,-0.2946123,0.003145977,5.7232127,0.18810323,-0.018953016,4.265549,-0.058808267,-0.021139368,0.8121721,4.51917,2.1474879,-0.20907016,-0.13023573,1.0070055,-0.069535956,-0.007821913,-0.083845265,4.490976,0.98668075
t20,-0.217087,-0.18049839,1.4229887,6.433602,10.394986,3.3241239,9.018695,-0.008934154,6.079272,-0.06465697,-0.14803733,1.7204056,-0.46616983,0.005970644,6.8391967,0.18440112,-0.034507316,7.729338,-0.09568854,-0.015093965,-0.100653045,7.0792766,5.788361,-0.20580405,-0.21484908,0.97255695,-0.08834552,-0.0073803607,-0.12092157,5.346903,1.0560266
t21,-0.08459915,-0.511403,3.5733118,2.0917473,6.8656154,2.6793973,9.076096,-0.010715179,6.4436383,-0.39007685,1.8311487,7.0633507,-0.5126942,0.0014115245,4.489357,0.54560167,-0.092360124,4.664266,-0.071785115,-0.017656084,-0.24214916,10.27268,1.7932158,-0.3222959,-0.30917463,0.9504551,-0.16147944,-0.012028427,-0.1502623,7.270001,1.2725278
t22,-0.07174289,-0.4879595,2.9462233,1.1258063,5.6576433,2.5636654,7.5877934,-0.010462573,5.409299,-0.3766359,2.1919477,7.1260524,-0.41484526,0.0011947271,3.917475,0.5166111,-0.06916876,3.8873098,-0.04523388,-0.010354513,-0.24431077,9.436223,1.2166661,-0.32693547,-0.36863065,0.9015153,-0.15401092,-0.013323269,-0.13344076,6.8711777,0.9900092
t23,-0.07172728,-0.4736969,2.8414798,0.9736325,5.3251843,2.5394406,7.1386228,-0.010301807,5.05976,-0.36632973,2.216995,7.034436,-0.38554013,0.0011830872,3.846357,0.5013806,-0.066300586,3.7230835,-0.03931738,-0.009427843,-0.23660631,9.141615,1.05784,-0.32350087,-0.37711564,0.90595037,-0.14961502,-0.013314174,-0.12732598,6.704925,1.0015059
t24,-0.07381832,-0.44979793,2.2255497,0.5085979,4.5491066,2.42865,5.933964,-0.0097983405,4.251537,-0.34060708,2.0481691,6.841223,-0.30999193,0.0014371703,3.7442176,0.4386685,-0.040419035,3.3936827,-0.020871764,-0.0094068395,-0.20051067,8.339994,0.80676407,-0.33403227,-0.38958827,0.79595584,-0.14829183,-0.013048911,-0.11344757,6.3052626,0.9227595
t25,-0.073175326,-0.44178715,2.1236494,0.39790875,4.3814015,2.4052026,5.668431,-0.010003531,4.0154314,-0.3330821,2.0544448,6.835967,-0.29291573,0.0014375192,3.6723332,0.43280244,-0.031676896,3.2585428,-0.017528253,-0.009141453,-0.19580188,8.153978,0.6654307,-0.33356234,-0.3922682,0.8111386,-0.14607275,-0.0132336775,-0.110224165,6.1781263,0.8998734
t26,-0.07392429,-0.4553241,2.2876124,0.5979627,4.687182,2.4347732,6.1065,-0.009913974,4.3762465,-0.34452748,2.049359,6.897614,-0.32433984,0.0014210608,3.7472806,0.44864947,-0.040703636,3.4517999,-0.023694616,-0.010062169,-0.20435046,8.488942,0.88471574,-0.33349472,-0.38872883,0.8282188,-0.14912236,-0.01297155,-0.115712345,6.343892,0.9087277
t27,-0.28751853,0.59993076,-0.043815877,10.021359,13.659481,4.176916,9.126452,-0.009895018,5.4062605,3.1613154,-0.20667675,-0.16848284,-0.43602556,0.012418915,7.5980954,0.08720643,0.8610236,10.504436,-0.09613729,-0.021791534,-0.17353424,4.261372,12.344391,-0.13437302,0.8268251,0.77597415,-0.05982324,-0.0034601928,-0.117995314,3.0760772,-0.052509908
t28,-0.02806329,-0.7096145,4.1329856,-0.051627386,3.5361211,4.1344423,8.090797,-0.015249619,1.6617191,-0.46787116,5.918135,9.279062,-0.25364152,0.001083411,2.2641838,0.61873114,-0.08688338,1.7324519,1.2101704,1.7997084,-0.52227455,11.18877,-0.06810179,-0.47293895,-0.63195753,1.9915147,-0.2263385,-0.027576072,-0.1700815,8.542433,2.6652677
t29,-0.27983293,0.7661453,-0.061443314,10.326363,13.918824,4.046431,8.576271,-0.009451099,5.1356916,3.7291934,-0.2080233,-0.19786714,-0.42039636,0.012776078,7.4463058,0.08901744,1.3455822,10.44911,-0.08942422,-0.022620656,-0.16819504,3.8183722,13.271962,-0.11583271,1.3718765,0.5505948,-0.059225418,-0.0024091508,-0.11900013,2.7252338,-0.0773884
t30,0.4351214,-0.6986136,4.5062656,-0.05721764,2.8992598,4.0331445,8.168016,-0.016691897,0.7432764,-0.46628386,7.080849,8.73854,-0.19923943,0.00147389,1.7845124,0.572882,-0.11388087,1.2646668,1.5881279,1.0235925,-0.54664284,11.353917,-0.08738066,-0.50107884,-0.59609294,2.2890227,-0.2177205,-0.027856808,-0.17638634,8.148835,4.0148015
t31,-0.017556123,-0.6692592,3.7184386,-0.06300502,2.6896093,4.311639,6.8464193,-0.015679514,0.56249696,-0.44739765,5.8739834,9.32456,-0.14762077,0.0010896164,2.1233478,0.60090506,-0.068588465,1.110828,1.8253075,2.0011003,-0.5103612,10.395965,-0.086232185,-0.46441773,-0.66297066,1.9002293,-0.22339934,-0.028267724,-0.15605149,8.059304,2.747259
t32,-0.028995132,-0.6841754,3.6623836,-0.08070538,2.1279006,4.653752,6.4473677,-0.014682546,0.0029276786,-0.42447996,5.96535,9.1513815,-0.09628013,0.0013898992,1.6495804,0.6041411,-0.033015724,0.74185824,2.6070168,3.3596265,-0.52650666,9.8832445,-0.13780478,-0.46783975,-0.7155505,2.0321817,-0.22942151,-0.031181833,-0.15197052,8.042982,2.4567864
t33,-0.03338666,-0.24632779,-0.0036834353,-0.059602287,0.5414972,1.6222464,-0.017501552,-0.011379501,0.01792964,-0.079220966,2.1141272,3.13959,5.084337,0.002250852,2.52632,0.07872735,0.5448078,-0.005031544,3.478648,-0.0011070234,-0.06966081,3.671911,-0.05110401,-0.22269437,-0.36625108,-0.0095850015,-0.10182717,-0.014947681,-0.029458538,1.8306717,1.4643427
t34,-0.05008562,-0.32632893,1.1322418,-0.0228921,2.2444892,2.09535,2.4454727,-0.009905978,1.0313063,-0.22996023,2.2764225,5.2169266,-0.0011273803,0.0015820749,3.3165972,0.24502847,0.27176073,1.6354947,1.2769003,-0.0049660513,-0.14833058,5.5833178,-0.037620287,-0.3038022,-0.32695788,0.25420818,-0.12770241,-0.013741806,-0.070744574,4.3818502,1.3225846
t35,0.7336137,-0.6885064,4.507422,-0.060951114,2.3990812,4.1024218,7.933316,-0.017688278,0.10855627,-0.46260273,7.577687,8.537794,-0.14334418,0.0018516129,1.5924414,0.5597212,-0.11130062,0.8272197,1.9191291,0.8600209,-0.5593079,11.134578,-0.092966355,-0.5057282,-0.58977246,2.3888736,-0.21492955,-0.028023658,-0.18228626,8.007493,4.64793
t36,-0.3203271,4.342931,-0.014433647,9.030692,10.475821,6.4368663,12.181973,-0.016682532,4.0373383,3.9423785,-0.24510553,-0.16878127,-0.45106128,0.017583726,8.931728,0.066822305,-0.092911825,13.71504,-0.14067331,-0.034833744,-0.27356842,2.8728285,10.01834,-0.43622756,-0.021784255,4.9210773,-0.029905975,-0.0026407682,-0.0953335,1.4940218,-0.09023528
t37,0.73519313,-0.7231042,4.870844,-0.056616887,2.8778665,3.991254,8.748986,-0.017721307,0.669092,-0.48392302,7.789044,8.74422,-0.20945159,0.0016130169,1.6392834,0.57721716,-0.12964858,1.168613,1.5990123,0.69107485,-0.58235323,11.832021,-0.087053314,-0.5207629,-0.5861563,2.490142,-0.21944495,-0.028437154,-0.19106229,8.348311,4.7042146
t38,0.8582128,-0.7306463,5.009082,-0.05661114,2.8641186,4.015567,8.943998,-0.018096702,0.6132995,-0.48978814,8.05094,8.692419,-0.20940706,0.0017289896,1.5832518,0.5777251,-0.13765934,1.1351826,1.6406654,0.55261934,-0.59454834,12.011149,-0.086221196,-0.52708584,-0.5808022,2.5667455,-0.22022086,-0.028478798,-0.19620836,8.419256,4.9798145
t39,-0.25054902,1.8715488,-0.119155,11.165192,13.9238405,3.5907314,6.5975494,-0.008184152,4.053862,5.0972033,-0.20291555,-0.27036232,-0.37294933,0.014791095,6.9192667,0.12769046,2.8637152,10.111666,-0.07518345,-0.024452899,-0.14263767,2.1235998,15.6452875,-0.09102385,2.7382283,0.45270488,-0.052447088,-0.00092279963,-0.119969904,1.511447,-0.12252547
t40,-0.17973621,6.695665,-0.22692017,9.68029,9.219194,2.9669375,3.0333169,-0.0074579334,0.36573347,7.8109727,-0.15371533,-0.31830782,-0.23571178,0.016475935,5.985674,0.5358655,5.6946564,8.51594,-0.07701907,-0.036404558,-0.07589785,-0.049890913,14.829436,-0.346194,5.938185,2.9147794,-0.05426022,1.3290253,-0.121112555,-0.3581369,-0.19513984
