,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
t1,11.466974,2.7813067,3.2182693,4.4240446,3.3284023,6.52732,5.426837,3.526028,4.1312633,2.9319286,2.2996054,5.5596266,3.7863216,4.8001785,3.7460012,4.0010533,6.1998997,5.550121,3.886287,4.7472377,4.9388084,5.990636,4.8113766,6.8280525,5.4290533,3.6233585,4.126625,7.1073155,3.2473264,5.331465,5.292896
t2,11.460794,2.7899067,3.2194808,4.42122,3.3350801,6.5590386,5.398226,3.5132983,4.1243744,2.9253764,2.3011427,5.528684,3.7937813,4.793793,3.780891,4.0060353,6.196376,5.5419,3.892404,4.7818685,4.9475574,5.968664,4.827615,6.8289046,5.426574,3.6274142,4.1240644,7.0892777,3.2469995,5.354591,5.2902346
t3,11.460906,2.7933419,3.188929,4.3871875,3.334556,6.56518,5.391462,3.496228,4.1237936,2.9256933,2.3369124,5.5305886,3.8177204,4.79349,3.779461,3.9700568,6.198946,5.5167813,3.8910215,4.786582,4.950089,5.9560566,4.813417,6.8179035,5.451616,3.624514,4.1269474,7.124592,3.2838354,5.3382006,5.2922735
t4,11.419431,2.8341057,3.2349355,4.427959,3.3763664,6.519233,5.4402165,3.5436926,4.082798,2.884083,2.2974625,5.562343,3.847414,4.7524652,3.7472222,4.012867,6.1568685,5.5597425,3.9331832,4.7431254,4.991492,6.0040054,4.823158,6.861412,5.4079413,3.666968,4.084859,7.0977087,3.2431505,5.336944,5.2507567
t5,11.445909,2.8025432,3.1790004,4.3863707,3.3489642,6.5092235,5.443207,3.518429,4.1098933,2.9109778,2.3396075,5.5908003,3.8095942,4.779026,3.71681,3.9630778,6.1793947,5.5292506,3.9064915,4.725299,4.9610467,5.9998474,4.76992,6.8354106,5.4487705,3.6419685,4.1066766,7.146587,3.287408,5.28928,5.2726955
t6,11.392519,2.869656,3.2545292,4.42185,3.401947,6.460528,5.499133,3.5861175,4.0567374,2.8581724,2.3081098,5.613392,3.92728,4.72644,3.6951878,3.9977868,6.1337705,5.5774703,3.9578874,4.682189,5.0268216,6.0614843,4.822556,6.8709965,5.411107,3.6880116,4.062384,7.122004,3.2544074,5.314303,5.227717
t7,11.426471,2.8265254,3.2030222,4.40494,3.3709528,6.5604157,5.3989253,3.5071106,4.08827,2.889717,2.3187404,5.5258904,3.8156157,4.758705,3.784638,3.9967756,6.1653247,5.527301,3.9276395,4.784947,4.983569,5.9639487,4.8188586,6.852307,5.421272,3.6603427,4.0944486,7.1011095,3.264458,5.348321,5.260449
t8,11.253447,3.0275888,3.3510354,4.4971433,3.536774,6.401284,5.578094,3.6829863,3.9153588,2.7202675,2.2345388,5.6403503,4.129268,4.585912,3.676314,4.0828924,6.0028257,5.664103,4.0887165,4.631619,5.17969,6.1348367,4.8695483,6.9710226,5.3128114,3.810571,3.9322484,7.0296254,3.177207,5.3548284,5.093007
t9,11.277367,3.009741,3.3543117,4.4905896,3.5179005,6.393585,5.5854235,3.678305,3.9380205,2.7394342,2.2397637,5.647137,4.131089,4.6098213,3.6718335,4.082134,6.026249,5.669329,4.0721955,4.642705,5.156974,6.123267,4.8807054,6.9648347,5.3123465,3.796664,3.9554372,7.037918,3.1802566,5.3400826,5.1150055
t10,11.204959,3.068822,3.3437223,4.4717402,3.5723457,6.387418,5.5844536,3.7119212,3.8678925,2.681847,2.2648153,5.658346,4.1324425,4.5355353,3.662242,4.0465665,5.951216,5.666234,4.118259,4.578909,5.2354264,6.1899204,4.8597794,6.9556665,5.346298,3.8259614,3.8829453,7.0283465,3.2133715,5.3857145,5.0380564
t11,11.228273,3.0727675,3.3960066,4.4841967,3.565489,6.3297243,5.651394,3.7404764,3.884184,2.6881237,2.2489066,5.696273,4.208353,4.556593,3.6299317,4.0766687,5.9759536,5.716169,4.117978,4.5898175,5.219006,6.1837173,4.909925,6.982862,5.304008,3.8337982,3.90674,7.024237,3.1882186,5.3439164,5.0575366
t12,11.220831,3.0570133,3.367785,4.5432405,3.566379,6.3994384,5.594471,3.698094,3.8854628,2.6895127,2.1881633,5.626841,4.1714115,4.55508,3.6829348,4.1205993,5.9754133,5.669956,4.1193147,4.6249857,5.2062244,6.141058,4.8617907,7.0108747,5.2732434,3.8463254,3.9025218,7.001283,3.1299937,5.362883,5.0671697
t13,11.202968,3.0784097,3.3768106,4.536531,3.580405,6.366116,5.6344323,3.7310498,3.8663766,2.673236,2.196528,5.646262,4.2065053,4.535395,3.6642096,4.108021,5.955488,5.685531,4.1319656,4.5908365,5.227105,6.1751776,4.8670115,7.012074,5.2799664,3.856899,3.8826444,6.99738,3.1384501,5.368456,5.0407653
t14,11.008832,3.226745,3.4784603,4.6991253,3.6881025,6.077699,6.0016685,3.9667122,3.7239702,2.5252173,2.0555565,5.7609835,4.6423483,4.3611884,3.4950824,4.06068,5.8397365,5.7525835,4.253449,4.2295704,5.4078193,6.4772344,4.827909,7.0719,5.213473,3.9851668,3.732672,6.9692826,3.003731,5.335376,4.8878937
t15,11.048437,3.1900513,3.4464824,4.6700907,3.659565,6.137969,5.92873,3.9058945,3.763295,2.5607946,2.0828233,5.731192,4.573379,4.4048567,3.5337615,4.0641747,5.8787622,5.7291408,4.222568,4.2955117,5.374375,6.4163623,4.8358283,7.0501814,5.223608,3.954254,3.773564,6.9947357,3.0301716,5.325158,4.9351354
t16,11.015379,3.171269,3.4174967,4.7369285,3.662962,6.138785,5.9597235,3.916147,3.7838626,2.5742154,2.0163229,5.700345,4.640638,4.4254847,3.5291893,4.058758,5.8982306,5.7002063,4.202298,4.26823,5.3985662,6.4146657,4.7986846,7.0875564,5.165098,4.0163565,3.7924926,7.0097656,2.9630306,5.297942,4.948827
t17,11.0330305,3.2159061,3.4703333,4.6744347,3.671509,6.093371,5.9959707,3.9595683,3.7393675,2.5433543,2.0791483,5.752493,4.609602,4.3807135,3.515582,4.070373,5.8484974,5.753373,4.2380385,4.254051,5.382025,6.458717,4.8383636,7.065005,5.2290783,3.9634726,3.7472677,6.959706,3.0260525,5.351707,4.9009523
t18,11.026787,3.2176669,3.4708886,4.681819,3.6787457,6.0999947,5.974869,3.9452813,3.7361243,2.536284,2.0719244,5.752302,4.609111,4.3761153,3.5105653,4.067599,5.850525,5.749648,4.2454743,4.2566257,5.391736,6.455446,4.8369865,7.0654373,5.220159,3.9682202,3.7448368,6.9706693,3.019437,5.33926,4.9040375
t19,11.144303,3.12694,3.4090052,4.583153,3.6165059,6.284342,5.741198,3.7995908,3.8223963,2.6267548,2.1558385,5.679025,4.33872,4.4835367,3.616488,4.1012073,5.9206553,5.708475,4.1711206,4.4913354,5.2829843,6.2595606,4.8615737,7.034658,5.254706,3.8982997,3.838179,6.9871974,3.0988042,5.358849,4.996445
t20,11.0449705,3.187555,3.4352858,4.6819305,3.6611784,6.1524453,5.9147778,3.8942795,3.7707553,2.5644283,2.0717185,5.7212234,4.564573,4.4136243,3.5363398,4.0686975,5.8884864,5.7225676,4.2194066,4.306679,5.3757715,6.40303,4.833018,7.0602636,5.207892,3.963243,3.780062,6.9972944,3.0177507,5.3208466,4.9465156
t21,10.976882,3.3509164,3.6117024,4.629086,3.7422984,5.8659573,6.3448067,4.254124,3.6045942,2.4612677,2.1231532,5.8637757,4.767135,4.253647,3.4315126,4.0999756,5.6878667,5.8714175,4.315187,4.067542,5.3718266,6.6568255,4.846678,7.1247497,5.3007245,3.9958785,3.618909,6.78974,3.059474,5.5012865,4.706178
