"accepted_species","traits"
"t16",0
"t18",1
"t20",0
"t21",1
"t23",1
"t29",1
"t31",0
"t34",1
"t35",0
"t36",1
"t37",0
"t38",0
"t40",0
"t41",1
"t42",NA
"t43",0
"t44",1
"t45",0
"t48",1
"t49",0
"t51",0
"t52",0
"t53",0
"t54",1
"t56",0
"t57",1
"t59",0
"t60",1
"t61",0
"t63",NA
"t66",1
"t67",1
"t68",1
"t69",1
"t70",1
"t71",1
"t72",1
"t73",0
"t74",0
"t75",1
"t76",NA
"t77",0
"t78",1
"t79",0
"t80",0
"t81",0
"t82",0
"t83",1
"t84",1
"t85",0
"t86",1
"t87",0
"t88",0
"t89",0
"t90",1
"t91",1
"t92",0
"t93",1
"t94",1
"t95",1
"t96",0
"t97",1
"t98",1
"t99",1
"t100",0
"t101",0
"t102",0
"t104",1
"t105",1
"t106",1
"t107",0
"t108",NA
"t109",1
"t110",NA
"t111",1
"t112",NA
"t113",NA
"t114",1
"t115",1
"t116",1
"t117",1
"t118",1
"t119",1
"t120",1
"t121",1
"t122",0
"t123",1
"t124",1
"t125",1
"t126",1
"t127",1
"t128",1
"t129",1
"t130",NA
"t131",1
"t132",1
"t133",1
"t134",1
"t135",NA
"t136",NA
