,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t8,14.819913,0.7019501,5.1618123,5.647709,4.436524,5.4327426,3.4547246,4.4173083,3.776217,5.202976,6.1351914,2.9982507,5.504697,2.0884,5.117926,5.619601,5.335166,5.145514,2.447546,5.50428,3.7997255,3.3923416,4.7200875,4.4816737,5.7093935,6.191275,5.936624
t13,14.794226,0.7004184,5.139483,5.6601954,4.4793067,5.4493613,3.4771576,4.4480186,3.7984,5.2191067,6.138243,3.0104046,5.5155234,2.0694206,5.1014113,5.6547756,5.350906,5.1223927,2.4183156,5.4939137,3.7911963,3.3984435,4.756495,4.512728,5.750931,6.1763215,5.9685154
t18,14.8183775,0.72342217,5.148208,5.670677,4.4346786,5.4487405,3.4243977,4.4120536,3.7852306,5.186771,6.1139364,3.008431,5.4844284,2.0488272,5.089761,5.6256404,5.3673677,5.151732,2.4197164,5.4712424,3.7716262,3.4454732,4.746716,4.523125,5.708922,6.1745167,5.9278417
t19,14.878065,0.73465055,5.1736174,5.666168,4.370545,5.4425716,3.3540442,4.35521,3.7392254,5.1413307,6.085767,2.9919257,5.449407,2.0269623,5.099312,5.5921926,5.3700724,5.213481,2.4423592,5.4643507,3.7669003,3.4737494,4.7368455,4.5105157,5.6547823,6.1594996,5.8562026
t9,14.797227,0.7598894,5.1129317,5.7174873,4.4125896,5.4264913,3.4677515,4.416104,3.8165529,5.1371956,6.044106,3.0665965,5.4996905,2.113142,5.0713296,5.579165,5.3861914,5.127965,2.4626052,5.433442,3.7358096,3.357293,4.681149,4.4848714,5.6779,6.265627,5.920966
t10,14.864878,0.72834873,5.158203,5.679652,4.3851085,5.450625,3.3958364,4.382067,3.7438452,5.1330757,6.0724206,2.9977775,5.4544425,2.016596,5.101991,5.6000905,5.3649325,5.190022,2.4311993,5.457589,3.7745228,3.4835382,4.754509,4.5248733,5.6572747,6.1604943,5.8932548
t7,14.802413,0.72335434,5.100006,5.7162776,4.4686522,5.4383698,3.4483032,4.4360185,3.805164,5.1885514,6.076137,3.074839,5.543791,2.125982,5.0940156,5.6344905,5.3614216,5.1388974,2.468584,5.4608874,3.764754,3.360204,4.725834,4.4880695,5.7354455,6.2555637,5.9379487
t4,14.845074,0.657779,5.1791463,5.625774,4.474452,5.4586473,3.4262698,4.412121,3.7448323,5.2411714,6.1747794,2.9714243,5.506796,2.0304208,5.136428,5.6888294,5.3164854,5.1731377,2.409634,5.536828,3.8389766,3.4572747,4.799541,4.518756,5.7580833,6.126298,5.9535456
t1,14.692625,0.74967957,4.95602,5.812535,4.4697185,5.3990455,3.6272807,4.562329,3.9318929,5.1455617,6.030017,3.161449,5.5262556,2.1319637,5.0465074,5.6244826,5.4068065,4.981063,2.3964484,5.4173074,3.7578905,3.2959337,4.726515,4.509797,5.7016773,6.2964697,6.054206
t6,14.760315,0.73971236,5.030485,5.7786126,4.4142985,5.406016,3.580009,4.495123,3.8585908,5.1005034,6.004246,3.121943,5.5260477,2.1362212,5.0838914,5.58132,5.3766513,5.047961,2.4507768,5.426478,3.7630715,3.3026397,4.6847825,4.463506,5.6513815,6.3058577,5.992317
