,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t8,1.8618283,8.68335,6.217052,4.4322095,1.3898369,6.2578588,-0.33091775,-0.45052755,-0.4144464,-0.00015042872,-0.08169433,0.0047052586,-0.21507746,0.34369963,-0.030421006,1.2595034,-0.011092132,0.017584391,0.023253884,-1.1117644,1.7977476,-0.031852745,-0.3630027,5.139248,0.12672205,3.0884812,-0.16491966
t13,1.7868114,8.093535,5.987589,4.455227,0.85286117,5.598619,-0.3121556,-0.38465855,-0.37267065,-0.022404775,-0.052626602,0.004221914,-0.20656368,0.35578763,-0.020267779,1.2261057,-0.020958742,0.014147332,0.022394342,-1.0859536,1.2448542,-0.032629203,-0.33917403,4.763477,0.12212131,2.918752,-0.16903867
t18,1.4335858,6.6225114,5.1689425,4.0880637,0.08404188,4.0493603,-0.26940313,-0.2478737,-0.2860762,-0.06481611,0.28890705,0.0029277408,-0.17765184,0.34026033,-0.010413355,1.0073832,-0.03826846,0.008016081,0.016174348,-0.99469036,0.22158363,-0.012314688,-0.2785226,3.8270369,0.11751807,2.569942,-0.19746469
t19,0.8004321,2.7817762,4.0098023,3.0504184,-0.038232774,1.5972619,-0.25092325,0.6089373,-0.10848906,-0.17195436,2.9017549,0.27037662,-0.07077536,0.35890213,0.7742982,1.355236,-0.069091454,0.76712877,0.004230066,-0.8111675,-0.1296207,0.37877253,-0.15863004,1.5587717,0.09904117,1.8394831,-0.23954335
t9,1.8823056,8.828354,6.2886157,4.4141192,1.4435904,6.468671,-0.33606404,-0.4572416,-0.41794997,0.02064248,-0.09118011,0.004932558,-0.22042179,0.34888786,-0.032555558,1.2612727,-0.007272225,0.01846573,0.023823295,-1.124935,1.8959769,-0.031055612,-0.3699908,5.278727,0.13110209,3.092794,-0.16553755
t10,1.2980376,6.054897,4.986678,3.8931358,-0.0029936284,3.59014,-0.26032275,-0.20792787,-0.27249867,-0.07858752,0.46606836,0.0028417541,-0.15905169,0.32622635,-0.007843782,1.0212375,-0.03701532,0.007394161,0.014262165,-0.9302763,-0.00071509,-0.0067888563,-0.25999752,3.6274238,0.11720261,2.4424448,-0.2018231
t7,1.9364595,9.170055,6.4217515,4.3791437,1.8309791,6.900513,-0.34751648,-0.49653932,-0.44555402,0.23582298,-0.11560049,0.0052176802,-0.22732498,0.33700028,-0.03801921,1.3085487,-0.0050148587,0.021086602,0.02442667,-1.1485487,2.263388,-0.023592837,-0.38346213,5.4739194,0.1327841,3.252401,-0.16103794
t4,1.5649616,6.6526203,5.417946,4.0961337,0.2847786,4.350661,-0.27682713,-0.29503313,-0.28443372,-0.05859104,-0.010451029,0.0034208808,-0.18017909,0.3220768,-0.017483283,1.2444465,-0.03304161,0.007343811,0.018461699,-0.9249118,0.42826554,-0.04291088,-0.29242805,4.056423,0.11266603,2.8450906,-0.19418794
t1,2.8750796,14.04437,8.567568,4.2384086,5.8841386,12.327315,-0.5293768,-0.87421924,-0.7360119,2.1713858,-0.3824571,0.0074111903,-0.30707774,0.32188135,-0.120083325,1.8458636,0.98054594,0.04674686,0.03708828,-1.6006259,6.2139597,-0.0713107,-0.56381106,8.292745,0.18885972,4.699789,-0.19700468
t6,2.0165238,10.513586,6.792762,4.0054307,3.4488916,8.518491,-0.40434283,-0.61841387,-0.5192421,0.9340271,-0.21396466,0.0054489966,-0.24404193,0.29555357,-0.07883719,1.578432,0.3583502,0.029007636,0.025950547,-1.2122595,3.716084,-0.037691582,-0.42939126,6.402191,0.14613096,3.8778322,-0.19769011
