"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111"
"t51",0.0585331083233118,-0.0827480713800997,-0.00234540037287124,-0.179550620652254,0.00201257752279156,-0.0616063265548317,0.050987329554695,-0.112668953433118,-0.00194001634243581,-0.00768477604861255,0.00439227324679046,0.459945393489443,0.0482714647196531,-0.123622935310144,0.0093822876725769,-0.0347351474759035,0.140240769037144,-1.94891860519754e-05,0.000241860911450049,0.00091528788340434,9.86993812366093e-07,-0.00591123352477013,2.17679427024807e-05,-3.72605196856647e-06,-0.00161731459119457,3.48552868393878e-05,-0.000601190016932097,0.000317731998558706,0.000312530605753527,-0.000811330201095126,-0.000155416123071427,1.65098022070939e-06,9.56673228401728e-06,-2.42159922592431e-05,3.02059424329097e-05,0.000882183445836351,3.28039704553802e-05,0.000581538609527128,-0.000773347129464152,-2.87660479005319e-05,5.3441598809433e-16,-4.32226630945592e-16,-6.60103423611658e-05,-0.0144632561548249,0.000639296316201822,-0.000160594892178784,-2.45809168205273e-05,-0.00257628868472434,-0.00376643327272806,-0.000393952279288976,-6.75146213462201e-16,4.36360094131899e-06,0.00013112129713334,1.70226985816118e-16,-0.000223647681704459,-1.49387300848161e-05,-3.64094656065447e-15,-9.28537788583845e-06,3.72076906276865e-06,-6.94373887047921e-06,0.000128382835252663,5.89597341092075e-07,1.18662817206531e-05,-1.17195545137644e-05,-9.34351255564392e-06,-2.2278293074602e-15,0.000694929769541036,2.06881153002029e-05,-5.74945739855368e-05,-9.54852451623558e-15,0.000933476907885131,-2.96663222206521e-06,0.823953477442128,-1.28975884398954e-14,-1.67663302602273e-05,6.55596768258759e-15,-1.40453244633889e-15,-2.37254306185386e-06,-1.21876878154251e-14,-0.000463101090977889,-1.91523497879913e-06,1.05055330470395e-05,3.94712386238928e-07,-7.06946336463548e-16,3.62909151269184e-15,2.78644352617518e-15,4.75531185131072e-15,1.40286360014022e-16,6.85769059744775e-14,0.000618853687545125,-1.3500169281973e-16,3.44412562688592e-15,1.54900303421951e-16,-0.000452601063848949,-1.13892802184315e-15,1.38056793741709e-15,-7.93178872537507e-16,-1.1064083354222e-06,5.03487107040063e-15,-1.32580386910242e-15,1.52659272582003e-15,-6.17550061643871e-16,0.000186351882537746,2.24861845788691e-15,-3.70523359908458e-16,3.24729647771063e-15,1.73620643183991e-14,-6.73517614942959e-15,6.38112817522619e-16,-2.2442976725005e-13,-0.0949157995752707
"t74",0.0586357538725671,-0.0831091307400392,-0.00236046228223382,-0.180814207151261,0.00203229797993846,-0.0623844537722675,0.0516648554024097,-0.114227824993063,-0.00198414915213223,-0.00787040712292178,0.00452315954407291,0.47485433801685,0.0500923037510557,-0.128485254603833,0.00975889231699665,-0.0361363768723037,0.14637084538846,-2.04551359777277e-05,0.000254663596916717,0.000967996263021397,1.04394742451522e-06,-0.00626565524665709,2.31057102655968e-05,-3.9628122770111e-06,-0.00172517446070131,3.73577225437765e-05,-0.000645691640132179,0.000341719560407107,0.000336789523241074,-0.00087586364659415,-0.000168943929842809,1.80446662215839e-06,1.04594177326514e-05,-2.65533763306617e-05,3.32785518660246e-05,0.000972573030956584,3.61738682191635e-05,0.00065405680769743,-0.000881539723876732,-3.3209535480616e-05,-3.15842603851439e-16,-1.29837652356312e-16,-7.69880008423631e-05,-0.0169900122114571,0.000768565457484113,-0.000198059788882874,-3.16269560904371e-05,-0.0033173795974288,-0.00490317776458783,-0.000516113270802417,-2.8011739841686e-15,6.06996980408103e-06,0.000187199889338985,-7.70815605774036e-16,-0.000351780566184074,-2.43369337375097e-05,1.6416712817389e-15,-1.58699348903539e-05,6.36766558050998e-06,-1.25289321899255e-05,0.00023496418788207,1.0854900314305e-06,2.37031057681807e-05,-2.49406357869878e-05,-2.08406353672599e-05,8.92339540680509e-16,0.00354435236095349,0.000569730930017711,9.88461292349027e-05,2.17497494840574e-15,-0.00154427229359887,3.36389858496945e-06,-0.400661763357167,5.89655965931193e-15,1.20433712969899e-06,-2.74430199746862e-15,2.60098525498983e-14,-5.32544905772709e-07,-3.05952492853644e-15,-0.000118515971789299,-5.83700783920939e-07,3.48884352941144e-06,1.48940089980584e-07,8.85425774975246e-15,-2.04724878787891e-15,7.13325503240957e-15,-2.96402230884167e-14,-9.45002139664731e-15,0.707106781186515,0.000310485680200977,6.26730059399325e-14,-6.2599698910161e-14,2.97750769905893e-15,-0.000249298656995825,-3.64590408304984e-15,8.32083457343121e-15,7.05964950185599e-15,-6.48944234187232e-07,8.34360790696516e-15,-5.28580082922873e-15,3.7294193978824e-15,2.07698609416833e-14,0.000116285210574024,3.69772181264318e-15,1.0215042254794e-15,-2.00949105498801e-16,-3.11312550476573e-14,-7.49104015550856e-15,2.59707253819178e-15,-2.11333330647887e-13,-0.0949157995752304
"t75",0.0586357538725665,-0.0831091307400391,-0.00236046228223399,-0.18081420715126,0.00203229797993809,-0.0623844537722672,0.051664855402409,-0.114227824993062,-0.00198414915213286,-0.00787040712292238,0.00452315954407181,0.474854338016846,0.0500923037510555,-0.12848525460383,0.00975889231699669,-0.0361363768723028,0.146370845388463,-2.04551359777281e-05,0.000254663596917698,0.000967996263020283,1.04394742435598e-06,-0.00626565524665993,2.31057102653545e-05,-3.96281227723549e-06,-0.00172517446070315,3.73577225427132e-05,-0.000645691640132935,0.000341719560406922,0.000336789523241572,-0.000875863646593828,-0.000168943929840858,1.80446662227715e-06,1.04594177323242e-05,-2.6553376330267e-05,3.32785518663969e-05,0.000972573030953308,3.61738682177531e-05,0.000654056807701487,-0.000881539723875617,-3.32095354783806e-05,2.07414526078208e-16,-1.98120946512401e-16,-7.69880008453798e-05,-0.016990012211457,0.000768565457485527,-0.000198059788883413,-3.16269560922764e-05,-0.0033173795974207,-0.00490317776459355,-0.000516113270803767,2.24666698238814e-15,6.06996980333688e-06,0.000187199889338915,4.91356941026274e-16,-0.000351780566203731,-2.43369337355555e-05,1.04448567663925e-15,-1.58699348815563e-05,6.367665589255e-06,-1.25289321909572e-05,0.000234964187882165,1.0854900330842e-06,2.37031057733409e-05,-2.4940635777894e-05,-2.08406353703295e-05,9.94414359257559e-16,0.00354435236096331,0.000569730930019013,9.88461292330912e-05,6.33736761481887e-15,-0.00154427229359843,3.36389857316253e-06,-0.400661763357051,7.40932751944376e-15,1.20433712203739e-06,-4.04804486328485e-15,-2.06105131016775e-14,-5.32544932135591e-07,1.53701493399233e-14,-0.000118515971752839,-5.83700766133144e-07,3.48884352273132e-06,1.48940159160629e-07,-7.2243138007229e-15,-2.53737200227847e-15,-9.03838512533794e-15,2.69480544179527e-14,8.95103021205057e-15,-0.70710678118658,0.000310485683216271,-6.3232343693529e-14,5.88378186833587e-14,-3.44799939722856e-15,-0.000249298657131445,5.39739477917209e-15,-9.51041592742127e-15,-6.54022095142523e-15,-6.48944280929615e-07,-1.02277006320387e-14,1.02216446134774e-14,-3.57847083817182e-15,-2.01726486255323e-14,0.000116285210693489,-3.32574868866534e-15,-1.63631772291829e-15,2.18403775291859e-15,4.35643393446475e-14,-3.2473061428024e-15,2.18317469018211e-15,-2.1867058310325e-13,-0.0949157995752471
"t99",0.0610765235307409,-0.0929342798302037,-0.0028231077345276,-0.22118322989245,0.00280077084726602,-0.101566215726901,0.0882696389130407,-0.203903641360559,0.0385320736562742,0.0381044968172415,-0.0036680893390247,-0.215839598865984,-0.00486092570273859,0.00402569633555443,-2.57162205836217e-05,-0.000148368948217015,0.0145861402497946,-4.36669935765647e-06,6.6611540564519e-05,0.00030539237244052,3.30627807830001e-07,-0.00212432140493449,8.15383027934258e-06,-1.47042476993746e-06,-0.000683959331660675,1.62074526557287e-05,-0.000289986136488342,0.000156832721411756,0.00015925340579309,-0.000424964239707811,-8.99530618171881e-05,1.0286727761199e-06,5.98592091414755e-06,-1.57568614897405e-05,2.09412335844196e-05,0.000617182311795197,2.30255209136613e-05,0.000551252801701678,-0.00097686229822049,-5.62754822199453e-05,2.2441661645259e-15,-5.49672574081173e-15,-0.000264619265690887,-0.387003473877235,-0.000700841359425953,5.16358662729415e-05,-2.21258568840311e-07,-3.19108644859537e-05,-0.000205579090068017,-2.97761387556861e-05,-5.0883516079599e-15,8.97610205882653e-07,3.17247037445654e-05,3.47269663370845e-16,-7.55807245544366e-05,-5.45768326823214e-06,-8.5130356902077e-16,-3.71370086828104e-06,1.49154945338608e-06,-3.03442453936327e-06,5.73277231962704e-05,2.65616307772231e-07,5.99416097290039e-06,-6.43168825584449e-06,-5.44325502173293e-06,-2.50092876740582e-15,0.0219757589102958,0.000102678512555201,1.54573455463798e-05,-1.74480540106121e-15,-0.000238272510449071,4.2905893590746e-07,-0.00105358468786854,1.27472272871519e-15,-1.61157918815391e-06,8.64744871555682e-17,3.64036885402153e-16,-4.03962734812994e-07,-3.63922236871428e-15,-8.26020843184284e-05,-3.65750995868012e-07,2.08003641489864e-06,8.26785207844778e-08,1.26010261893207e-15,-2.52512102534363e-15,1.821600783352e-15,-2.33240010949975e-15,3.02030836197953e-15,-6.73211486557079e-14,0.000145720437055397,2.40535541923382e-15,-1.18472402784622e-15,-6.58225579504437e-15,-0.000105830360354268,1.06638073488175e-14,-4.91498889177043e-15,1.65594184690829e-15,-2.23333536646852e-07,-1.11738527502555e-15,-1.71344755416587e-14,1.00687724223605e-14,-2.87638291655522e-13,-0.818504206974536,-2.44515819673564e-14,-5.93776216599713e-14,-1.16108346942556e-14,-1.43672554715226e-13,-1.44505049927205e-14,-1.01935165517924e-15,-2.1785401215259e-13,-0.0949157995751995
"t104",0.0610890507526786,-0.0929813923232475,-0.00282520307228948,-0.221362850236535,0.00280391568251081,-0.101712179544548,0.088402878243082,-0.204223674769527,0.0386293488138071,0.0382062930901822,-0.00368001456087209,-0.216598140843156,-0.00488055720218313,0.0040425850373479,-2.58261144133079e-05,-0.00014900584464842,0.0146534548066728,-4.38924360490094e-06,6.69760169410872e-05,0.000307191244420721,3.325787828447e-07,-0.00213728051449555,8.20464451597832e-06,-1.47985559491705e-06,-0.000688531484434046,1.63227926358184e-05,-0.000292103574192675,0.000157996971906839,0.000160463344690562,-0.000428259173591345,-9.07042220467862e-05,1.03773430602708e-06,6.03880811947669e-06,-1.58999126169417e-05,2.1139463737697e-05,0.000623058147525528,2.32451853266156e-05,0.000557362712436863,-0.000988659222719741,-5.70056795277954e-05,2.13805259123803e-16,-5.79298007686045e-15,-0.000268236825786396,-0.392478298935711,-0.000711781555265678,5.2519243072485e-05,-2.25541429376834e-07,-3.25298081173827e-05,-0.000209676766484653,-3.03786931759688e-05,-2.94513916340984e-15,9.18134420015909e-07,3.24824062544468e-05,-1.19381513433609e-16,-7.76331737690699e-05,-5.61143082059089e-06,-3.26194227812781e-16,-3.82302015045377e-06,1.53550498921384e-06,-3.12764714005376e-06,5.91069256010853e-05,2.73893969056394e-07,6.19068314863277e-06,-6.64961276712098e-06,-5.63169621772742e-06,5.67257152194209e-15,0.0228897218967403,0.000107285118744282,1.62778581814611e-05,2.84984820037409e-16,-0.00025097217576301,4.52921924499076e-07,-0.00111845237418738,1.09605052187209e-15,-1.72646401315016e-06,7.49783920382099e-16,7.34077557517741e-15,-4.40706735309989e-07,-2.15878470676545e-15,-9.04465272140391e-05,-4.03355331160141e-07,2.30550541550564e-06,9.26404417397563e-08,-1.82048773319097e-15,9.77244343707605e-16,1.3632090782975e-15,2.7861674523323e-16,-5.68338900075185e-16,7.36216643204557e-14,0.000175534674393408,9.52616049878786e-16,-2.01212964386524e-15,1.19052821735885e-14,-0.000140868701228103,-6.24926247703016e-15,4.11798105537602e-15,-3.39788035683809e-15,-3.84761131467369e-07,6.44301101814137e-15,1.16573182030457e-14,-6.44372452516466e-15,8.27797987797094e-14,0.406227766610585,-1.35589829088358e-14,3.78527049781983e-14,7.49625125123241e-15,0.707106781186637,-1.08301145482803e-13,-1.5633278677351e-13,-1.98742515174321e-13,-0.0949157995752038
"t105",0.0610890507526786,-0.0929813923232475,-0.00282520307228967,-0.221362850236536,0.00280391568251057,-0.101712179544548,0.0884028782430814,-0.204223674769527,0.0386293488138068,0.0382062930901812,-0.00368001456087198,-0.216598140843158,-0.00488055720218388,0.00404258503734867,-2.58261144134727e-05,-0.000149005844648206,0.0146534548066736,-4.3892436050747e-06,6.69760169401327e-05,0.000307191244418113,3.3257878309232e-07,-0.00213728051449485,8.20464451571245e-06,-1.47985559519276e-06,-0.000688531484433573,1.63227926360345e-05,-0.000292103574191845,0.000157996971906335,0.000160463344690956,-0.000428259173591485,-9.07042220471841e-05,1.03773430605541e-06,6.03880811884268e-06,-1.58999126164637e-05,2.11394637373834e-05,0.000623058147524677,2.32451853265712e-05,0.000557362712436019,-0.000988659222720102,-5.70056795272547e-05,1.49391634580592e-15,-5.61362244316619e-15,-0.000268236825785413,-0.392478298935716,-0.000711781555266859,5.25192430729468e-05,-2.25541429402996e-07,-3.25298081172552e-05,-0.000209676766485066,-3.03786931756101e-05,-3.70193205354601e-16,9.18134419181044e-07,3.24824062555622e-05,-4.47437739126257e-16,-7.76331737769139e-05,-5.61143082347036e-06,-7.54978497704376e-16,-3.82302015351882e-06,1.53550498659016e-06,-3.12764714069519e-06,5.91069256034755e-05,2.7389397070492e-07,6.19068314489622e-06,-6.6496127668979e-06,-5.63169621705855e-06,-2.89839031022547e-15,0.0228897218967361,0.000107285118738386,1.62778581810537e-05,1.23373601792419e-15,-0.000250972175771519,4.5292193039013e-07,-0.00111845237417436,-2.43664107899391e-15,-1.72646401403453e-06,-1.22303453373294e-15,-3.47535780678206e-15,-4.40706729971016e-07,3.19886800221103e-15,-9.04465272119513e-05,-4.03355332664903e-07,2.30550541661215e-06,9.26404448242805e-08,1.20904104804135e-15,6.21253446546235e-16,-1.0410755465332e-15,5.07880552093389e-15,-2.92791976620559e-15,-1.13797860024079e-15,0.000175534674382543,-3.59074067395838e-15,2.30804486747632e-15,-6.22268128688698e-15,-0.000140868701287899,-4.07667444163989e-15,1.70362719856372e-15,4.84392120713599e-16,-3.84761107937093e-07,-5.81498926290805e-16,8.98589830660168e-15,-1.45660058095192e-15,2.01036832406255e-13,0.406227766610854,4.03434490971596e-14,2.01502470387759e-14,9.66328467201634e-15,-0.707106781186459,1.04618913322822e-13,1.62623250025179e-13,-2.38298333035321e-13,-0.0949157995753578
"t43",0.0605095449905504,-0.0907729308127901,-0.00272594791086928,-0.212827614984359,0.00265236020784668,-0.0945753189558447,0.0818662018242508,-0.188478805045432,0.0336187001724885,0.0329243548947624,-0.00304277529289518,-0.175504779215406,-0.00378683971259963,0.00309359631410548,-1.96245036548715e-05,-0.000113025664128098,0.0107815879475354,-3.0509935347798e-06,4.49402192678207e-05,0.000195623642760295,2.1149925606157e-07,-0.0013229472352279,4.98487487053547e-06,-8.75296040683089e-07,-0.00039021180445684,8.57623820557443e-06,-0.000148065409990924,7.81247185194702e-05,7.64304188046188e-05,-0.00019684943383929,-3.55611133813646e-05,3.48337751461503e-07,2.00672162448421e-06,-4.77702646491774e-06,5.21931604499508e-06,0.000148961795952381,5.49152414027715e-06,-1.35183731515076e-05,0.000241092475073602,2.83073776970822e-05,-9.59338038717932e-16,5.3846481816767e-15,0.000199296012340458,0.371841252775441,0.00134391676387592,-0.000215915346509456,-2.53040873984363e-05,-0.00264382741689741,-0.00371441428950742,-0.000380622120022691,-1.2550187688776e-15,3.64823167255186e-06,0.000104240782039893,5.21308372222644e-16,-0.000146489280553497,-8.97009887797373e-06,-4.54392985989015e-17,-4.80445419996786e-06,1.91608310631537e-06,-2.82801437064753e-06,4.8129298538725e-05,2.12782605194582e-07,1.59911450260842e-06,1.11083758904511e-06,2.84841657728788e-06,-2.9846053154668e-15,-0.843283272332155,0.00135282364369068,8.00040792762179e-05,4.6240050120402e-15,-0.00122107284228965,2.00764605054364e-06,-0.00423111885406674,2.6090659303932e-16,-5.65305184017356e-06,3.10751586618084e-16,3.93490309184474e-15,-1.25128132828636e-06,-4.91845499398584e-16,-0.000252139676774472,-1.0909954297664e-06,6.12486869493194e-06,2.38401607645434e-07,1.37348194101968e-15,-7.91518261581643e-16,1.05997368733846e-15,2.54478649592357e-16,1.45562999717657e-15,-3.76088049591772e-15,0.000404568625078228,-1.39427556224508e-15,1.524740029606e-15,1.84786115558704e-15,-0.000303240160081926,1.7711606910209e-15,1.05211608989024e-15,1.73813045598868e-15,-7.53020315736103e-07,3.85933398971139e-16,1.22324624138933e-15,4.52432347052887e-16,-1.8115543592453e-15,0.00207164288362877,1.49547761037295e-15,-2.12656616562249e-16,1.69135989160115e-15,1.19487252989324e-14,-5.30975874946341e-15,1.31704120165305e-15,-2.1825817584647e-13,-0.0949157995752487
"t54",0.0606150207127513,-0.0911675903256934,-0.00274342464960207,-0.214323766774349,0.00267838868175927,-0.0957748431798911,0.0829592581141985,-0.191100405939002,0.0343940388226788,0.0337317220752753,-0.00313531825078833,-0.181325600900483,-0.0039337406460804,0.00321892439713524,-2.04365004302324e-05,-0.000117726551221367,0.011269061958952,-3.20829986158544e-06,4.74230194424805e-05,0.000207434792770503,2.24296446435097e-07,-0.00140630476012733,5.30729193114821e-06,-9.33951504134298e-07,-0.000417742098037069,9.23092860881018e-06,-0.000159744959662497,8.44192094493977e-05,8.27751684837754e-05,-0.000213626874125174,-3.89029865671649e-05,3.83511511691659e-07,2.21017473386216e-06,-5.27965578707554e-06,5.80115170007351e-06,0.000165701025451765,6.11039973206415e-06,-1.54103686359114e-05,0.000279562519471265,3.33733678264066e-05,-1.86056528513184e-15,6.15085359206141e-15,0.000238193701938674,0.448790915009653,0.00167593483563381,-0.000279724935871094,-3.51130238256555e-05,-0.00367362196713275,-0.0052600972542782,-0.000545114356001143,5.85699973377347e-15,5.87115829647601e-06,0.000177627524893969,6.07552220375514e-17,-0.000324450996735347,-2.24377073989506e-05,6.42328977957839e-16,-1.47040309067368e-05,5.90111572150301e-06,-1.17462540551362e-05,0.000221181686330715,1.023663150411e-06,2.30618835076442e-05,-2.50617102380216e-05,-2.15481007001796e-05,-9.58820386487652e-16,0.379016758881865,-0.000154164134068207,1.87565453722119e-05,-3.73760074206166e-15,-0.000292714043848758,5.81645972353192e-07,-0.00160904847264515,7.85460219746105e-15,-2.63938868711219e-06,-3.85982524717243e-15,0.707106781186547,-6.91420041995089e-07,1.72872523997034e-14,-0.000142030872622495,-6.33567838837295e-07,3.6191661951321e-06,1.45056976234741e-07,-1.18933721695914e-15,2.79853800273472e-15,-3.66055053696082e-15,1.84989830503595e-19,4.93544838332166e-15,-1.88182802673964e-14,0.000267794234139486,-7.41042554933964e-17,-4.36995975337131e-15,-1.56501261308481e-15,-0.000207851236378079,-1.04395981502618e-15,-2.32729571303528e-16,-1.88529708522266e-16,-5.29756661361879e-07,4.9565838877008e-16,7.57205143352924e-16,-3.76588146245029e-16,-2.83755864620139e-16,0.00149868552097366,4.81360013238474e-16,-5.69209301402636e-16,1.26419293806972e-15,2.6196877454321e-15,-8.38925604141897e-15,1.37452424747877e-15,-2.18554712484343e-13,-0.0949157995752347
"t55",0.0606150207127513,-0.0911675903256932,-0.00274342464960213,-0.214323766774349,0.00267838868175946,-0.095774843179891,0.0829592581141984,-0.191100405939002,0.0343940388226787,0.0337317220752755,-0.00313531825078859,-0.181325600900483,-0.00393374064608002,0.00321892439713494,-2.04365004302612e-05,-0.000117726551222364,0.0112690619589503,-3.20829986158335e-06,4.74230194424472e-05,0.000207434792770528,2.24296445931863e-07,-0.00140630476012676,5.30729193158415e-06,-9.33951503834827e-07,-0.000417742098037172,9.23092860813858e-06,-0.000159744959662423,8.44192094488658e-05,8.27751684830093e-05,-0.000213626874124623,-3.89029865670562e-05,3.83511512723135e-07,2.21017473385261e-06,-5.27965578596687e-06,5.80115169998878e-06,0.00016570102545048,6.11039973095853e-06,-1.54103686356555e-05,0.000279562519471488,3.33733678266119e-05,-1.58410377102977e-15,6.77557628588423e-15,0.000238193701940754,0.448790915009653,0.00167593483563308,-0.000279724935872603,-3.51130238273394e-05,-0.0036736219671399,-0.00526009725427721,-0.000545114356001648,3.18642776514489e-15,5.8711582957322e-06,0.000177627524892511,-5.03108269390662e-16,-0.000324450996732884,-2.24377073991989e-05,1.16838119003281e-15,-1.47040308991169e-05,5.90111572814174e-06,-1.1746254056962e-05,0.000221181686333377,1.02366314954346e-06,2.30618835053946e-05,-2.50617102456974e-05,-2.15481007007222e-05,3.53017817308533e-15,0.37901675888186,-0.000154164134066037,1.87565453637738e-05,-7.29778394958779e-16,-0.000292714043849925,5.81645965503552e-07,-0.00160904847265005,-7.60455821018738e-15,-2.63938873260383e-06,3.83862947821191e-15,-0.707106781186548,-6.91420050804788e-07,-1.44011679252169e-14,-0.000142030872624904,-6.33567832619186e-07,3.61916623137837e-06,1.45056983373357e-07,2.12147033694148e-18,-2.78703726520502e-15,2.33621729385077e-15,1.0275195022214e-15,-6.59769252638756e-15,2.79914980083618e-14,0.000267794234140053,2.94888093094084e-16,3.86685037543717e-15,-6.25352851057763e-17,-0.000207851236381687,-3.30027045245186e-16,-1.1130968283085e-15,-1.01488617327666e-15,-5.29756675909862e-07,1.33252780852665e-15,8.3347470915996e-16,1.29426134429613e-15,5.31065510556426e-15,0.0014986855209753,1.65757653368321e-15,1.12213180181718e-16,2.04870223449227e-15,1.35692623257977e-14,-3.22947175206194e-15,2.40550111923079e-15,-2.18969056402562e-13,-0.0949157995752549
"t25",0.0543668278478729,-0.0666222657170539,-0.00161290353954538,-0.116383562716277,0.000879916055695807,-0.00810246733671267,0.00201785541080542,0.00515202691101502,-0.0335795355959782,-0.0381208835575195,0.00454505460193984,0.172642737434117,-0.0519858802819546,0.20767347102193,-0.0191090279592588,0.0740648060342954,-0.617684831247665,0.000483798807116566,0.0122880860397108,0.0118365236527896,1.25690537869804e-05,-0.059306873694277,0.0001942754138758,-2.92397628722814e-05,-0.0109757120548486,0.000201101350771089,-0.0032890478718373,0.00168520850313485,0.00159276126985924,-0.0040047283303266,-0.000695661162875899,6.98563319965687e-06,4.03630996601278e-05,-9.96585377790584e-05,0.000120092570672985,0.00349192316693695,0.000129643482221365,0.00209029663487176,-0.00265896439920703,-9.46084128700781e-05,6.75192984685779e-16,2.93400787773186e-16,-0.000200132153249845,-0.00934850497063835,0.00223076083089234,-0.000544188448714474,-8.26962668838078e-05,-0.00866775946276033,-0.0126877066853057,-0.00132850551061615,0.707106781186547,1.49969862341755e-05,0.000455898114761286,-9.69096478698567e-16,-0.000820045537350351,-5.59852423254882e-05,-9.1031363490519e-16,-3.5906644685703e-05,1.44009509221312e-05,-2.78671074591615e-05,0.00052040427567913,2.39999275567151e-06,5.12433894663674e-05,-5.30714179766747e-05,-4.38617120185066e-05,-7.14567980329127e-16,0.00148696855127047,0.000988937569679019,0.000119208370788776,2.45759474260816e-16,-0.00183318309425982,3.22433991199906e-06,-0.0017673820034043,3.46897295829266e-16,-1.14536488009394e-05,-3.44004484616974e-16,9.5049341642029e-16,-2.75739921888152e-06,1.19751369002533e-15,-0.000561306629811204,-2.46853228906681e-06,1.39883730950576e-05,5.53168456301218e-07,1.0629919992051e-16,-6.66871945260293e-16,4.08822999200907e-16,6.99271947981564e-16,-9.09010981566909e-16,4.55191440096314e-15,0.000982718345435198,-6.71084642161312e-16,-5.93454955349752e-17,-4.2529166239437e-16,-0.00075054752195064,-1.78800830590385e-16,-4.82093672436425e-17,-8.7956353002582e-16,-1.88946913680371e-06,1.21027229639846e-15,4.10182777007032e-16,-1.0292470938633e-16,-4.84411283706714e-16,7.92066166912841e-05,7.24427153816113e-16,-4.88148416606142e-16,2.2425644621792e-15,1.15807307588717e-14,-6.67583301618384e-15,1.80111343698358e-15,-2.18321184210094e-13,-0.094915799575251
