,0,1,2,3,4,5,6,7,8,9,10
t1,0.046295498,3.0196464,2.9140363,0.783423,-0.20798221,-0.029197428,0.3812801,4.7923365,0.4741853,0.112139925,0.03732278
t2,0.121454135,5.947442,12.523676,-0.01449973,-0.71031344,-0.0024805886,7.9464192,10.967397,-0.38233107,0.52639914,0.0075570866
t3,0.07374255,0.6598413,1.543348,1.331752,-0.32299355,-0.04782195,6.683071,7.510365,0.23881885,0.16040517,0.07017261
t4,0.06841867,0.08689923,1.543392,1.6881491,-0.30457786,-0.04200758,7.741733,7.262078,0.054688152,0.18319485,0.07751769
t5,7.624135,0.121852756,5.0220056,15.027718,11.787653,-0.01365003,0.018753298,-0.41034836,14.514514,0.14599793,1.0052841
t6,1.7193573,0.13988568,-0.00031266236,-0.053884707,25.525309,6.04536,0.031996872,-0.73315734,11.693122,5.8357177,0.08701513
t7,1.7066748,0.14438576,-0.0005987752,-0.010050586,26.30281,6.4406004,0.023843257,-0.76341933,11.967882,5.783501,0.09344905
t8,0.040172014,4.2708664,4.4349976,0.3673146,-0.27417025,-0.02607088,0.2736321,5.171651,-0.04573124,0.19094664,0.034658182
t9,1.3050841,0.122481026,-0.00034833275,-0.050184388,27.271585,6.253804,0.0219269,-0.77430815,11.7583,6.332835,0.078616716
t10,0.14806871,2.3699348,9.393498,0.32618862,-0.7170919,-0.016017813,13.41886,12.667945,-0.32459193,0.4657968,0.03131031
t11,0.13501537,1.8162421,7.599366,0.6211873,-0.6170219,-0.021331474,11.904957,11.520747,-0.24898939,0.39894626,0.0411791
t12,0.110006645,5.56816,10.149563,0.09954807,-0.5864835,-0.013470739,5.407291,9.731994,-0.2595755,0.41405407,0.017952051
t13,0.05763233,4.029815,4.3192916,0.6529322,-0.26998404,-0.028820133,0.0032600178,5.4787974,-0.02761439,0.1867016,0.042512547
t14,0.059524525,3.9460897,4.288472,0.6349728,-0.2756169,-0.027814679,0.01817635,5.588099,-0.023561852,0.17714356,0.041721497
t15,0.03970551,5.231414,5.463755,0.123327054,-0.35185558,-0.031312697,0.24019846,6.2268596,-0.092657395,0.26811925,0.04585959
t16,0.075187474,0.0018485591,1.7767059,1.6424146,-0.31061623,-0.038617026,7.781653,7.4442673,-0.024361134,0.201906,0.0813689
t17,0.070312425,0.014577128,1.6533046,1.6621592,-0.29070383,-0.041884024,7.305654,7.2620797,-0.009376587,0.19076851,0.0831877
t18,0.073300384,5.1522884,7.8007445,0.2649913,-0.4703015,-0.017712288,3.3836834,7.8263955,-0.18200465,0.3427473,0.031728454
t19,0.09781399,5.6851068,10.682595,-0.0023677526,-0.6300528,-0.009781078,6.342956,9.787174,-0.31231603,0.46504667,0.01861206
t20,1.2697289,0.13598476,-0.00074291346,-0.047201987,27.32712,5.953675,0.026019862,-0.77679133,11.844537,6.3158255,0.08383734
t21,0.101054385,1.1759282,4.434494,0.77165717,-0.5142946,-0.033784594,11.08271,10.433258,-0.14223514,0.31361791,0.06425746
t22,0.075695455,4.4203024,7.9765234,0.20069513,-0.45821577,-0.011564155,5.265543,7.9492135,-0.20340441,0.3375963,0.007315273
t23,0.065723024,4.26531,7.067064,0.2612375,-0.40786925,-0.013769628,4.357944,7.2778955,-0.16653079,0.30200234,0.010425981
