"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102"
"t4",-0.142689712707494,-0.0397673461611971,-0.0120605422097552,-0.00512504371087589,-0.00196441578607381,-0.000155612296526635,-0.0516831100443147,0.0522137817187425,6.95070219049609e-07,-0.00162516368589112,-8.41632490916542e-05,-0.00100389726846127,0.000137082675391589,0.00267796025840153,0.000856050089383517,-0.0483791157089075,-0.00310291211600396,0.0337620375935314,-0.0899171473968752,0.443026204525106,0.0679323573543763,-0.359589020986152,0.00186717795048514,-0.00082604063574324,-0.00010707999710372,0.00824411755807926,0.024193617512139,-0.345047015126997,-0.0175863287798662,0.0021531246698675,0.707106781186585,0.000382882034790208,-0.0260438147637605,5.19387462514495e-06,0.00771591622880008,9.33852064244958e-16,0.00911517657532378,1.38694074933045e-06,-0.000274254721588412,-0.00117352214809781,0.000335586669210394,0.000101989224243596,0.000453660054866346,0.00782062193454653,-0.00023366363740041,0.000952513144979445,-0.000459977330581675,-0.000214845708933982,-0.000100998448170491,-0.000191299722136482,0.000246558932686649,0.00903040131562113,-8.74715686454278e-06,4.4121366953308e-05,-2.56048193895715e-16,-1.12618447785566e-16,3.94669312314709e-17,-2.97100745825343e-05,0.000436501225017216,-1.68195764414911e-16,2.45427541536288e-16,-3.81995164691711e-05,-1.37475580886251e-16,-2.98870994122724e-07,-3.61950981501061e-05,5.80493042503832e-05,-7.99230272544373e-18,-8.04692992312991e-17,5.53716098558513e-17,-1.51390356976445e-16,0.00146825864095941,-1.89011836389639e-05,2.18115291490858e-05,-1.61511383237679e-05,-4.10769478150681e-16,1.37660509959995e-16,-1.06306404500088e-16,-7.93319247878436e-16,1.45940672665248e-16,4.81371748936088e-05,0.000610880907248377,-3.76401988281523e-05,4.62194502780106e-17,-2.22450162297013e-16,5.15608861181526e-17,2.87617167400395e-16,5.86237757335242e-16,-2.98707181246111e-16,2.37717601307428e-05,-1.75844845461879e-16,1.03778094340238e-15,-9.51637256154696e-06,-1.18385493862949e-06,2.96038417262033e-16,1.73264323739129e-16,-2.82849883940315e-17,7.4692942950581e-16,-2.80795772646241e-16,-1.79331676264659e-15,2.65885996900408e-15,1.1364385739251e-14,-3.04779918529616e-14
"t5",-0.142689712707494,-0.0397673461611971,-0.0120605422097552,-0.00512504371087527,-0.00196441578607376,-0.000155612296526701,-0.0516831100443156,0.0522137817187434,6.95070218841921e-07,-0.00162516368589127,-8.41632490912667e-05,-0.00100389726846169,0.000137082675391543,0.0026779602584015,0.000856050089384326,-0.0483791157089119,-0.00310291211600623,0.0337620375935332,-0.0899171473968835,0.443026204525138,0.067932357354382,-0.359589020986183,0.00186717795048668,-0.000826040635744563,-0.000107079997097214,0.00824411755808053,0.0241936175121424,-0.345047015127075,-0.0175863287798652,0.00215312466987935,-0.707106781186509,0.000382882034790985,-0.0260438147637437,5.19387462419226e-06,0.00771591622879717,9.09387965385251e-16,0.0091151765753243,1.38694075406061e-06,-0.000274254721586974,-0.00117352214809701,0.000335586669206531,0.000101989224242517,0.000453660054867325,0.00782062193453962,-0.000233663637401487,0.000952513144976489,-0.000459977330583104,-0.000214845708931944,-0.00010099844817015,-0.000191299722138044,0.000246558932686045,0.00903040131562419,-8.74715686576169e-06,4.41213669556445e-05,-7.61059396682475e-17,1.7541448241807e-16,-5.55306848480474e-16,-2.97100745820782e-05,0.000436501225021737,3.32757671365585e-16,-4.45161880467721e-16,-3.81995164675525e-05,3.2952494516467e-16,-2.98870993415014e-07,-3.61950981497139e-05,5.80493042501468e-05,-9.54271556980923e-18,6.85140042401663e-16,2.57642748484271e-16,-2.1526238961675e-16,0.00146825864096174,-1.89011836387183e-05,2.18115291495488e-05,-1.61511383222117e-05,1.58504141570275e-16,2.05183848780248e-16,-2.72983003744318e-16,2.69659850447472e-15,-2.1984040810476e-16,4.81371748941434e-05,0.000610880907243622,-3.76401988268106e-05,2.2665341806716e-16,-2.20586480007738e-16,-3.24721879193549e-16,1.0594502845146e-15,-1.24606424010824e-16,-6.88785027545253e-16,2.37717601318287e-05,-5.31873000487889e-16,-5.30374184251916e-15,-9.51637256125101e-06,-1.18385493864663e-06,5.51871807746085e-16,5.43594508707391e-16,3.36740577048599e-16,4.599079416389e-16,1.07887714979976e-16,1.61611904268402e-15,2.07229199316717e-15,1.12718309489502e-14,-3.09279163027314e-14
"t64",-0.188907794782391,-0.0553924645915833,-0.0206799688620518,-0.0108289268407215,-0.00809704682017969,-0.00651158424097185,0.133876129229967,-0.120646718768354,-6.60487102656119e-07,0.00111344401088219,5.42862525346871e-05,0.000579133537899374,-7.63428107264935e-05,-0.00133900519106656,-0.000478374674470874,0.198236195601657,0.000225655430940891,-0.00243374248882418,0.0063304062493621,-0.0306013934486589,-0.004513028566383,0.0207214230635278,-9.28164347309761e-05,3.21269676585532e-05,2.70547062213716e-06,-0.000170079999435657,-0.000405780605277605,0.00401803334883267,-0.306401091904526,-1.18897552716155e-05,-9.99200722162641e-16,6.39599932955006e-06,-0.00117059526951242,2.73053920807122e-07,0.000410496955273955,-4.08735190849401e-16,0.000555408900667306,8.46596198186457e-08,-1.96160777513197e-05,-9.70767727870768e-05,4.31953082662233e-05,5.16435994556492e-05,0.000276042318704008,0.27843877684015,0.000111423751107712,-0.000443468477070405,7.74757775910072e-05,3.34651858514922e-05,1.06662302202653e-05,1.59894464520002e-05,-2.07586144278756e-05,-0.0112264727280171,2.66956894986638e-09,1.4436894126003e-07,6.94219601058469e-16,-1.77122388320287e-15,-1.1437065090016e-15,-3.58896341538952e-07,0.000100377248581362,8.86723437170769e-16,8.41334219073561e-16,-9.28989798512911e-07,1.40828684479396e-15,-7.45518352350872e-09,-9.12625572886907e-07,1.4633777890757e-06,-1.75953514175294e-14,-3.58015787374859e-15,-1.79934627571454e-15,4.90193106537426e-15,0.00134208075971291,1.02988735847131e-07,-5.4360431315279e-07,4.60541969377783e-07,1.31909540673009e-14,4.93006818711152e-15,-1.50159027923203e-14,1.88772288545714e-13,-2.32760188937412e-14,-0.000457152296155357,-0.840306891660475,-7.26776198820348e-06,-9.09652104696758e-15,1.80226551909921e-15,4.82443192894307e-15,-7.8404987054284e-15,7.71984917174963e-16,6.38302988443955e-15,3.01618995581353e-06,5.10823376665542e-15,-1.28730564301483e-14,-1.13352006701727e-06,-1.38976771639328e-07,1.56962026929392e-14,1.41014546428971e-15,1.55821595977805e-15,-1.22318922087683e-14,-9.8079022664211e-16,6.24331057548778e-15,1.72399498076972e-16,1.03267507042941e-14,-2.52219136903588e-14
"t83",-0.18935329515156,-0.0555426709053529,-0.0207620418245894,-0.0108828281837121,-0.0081541207109877,-0.0065699347709867,0.135540900648006,-0.122193882618236,-6.72322357062168e-07,0.00113723348457516,5.54904263709915e-05,0.00059300843284262,-7.82232400531432e-05,-0.00137728775716879,-0.000493298477896094,0.205036676704038,0.000235913782238452,-0.00254920104138354,0.00663954150418421,-0.0321216383471674,-0.00474377752725712,0.0218671511373114,-9.82806695524296e-05,3.41820542848632e-05,2.8976716249214e-06,-0.000182600138443226,-0.000436515629138056,0.00433218616157176,-0.331045099934422,-1.29011893555621e-05,-1.88737914186277e-15,7.05571168436153e-06,-0.00132589692447999,3.11487968026992e-07,0.000468544228685996,1.64788437815025e-15,0.000638235213370829,9.72934272548225e-08,-2.27284811119663e-05,-0.000113317284465413,5.14046721577035e-05,6.31003863163077e-05,0.000337754956897801,0.342955753298879,0.000138370364221045,-0.00055082034450682,9.75189874822812e-05,4.21907761335901e-05,1.35856953341787e-05,2.06180139281295e-05,-2.68449308295082e-05,-0.0146857281649906,3.60932380181282e-09,1.98516906115972e-07,9.63656549222841e-16,-3.23099747248515e-15,-6.79352710351644e-16,-5.1744874297429e-07,0.000152951706841255,8.26640775631483e-16,-1.78451710807561e-16,-1.64317830826551e-06,4.52364381966528e-16,-1.38725724934827e-08,-1.84529886109312e-06,2.97252924964033e-06,9.56128328584864e-15,-6.40946615267848e-16,3.10782261031155e-15,-3.32196820823842e-15,0.00700318744424979,-1.56217325488709e-06,2.07471000427642e-06,-1.56959903394782e-06,-5.31291024241722e-15,-3.6983686267772e-15,5.74387527472768e-15,-8.88229614102103e-14,6.85008570482963e-15,0.000212512596532353,0.382448266950658,-4.430256335629e-07,5.81538812139654e-15,-4.79584597049384e-15,-2.71353402630348e-15,2.35125021222165e-15,8.00220324279784e-16,-7.88110189246301e-15,1.23199085187426e-06,-2.05580249149226e-14,-0.707106781186545,-5.75496121727426e-07,-7.49170447637333e-08,1.4914841290364e-13,-1.28965467403916e-14,6.25430103731013e-15,1.02798427303725e-14,-4.73345440204237e-15,2.63097524017482e-14,1.33711753857739e-14,1.15825964993936e-14,-2.66164177059445e-14
"t84",-0.18935329515156,-0.0555426709053536,-0.0207620418245896,-0.0108828281837116,-0.00815412071098749,-0.0065699347709867,0.135540900648006,-0.122193882618238,-6.72322357662812e-07,0.00113723348457535,5.54904263707973e-05,0.000593008432843038,-7.82232400533674e-05,-0.00137728775716879,-0.00049329847789608,0.205036676704039,0.00023591378223812,-0.00254920104138438,0.00663954150418397,-0.0321216383471644,-0.00474377752725635,0.0218671511373088,-9.82806695524412e-05,3.41820542852827e-05,2.89767162569448e-06,-0.000182600138443202,-0.000436515629137172,0.0043321861615687,-0.331045099934425,-1.29011893566778e-05,-8.53483950180589e-15,7.05571168476745e-06,-0.00132589692448235,3.11487967174944e-07,0.000468544228685747,-1.60332687625913e-16,0.000638235213367821,9.72934273808237e-08,-2.27284811096918e-05,-0.000113317284467725,5.14046721574793e-05,6.31003863211412e-05,0.000337754956897435,0.342955753298885,0.000138370364221623,-0.000550820344505061,9.75189874819433e-05,4.21907761359694e-05,1.35856953323894e-05,2.06180139277412e-05,-2.68449308298369e-05,-0.0146857281649825,3.60932229125375e-09,1.98516905099742e-07,9.56867268107466e-16,-6.33187751898471e-15,-3.80086004515196e-17,-5.17448744271131e-07,0.000152951706834295,-9.86723017822664e-16,-1.35447509591534e-15,-1.643178309158e-06,-1.25549255300754e-15,-1.38725711687209e-08,-1.84529886165425e-06,2.97252924744704e-06,5.23977070447451e-15,4.08997236517276e-15,-9.82385141326927e-16,-1.17701444487111e-15,0.00700318744425305,-1.56217325500678e-06,2.07471000882086e-06,-1.56959903849168e-06,-6.84629690179957e-15,-2.4720890380048e-16,8.2181926099052e-15,-8.19254631528457e-14,1.40254652935461e-14,0.000212512596534783,0.382448266950639,-4.43025649206469e-07,1.6740256008339e-15,3.63608325216738e-15,-2.001928257131e-15,5.17231296231777e-15,3.87947067976685e-16,1.95275504815029e-15,1.23199079589096e-06,1.62565551501488e-14,0.707106781186551,-5.75496204655722e-07,-7.49170341877552e-08,-1.62601056948555e-13,1.1662372942741e-14,-7.46474147197049e-15,2.91628457507129e-16,6.07594095671064e-15,-3.39785852811725e-14,-4.86364453078245e-15,1.29768249024239e-14,-3.99263073558041e-14
"t58",-0.187623594061419,-0.0549587698034466,-0.0204416113392801,-0.010671650177495,-0.00792889883935664,-0.00633813254027146,0.12884615900306,-0.115963532809353,-6.23789480634956e-07,0.00103846031012799,5.04759119737013e-05,0.000534854804363889,-7.03224193907542e-05,-0.00121408120149302,-0.000429056664513152,0.175420429677131,0.000189291606064753,-0.00202039499436464,0.0052159326507614,-0.0250973746793507,-0.00367148043587752,0.0164538697800141,-7.20879437287888e-05,2.4123412111937e-05,1.92873214646399e-06,-0.000118789613932954,-0.000278435888420296,0.00269927826453416,-0.201692747791953,-7.48276572334514e-06,3.10862446895044e-15,3.21525885933795e-06,-0.000275943216385429,3.98110231339571e-08,5.67232913517645e-05,-2.55225806423099e-16,2.39920563071838e-05,3.54361203306448e-09,1.7127380625452e-06,2.13425531512655e-05,-2.82633585454203e-05,-8.1899219113058e-05,-0.000456187710904586,-0.557246731256528,-0.000281448052828269,0.00112618643582046,-0.000289030136695994,-0.000131023090751006,-5.76171000740935e-05,-0.000135055253287598,0.000197797146695743,0.194189051001974,7.20293861702154e-08,2.04877300474755e-06,-4.40865642572617e-15,-6.01319807783634e-17,1.87639730708379e-15,-2.69420775967103e-06,0.000577875559557247,-1.433878783796e-15,1.04868104547503e-15,-4.38574005575627e-06,-1.336755232219e-15,-3.48076479235612e-08,-4.29028388867594e-06,6.88648818976473e-06,-5.34218382315105e-15,-1.14981306352738e-14,1.89464297046843e-16,-1.04257718403345e-15,0.0120545280486728,-2.27995513081423e-06,2.69577850478768e-06,-2.00186193676875e-06,-1.59625157079254e-14,-4.50047600508858e-14,-2.35437096685471e-14,0.70710678118654,1.55774701447596e-14,1.93685595321588e-05,0.0244059663515102,-4.6910483518839e-06,8.78690848177658e-15,5.27699974531066e-15,-8.68908105591246e-16,3.69194215571978e-15,6.34313293369687e-15,-4.40668990228278e-15,3.10888109156138e-06,-5.65653253073945e-16,-2.07154559925702e-15,-1.26806358679627e-06,-1.5888068759442e-07,-3.23646496884522e-15,1.35632686357709e-15,8.73402807492622e-16,4.4053051914269e-15,-1.7805121968379e-15,-1.08916558303625e-14,1.51283289062529e-15,1.15569775836298e-14,-2.85838172887294e-14
"t59",-0.187623594061419,-0.0549587698034466,-0.0204416113392814,-0.0106716501774955,-0.00792889883935696,-0.00633813254027128,0.128846159003061,-0.115963532809354,-6.237894806336e-07,0.00103846031012825,5.04759119739465e-05,0.000534854804363035,-7.03224193906487e-05,-0.0012140812014931,-0.000429056664513965,0.175420429677131,0.000189291606064474,-0.00202039499436298,0.005215932650761,-0.0250973746793493,-0.00367148043587707,0.0164538697800123,-7.20879437293678e-05,2.4123412111846e-05,1.92873214742473e-06,-0.000118789613934427,-0.00027843588841966,0.00269927826453285,-0.201692747791956,-7.482765727519e-06,-5.82867087928207e-16,3.21525885880006e-06,-0.000275943216382326,3.98110234355124e-08,5.67232913506374e-05,-6.66574242064149e-16,2.39920563051782e-05,3.543612127654e-09,1.71273806306834e-06,2.13425531508611e-05,-2.82633585447089e-05,-8.18992191122158e-05,-0.00045618771090511,-0.557246731256531,-0.000281448052829074,0.00112618643582115,-0.000289030136695983,-0.000131023090751004,-5.76171000753009e-05,-0.000135055253290361,0.000197797146694633,0.19418905100194,7.20293865694386e-08,2.04877300432231e-06,-2.40383291475012e-15,8.66609352084512e-15,2.92011467925596e-16,-2.69420776377283e-06,0.000577875559553952,-1.85551004984312e-15,2.55271714627193e-16,-4.38574005013463e-06,7.2033661720467e-16,-3.48076471179776e-08,-4.29028388492288e-06,6.88648820222056e-06,3.0287367567902e-15,1.56342292910961e-14,-2.99044854869354e-15,3.63270197763991e-16,0.0120545280486899,-2.27995514074675e-06,2.69577858770718e-06,-2.00186193301147e-06,1.49336554333272e-14,4.5060343658602e-14,2.4838171817509e-14,-0.707106781186556,-1.23632621054627e-14,1.9368559469163e-05,0.0244059663511933,-4.69104833560905e-06,-7.3670673357617e-15,-6.25307101377881e-15,1.16847909319035e-15,-2.00737897013673e-15,-6.23507569497161e-15,2.23007276006065e-15,3.10888109878735e-06,-1.38524143345313e-15,4.45795356431969e-15,-1.26806359038041e-06,-1.5888068449918e-07,6.66768001087878e-15,-2.37417955213068e-16,-1.11775638576965e-15,4.94679585064253e-16,9.46431314433961e-17,5.69999509134621e-15,2.96016578007381e-15,9.74593756166834e-15,-3.39177407752272e-14
"t30",-0.184753485482525,-0.0539900097834198,-0.0199101915201445,-0.0103215268520839,-0.00755570469162135,-0.00595421174073001,0.117765249905718,-0.105651847754584,-5.43493662368703e-07,0.000875010232012207,4.21769496807143e-05,0.000438578639904486,-5.72400776644178e-05,-0.000943457511143975,-0.000322382131728034,0.1261293021193,0.000110445022482998,-0.00112192571405405,0.00278815412647181,-0.0130890070163668,-0.00182989651420828,0.00700365630014922,-2.54875862428621e-05,5.52710381231094e-06,-3.58996015084397e-08,1.77314551018872e-05,8.01078295133459e-05,-0.0013548539434727,0.159763332013157,1.76207254120845e-05,-1.74860126378462e-15,2.25585051000713e-06,0.000443021080498142,-1.42983731849745e-07,-0.000219629875635712,1.65678144146896e-15,-0.00037047055227356,-5.66171097333025e-08,1.61260975258789e-05,9.2486032100216e-05,-5.26067510197444e-05,-5.50588876980994e-05,-0.000281870463357663,-0.19959085490527,-5.55363290697765e-06,1.30298383756725e-05,0.000182328399754075,9.44075910820902e-05,7.94893408471986e-05,0.000336347760469169,-0.000559777137285162,-0.917000059157189,-1.0779893851624e-05,4.01998105933613e-05,8.64368700500934e-15,1.04553049974184e-14,-8.19873366907286e-16,-1.8019082172088e-05,0.00272037748490625,4.61720537315512e-15,-1.00624774391922e-15,-1.50453124850457e-05,-1.0369216982026e-16,-1.137654051913e-07,-1.32735226664458e-05,2.12545522315952e-05,-1.13067922884848e-15,-2.80352016713601e-15,5.36643052112439e-16,7.43361674940745e-16,0.0715394750990652,-5.18279657977002e-06,6.07373844975706e-06,-4.50069037992169e-06,1.07988239651575e-16,-4.34340575166748e-15,1.40168067329262e-15,2.07606971977488e-14,-9.69531452685622e-16,1.84359069853075e-05,0.00973001762083759,-1.00752954328468e-05,8.4278278061602e-16,-9.18486368665955e-16,-2.15705895511052e-15,4.06363176370218e-16,1.11277210768356e-16,-1.5098784326996e-15,6.21313033627252e-06,-2.6481505667383e-15,6.22336099904029e-15,-2.45963340481875e-06,-3.04760744151948e-07,-6.23072272116261e-15,2.44949744654909e-16,3.48393281790617e-16,2.16036215768969e-15,-7.90039059304538e-16,2.10943466990184e-17,1.36143726048114e-15,1.09373026045463e-14,-3.00837112266686e-14
"t55",-0.187052124520921,-0.0547649804511855,-0.0203335118877235,-0.0105994487755879,-0.00784969544731679,-0.00625439282681514,0.126300827932088,-0.113580733990755,-6.03661640142096e-07,0.000995013992725809,4.823815167165e-05,0.00050805647160487,-6.66360300508662e-05,-0.00113191504178287,-0.000394953731035355,0.158617522534724,0.000154512906999119,-0.0016034230075758,0.00404700609582571,-0.0191824200031071,-0.00272747832120108,0.0109895534376998,-4.19607446239928e-05,9.81326071017495e-06,-7.2010103513436e-08,3.74080001052696e-05,0.000176738252537089,-0.00315834948837142,0.393320796837933,4.92676929402118e-05,-2.35922392732846e-15,1.52683165096002e-05,-0.00157713005401883,3.39523192369458e-07,0.000507330952719895,-9.07051769112232e-16,0.000640319322254865,9.75131957007521e-08,-2.08096339131731e-05,-9.53550120019183e-05,3.33296371342435e-05,2.01275951353317e-05,0.000100262929089512,0.0625013434515607,1.49027882540325e-06,-3.48415138465441e-06,-3.80776420058827e-05,-1.91353168976567e-05,-1.33205907516818e-05,-4.46922702044935e-05,7.03828513045121e-05,0.092017523979,5.21502132898168e-07,-1.22231317729194e-06,-2.10836548387818e-15,-4.34673415219007e-16,-1.31902682994699e-15,-8.02282573659496e-11,3.0824243319006e-05,-1.7945101284744e-16,-1.82307526123458e-15,4.23080675718049e-07,-3.35205361732857e-15,6.5361874307818e-09,1.59978137700581e-06,-2.64755811113369e-06,2.49024449908818e-14,-4.09931579216386e-14,1.93051238807622e-14,4.85443218843641e-15,-0.854401733351508,-8.01417474825836e-06,6.98376219730136e-06,-5.03041043186871e-06,-9.90904871022418e-15,2.51129879080013e-15,1.07435668633399e-15,-1.45754149883749e-14,-5.53567018848222e-15,1.43048292626176e-05,0.00753482825143244,-6.96879172940797e-06,1.35124494595592e-15,-3.07930937935863e-15,4.19900805802165e-15,-1.12739848751152e-15,6.14554109411716e-16,1.45411793055376e-15,3.99448786679096e-06,2.60757976125946e-15,2.26641634646701e-15,-1.55944125665015e-06,-1.926668284642e-07,1.54192843694244e-15,-1.33421807463891e-16,-6.6929769360186e-17,-7.59639820252115e-15,-9.09945479121238e-16,-8.30598380545133e-15,3.20528752498696e-15,1.07634319322805e-14,-3.09934167320684e-14
"t85",-0.187873107324937,-0.0550415157636724,-0.0204840743338129,-0.0106980381044386,-0.00795342256342127,-0.00635977449160658,0.129270021460288,-0.116336047944242,-6.24288718571124e-07,0.00103577549275852,5.0292426509285e-05,0.000531491278159629,-6.97994988624234e-05,-0.00119468546494046,-0.000418953372772225,0.169269761848695,0.000168517385288222,-0.00175558089207254,0.00444323864772781,-0.021095733265053,-0.00300814671647748,0.0122210417604296,-4.69975666193276e-05,1.11043055961328e-05,-8.26600079072006e-08,4.31662735021804e-05,0.000204834714543181,-0.00367884486493811,0.460263729058717,5.82092322229298e-05,-5.55111512312578e-16,1.87391982654278e-05,-0.00206458131170354,4.52625324707354e-07,0.000677332232636731,8.29967552711806e-17,0.000870082157442462,1.32535044581141e-07,-2.89084644018131e-05,-0.000135183463024885,4.99266491501386e-05,3.26951757896627e-05,0.000163605879177572,0.104223399213693,2.55433709153388e-06,-5.97567193234044e-06,-6.84134417835536e-05,-3.45801247675288e-05,-2.49960296678361e-05,-8.79314323054205e-05,0.000140070174981482,0.191948809152599,1.26374602123928e-06,-3.23107544825672e-06,-5.51274096836684e-16,-9.53745345078107e-16,8.74530998531025e-16,-2.85229590255243e-10,0.000184722403563224,-1.04357477560793e-16,1.25166050074844e-15,-2.88631289608006e-06,1.60132057859897e-15,-2.5689172417291e-08,-3.70408361279246e-06,5.9935656534895e-06,-6.52679012396032e-15,1.99531015542291e-14,-7.6423824617567e-15,-1.2748835709796e-15,0.363635812868977,1.27594879657518e-06,-4.35804077586419e-07,2.55653874063852e-07,1.91758091338843e-15,-3.15573905472945e-15,-1.08180674560783e-15,-6.17833510928326e-15,3.24420296787211e-15,2.35863217282333e-06,0.00125528211590373,-2.00376742703776e-06,-1.40107161558423e-15,1.16638510768613e-15,-1.15093228776694e-15,3.51018392208305e-15,6.17643679388906e-15,-3.99262951692052e-15,1.70003827122359e-06,7.88275535855054e-16,-1.57244122299561e-13,-7.49225381628885e-07,-9.62961271922634e-08,-0.707106781186547,6.48372533688982e-14,9.4709737207777e-15,7.72785212853108e-14,4.16074093741484e-15,2.38318782794929e-14,-3.30751786659624e-15,4.93815843408498e-15,-1.70447613696035e-14
