"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128"
"t1",-0.0123971382217128,-0.0412078319380462,0.00334113239802713,-0.0223179764248995,-0.00688798686182109,0.00983828381881313,-0.0491788451809192,0.000120587112664467,-0.00121696167212223,-0.00145417515216754,0.0552112292395316,-0.0261652410869795,0.00713274627147929,-0.0913767610364966,0.0134073407404126,-0.000628812286077639,-0.0469244490186602,0.000521417157722018,-0.255531592269019,-0.0493495562673996,0.0434615247079279,-0.0587311623769743,0.241186519485991,-0.111417866738411,-0.236332917395853,0.0234681234763018,-0.000718982558523716,-0.0184888232661117,0.059953185458936,-0.0113357796274315,0.00791961351893045,0.0114622338593116,0.0178917839627975,0.617097544535245,0.041580316871681,0.0122483366634137,0.000405242853602765,0.000414514132290595,-0.000703535708908968,0.0015147196858061,-3.04089545266332e-05,-0.000342586246775682,0.0327716855361617,-0.329154075133092,0.520963462967509,0.00109106652042447,-0.0245643007215868,0.0159765252021919,0.000115400226390464,-0.00108130206221453,-0.000285758513028518,-0.0018054184238047,-0.0560459158963675,-0.000244518643277221,0.00475420565004925,-0.0162757461250169,0.000460311577388701,0.000700391893011967,0.00340404346289671,-0.000246570117573693,-6.01126248036416e-05,-1.08272622989102e-08,-0.000202692667870027,0.0111803248930928,0.000406783220576553,0.00804855003992676,1.42130053347945e-05,-0.00403392334755112,-3.22499579299241e-05,9.26079709174609e-08,-2.11320486267856e-07,6.91307304624311e-16,7.59907826052961e-05,-0.00501790752282948,2.71368752975847e-05,2.47766478240295e-08,1.15704236186686e-05,-4.08299147607698e-16,-9.9515895302413e-06,4.80298463885695e-16,1.12899497982363e-16,-5.08749664867349e-06,4.82433008303923e-16,0.000298951928862872,6.75080264669854e-05,8.0112641875298e-06,-0.000638372856431761,8.59254324754925e-07,2.92869029791043e-15,3.2570682122621e-16,-0.000970444378200831,1.04605125697905e-15,0.000320509500577215,0.0107405047698497,-1.30756637390193e-15,0.000120852407082271,-2.07317650962926e-16,5.54845773840754e-06,-0.000337400688768685,2.99761819780536e-16,0.00113980830935302,-1.73542804327644e-16,9.29016547902738e-06,6.61762289406249e-16,2.68733439640647e-06,-5.82500947945537e-16,6.30970830414615e-06,0.000442383012504664,-6.34636762525387e-16,2.01228066949025e-16,-1.89602723052387e-16,8.90631496371825e-16,9.56433336149e-06,-5.99877196510372e-16,-4.01244052615626e-05,-0.000215224457017642,-8.57639887574787e-16,-5.53184324614752e-16,-8.74242732490754e-17,-0.000249128920170489,-9.1032341423004e-06,1.48309747486869e-15,1.92887453336689e-15,-0.000222140843315054,-6.84275977504444e-16,7.44910284810025e-14,-3.16584550430759e-15,-6.27474802265319e-16
"t3",-0.0593151159635407,-0.00864653156046702,0.00156669111545835,-0.0434929311202994,-0.0036722914391213,0.0152673629231797,-0.0243852715853408,6.11075010480586e-05,-0.000634744947929219,-0.0025715255537062,0.0295071290115643,-0.0155948637252141,0.00448671023604395,-0.108524657551033,0.0240175662632272,-0.000174825553222602,-0.0248321794641691,0.000279076601755011,-0.159408266835624,-0.0707895044504863,0.0612760803007812,-0.0394159786532868,0.196531586677293,-0.144041629180709,-0.0931812384337406,0.0110446341727943,0.00726170739329076,-0.0749143514024788,0.0299897981462223,-0.0246896376084127,0.00493282492758539,0.00725959488731504,0.0136178763535383,0.497244470254679,0.0350114438243593,0.0104485160134978,0.000353722422501083,0.000433141519107157,-0.000770938271172521,0.00252468054242457,-7.81025618364409e-05,0.00404512239117351,-0.12739619181957,0.52371004223981,-0.565891723939666,-0.000808106069364321,0.0140677388242989,-0.00865689231586127,-5.84123499133119e-05,0.000341841404672809,0.00102278875297738,7.16391298832837e-05,0.0008170255321636,-4.16016833154281e-06,-0.0212641881060051,-0.0019244959719433,5.58902067032231e-05,0.000101871621442571,0.000520634536080363,0.0030980873013897,-1.07884354516071e-05,-2.05764224464383e-09,0.00398797835617649,0.00224371583327416,8.25796939052363e-05,0.0017345777619852,3.12690775320699e-06,-0.000915886116617957,0.00185457233808769,2.24958104411376e-08,-0.000110453589199331,-8.83706583844566e-16,0.0157925380195907,-0.00128401021292286,0.000880254291943169,7.1446747726156e-07,3.26605801733506e-06,7.83120122428434e-16,-0.00016983414577625,-1.01655196246069e-15,-3.72976894750019e-16,-6.27059492504549e-05,-1.33840569818483e-16,9.21107418158339e-05,0.000769868842299686,9.08518013480916e-05,-0.000200393669445161,9.17155673434874e-06,-2.79138365534557e-15,-9.22976824478768e-16,-0.000310763906663,1.43699834573378e-15,0.000396678115782401,0.00348056729237864,1.31481265100277e-15,3.99458074531205e-05,-7.37109303012887e-16,4.67495015253112e-05,-0.000113154786387324,2.40340008989463e-15,0.00909778965491758,1.15187660834649e-16,6.98200500813797e-05,-6.90120812210286e-16,9.29032108936604e-07,-6.78400126324347e-16,4.57065646337571e-05,0.000153870398043294,1.15795666630621e-15,-2.10880133702891e-15,5.41892207598656e-16,-4.39811146319018e-16,3.37729502482478e-06,1.01362560169895e-15,-0.000268731970173444,-7.66112650117646e-05,5.34777834806218e-15,-1.20476022838618e-15,3.26377285556262e-16,-9.03213912042627e-05,-3.33081144056758e-06,-2.25151002114884e-16,3.64565872665418e-15,-8.15687733562256e-05,1.27430906421134e-15,6.47382509064564e-14,-2.32856214660985e-15,1.0672573705361e-16
"t112",-0.12054944589605,0.035225440838024,-0.00109346435755724,0.0169425427253324,-0.00829401869243735,0.291491063933515,0.0196720980543289,-3.70035411750181e-05,0.000534894465061901,0.139943428304519,-0.00841439637077696,0.00276779906219,-0.000779971834558911,0.037091942186532,-0.00996036046949585,-6.62644906052422e-05,0.00146885916219663,-1.79416993551624e-05,0.0199583616600534,0.0321805333287006,-0.0241045709901005,0.00768204442393317,-0.071386741957048,0.117961453422557,-0.138943476497015,0.011523870158704,0.027270737761296,-0.271981159704676,-0.0364336950168638,0.273111335886742,0.00055640363636937,0.000464434030638206,-5.43041276701497e-07,0.000481215015767597,4.6279598479935e-05,1.43844387641978e-05,5.07017289337058e-07,4.89485203389738e-07,-7.67770790989474e-07,4.49166018360391e-07,1.36819520667163e-08,-2.46477749860891e-06,8.89425038773975e-05,-0.000432314476887814,0.000502467036836169,7.6456112897175e-07,-1.37728397740269e-05,8.52939506728191e-06,5.79740455320484e-08,-3.51607831204416e-07,4.34068922279958e-05,-7.60404950531223e-08,-9.01423809852105e-07,8.91554936078903e-09,-0.00108088515516486,1.32335294041423e-06,-3.80041026180704e-08,-6.20999743551871e-08,-3.03690527840722e-07,0.000243271797731431,4.93836027866804e-09,8.4102497170865e-13,0.000444098664825157,-6.20467304653568e-07,-2.49317910639283e-08,-4.00820228238089e-07,-6.19249489446054e-10,1.37152789987394e-07,0.000171325011254977,1.18720732897306e-13,-9.81051198833909e-06,7.32757482197044e-16,0.000200355866792108,-1.77410625924866e-07,1.2528014440049e-05,7.76379129194337e-08,1.55949934140892e-09,1.07267682322877e-15,-1.93363265904571e-05,-3.58450368824642e-15,6.88290959449797e-16,-7.70089523603411e-06,-3.87506794085985e-15,9.07865854718748e-08,0.00709509693990378,-1.49283709330996e-06,-1.6349449397661e-07,9.27106020307588e-07,-1.50845364132462e-14,-6.49414324218001e-15,-3.03132730911699e-07,2.27423608574968e-15,3.09342074819913e-05,2.77396962762044e-06,6.4760297543289e-15,4.27696428126204e-08,-2.04736313013338e-16,7.03182475428415e-07,-1.25880224136589e-07,2.13817493141867e-14,0.000733429582915121,-2.42858984304276e-14,1.30437248953261e-06,-2.34371776531667e-15,-3.09220214779233e-10,3.12973997800839e-14,-2.15027081462524e-06,-1.76536698556377e-07,5.39620924284865e-14,-4.37112657608395e-14,-5.19615131647666e-14,8.78300160920033e-14,-6.08379671720389e-08,-2.42387364453111e-12,0.823657706600748,-1.31929813809412e-06,9.76182815322388e-14,-2.41897426434563e-14,-2.4981524551717e-14,-5.65378385209325e-07,-1.8686933634833e-08,1.37759619850828e-14,-8.14784854695385e-15,-4.46756008265989e-07,2.70997367020835e-14,-3.82537569790195e-14,-4.45369788481116e-15,-6.27347681846697e-15
"t124",-0.120620735145105,0.035275520932407,-0.0010963284504528,0.0170071856937816,-0.0083432255539966,0.293258290998056,0.0198051417983265,-3.72684637323294e-05,0.00053906109404531,0.141042812003319,-0.00848921611046583,0.00280814547639508,-0.000793061961521258,0.0378348517721691,-0.0101612186731192,-6.76397287711659e-05,0.00150099305864797,-1.83357856556828e-05,0.0204508027227288,0.0331387659439,-0.0248245176734873,0.00792252793205453,-0.0737411442275114,0.122044005634033,-0.144105124566836,0.0119583081064787,0.0283788570665047,-0.283335078056688,-0.037994467796658,0.285207007247207,0.000581546877393371,0.000485543361604189,-5.70624986037833e-07,0.000506634551580152,4.87952427221746e-05,1.51727222507058e-05,5.35191771843649e-07,5.19273412884153e-07,-8.15398665315544e-07,4.80348277713759e-07,1.46884296677507e-08,-2.66432209492942e-06,9.63369878511319e-05,-0.000469985820079032,0.000547568830971089,8.3565044053142e-07,-1.50872317536016e-05,9.34810035658064e-06,6.35787668799617e-08,-3.87340332892302e-07,4.84845108898141e-05,-8.49935753965191e-08,-1.0100041118688e-06,1.00257605529369e-08,-0.00121615282175889,1.51515794449902e-06,-4.35483456994404e-08,-7.16658481416996e-08,-3.51371943885072e-07,0.000283615390501019,5.77624847974044e-09,9.89636511392547e-13,0.000525019164354912,-7.34083953949543e-07,-2.95415780322895e-08,-4.79100299639064e-07,-7.42806212098565e-10,1.65524491008783e-07,0.000206867268279785,1.52275277644978e-13,-1.20525849295903e-05,-8.48465161981622e-17,0.000246883482561003,-2.21581276148644e-07,1.59678737130537e-05,9.9586171648801e-08,2.06116499631921e-09,-7.01829418535302e-16,-2.61333743109378e-05,2.48484373840756e-15,-4.2949856749776e-16,-1.1334250632736e-05,2.97677869285995e-15,1.35685087972328e-07,0.0108401906753136,-2.28799836325745e-06,-2.57212022921835e-07,1.47780331619556e-06,1.55417338286457e-14,2.71071408414457e-15,-5.15477549901483e-07,-1.25375149864598e-15,5.69622338220421e-05,5.10832199669814e-06,-3.91388861831852e-15,9.1525144129658e-08,1.8176251024652e-15,1.71918223581591e-06,-3.28672972278387e-07,-9.2679682947149e-15,0.00248251689136359,1.34254013520619e-14,1.70880081321606e-05,1.32587446029223e-15,3.02969510826083e-09,-1.48547213301896e-14,1.30366181257686e-05,5.91863763007413e-07,-2.68467422255235e-14,1.73347803535556e-14,2.33409462577462e-14,-4.54220063916209e-14,4.21528270388827e-08,1.17789408513791e-12,-0.400943557031402,3.40800577590625e-07,-4.72788131394629e-14,1.46829642167607e-14,1.30226517466144e-14,-1.27598043019721e-07,-6.69011019963379e-09,-1.06860584738956e-14,1.66807432091394e-15,-1.782481582426e-07,3.24359880482148e-13,0.707106781186673,-2.23945608757846e-13,-1.41210107582143e-14
"t125",-0.120620735145106,0.035275520932407,-0.00109632845045257,0.017007185693781,-0.00834322555399508,0.293258290998056,0.0198051417983257,-3.72684637315341e-05,0.000539061094045621,0.141042812003319,-0.00848921611046522,0.00280814547639574,-0.000793061961519687,0.03783485177217,-0.0101612186731186,-6.76397287713981e-05,0.00150099305864854,-1.83357856553298e-05,0.0204508027227253,0.0331387659438977,-0.0248245176734836,0.00792252793205379,-0.0737411442275114,0.122044005634029,-0.144105124566833,0.011958308106479,0.0283788570665043,-0.283335078056687,-0.0379944677966587,0.285207007247205,0.000581546877393845,0.000485543361603614,-5.70624986573212e-07,0.000506634551571373,4.87952427200729e-05,1.51727222499644e-05,5.35191771618018e-07,5.19273412977967e-07,-8.15398664519892e-07,4.80348276977728e-07,1.46884296123954e-08,-2.66432209556444e-06,9.63369878530271e-05,-0.000469985820085669,0.00054756883098073,8.3565043887747e-07,-1.50872317541721e-05,9.34810035708241e-06,6.35787653973614e-08,-3.87340333944544e-07,4.84845108976766e-05,-8.49935764363876e-08,-1.01000410185554e-06,1.0025759902704e-08,-0.00121615282178133,1.51515794827837e-06,-4.35483447963691e-08,-7.16658519294522e-08,-3.51371943505804e-07,0.000283615390517785,5.77624759514391e-09,9.9082444302669e-13,0.000525019164374506,-7.34083951712468e-07,-2.95415714277724e-08,-4.79100294583612e-07,-7.42804636923221e-10,1.65524487075769e-07,0.000206867268298082,1.52434057811023e-13,-1.2052584938578e-05,-1.17149399339559e-15,0.000246883482557654,-2.21581280568303e-07,1.59678737161047e-05,9.95861632910527e-08,2.06115478096256e-09,-6.6574746128822e-16,-2.61333743039038e-05,1.45486936201439e-15,-6.35786867977227e-16,-1.13342506533937e-05,1.4154551250451e-15,1.35685089019306e-07,0.0108401906753319,-2.28799837262545e-06,-2.57212018372254e-07,1.47780329988657e-06,4.81615530948936e-16,7.37170477814701e-16,-5.15477539135955e-07,2.48643456192409e-16,5.69622338273741e-05,5.10832197376698e-06,-1.24817587078378e-15,9.15251372023723e-08,-2.53704229093159e-15,1.71918223686787e-06,-3.28672991497139e-07,-9.41953576148967e-15,0.00248251689137014,1.01775919711841e-14,1.70880081164313e-05,1.55001169743058e-15,3.02968882105111e-09,-1.63514439134267e-14,1.30366181000127e-05,5.91863767779279e-07,-2.61937450663982e-14,2.45880274009234e-14,2.7234631247563e-14,-3.90901815922889e-14,4.21528125169451e-08,1.1807015303103e-12,-0.400943557031591,3.40800549615701e-07,-4.65640726535038e-14,6.79122482204479e-15,1.08717027656189e-14,-1.27598062475059e-07,-6.6900878492393e-09,7.06849911738708e-16,1.25301603103095e-14,-1.78248191320349e-07,-3.49218269214257e-13,-0.707106781186421,2.1975733443087e-13,1.92531409770694e-14
"t79",-0.120228203378704,0.0349963536783154,-0.00108006879475708,0.0166332276840233,-0.00804844742868046,0.282648103139853,0.0189966582433417,-3.56473507470595e-05,0.000513276919024078,0.13423142084628,-0.00801678332172749,0.00252192648251434,-0.000695248718671839,0.0317895794699317,-0.00852045742726949,-5.62149153200979e-05,0.00122496260825633,-1.49414423216006e-05,0.0158154135961575,0.0220416198254023,-0.0164509580372388,0.00491754181911408,-0.0414345935634192,0.0599058747308131,-0.0485551470226401,0.00350776599866715,-0.00163003023942579,0.0807018445237115,0.0234609466555254,-0.40668468917538,-0.0014422492561228,-0.00144654179689605,-1.83367978412501e-06,0.001220992666962,0.000102865698520567,3.10067643358021e-05,1.04256150245507e-06,8.19678137792484e-07,-1.24843583301078e-06,6.44415601365086e-07,1.87617123716071e-08,-3.18424855445249e-06,0.000113274580148974,-0.000537715043344118,0.00061624224407978,9.22733277809006e-07,-1.64317164724287e-05,1.01503743431903e-05,6.87772186886228e-08,-4.08308216691204e-07,4.74868104122043e-05,-8.2952650437306e-08,-9.73571411963569e-07,9.48634446358461e-09,-0.0011474776210366,1.3045797922532e-06,-3.73269786793393e-08,-5.90330800712672e-08,-2.85152705391685e-07,0.000219804292628025,4.38407040716195e-09,7.25861289242819e-13,0.000370401187091372,-5.15020613527098e-07,-2.04963199089641e-08,-3.10207567680649e-07,-4.66550238421016e-10,9.82879623167062e-08,0.000122253006152134,6.99440366251789e-14,-5.84999288898389e-06,1.55841850720371e-15,0.000114982765440931,-8.22811040839021e-08,3.30722434452015e-06,1.48194621297558e-08,-3.86273592365555e-10,9.96998975207327e-16,1.40033006932294e-05,2.87497757209941e-15,4.22621142980629e-16,5.93828129737808e-05,1.06303835246254e-14,-1.27220502067605e-06,-0.834006676885489,0.00141326513342447,-3.25595194908847e-06,1.3190126664348e-05,2.85154344043805e-14,4.31024895880273e-14,-2.23935410250561e-06,-4.13610720122732e-15,0.00017828311793458,1.59853346796098e-05,-4.66507754869959e-15,2.18859379753559e-07,-4.03172069312301e-15,3.64027507871217e-06,-6.66784889410899e-07,-7.28828839046677e-15,0.00449118371344606,2.08886174032708e-15,2.53783908272474e-05,8.23836838179758e-16,3.95861736757265e-09,4.11209186614929e-15,1.63173920434424e-05,6.76797755239998e-07,2.28067970076372e-17,5.60964577032078e-15,-1.30535886323688e-15,-1.11338562490372e-15,1.61698040767957e-08,1.41141496000466e-14,-0.00625958746161621,-3.56477990786019e-07,2.49059066780258e-15,2.12269664817916e-15,7.47835078532837e-16,-4.5718026062787e-07,-1.74771975621643e-08,1.51952185111023e-15,7.1375912545982e-16,-4.3407466906928e-07,-2.3731936162226e-15,6.36514394714145e-14,-3.38098479596859e-15,-2.07979357365994e-15
"t110",-0.120376921965738,0.0351007131209475,-0.00108602639021987,0.016767410869906,-0.00815013129991812,0.286298864299917,0.0192710190551722,-3.61930940635407e-05,0.000521845028128084,0.136491717979114,-0.00817011891179434,0.00260257092569877,-0.000721043313759351,0.0332133667414949,-0.0089048656347007,-5.88305230014822e-05,0.00128528394142734,-1.56804040570873e-05,0.0167026528264571,0.0235619361926549,-0.0175895028853979,0.00527614853551885,-0.0446378460889255,0.0647954130487745,-0.0528499759087712,0.00382328426150793,-0.0017898422399329,0.0888651993185963,0.0259065868927144,-0.450760454520099,-0.00160229591129222,-0.00160816440455239,-2.06752244182767e-06,0.00138424188498034,0.000117106264220253,3.53421058078956e-05,1.19083597659284e-06,9.50150777795542e-07,-1.45199848927732e-06,7.65749400908398e-07,2.25729319852526e-08,-3.91999771666135e-06,0.000140420533309345,-0.000675299685096015,0.000780675531908179,1.18171920991858e-06,-2.12216826344106e-05,1.31344245208748e-05,8.92106184671883e-08,-5.3898368554371e-07,6.64358545582951e-05,-1.16408508038157e-07,-1.38129484918723e-06,1.36879250662351e-08,-0.00166002944396498,2.06481187704935e-06,-5.93542558708519e-08,-9.7851348223325e-08,-4.80195704062892e-07,0.000388945057658363,7.93597310994626e-09,1.36439877979018e-12,0.000726573831503148,-1.01650004657701e-06,-4.09557243565344e-08,-6.69331648926851e-07,-1.04134134826148e-09,2.3354122722667e-07,0.000292031092130516,2.17020777043631e-13,-1.73869067759757e-05,-5.29493712253841e-16,0.000357670617621517,-3.27880251769589e-07,2.45557638174908e-05,1.55294874594389e-07,3.48368234112856e-09,-5.79788439940471e-16,-4.78953121036466e-05,-2.03868152349706e-15,-1.66735943735112e-15,-4.41313865195158e-05,-5.65361732401875e-15,7.78570027256307e-07,0.389872641388152,-0.000636020877835457,1.0664224952365e-06,-3.66596025413605e-06,-5.07772912740584e-15,-1.80280004638041e-14,2.34726916612604e-07,7.43508841646619e-15,3.43345227555645e-06,3.09111105001792e-07,2.79918024546568e-15,3.15984631890524e-08,8.48817905166051e-15,7.4522951086044e-07,-1.50539971879271e-07,-1.53959807673753e-15,0.0012556607787813,-4.78004272321029e-15,8.99849562219121e-06,5.88344289763926e-15,1.53494581531063e-09,-5.16385783311026e-16,6.46848426641626e-06,2.78447413752621e-07,9.29776643678492e-15,-5.79962848222669e-15,-2.1296602988849e-14,-1.46180148999259e-14,7.53168759447785e-09,-2.20029905605973e-14,-0.00298425998330987,-1.75490602286359e-07,-0.707106781186548,-4.7732223720438e-14,-3.91542829062012e-16,-2.50085085069333e-07,-9.99261235626706e-09,-1.71704544763459e-16,-5.35069493138629e-16,-2.5214617695643e-07,-2.09345975267164e-14,7.88079001094755e-14,-3.98056865776814e-15,6.7413079061903e-15
"t111",-0.120376921965738,0.0351007131209476,-0.00108602639021913,0.0167674108699064,-0.00815013129991751,0.286298864299917,0.019271019055172,-3.61930940632044e-05,0.000521845028128551,0.136491717979114,-0.00817011891179447,0.00260257092569869,-0.000721043313758901,0.0332133667414949,-0.00890486563470046,-5.88305230020416e-05,0.00128528394142704,-1.56804040571754e-05,0.0167026528264567,0.0235619361926543,-0.0175895028853976,0.00527614853551879,-0.0446378460889251,0.0647954130487734,-0.0528499759087679,0.0038232842615077,-0.0017898422399331,0.0888651993185953,0.0259065868927142,-0.450760454520097,-0.0016022959112925,-0.00160816440455256,-2.06752244227934e-06,0.00138424188497684,0.000117106264221013,3.53421058079639e-05,1.19083597720386e-06,9.50150778403163e-07,-1.45199848897239e-06,7.65749401175504e-07,2.25729306611247e-08,-3.91999771493465e-06,0.00014042053330862,-0.000675299685098146,0.000780675531915642,1.18171920953846e-06,-2.12216826347625e-05,1.31344245227491e-05,8.9210617830275e-08,-5.38983685932295e-07,6.64358545605742e-05,-1.16408507484909e-07,-1.38129484695659e-06,1.36879271063843e-08,-0.00166002944397354,2.06481187899955e-06,-5.93542540225358e-08,-9.78513482388036e-08,-4.80195704477474e-07,0.000388945057661558,7.93597761163934e-09,1.36549673406578e-12,0.000726573831502998,-1.01650004730595e-06,-4.09557273755606e-08,-6.69331651044853e-07,-1.04134082056464e-09,2.3354122587094e-07,0.000292031092133015,2.19620140315359e-13,-1.73869067745984e-05,-4.09815876982214e-16,0.000357670617626767,-3.27880255927277e-07,2.45557638280767e-05,1.55294866611823e-07,3.48368157378827e-09,-7.41026506255192e-18,-4.78953121069256e-05,-1.10672833016045e-15,8.17308662983685e-16,-4.4131386512383e-05,-3.30878696018723e-15,7.78570023024703e-07,0.389872641388155,-0.000636020877827669,1.06642249127739e-06,-3.66596026348457e-06,-1.79563106849692e-14,-2.22965891243535e-14,2.34726914092473e-07,-3.12475713935247e-15,3.43345226962277e-06,3.09111085919922e-07,3.09760600427991e-15,3.15984644042801e-08,-4.91761462322247e-15,7.45229536014231e-07,-1.50539981678648e-07,9.82489596441917e-15,0.00125566077874377,3.2137334660697e-15,8.99849563295564e-06,-5.44280916143073e-15,1.53492763298137e-09,-5.24879923878308e-15,6.46848426863988e-06,2.78447403762198e-07,-1.0598111890266e-14,-8.00112484342306e-16,2.31380781272804e-14,1.63939640039331e-14,7.53166481613959e-09,4.13724529199558e-14,-0.00298425998347693,-1.75490837927089e-07,0.707106781186548,4.43765212880417e-14,5.77679744965637e-16,-2.50085104583213e-07,-9.99262762001844e-09,6.34345484528762e-16,6.88801312840828e-15,-2.5214618918151e-07,2.11845047698339e-14,7.93231129818406e-14,-1.45825801496595e-15,-6.22871694534605e-15
"t72",-0.118837515509852,0.0340029639896879,-0.00102184984168723,0.0152860858947205,-0.0069754754310938,0.244003877335623,0.0160423049012317,-2.97126340124319e-05,0.00041861323073811,0.109216727243399,-0.00627386823820936,0.00144385324162123,-0.000324847975353576,0.00881311479981218,-0.00228425769455561,-1.27948915098059e-05,0.000176831825977299,-2.05404738128841e-06,-0.00165689989421025,-0.0179868261807564,0.0137131053044375,-0.00564229710337315,0.0676290605184663,-0.13852640764079,0.216071504604059,-0.0188598140434634,-0.0523554781712957,0.490639403188797,0.0474989758492542,0.294670352315106,0.00318263306204366,0.00385174273987011,0.00118462530755584,0.0280157550621724,0.00146128985362724,0.000401069532351126,1.1773838777884e-05,5.54135702659567e-06,-7.89690740269267e-06,3.11940234568914e-06,8.31184345771656e-08,-1.26925539342093e-05,0.000441399664738854,-0.00202410695526153,0.00227692836457795,3.34426266617361e-06,-5.88178140130076e-05,3.62406840553706e-05,2.44805832099718e-07,-1.42649177856131e-06,0.000161175224462031,-2.81391590316013e-07,-3.2977485771821e-06,3.21108520919878e-08,-0.00388433365901202,4.5008976480939e-06,-1.28997036712238e-07,-2.0752428801537e-07,-1.0098269084768e-06,0.000798493414019757,1.61303124782431e-08,2.73290093183087e-12,0.00143132177347887,-1.99810449289312e-06,-8.01614010227532e-08,-1.27833649738955e-06,-1.96944160397669e-09,4.34356765095649e-07,0.000542409057010365,3.84959861172129e-13,-3.07927776239556e-05,-2.35375253251803e-15,0.000628186797847683,-5.54210382285467e-07,3.90385964706281e-05,2.41880290607945e-07,4.86698906745013e-09,1.53497404128963e-15,-6.05336560851233e-05,8.00154104588768e-16,1.54200470465738e-15,-2.39786619698157e-05,6.98189833441428e-15,2.74239354294747e-07,0.0078183061720705,2.17628423567246e-05,-6.14616311694146e-07,3.41028943538961e-06,0.707106781186549,6.39258564027288e-14,-1.11909247079194e-06,-1.50832495508577e-14,0.000119381205087515,1.070574091879e-05,-2.27518513539287e-15,1.83240848000123e-07,6.50645528313733e-15,3.33561492264668e-06,-6.2914173084326e-07,2.36139325422299e-15,0.00454597901010314,1.04616997980161e-15,2.80401104149277e-05,1.18545348825812e-15,4.52962975422636e-09,1.67937526349545e-15,1.88348338466489e-05,7.92717537969549e-07,1.06675203816515e-15,-3.73828311743892e-15,1.01988916752074e-15,4.92302854320619e-18,1.96083208855322e-08,8.70824543686746e-15,-0.00278019732288936,-4.5904738834855e-07,6.19800947094193e-15,3.23351491337886e-17,6.01565326531937e-16,-6.0838199380298e-07,-2.36718629191852e-08,-1.82728037593035e-15,1.80442060311196e-15,-5.91667874542507e-07,-8.43878912776561e-15,6.68839197327008e-14,-8.86979322264417e-16,-3.09478398294293e-16
"t73",-0.118837515509852,0.034002963989688,-0.00102184984168718,0.0152860858947205,-0.0069754754310933,0.244003877335623,0.016042304901232,-2.97126340120995e-05,0.000418613230738278,0.109216727243399,-0.00627386823820975,0.00144385324162051,-0.000324847975352254,0.00881311479981236,-0.00228425769455641,-1.27948915096039e-05,0.000176831825977447,-2.05404738059051e-06,-0.00165689989421061,-0.0179868261807573,0.0137131053044393,-0.00564229710337458,0.0676290605184652,-0.13852640764079,0.216071504604063,-0.0188598140434634,-0.0523554781712967,0.490639403188797,0.0474989758492546,0.294670352315105,0.00318263306204496,0.00385174273987176,0.00118462530755605,0.0280157550621707,0.00146128985363069,0.00040106953235102,1.17738387787471e-05,5.54135702648717e-06,-7.89690740154045e-06,3.11940234477967e-06,8.3118433188411e-08,-1.26925539356161e-05,0.000441399664740074,-0.00202410695526581,0.00227692836458349,3.34426266581336e-06,-5.8817814014564e-05,3.624068405611e-05,2.44805828746307e-07,-1.42649177861314e-06,0.000161175224462721,-2.81391589162456e-07,-3.29774858086383e-06,3.21108541502381e-08,-0.00388433365902307,4.50089765020376e-06,-1.28997040930076e-07,-2.0752428590262e-07,-1.00982691252146e-06,0.000798493414041228,1.61303116683956e-08,2.72931193611173e-12,0.00143132177348583,-1.99810449693406e-06,-8.01614003125783e-08,-1.27833650258405e-06,-1.96944812070456e-09,4.34356759168576e-07,0.000542409057016273,3.83785382393458e-13,-3.07927776190424e-05,1.97438356224998e-15,0.000628186797858823,-5.54210387138902e-07,3.90385964700434e-05,2.41880281318827e-07,4.86697296014105e-09,-2.09837956962531e-15,-6.05336561117816e-05,-6.32372788406938e-16,-8.55403599872379e-16,-2.39786619798611e-05,-6.54089957874211e-15,2.7423939353694e-07,0.00781830617202422,2.17628422724899e-05,-6.14616336181868e-07,3.41028911991088e-06,-0.707106781186546,-6.43001338395538e-14,-1.11909256174641e-06,1.60998312207691e-14,0.000119381205117358,1.07057408874374e-05,2.99977572562526e-15,1.83240834337716e-07,-6.70152049753364e-15,3.33561491427133e-06,-6.29141734073732e-07,-4.2911411753013e-16,0.00454597901013325,-1.84506605212405e-15,2.8040110416971e-05,-1.17345114703728e-15,4.52963265129672e-09,-2.59349670077152e-15,1.88348338124098e-05,7.92717546817989e-07,-9.64348266458933e-16,2.21870085956791e-15,-2.11641352898229e-16,9.46309092711801e-16,1.96083210556801e-08,6.75347519299661e-15,-0.00278019732291609,-4.59047385452498e-07,-6.96160281781811e-15,-1.30410752430893e-15,-1.93063512309471e-16,-6.08381999321457e-07,-2.36718697399022e-08,3.8154406747879e-15,2.9797815743479e-15,-5.91667892440395e-07,6.4380860071192e-15,8.20627501474979e-14,-5.72570089515682e-15,-5.51774177465714e-16
