,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
t1,0.0017352779,-0.08020492,1.689486,0.0025301417,-0.2227089,-1.1582091,2.2772727,-0.7562926,-0.5221536,0.07488294,-0.5545844,-0.40056166,7.8018756,-0.22994556,-0.019332007,1.1266522,-0.014457623,8.602398,0.84205574,0.7537915,-0.013116151,3.4042962,1.4814433,10.765726
t2,0.9655004,-0.070632875,0.86526716,0.000817964,-0.21990302,-1.4729367,2.618163,-0.9127035,-0.6637859,0.0784794,-0.9289853,-0.31671003,8.621419,-0.2886081,-0.14676829,1.4328163,-0.016150394,8.770101,0.89376414,2.2065215,-0.075731836,3.432856,5.136372,13.519501
t4,1.5549642,-0.051217426,0.53261423,0.00053011026,-0.19504866,-1.7564543,2.9795208,-1.0822266,-0.7682483,0.08606869,-1.1944933,0.008167515,9.727147,-0.35906968,-0.2235211,1.6615396,-0.018213207,9.102997,0.94392115,4.1757674,-0.13635793,3.847869,8.105807,15.7869425
t8,1.2854177,-0.057576872,0.64214104,0.0016429825,-0.20439102,-1.5748717,2.6603982,-0.96390706,-0.7140027,0.08637576,-1.0495663,-0.17188479,8.988344,-0.30607453,-0.16801263,1.5125114,-0.01677323,8.734194,0.9120946,3.0398767,-0.10554399,3.4981804,6.3277802,14.287583
t9,0.5782891,-0.034154996,0.77030015,0.0049447496,-0.20811392,-1.2930202,2.2428477,-0.76147443,-0.61007327,0.07960584,-0.78629464,-0.37353948,7.8133383,-0.2401965,-0.07177693,1.2895133,-0.014368155,8.263638,0.8544944,1.2844588,-0.048715383,3.1589918,3.2283304,11.744167
t13,0.7333206,-0.017952505,-0.0800286,0.009854657,-0.16719028,-1.5924641,1.2449939,-0.85503685,-0.7478163,0.088574804,-0.93482333,1.2958558,10.882383,-0.35930806,-0.09860104,1.653218,-0.019278638,9.045259,0.95878947,3.0405462,-0.16358754,4.215213,3.9402354,12.875061
t14,0.67858255,-0.013711002,-0.08181682,0.0103206355,-0.16523598,-1.5877954,1.1813502,-0.84412,-0.74398685,0.087864175,-0.91478777,1.3567817,10.928743,-0.3566461,-0.08986923,1.647265,-0.019289242,9.050442,0.95749867,2.973809,-0.16379552,4.218515,3.692709,12.719313
t17,0.009395136,0.15694976,-0.09980993,0.018981038,-0.16142975,-1.334991,0.006890879,-0.5854601,-0.639844,0.1025761,-0.49656734,2.621629,11.295451,-0.33774796,1.8136047,1.4109201,-0.019054817,8.740725,0.9631235,1.5808865,-0.13167588,4.524821,-0.0322959,9.065151
t18,0.009922605,0.14024773,-0.11231738,0.020263735,-0.15165165,-1.3272456,-0.025133412,-0.5703498,-0.6341142,0.10484596,-0.46560708,2.8892772,11.441738,-0.3448346,2.0827334,1.4034183,-0.019073166,8.765107,0.9696557,1.5599504,-0.12930346,4.577392,-0.039204914,8.795412
t21,0.025065953,0.27700529,-0.0497525,0.023425464,-0.116275504,-1.1844639,-0.05096993,-0.46473628,-0.5460869,0.12652673,-0.20933346,4.3681536,11.502366,-0.32444796,4.591113,1.2038385,-0.017636143,8.090474,0.9645461,1.1887544,-0.09999068,5.243689,-0.09303007,6.717979
t159,0.10495528,2.087357,4.4820814,0.006897126,-0.23686159,-0.29897773,3.4667473,-0.40222362,-0.15431784,0.2772507,13.0750885,12.869295,12.926585,-0.31824827,21.58881,0.8205859,-0.00653304,7.5956283,0.6313848,3.1355073,0.8952864,9.573196,-0.33541316,0.00082091754
t172,0.10465082,2.0777254,4.5149455,0.0070328456,-0.23720936,-0.3005281,3.4388423,-0.407198,-0.15590878,0.27568355,13.072986,12.854677,12.907109,-0.31718203,21.527567,0.812363,-0.0067848186,7.6756463,0.64043796,3.1486485,0.89021385,9.577709,-0.33535075,0.0009747238
t173,0.10294107,1.9731939,4.3391666,0.007991797,-0.23318303,-0.32138756,3.25487,-0.39554945,-0.16747889,0.27062994,12.690038,12.738376,12.968273,-0.31152454,21.14392,0.820314,-0.006974446,7.5678988,0.6406015,3.1012344,0.8227195,9.412313,-0.33191735,0.006344665
t184,0.105397135,2.0917013,4.4923067,0.0070526116,-0.23545028,-0.29808417,3.397229,-0.3972604,-0.15513222,0.27685422,13.10703,12.886157,12.893058,-0.31879693,21.649017,0.82300675,-0.0065825027,7.6613207,0.6244086,3.140853,0.8859194,9.581112,-0.3359109,0.00077783375
t185,0.10130817,1.8310907,4.1270475,0.009014211,-0.23145717,-0.34694925,3.0412304,-0.38015172,-0.1799882,0.26489064,12.228116,12.5840645,13.057625,-0.307139,20.73814,0.82961714,-0.007137332,7.44629,0.6297376,3.084224,0.73975474,9.203732,-0.32919964,0.11581002
t174,0.10544309,2.0577035,4.5321426,0.0067257993,-0.23654692,-0.30086553,3.4536254,-0.40370077,-0.15462624,0.2765933,13.142854,12.884382,12.9528475,-0.3170378,21.6261,0.81874937,-0.0065728324,7.680398,0.63256776,3.145982,0.9016743,9.603283,-0.3363024,0.0002429424
t36,0.04922648,0.47161022,0.6115846,0.026474113,-0.152939,-1.0757519,0.07329783,-0.41431934,-0.4440761,0.15930398,1.8733611,7.6203837,12.784001,-0.32348323,9.1573305,1.0354002,-0.014833576,7.6193495,0.8892972,1.7523304,-0.09834272,5.8567677,-0.17249672,4.5801253
